"","x"
"1",0.2589177224531
"2",0.442303524211628
"3",16
"4",16
"5",14
"6",4
"7",11
"8",13
"9",13
"10",9
"11",14
"12",9
"13",15
"14",7
"15",8
"16",5
"17",2
"18",13
"19",6
"20",1
"21",15
"22",15
"23",10
"24",2
"25",14
"26",13
"27",5
"28",12
"29",13
"30",7
"31",11
"32",8
"33",9
"34",7
"35",3
"36",16
"37",13
"38",7
"39",12
"40",3
"41",8
"42",12
"43",1
"44",15
"45",2
"46",8
"47",15
"48",6
"49",2
"50",7
"51",16
"52",16
"53",6
"54",8
"55",5
"56",16
"57",8
"58",16
"59",4
"60",16
"61",15
"62",8
"63",1
"64",13
"65",1
"66",13
"67",6
"68",16
"69",15
"70",11
"71",8
"72",2
"73",11
"74",15
"75",15
"76",11
"77",13
"78",15
"79",15
"80",13
"81",15
"82",6
"83",9
"84",9
"85",7
"86",11
"87",4
"88",1
"89",13
"90",11
"91",16
"92",13
"93",7
"94",15
"95",6
"96",11
"97",3
"98",11
"99",14
"100",12
"101",6
"102",6
"103",1
"104",15
"105",4
"106",15
"107",15
"108",9
"109",11
"110",13
"111",4
"112",14
"113",11
"114",15
"115",6
"116",16
"117",16
"118",4
"119",3
"120",13
"121",16
"122",11
"123",11
"124",11
"125",1
"126",15
"127",1
"128",4
"129",11
"130",15
"131",14
"132",4
"133",16
"134",15
"135",2
"136",15
"137",15
"138",4
"139",15
"140",11
"141",16
"142",2
"143",2
"144",3
"145",12
"146",6
"147",4
"148",2
"149",16
"150",9
"151",6
"152",8
"153",14
"154",9
"155",6
"156",12
"157",9
"158",9
"159",15
"160",2
"161",6
"162",13
"163",15
"164",15
"165",4
"166",12
"167",4
"168",12
"169",4
"170",13
"171",2
"172",15
"173",11
"174",11
"175",15
"176",1
"177",13
"178",1
"179",11
"180",6
"181",16
"182",6
"183",16
"184",2
"185",7
"186",13
"187",12
"188",16
"189",6
"190",4
"191",16
"192",13
"193",16
"194",11
"195",16
"196",16
"197",13
"198",8
"199",4
"200",9
"201",6
"202",13
"203",1
"204",16
"205",7
"206",15
"207",11
"208",7
"209",2
"210",1
"211",9
"212",11
"213",9
"214",13
"215",8
"216",8
"217",6
"218",5
"219",7
"220",9
"221",11
"222",4
"223",15
"224",11
"225",15
"226",1
"227",8
"228",13
"229",6
"230",6
"231",1
"232",16
"233",14
"234",15
"235",9
"236",15
"237",11
"238",8
"239",11
"240",13
"241",15
"242",13
"243",16
"244",13
"245",13
"246",13
"247",16
"248",13
"249",13
"250",4
"251",4
"252",8
"253",16
"254",16
"255",11
"256",1
"257",11
"258",9
"259",1
"260",12
"261",11
"262",13
"263",15
"264",7
"265",16
"266",15
"267",2
"268",7
"269",1
"270",6
"271",7
"272",16
"273",13
"274",2
"275",8
"276",4
"277",11
"278",13
"279",4
"280",12
"281",13
"282",8
"283",15
"284",1
"285",4
"286",11
"287",14
"288",2
"289",13
"290",1
"291",12
"292",15
"293",3
"294",13
"295",9
"296",9
"297",5
"298",6
"299",13
"300",2
"301",14
"302",14
"303",9
"304",13
"305",9
"306",15
"307",10
"308",1
"309",15
"310",9
"311",15
"312",1
"313",16
"314",7
"315",6
"316",15
"317",6
"318",15
"319",15
"320",6
"321",15
"322",2
"323",4
"324",9
"325",9
"326",16
"327",15
"328",9
"329",13
"330",14
"331",14
"332",7
"333",8
"334",12
"335",11
"336",14
"337",16
"338",11
"339",15
"340",8
"341",13
"342",2
"343",5
"344",11
"345",15
"346",8
"347",9
"348",12
"349",15
"350",8
"351",6
"352",2
"353",4
"354",12
"355",13
"356",12
"357",15
"358",12
"359",7
"360",16
"361",16
"362",15
"363",4
"364",8
"365",2
"366",5
"367",14
"368",2
"369",8
"370",11
"371",13
"372",6
"373",15
"374",6
"375",15
"376",9
"377",11
"378",16
"379",6
"380",5
"381",3
"382",2
"383",5
"384",9
"385",5
"386",8
"387",1
"388",14
"389",8
"390",15
"391",1
"392",13
"393",1
"394",15
"395",5
"396",5
"397",15
"398",14
"399",12
"400",16
"401",2
"402",16
"403",9
"404",8
"405",15
"406",11
"407",2
"408",14
"409",13
"410",15
"411",9
"412",15
"413",15
"414",9
"415",8
"416",7
"417",3
"418",15
"419",3
"420",15
"421",15
"422",2
"423",7
"424",9
"425",13
"426",7
"427",4
"428",9
"429",16
"430",1
"431",4
"432",8
"433",7
"434",6
"435",15
"436",11
"437",12
"438",9
"439",13
"440",1
"441",5
"442",15
"443",15
"444",8
"445",8
"446",13
"447",10
"448",13
"449",13
"450",16
"451",2
"452",3
"453",1
"454",9
"455",2
"456",13
"457",11
"458",15
"459",3
"460",2
"461",8
"462",15
"463",15
"464",7
"465",13
"466",7
"467",6
"468",6
"469",4
"470",8
"471",9
"472",1
"473",16
"474",15
"475",1
"476",16
"477",13
"478",16
"479",13
"480",6
"481",15
"482",15
"483",8
"484",15
"485",16
"486",6
"487",4
"488",16
"489",4
"490",11
"491",2
"492",8
"493",15
"494",15
"495",1
"496",1
"497",15
"498",9
"499",1
"500",15
"501",16
"502",6
"503",11
"504",13
"505",8
"506",15
"507",5
"508",6
"509",13
"510",9
"511",13
"512",15
"513",1
"514",5
"515",3
"516",6
"517",13
"518",16
"519",4
"520",1
"521",8
"522",16
"523",15
"524",15
"525",13
"526",9
"527",3
"528",16
"529",6
"530",1
"531",13
"532",4
"533",9
"534",9
"535",13
"536",15
"537",8
"538",6
"539",11
"540",15
"541",15
"542",13
"543",13
"544",13
"545",13
"546",7
"547",9
"548",15
"549",15
"550",14
"551",2
"552",13
"553",11
"554",7
"555",16
"556",8
"557",10
"558",1
"559",2
"560",3
"561",1
"562",6
"563",13
"564",16
"565",11
"566",7
"567",7
"568",5
"569",12
"570",14
"571",15
"572",15
"573",6
"574",8
"575",2
"576",3
"577",1
"578",6
"579",13
"580",16
"581",3
"582",5
"583",13
"584",15
"585",3
"586",13
"587",15
"588",6
"589",15
"590",16
"591",3
"592",9
"593",1
"594",16
"595",1
"596",13
"597",9
"598",7
"599",13
"600",8
"601",6
"602",8
"603",16
"604",15
"605",12
"606",12
"607",12
"608",7
"609",16
"610",14
"611",2
"612",3
"613",15
"614",16
"615",10
"616",9
"617",9
"618",5
"619",4
"620",15
"621",9
"622",8
"623",2
"624",2
"625",16
"626",11
"627",8
"628",7
"629",11
"630",15
"631",15
"632",12
"633",15
"634",9
"635",8
"636",12
"637",9
"638",6
"639",16
"640",7
"641",2
"642",6
"643",3
"644",7
"645",15
"646",1
"647",15
"648",4
"649",4
"650",13
"651",15
"652",1
"653",16
"654",1
"655",13
"656",9
"657",7
"658",6
"659",3
"660",2
"661",6
"662",6
"663",6
"664",8
"665",7
"666",7
"667",15
"668",15
"669",9
"670",11
"671",13
"672",7
"673",5
"674",6
"675",5
"676",1
"677",16
"678",6
"679",4
"680",13
"681",11
"682",3
"683",9
"684",8
"685",11
"686",16
"687",13
"688",15
"689",13
"690",6
"691",9
"692",9
"693",15
"694",9
"695",16
"696",12
"697",14
"698",9
"699",7
"700",16
"701",15
"702",15
"703",15
"704",2
"705",7
"706",4
"707",1
"708",11
"709",1
"710",2
"711",15
"712",6
"713",1
"714",7
"715",7
"716",11
"717",15
"718",9
"719",13
"720",9
"721",4
"722",6
"723",6
"724",11
"725",1
"726",6
"727",13
"728",6
"729",7
"730",9
"731",6
"732",9
"733",9
"734",8
"735",15
"736",2
"737",14
"738",15
"739",8
"740",7
"741",7
"742",16
"743",9
"744",7
"745",7
"746",15
"747",2
"748",15
"749",2
"750",6
"751",9
"752",13
"753",3
"754",13
"755",13
"756",15
"757",5
"758",4
"759",15
"760",8
"761",8
"762",13
"763",15
"764",6
"765",14
"766",16
"767",8
"768",6
"769",5
"770",13
"771",6
"772",15
"773",13
"774",9
"775",1
"776",13
"777",8
"778",16
"779",13
"780",16
"781",11
"782",11
"783",9
"784",12
"785",7
"786",12
"787",9
"788",14
"789",4
"790",3
"791",16
"792",7
"793",9
"794",16
"795",4
"796",5
"797",12
"798",4
"799",4
"800",15
"801",12
"802",2
"803",15
"804",1
"805",15
"806",14
"807",7
"808",6
"809",12
"810",9
"811",12
"812",15
"813",9
"814",13
"815",11
"816",15
"817",12
"818",4
"819",13
"820",15
"821",13
"822",15
"823",15
"824",11
"825",15
"826",7
"827",7
"828",9
"829",11
"830",6
"831",6
"832",7
"833",15
"834",9
"835",13
"836",13
"837",4
"838",1
"839",15
"840",14
"841",12
"842",9
"843",15
"844",15
"845",2
"846",9
"847",1
"848",16
"849",13
"850",5
"851",15
"852",15
"853",9
"854",1
"855",8
"856",11
"857",6
"858",15
"859",13
"860",15
"861",11
"862",14
"863",13
"864",8
"865",15
"866",15
"867",1
"868",8
"869",8
"870",7
"871",6
"872",4
"873",9
"874",15
"875",8
"876",14
"877",13
"878",13
"879",15
"880",9
"881",4
"882",5
"883",8
"884",7
"885",14
"886",13
"887",1
"888",4
"889",12
"890",13
"891",15
"892",13
"893",7
"894",11
"895",12
"896",11
"897",6
"898",4
"899",15
"900",4
"901",2
"902",11
"903",4
"904",8
"905",3
"906",9
"907",15
"908",13
"909",14
"910",9
"911",11
"912",15
"913",15
"914",16
"915",14
"916",10
"917",13
"918",14
"919",4
"920",15
"921",9
"922",16
"923",15
"924",3
"925",4
"926",16
"927",11
"928",15
"929",9
"930",15
"931",14
"932",15
"933",6
"934",13
"935",1
"936",1
"937",13
"938",1
"939",16
"940",15
"941",15
"942",13
"943",7
"944",9
"945",3
"946",16
"947",2
"948",5
"949",3
"950",13
"951",8
"952",15
"953",8
"954",15
"955",15
"956",5
"957",15
"958",5
"959",7
"960",16
"961",4
"962",11
"963",11
"964",8
"965",9
"966",15
"967",15
"968",7
"969",12
"970",2
"971",8
"972",7
"973",9
"974",3
"975",15
"976",2
"977",8
"978",1
"979",14
"980",11
"981",11
"982",15
"983",7
"984",9
"985",11
"986",8
"987",7
"988",3
"989",3
"990",9
"991",8
"992",9
"993",4
"994",1
"995",14
"996",2
"997",3
"998",15
"999",6
"1000",3
"1001",16
"1002",15
"1003",4
"1004",15
"1005",15
"1006",13
"1007",1
"1008",12
"1009",6
"1010",6
"1011",11
"1012",8
"1013",9
"1014",5
"1015",9
"1016",5
"1017",13
"1018",6
"1019",16
"1020",11
"1021",9
"1022",7
"1023",1
"1024",3
"1025",13
"1026",6
"1027",8
"1028",9
"1029",16
"1030",8
"1031",13
"1032",10
"1033",3
"1034",14
"1035",11
"1036",16
"1037",4
"1038",8
"1039",5
"1040",9
"1041",10
"1042",16
"1043",13
"1044",14
"1045",13
"1046",13
"1047",12
"1048",2
"1049",15
"1050",7
"1051",6
"1052",12
"1053",12
"1054",6
"1055",13
"1056",2
"1057",13
"1058",16
"1059",16
"1060",11
"1061",2
"1062",13
"1063",14
"1064",9
"1065",16
"1066",9
"1067",4
"1068",15
"1069",9
"1070",15
"1071",7
"1072",16
"1073",11
"1074",15
"1075",13
"1076",6
"1077",6
"1078",13
"1079",16
"1080",16
"1081",15
"1082",9
"1083",13
"1084",5
"1085",8
"1086",16
"1087",13
"1088",16
"1089",14
"1090",13
"1091",15
"1092",11
"1093",11
"1094",8
"1095",2
"1096",6
"1097",15
"1098",13
"1099",9
"1100",5
"1101",3
"1102",16
"1103",12
"1104",13
"1105",13
"1106",2
"1107",9
"1108",6
"1109",6
"1110",6
"1111",14
"1112",16
"1113",11
"1114",8
"1115",15
"1116",15
"1117",2
"1118",16
"1119",16
"1120",11
"1121",7
"1122",11
"1123",11
"1124",13
"1125",13
"1126",12
"1127",16
"1128",11
"1129",11
"1130",6
"1131",2
"1132",7
"1133",12
"1134",11
"1135",12
"1136",8
"1137",12
"1138",9
"1139",11
"1140",7
"1141",5
"1142",3
"1143",8
"1144",6
"1145",4
"1146",13
"1147",16
"1148",16
"1149",8
"1150",9
"1151",1
"1152",13
"1153",3
"1154",12
"1155",14
"1156",16
"1157",2
"1158",9
"1159",10
"1160",16
"1161",13
"1162",15
"1163",13
"1164",5
"1165",5
"1166",15
"1167",16
"1168",16
"1169",2
"1170",14
"1171",16
"1172",1
"1173",1
"1174",2
"1175",8
"1176",15
"1177",14
"1178",1
"1179",13
"1180",2
"1181",15
"1182",16
"1183",15
"1184",9
"1185",9
"1186",12
"1187",11
"1188",4
"1189",15
"1190",8
"1191",2
"1192",4
"1193",4
"1194",8
"1195",11
"1196",6
"1197",12
"1198",5
"1199",15
"1200",8
"1201",11
"1202",4
"1203",11
"1204",13
"1205",15
"1206",11
"1207",6
"1208",1
"1209",2
"1210",15
"1211",2
"1212",13
"1213",4
"1214",9
"1215",13
"1216",13
"1217",8
"1218",5
"1219",16
"1220",5
"1221",3
"1222",16
"1223",14
"1224",1
"1225",4
"1226",1
"1227",4
"1228",13
"1229",4
"1230",12
"1231",14
"1232",14
"1233",13
"1234",11
"1235",16
"1236",6
"1237",16
"1238",2
"1239",2
"1240",8
"1241",9
"1242",4
"1243",15
"1244",13
"1245",11
"1246",14
"1247",15
"1248",6
"1249",11
"1250",3
"1251",16
"1252",3
"1253",15
"1254",5
"1255",3
"1256",5
"1257",10
"1258",13
"1259",13
"1260",15
"1261",15
"1262",6
"1263",16
"1264",5
"1265",7
"1266",6
"1267",15
"1268",8
"1269",15
"1270",8
"1271",2
"1272",6
"1273",2
"1274",2
"1275",4
"1276",12
"1277",7
"1278",14
"1279",2
"1280",6
"1281",9
"1282",11
"1283",8
"1284",12
"1285",8
"1286",4
"1287",12
"1288",14
"1289",13
"1290",11
"1291",9
"1292",8
"1293",14
"1294",15
"1295",12
"1296",2
"1297",10
"1298",12
"1299",15
"1300",15
"1301",6
"1302",12
"1303",11
"1304",8
"1305",6
"1306",9
"1307",3
"1308",11
"1309",15
"1310",15
"1311",8
"1312",5
"1313",14
"1314",13
"1315",16
"1316",13
"1317",7
"1318",6
"1319",9
"1320",2
"1321",8
"1322",13
"1323",6
"1324",11
"1325",12
"1326",16
"1327",14
"1328",2
"1329",9
"1330",15
"1331",9
"1332",9
"1333",15
"1334",2
"1335",2
"1336",9
"1337",13
"1338",9
