"","x"
"1",0.648113916613008
"2",0.739644312904837
"3",14
"4",14
"5",9
"6",7
"7",3
"8",6
"9",10
"10",15
"11",9
"12",11
"13",13
"14",5
"15",14
"16",8
"17",10
"18",2
"19",15
"20",15
"21",15
"22",3
"23",9
"24",4
"25",9
"26",4
"27",8
"28",11
"29",10
"30",5
"31",9
"32",14
"33",3
"34",16
"35",15
"36",6
"37",4
"38",16
"39",11
"40",2
"41",12
"42",11
"43",15
"44",10
"45",10
"46",6
"47",4
"48",3
"49",10
"50",5
"51",15
"52",14
"53",15
"54",15
"55",15
"56",14
"57",15
"58",14
"59",13
"60",15
"61",1
"62",15
"63",6
"64",2
"65",12
"66",6
"67",3
"68",14
"69",3
"70",3
"71",15
"72",4
"73",8
"74",15
"75",10
"76",12
"77",2
"78",3
"79",3
"80",6
"81",15
"82",6
"83",3
"84",13
"85",16
"86",12
"87",7
"88",6
"89",4
"90",15
"91",14
"92",4
"93",16
"94",15
"95",15
"96",3
"97",5
"98",8
"99",9
"100",11
"101",7
"102",10
"103",12
"104",8
"105",7
"106",15
"107",6
"108",2
"109",12
"110",4
"111",7
"112",9
"113",8
"114",10
"115",13
"116",15
"117",12
"118",7
"119",6
"120",4
"121",15
"122",8
"123",8
"124",8
"125",3
"126",3
"127",15
"128",7
"129",12
"130",6
"131",9
"132",13
"133",15
"134",15
"135",4
"136",3
"137",12
"138",7
"139",3
"140",7
"141",3
"142",2
"143",2
"144",13
"145",11
"146",5
"147",13
"148",4
"149",6
"150",7
"151",7
"152",15
"153",9
"154",16
"155",13
"156",11
"157",3
"158",2
"159",5
"160",10
"161",7
"162",4
"163",12
"164",13
"165",3
"166",11
"167",13
"168",11
"169",7
"170",4
"171",10
"172",3
"173",8
"174",8
"175",2
"176",12
"177",10
"178",15
"179",12
"180",7
"181",3
"182",13
"183",14
"184",4
"185",16
"186",2
"187",11
"188",6
"189",13
"190",13
"191",14
"192",6
"193",12
"194",3
"195",15
"196",12
"197",2
"198",14
"199",6
"200",9
"201",13
"202",10
"203",15
"204",12
"205",5
"206",8
"207",15
"208",16
"209",10
"210",3
"211",13
"212",8
"213",15
"214",10
"215",15
"216",14
"217",15
"218",2
"219",5
"220",4
"221",3
"222",7
"223",15
"224",3
"225",3
"226",12
"227",14
"228",2
"229",13
"230",10
"231",15
"232",14
"233",9
"234",15
"235",15
"236",12
"237",8
"238",14
"239",8
"240",4
"241",12
"242",10
"243",15
"244",4
"245",6
"246",10
"247",14
"248",4
"249",2
"250",7
"251",7
"252",14
"253",14
"254",12
"255",8
"256",15
"257",13
"258",9
"259",15
"260",11
"261",7
"262",10
"263",15
"264",5
"265",15
"266",6
"267",10
"268",16
"269",15
"270",13
"271",16
"272",12
"273",2
"274",4
"275",3
"276",10
"277",2
"278",4
"279",3
"280",11
"281",2
"282",14
"283",15
"284",15
"285",7
"286",8
"287",9
"288",6
"289",4
"290",12
"291",11
"292",15
"293",11
"294",2
"295",15
"296",2
"297",14
"298",13
"299",2
"300",10
"301",9
"302",9
"303",6
"304",2
"305",12
"306",8
"307",8
"308",2
"309",3
"310",2
"311",14
"312",6
"313",15
"314",5
"315",3
"316",3
"317",3
"318",6
"319",3
"320",10
"321",9
"322",10
"323",13
"324",9
"325",9
"326",12
"327",8
"328",12
"329",10
"330",9
"331",9
"332",5
"333",14
"334",11
"335",8
"336",9
"337",15
"338",8
"339",1
"340",15
"341",10
"342",2
"343",4
"344",3
"345",3
"346",14
"347",3
"348",11
"349",13
"350",12
"351",3
"352",10
"353",7
"354",11
"355",2
"356",11
"357",6
"358",11
"359",16
"360",15
"361",12
"362",7
"363",6
"364",15
"365",4
"366",7
"367",9
"368",2
"369",14
"370",8
"371",4
"372",12
"373",10
"374",7
"375",3
"376",9
"377",8
"378",15
"379",11
"380",8
"381",14
"382",4
"383",8
"384",14
"385",8
"386",15
"387",10
"388",6
"389",8
"390",12
"391",12
"392",6
"393",6
"394",12
