"","x"
"1",0.127347980612246
"2",0.230394946666499
"3",14
"4",14
"5",2
"6",10
"7",10
"8",10
"9",4
"10",4
"11",2
"12",10
"13",10
"14",15
"15",14
"16",10
"17",15
"18",8
"19",10
"20",4
"21",4
"22",10
"23",2
"24",10
"25",2
"26",11
"27",10
"28",4
"29",4
"30",15
"31",2
"32",14
"33",10
"34",15
"35",12
"36",9
"37",10
"38",15
"39",10
"40",4
"41",10
"42",11
"43",2
"44",12
"45",10
"46",4
"47",10
"48",10
"49",15
"50",15
"51",15
"52",14
"53",10
"54",10
"55",9
"56",14
"57",9
"58",14
"59",10
"60",14
"61",4
"62",4
"63",10
"64",4
"65",10
"66",4
"67",9
"68",4
"69",4
"70",12
"71",4
"72",2
"73",4
"74",4
"75",4
"76",10
"77",4
"78",4
"79",8
"80",14
"81",4
"82",4
"83",10
"84",4
"85",15
"86",10
"87",8
"88",4
"89",10
"90",9
"91",14
"92",8
"93",15
"94",10
"95",8
"96",9
"97",15
"98",14
"99",2
"100",11
"101",8
"102",15
"103",10
"104",8
"105",10
"106",4
"107",4
"108",4
"109",4
"110",10
"111",10
"112",11
"113",4
"114",5
"115",2
"116",4
"117",8
"118",8
"119",11
"120",2
"121",4
"122",5
"123",10
"124",4
"125",12
"126",10
"127",4
"128",14
"129",10
"130",4
"131",2
"132",4
"133",10
"134",4
"135",8
"136",14
"137",4
"138",4
"139",10
"140",14
"141",10
"142",10
"143",10
"144",4
"145",8
"146",13
"147",15
"148",2
"149",12
"150",8
"151",10
"152",10
"153",2
"154",15
"155",15
"156",2
"157",4
"158",4
"159",15
"160",8
"161",10
"162",4
"163",4
"164",15
"165",10
"166",4
"167",10
"168",15
"169",4
"170",11
"171",4
"172",9
"173",4
"174",8
"175",10
"176",4
"177",10
"178",4
"179",10
"180",10
"181",10
"182",8
"183",14
"184",10
"185",15
"186",4
"187",11
"188",12
"189",12
"190",5
"191",14
"192",10
"193",10
"194",10
"195",10
"196",10
"197",10
"198",14
"199",12
"200",4
"201",7
"202",15
"203",8
"204",10
"205",15
"206",12
"207",4
"208",15
"209",4
"210",10
"211",9
"212",2
"213",4
"214",8
"215",10
"216",14
"217",10
"218",12
"219",15
"220",10
"221",4
"222",8
"223",8
"224",9
"225",14
"226",8
"227",14
"228",14
"229",4
"230",10
"231",8
"232",14
"233",2
"234",10
"235",10
"236",4
"237",8
"238",14
"239",4
"240",8
"241",12
"242",12
"243",9
"244",11
"245",4
"246",12
"247",14
"248",8
"249",4
"250",14
"251",8
"252",14
"253",14
"254",2
"255",12
"256",4
"257",2
"258",10
"259",10
"260",8
"261",2
"262",15
"263",11
"264",15
"265",12
"266",12
"267",15
"268",15
"269",4
"270",10
"271",15
"272",12
"273",12
"274",10
"275",4
"276",2
"277",7
"278",8
"279",4
"280",4
"281",11
"282",14
"283",16
"284",10
"285",10
"286",14
"287",2
"288",10
"289",14
"290",4
"291",5
"292",4
"293",10
"294",14
"295",4
"296",11
"297",14
"298",9
"299",10
"300",11
"301",2
"302",2
"303",10
"304",10
"305",9
"306",4
"307",4
"308",12
"309",10
"310",10
"311",10
"312",4
"313",12
"314",15
"315",10
"316",10
"317",10
"318",4
"319",10
"320",4
"321",2
"322",10
"323",8
"324",2
"325",2
"326",4
"327",4
"328",10
"329",10
"330",2
"331",2
"332",15
"333",14
"334",2
"335",12
"336",2
"337",10
"338",10
"339",4
"340",4
"341",10
"342",8
"343",9
"344",10
"345",9
"346",14
"347",4
"348",4
"349",10
"350",10
"351",11
"352",15
"353",10
"354",10
"355",10
"356",4
"357",4
"358",4
"359",15
"360",4
"361",10
"362",10
"363",4
"364",14
"365",10
"366",12
"367",2
"368",8
"369",14
"370",14
"371",10
"372",10
"373",14
"374",8
"375",8
"376",10
"377",9
"378",10
"379",10
"380",10
"381",14
"382",10
"383",10
"384",14
"385",4
"386",4
"387",10
"388",2
"389",4
"390",10
"391",12
"392",8
"393",4
"394",9
"395",8
"396",15
"397",9
"398",2
"399",4
"400",11
"401",10
"402",14
"403",2
"404",14
"405",9
"406",4
"407",4
"408",2
"409",2
"410",4
"411",10
"412",9
"413",12
"414",4
"415",14
"416",15
"417",2
"418",4
"419",10
"420",4
"421",4
"422",10
"423",15
"424",2
"425",8
"426",15
"427",9
"428",8
"429",4
"430",10
"431",14
"432",10
"433",15
"434",4
"435",4
"436",10
"437",10
"438",4
"439",10
"440",12
"441",9
"442",4
"443",14
"444",14
"445",4
"446",12
"447",2
"448",12
"449",7
"450",13
"451",4
"452",10
"453",10
"454",2
"455",10
"456",10
"457",4
"458",10
"459",15
"460",10
"461",14
"462",8
"463",8
"464",15
"465",10
"466",15
"467",2
"468",8
"469",8
"470",14
"471",8
"472",10
"473",14
"474",13
"475",2
"476",14
"477",10
"478",9
"479",4
"480",4
"481",10
"482",4
"483",4
"484",7
"485",4
"486",4
"487",11
"488",4
"489",10
"490",13
"491",11
"492",14
"493",12
"494",4
"495",9
"496",7
"497",4
"498",10
"499",4
"500",8
"501",10
"502",8
"503",2
"504",10
"505",14
"506",4
"507",4
"508",4
"509",10
"510",10
"511",12
"512",8
"513",10
"514",10
"515",10
"516",10
"517",12
"518",10
"519",15
"520",10
"521",14
"522",10
"523",10
"524",10
"525",13
"526",12
"527",12
"528",4
"529",10
"530",10
"531",10
"532",2
"533",4
"534",4
"535",10
"536",10
"537",12
"538",12
"539",10
"540",8
"541",11
"542",4
"543",12
"544",4
"545",10
"546",15
"547",4
"548",4
"549",8
"550",2
"551",10
"552",10
"553",4
"554",15
"555",11
"556",10
"557",4
"558",15
"559",4
"560",4
"561",14
"562",10
"563",10
"564",14
"565",8
"566",15
"567",15
"568",12
"569",4
"570",12
"571",10
"572",10
"573",10
"574",14
"575",11
"576",10
"577",10
"578",4
"579",4
"580",10
"581",4
"582",10
"583",10
"584",9
"585",2
"586",4
"587",12
"588",15
"589",14
"590",10
"591",12
"592",4
"593",10
"594",8
"595",10
"596",4
"597",8
"598",15
"599",10
"600",14
"601",10
"602",8
"603",8
"604",4
"605",10
"606",10
"607",10
"608",15
"609",14
"610",2
"611",10
"612",10
"613",10
"614",14
"615",2
"616",10
"617",4
"618",4
"619",8
"620",4
"621",8
"622",14
"623",10
"624",4
"625",10
"626",10
"627",14
"628",15
"629",4
"630",10
"631",10
"632",10
"633",4
"634",4
"635",14
"636",10
"637",8
"638",2
"639",14
"640",15
"641",10
"642",10
"643",10
"644",15
"645",4
"646",10
"647",4
"648",4
"649",10
"650",8
"651",4
"652",2
"653",14
"654",4
"655",4
"656",7
"657",15
"658",4
"659",2
"660",9
"661",10
"662",4
"663",10
"664",4
"665",15
"666",15
"667",10
"668",10
"669",10
"670",14
"671",10
"672",15
"673",4
"674",10
"675",14
"676",4
"677",12
"678",12
"679",4
"680",4
"681",12
"682",4
"683",11
"684",14
"685",10
"686",12
"687",10
"688",4
"689",4
"690",4
"691",8
"692",10
"693",10
"694",4
"695",14
"696",10
"697",2
"698",9
"699",15
"700",9
"701",10
"702",9
"703",4
"704",13
"705",15
"706",4
"707",10
"708",12
"709",15
"710",4
"711",4
"712",10
"713",2
"714",15
"715",15
"716",10
"717",14
"718",14
"719",4
"720",4
"721",8
"722",15
"723",12
"724",10
"725",4
"726",10
"727",14
"728",4
"729",15
"730",4
"731",8
"732",10
"733",10
"734",14
"735",10
"736",8
"737",2
"738",4
"739",14
"740",15
"741",15
"742",10
"743",12
"744",15
"745",15
"746",10
"747",4
"748",4
"749",9
"750",4
"751",13
"752",14
"753",4
"754",10
"755",2
"756",4
"757",10
"758",8
"759",10
"760",14
"761",4
"762",14
"763",4
"764",15
"765",2
"766",14
"767",10
"768",10
