"","x"
"1",0.202165616394574
"2",0.286918019743514
"3",1
"4",1
"5",2
"6",3
"7",2
"8",3
"9",3
"10",4
"11",5
"12",6
"13",7
"14",7
"15",1
"16",3
"17",6
"18",2
"19",6
"20",1
"21",1
"22",7
"23",8
"24",4
"25",4
"26",4
"27",3
"28",3
"29",5
"30",5
"31",7
"32",3
"33",2
"34",5
"35",1
"36",7
"37",4
"38",5
"39",2
"40",4
"41",2
"42",6
"43",1
"44",3
"45",3
"46",4
"47",2
"48",3
"49",8
"50",5
"51",6
"52",1
"53",1
"54",6
"55",6
"56",1
"57",2
"58",7
"59",8
"60",6
"61",8
"62",6
"63",3
"64",3
"65",5
"66",7
"67",3
"68",1
"69",4
"70",7
"71",3
"72",4
"73",2
"74",1
"75",4
"76",3
"77",4
"78",4
"79",3
"80",3
"81",3
"82",5
"83",4
"84",4
"85",2
"86",5
"87",6
"88",7
"89",3
"90",6
"91",4
"92",4
"93",5
"94",6
"95",1
"96",7
"97",7
"98",4
"99",8
"100",6
"101",3
"102",5
"103",1
"104",4
"105",3
"106",1
"107",4
"108",4
"109",3
"110",3
"111",3
"112",7
"113",4
"114",7
"115",3
"116",6
"117",7
"118",2
"119",5
"120",3
"121",2
"122",4
"123",7
"124",4
"125",4
"126",8
"127",1
"128",7
"129",5
"130",3
"131",4
"132",3
"133",6
"134",6
"135",4
"136",1
"137",2
"138",6
"139",4
"140",6
"141",8
"142",4
"143",2
"144",7
"145",6
"146",3
"147",3
"148",6
"149",3
"150",2
"151",3
"152",6
"153",3
"154",5
"155",6
"156",6
"157",7
"158",3
"159",8
"160",4
"161",3
"162",2
"163",7
"164",4
"165",1
"166",6
"167",2
"168",4
"169",8
"170",4
"171",3
"172",3
"173",6
"174",4
"175",7
"176",4
"177",3
"178",1
"179",5
"180",2
"181",2
"182",3
"183",1
"184",2
"185",3
"186",7
"187",6
"188",1
"189",5
"190",3
"191",1
"192",6
"193",3
"194",4
"195",6
"196",7
"197",2
"198",1
"199",3
"200",4
"201",2
"202",6
"203",4
"204",2
"205",3
"206",3
"207",1
"208",3
"209",7
"210",4
"211",3
"212",2
"213",1
"214",3
"215",6
"216",1
"217",8
"218",4
"219",3
"220",3
"221",7
