"","x"
"1",0.233425849005606
"2",0.519371056797899
"3",13
"4",13
"5",4
"6",14
"7",13
"8",13
"9",2
"10",13
"11",4
"12",15
"13",13
"14",5
"15",13
"16",13
"17",2
"18",12
"19",13
"20",13
"21",1
"22",3
"23",4
"24",9
"25",16
"26",3
"27",13
"28",15
"29",2
"30",5
"31",16
"32",13
"33",11
"34",5
"35",13
"36",8
"37",3
"38",6
"39",15
"40",9
"41",14
"42",15
"43",13
"44",13
"45",2
"46",2
"47",13
"48",13
"49",2
"50",5
"51",13
"52",13
"53",13
"54",13
"55",13
"56",13
"57",13
"58",13
"59",11
"60",13
"61",2
"62",13
"63",4
"64",12
"65",11
"66",8
"67",13
"68",13
"69",10
"70",13
"71",13
"72",3
"73",13
"74",13
"75",13
"76",13
"77",12
"78",13
"79",7
"80",2
"81",13
"82",9
"83",13
"84",13
"85",6
"86",11
"87",1
"88",13
"89",3
"90",13
"91",13
"92",3
"93",6
"94",13
"95",13
"96",13
"97",5
"98",13
"99",4
"100",15
"101",1
"102",2
"103",13
"104",10
"105",1
"106",13
"107",9
"108",12
"109",11
"110",3
"111",1
"112",4
"113",13
"114",2
"115",13
"116",13
"117",11
"118",1
"119",5
"120",3
"121",13
"122",13
"123",13
"124",13
"125",13
"126",13
"127",12
"128",1
"129",13
"130",9
"131",16
"132",13
"133",13
"134",13
"135",3
"136",13
"137",13
"138",1
"139",13
"140",1
"141",13
"142",12
"143",12
"144",13
"145",15
"146",5
"147",13
"148",3
"149",8
"150",1
"151",9
"152",13
"153",16
"154",5
"155",13
"156",14
"157",13
"158",13
"159",5
"160",2
"161",1
"162",3
"163",13
"164",13
"165",13
"166",15
"167",13
"168",15
"169",1
"170",3
"171",2
"172",1
"173",13
"174",13
"175",13
"176",13
"177",2
"178",9
"179",11
"180",12
"181",13
"182",13
"183",1
"184",3
"185",6
"186",12
"187",15
"188",13
"189",13
"190",1
"191",13
"192",2
"193",11
"194",11
"195",13
"196",11
"197",12
"198",13
"199",8
"200",16
"201",13
"202",2
"203",13
"204",13
"205",5
"206",13
"207",13
"208",6
"209",2
"210",8
"211",13
"212",13
"213",13
"214",2
"215",13
"216",13
"217",13
"218",12
"219",4
"220",3
"221",13
"222",1
"223",1
"224",13
"225",12
"226",11
"227",13
"228",12
"229",13
"230",3
"231",13
"232",13
"233",4
"234",13
"235",2
"236",11
"237",13
"238",13
"239",13
"240",3
"241",11
"242",11
"243",13
"244",3
"245",9
"246",3
"247",1
"248",3
"249",12
"250",1
"251",1
"252",13
"253",13
"254",11
"255",2
"256",13
"257",13
"258",13
"259",13
"260",15
"261",2
"262",2
"263",13
"264",5
"265",11
"266",9
"267",2
"268",5
"269",13
"270",13
"271",6
"272",11
"273",12
"274",3
"275",13
"276",2
"277",12
"278",3
"279",9
"280",13
"281",12
"282",13
"283",13
"284",13
"285",1
"286",13
"287",4
"288",8
"289",3
"290",11
"291",15
"292",13
"293",15
"294",12
"295",13
"296",12
"297",13
"298",13
"299",12
"300",2
"301",4
"302",16
"303",8
"304",12
"305",11
"306",13
"307",13
"308",11
"309",13
"310",12
"311",11
"312",4
"313",13
"314",5
"315",13
"316",13
"317",13
"318",1
"319",9
"320",2
"321",16
"322",2
"323",13
"324",4
"325",16
"326",11
"327",13
"328",11
"329",2
"330",8
"331",4
"332",5
"333",13
"334",15
"335",13
"336",16
"337",13
"338",13
"339",13
"340",13
"341",2
"342",12
"343",3
"344",13
"345",9
"346",13
"347",11
"348",15
"349",12
"350",11
"351",13
"352",2
"353",1
"354",15
"355",12
"356",15
"357",8
"358",15
"359",6
"360",13
"361",11
"362",1
"363",8
"364",13
"365",3
"366",1
"367",4
"368",12
"369",13
"370",13
"371",13
"372",11
"373",2
"374",2
"375",13
"376",13
"377",9
"378",13
"379",15
"380",13
"381",10
"382",3
"383",13
"384",13
"385",13
"386",13
"387",1
"388",4
"389",13
"390",3
"391",11
"392",8
"393",8
"394",13
"395",9
"396",8
"397",2
"398",4
"399",15
"400",13
"401",3
"402",13
"403",16
"404",8
"405",13
"406",13
"407",2
"408",16
"409",3
"410",13
"411",13
"412",13
"413",15
"414",12
"415",13
"416",5
"417",15
"418",11
"419",1
"420",3
"421",12
"422",2
"423",5
"424",4
"425",3
"426",6
"427",13
"428",11
"429",13
"430",11
"431",1
"432",8
"433",6
"434",13
"435",1
"436",15
"437",15
"438",11
"439",10
"440",11
"441",13
"442",1
"443",13
"444",13
"445",4
"446",12
"447",4
"448",2
"449",2
"450",13
"451",2
"452",13
"453",13
"454",16
"455",3
"456",2
"457",13
"458",13
"459",6
"460",12
"461",13
"462",13
"463",12
"464",6
"465",3
"466",5
"467",8
"468",9
"469",1
"470",13
"471",13
"472",13
"473",13
"474",13
"475",13
"476",13
"477",2
"478",11
"479",2
"480",10
"481",15
"482",11
"483",13
"484",13
"485",11
"486",11
"487",1
"488",13
"489",1
"490",11
"491",12
"492",13
"493",13
"494",13
"495",13
"496",13
"497",13
"498",4
"499",5
"500",1
"501",11
"502",10
"503",13
"504",8
"505",13
"506",12
"507",13
"508",13
"509",2
"510",13
"511",3
"512",13
"513",13
"514",13
"515",1
"516",2
"517",10
"518",1
"519",13
"520",11
"521",13
"522",11
"523",9
"524",3
"525",9
"526",3
"527",13
"528",13
"529",13
"530",11
"531",2
"532",1
"533",9
"534",1
"535",2
"536",3
"537",13
"538",13
"539",3
"540",13
"541",13
"542",2
"543",3
"544",12
"545",12
"546",6
"547",12
"548",13
"549",11
"550",4
"551",2
"552",2
"553",13
"554",5
"555",13
"556",14
"557",16
"558",5
"559",3
"560",13
"561",1
"562",13
"563",8
"564",13
"565",12
"566",5
"567",6
"568",9
"569",15
"570",4
