"","x"
"1",0.0905125341659606
"2",0.11944547791332
"3",1
"4",2
"5",3
"6",1
"7",3
"8",3
"9",3
"10",2
"11",2
"12",4
"13",2
"14",2
"15",4
"16",1
"17",3
"18",4
"19",3
"20",1
"21",3
"22",4
"23",4
"24",3
"25",2
"26",4
"27",4
"28",3
"29",3
"30",3
"31",2
"32",4
"33",1
"34",4
"35",1
"36",1
"37",2
"38",3
"39",4
"40",3
"41",4
"42",3
"43",3
"44",3
"45",3
"46",3
"47",2
"48",1
"49",3
"50",3
"51",4
"52",3
"53",1
"54",4
"55",3
"56",3
"57",2
"58",4
"59",1
"60",4
"61",4
"62",4
"63",4
"64",4
"65",1
"66",3
"67",1
"68",1
"69",1
"70",3
"71",3
"72",3
"73",2
"74",1
"75",4
"76",3
"77",2
"78",4
"79",1
"80",3
"81",3
"82",4
"83",1
"84",3
"85",1
"86",2
"87",3
"88",2
"89",2
"90",3
"91",4
"92",2
"93",3
"94",3
"95",3
"96",1
"97",3
"98",1
"99",2
"100",3
"101",3
"102",4
"103",4
"104",2
"105",1
"106",3
"107",4
"108",1
"109",3
"110",3
"111",2
"112",2
"113",3
"114",1
"115",1
"116",3
"117",3
"118",4
"119",3
"120",4
"121",3
"122",2
"123",4
"124",1
"125",2
"126",4
"127",1
"128",3
"129",3
"130",3
"131",2
"132",3
"133",4
"134",3
"135",2
"136",2
"137",2
"138",3
"139",1
"140",3
"141",1
"142",2
"143",3
"144",3
"145",3
"146",3
"147",4
"148",3
"149",1
"150",4
"151",1
"152",1
"153",4
"154",1
"155",3
"156",1
"157",3
"158",3
"159",3
"160",4
"161",3
"162",2
"163",3
"164",3
"165",4
"166",3
"167",3
"168",3
"169",4
"170",3
"171",3
"172",3
"173",3
"174",1
"175",2
"176",3
"177",3
"178",1
"179",1
"180",4
"181",4
"182",4
"183",2
"184",2
"185",3
"186",3
"187",3
"188",3
"189",3
"190",3
"191",3
"192",3
"193",3
"194",3
"195",1
"196",3
"197",2
"198",1
"199",3
"200",2
"201",1
"202",3
"203",3
"204",3
"205",3
"206",4
"207",1
"208",4
"209",3
"210",4
"211",4
"212",1
"213",3
"214",1
"215",4
"216",4
"217",2
"218",2
"219",3
"220",2
"221",4
"222",4
"223",4
"224",4
"225",1
"226",3
"227",4
"228",2
"229",3
"230",3
"231",1
"232",1
"233",3
"234",4
"235",3
"236",3
"237",4
"238",4
"239",1
"240",2
"241",3
"242",3
"243",3
"244",2
"245",1
"246",3
"247",1
"248",4
"249",3
"250",3
"251",3
"252",3
"253",3
"254",1
"255",4
"256",3
"257",1
"258",3
"259",3
"260",4
"261",2
"262",1
"263",4
"264",3
"265",4
"266",3
"267",3
"268",3
"269",4
"270",3
"271",1
"272",2
"273",3
"274",2
"275",3
"276",1
"277",4
"278",4
"279",4
"280",3
"281",2
"282",3
"283",4
"284",4
"285",3
"286",1
"287",1
"288",3
"289",3
"290",3
"291",3
"292",1
"293",4
"294",3
"295",2
"296",4
"297",4
"298",1
"299",4
"300",1
"301",4
"302",4
"303",3
"304",4
"305",3
"306",2
"307",3
"308",3
"309",1
"310",2
"311",2
"312",3
"313",3
"314",3
"315",1
"316",2
"317",3
"318",2
"319",3
"320",3
"321",2
"322",3
"323",3
"324",4
"325",3
"326",3
"327",3
"328",3
"329",4
"330",2
"331",1
"332",3
"333",1
"334",4
"335",2
"336",4
"337",1
"338",1
"339",3
"340",4
"341",3
"342",4
"343",2
"344",4
"345",4
"346",3
"347",3
"348",3
"349",2
"350",4
"351",2
"352",3
"353",3
"354",4
"355",3
"356",3
"357",1
"358",3
"359",3
"360",1
"361",3
"362",1
"363",2
"364",4
"365",2
"366",3
"367",3
"368",4
"369",4
"370",3
"371",3
"372",3
"373",3
"374",4
"375",2
"376",1
"377",2
"378",4
"379",4
"380",1
"381",4
"382",2
"383",1
"384",1
"385",3
"386",3
"387",1
"388",3
"389",3
"390",4
"391",1
"392",2
"393",3
"394",1
"395",1
"396",4
"397",3
"398",2
"399",3
"400",4
"401",4
"402",4
"403",2
"404",1
"405",3
"406",1
"407",3
"408",2
"409",2
"410",3
"411",3
"412",3
"413",1
"414",2
"415",3
"416",3
"417",3
"418",3
"419",2
"420",3
"421",3
"422",1
"423",3
"424",2
"425",2
"426",4
"427",4
"428",1
"429",3
"430",3
"431",3
"432",3
"433",3
"434",3
"435",1
"436",3
"437",1
"438",2
"439",3
"440",3
"441",1
"442",3
"443",4
"444",4
"445",2
"446",2
"447",2
"448",3
"449",2
"450",4
"451",2
"452",3
"453",1
"454",2
"455",2
"456",3
"457",1
"458",2
"459",3
"460",2
"461",3
"462",2
"463",4
"464",4
"465",2
"466",2
"467",2
"468",1
"469",4
"470",3
"471",1
"472",3
"473",3
"474",3
"475",2
"476",1
"477",3
"478",3
"479",3
"480",2
"481",4
"482",3
"483",4
"484",1
"485",3
"486",3
"487",4
"488",1
"489",3
"490",3
"491",1
"492",3
"493",3
"494",1
"495",4
"496",3
"497",3
"498",2
"499",1
"500",4
"501",3
"502",1
"503",3
"504",4
"505",3
"506",2
"507",4
"508",4
"509",3
"510",4
"511",2
"512",2
"513",1
"514",1
"515",4
"516",3
"517",3
"518",3
"519",3
"520",3
"521",2
"522",3
"523",3
"524",3
"525",2
"526",2
"527",3
"528",3
"529",4
"530",3
"531",3
"532",2
"533",2
"534",3
"535",3
"536",3
"537",3
"538",1
"539",3
"540",2
"541",3
"542",4
"543",4
"544",4
"545",4
"546",3
"547",3
"548",3
"549",1
"550",3
"551",2
"552",2
"553",3
"554",1
"555",4
"556",3
"557",4
"558",1
"559",2
"560",2
"561",4
"562",1
"563",3
"564",3
"565",3
"566",1
"567",3
"568",1
"569",3
"570",3
"571",3
"572",2
"573",4
"574",1
"575",2
"576",4
"577",3
"578",3
"579",2
"580",3
"581",4
"582",4
"583",3
"584",4
"585",3
"586",2
"587",1
"588",1
"589",2
"590",3
"591",3
"592",1
"593",2
"594",1
"595",2
"596",3
"597",1
"598",3
"599",2
"600",1
"601",3
"602",4
"603",3
"604",3
"605",4
"606",4
"607",3
"608",1
"609",3
"610",4
"611",2
"612",1
"613",1
"614",1
"615",2
"616",3
"617",1
"618",4
"619",4
"620",4
"621",2
"622",2
"623",1
"624",3
"625",4
"626",4
"627",4
"628",1
"629",1
"630",1
"631",3
"632",3
"633",2
"634",3
"635",1
"636",3
"637",4
"638",1
"639",1
"640",3
"641",1
"642",1
"643",3
"644",3
"645",3
"646",3
"647",2
"648",3
"649",4
"650",3
"651",3
"652",1
"653",1
"654",3
"655",2
"656",3
"657",3
"658",3
"659",3
"660",4
"661",4
"662",1
"663",3
"664",3
"665",3
"666",1
"667",2
"668",2
"669",3
"670",3
"671",4
"672",3
"673",4
"674",3
"675",1
"676",4
"677",4
"678",3
"679",3
"680",3
"681",3
"682",4
"683",3
"684",1
"685",4
"686",3
"687",2
"688",4
"689",4
"690",1
"691",4
"692",3
"693",1
"694",3
"695",1
"696",3
"697",2
"698",3
"699",3
"700",1
"701",1
"702",1
"703",4
"704",3
"705",3
"706",3
"707",1
"708",1
"709",1
"710",2
"711",3
"712",3
"713",2
"714",3
"715",1
"716",4
"717",3
"718",1
"719",3
"720",1
"721",1
"722",2
"723",4
"724",3
"725",3
"726",2
"727",4
"728",3
"729",3
"730",3
"731",2
"732",4
"733",1
"734",3
"735",3
"736",3
"737",2
"738",2
"739",3
"740",3
"741",3
"742",2
"743",2
"744",1
"745",1
"746",2
"747",1
"748",3
"749",3
"750",1
"751",3
"752",2
"753",3
"754",4
"755",2
"756",3
"757",2
"758",4
"759",2
"760",4
"761",1
"762",1
"763",2
"764",3
"765",3
"766",1
"767",3
"768",3
"769",4
"770",3
"771",3
"772",3
"773",3
"774",1
"775",3
"776",3
"777",1
"778",3
"779",3
"780",2
"781",1
"782",1
"783",4
"784",4
"785",3
"786",1
"787",1
"788",2
"789",3
"790",3
"791",4
"792",4
"793",1
"794",4
"795",3
"796",4
"797",3
"798",4
"799",3
"800",2
"801",4
"802",3
"803",3
"804",3
"805",1
"806",2
"807",1
"808",3
"809",3
"810",1
"811",4
"812",3
"813",3
"814",3
"815",1
"816",3
"817",4
"818",3
"819",3
"820",4
"821",2
"822",4
"823",1
"824",1
"825",3
"826",3
"827",3
"828",3
"829",3
"830",1
"831",3
"832",3
"833",4
"834",4
"835",3
"836",2
"837",3
"838",1
"839",3
"840",3
"841",3
"842",2
"843",2
"844",2
"845",3
"846",3
"847",2
"848",3
"849",3
"850",3
"851",3
"852",2
"853",2
"854",4
"855",3
"856",1
"857",3
"858",2
"859",2
"860",3
"861",4
"862",3
"863",4
"864",1
"865",3
"866",3
"867",3
"868",4
"869",3
"870",4
"871",3
"872",3
"873",2
"874",4
"875",3
"876",1
"877",2
"878",2
"879",3
"880",3
"881",3
"882",3
"883",3
