"","x"
"1",0.272876807155612
"2",0.445223984728348
"3",8
"4",5
"5",3
"6",8
"7",6
"8",6
"9",6
"10",3
"11",5
"12",4
"13",6
"14",4
"15",6
"16",4
"17",6
"18",1
"19",7
"20",6
"21",6
"22",1
"23",3
"24",1
"25",6
"26",1
"27",6
"28",7
"29",6
"30",4
"31",6
"32",6
"33",6
"34",4
"35",6
"36",4
"37",1
"38",4
"39",7
"40",1
"41",4
"42",4
"43",6
"44",6
"45",3
"46",6
"47",5
"48",6
"49",3
"50",4
"51",7
"52",3
"53",3
"54",7
"55",7
"56",6
"57",6
"58",3
"59",5
"60",7
"61",6
"62",7
"63",6
"64",1
"65",6
"66",2
"67",6
"68",3
"69",6
"70",4
"71",7
"72",1
"73",6
"74",6
"75",6
"76",4
"77",2
"78",6
"79",6
"80",6
"81",6
"82",8
"83",3
"84",6
"85",4
"86",4
"87",8
"88",6
"89",1
"90",7
"91",3
"92",1
"93",4
"94",3
"95",6
"96",6
"97",7
"98",6
"99",6
"100",4
"101",8
"102",6
"103",1
"104",3
"105",8
"106",6
"107",6
"108",1
"109",6
"110",1
"111",8
"112",6
"113",3
"114",6
"115",8
"116",7
"117",4
"118",8
"119",6
"120",6
"121",7
"122",3
"123",6
"124",3
"125",6
"126",6
"127",6
"128",8
"129",6
"130",4
"131",3
"132",8
"133",7
"134",6
"135",5
"136",3
"137",6
"138",7
"139",3
"140",8
"141",4
"142",1
"143",1
"144",5
"145",7
"146",4
"147",8
"148",1
"149",5
"150",8
"151",5
"152",4
"153",8
"154",6
"155",7
"156",4
"157",6
"158",6
"159",6
"160",3
"161",8
"162",1
"163",6
"164",6
"165",6
"166",4
"167",8
"168",4
"169",8
"170",1
"171",6
"172",6
"173",6
"174",3
"175",6
"176",3
"177",6
"178",3
"179",4
"180",5
"181",6
"182",6
"183",3
"184",1
"185",6
"186",1
"187",4
"188",3
"189",5
"190",8
"191",6
"192",6
"193",6
"194",6
"195",7
"196",6
"197",1
"198",5
"199",8
"200",1
"201",8
"202",6
"203",3
"204",4
"205",4
"206",6
"207",3
"208",4
"209",3
"210",3
"211",8
"212",3
"213",3
"214",4
"215",7
"216",3
"217",3
"218",6
"219",4
"220",1
"221",6
"222",8
"223",6
"224",6
"225",6
"226",6
"227",6
"228",1
"229",5
"230",8
"231",3
"232",5
"233",1
"234",3
"235",6
"236",5
"237",6
"238",6
"239",6
"240",1
"241",4
"242",6
"243",4
"244",1
"245",5
"246",1
"247",3
"248",1
"249",1
"250",8
"251",8
"252",3
"253",6
"254",6
"255",6
"256",6
"257",5
"258",6
"259",3
"260",4
"261",4
"262",6
"263",3
"264",6
"265",7
"266",6
"267",6
"268",4
"269",6
"270",5
"271",3
"272",4
"273",1
"274",1
"275",6
"276",8
"277",1
"278",1
"279",6
"280",7
"281",1
"282",3
"283",3
"284",4
"285",8
"286",3
"287",6
"288",1
"289",6
"290",6
"291",7
"292",3
"293",7
"294",1
"295",6
"296",1
"297",6
"298",8
"299",6
"300",6
"301",8
"302",6
"303",6
"304",6
"305",4
"306",6
"307",6
"308",6
"309",6
"310",1
"311",6
"312",6
"313",3
"314",6
"315",4
"316",4
"317",6
"318",8
"319",4
"320",6
"321",6
"322",6
"323",4
"324",6
"325",3
"326",4
"327",6
"328",6
"329",6
"330",6
"331",6
"332",4
"333",3
"334",7
"335",6
"336",8
"337",4
"338",4
"339",6
"340",7
"341",6
"342",6
"343",1
"344",6
"345",2
"346",6
"347",4
"348",4
"349",6
"350",6
"351",6
"352",6
"353",8
"354",7
"355",1
"356",7
"357",3
"358",7
"359",7
"360",7
"361",6
"362",8
"363",8
"364",7
"365",1
"366",8
"367",6
"368",5
"369",6
"370",8
"371",1
"372",4
"373",6
"374",6
"375",3
"376",3
"377",4
"378",7
"379",7
