"","x"
"1",0.0169513203319394
"2",0.0534213856137795
"3",1
"4",2
"5",3
"6",4
"7",5
"8",3
"9",2
"10",1
"11",5
"12",1
"13",6
"14",7
"15",3
"16",8
"17",4
"18",8
"19",9
"20",2
"21",2
"22",1
"23",10
"24",4
"25",11
"26",7
"27",9
"28",8
"29",12
"30",9
"31",8
"32",8
"33",4
"34",12
"35",3
"36",13
"37",6
"38",14
"39",2
"40",3
"41",15
"42",8
"43",3
"44",15
"45",5
"46",8
"47",1
"48",1
"49",3
"50",13
"51",4
"52",16
"53",2
"54",6
"55",6
"56",4
"57",8
"58",4
"59",2
"60",16
"61",4
"62",1
"63",10
"64",7
"65",12
"66",4
"67",4
"68",2
"69",2
"70",7
"71",1
"72",9
"73",9
"74",14
"75",4
"76",7
"77",2
"78",8
"79",13
"80",13
"81",6
"82",4
"83",16
"84",1
"85",1
"86",6
"87",12
"88",10
"89",6
"90",8
"91",11
"92",10
"93",9
"94",7
"95",14
"96",14
"97",3
"98",8
"99",9
"100",14
"101",4
"102",1
"103",3
"104",9
"105",11
"106",1
"107",9
"108",8
"109",16
"110",8
"111",15
"112",10
"113",7
"114",7
"115",14
"116",16
"117",15
"118",7
"119",3
"120",15
"121",1
"122",10
"123",9
"124",4
"125",2
"126",2
"127",3
"128",2
"129",4
"130",13
"131",11
"132",1
"133",14
"134",2
"135",4
"136",1
"137",8
"138",5
"139",8
"140",15
"141",15
"142",1
"143",1
"144",3
"145",16
"146",2
"147",1
"148",15
"149",4
"150",2
"151",13
"152",4
"153",5
"154",8
"155",8
"156",4
"157",9
"158",1
"159",15
"160",9
"161",14
"162",3
"163",9
"164",15
"165",15
"166",1
"167",14
"168",10
"169",3
"170",2
"171",15
"172",1
"173",8
"174",12
"175",1
"176",2
"177",6
"178",3
"179",1
"180",8
"181",2
"182",9
"183",15
"184",6
"185",14
"186",9
"187",4
"188",15
"189",9
"190",2
"191",15
"192",12
"193",11
"194",12
"195",16
"196",6
"197",16
"198",1
"199",13
"200",15
"201",16
"202",3
"203",12
"204",16
"205",9
"206",10
"207",4
"208",15
"209",1
"210",13
"211",7
"212",15
"213",7
"214",2
"215",12
"216",10
"217",1
"218",11
"219",5
"220",1
"221",8
"222",11
"223",8
"224",9
"225",1
"226",7
"227",14
"228",8
"229",10
"230",9
"231",2
"232",2
"233",3
"234",9
"235",11
"236",1
"237",9
"238",6
"239",9
"240",8
"241",16
"242",7
"243",1
"244",9
"245",13
"246",4
"247",2
"248",6
"249",1
"250",1
"251",15
"252",15
"253",1
"254",15
"255",7
"256",10
"257",2
"258",11
"259",14
"260",14
"261",1
"262",4
"263",14
"264",3
"265",4
"266",3
"267",6
"268",12
"269",2
"270",1
"271",14
"272",9
"273",15
"274",16
"275",10
"276",4
"277",12
"278",16
"279",4
"280",9
"281",9
"282",14
"283",5
"284",11
"285",2
"286",1
"287",9
"288",13
"289",15
"290",15
"291",9
"292",11
"293",14
"294",9
"295",12
"296",8
"297",13
"298",9
"299",15
"300",1
"301",11
"302",8
"303",13
"304",3
"305",12
"306",2
"307",15
"308",15
"309",8
"310",14
"311",4
"312",4
"313",2
"314",13
"315",6
"316",11
"317",16
"318",13
"319",9
"320",2
"321",11
"322",8
"323",13
"324",5
"325",11
"326",11
"327",1
"328",12
"329",6
"330",10
"331",15
"332",1
"333",7
"334",7
"335",8
