"","x"
"1",0.0131138405021149
"2",0.031708227653194
"3",7
"4",13
"5",9
"6",11
"7",11
"8",12
"9",9
"10",13
"11",13
"12",12
"13",2
"14",7
"15",2
"16",9
"17",11
"18",5
"19",11
"20",9
"21",13
"22",13
"23",9
"24",13
"25",9
"26",13
"27",12
"28",7
"29",12
"30",2
"31",9
"32",5
"33",9
"34",12
"35",14
"36",11
"37",14
"38",11
"39",14
"40",15
"41",12
"42",9
"43",2
"44",14
"45",5
"46",5
"47",12
"48",9
"49",7
"50",9
"51",11
"52",7
"53",13
"54",14
"55",14
"56",2
"57",7
"58",2
"59",12
"60",13
"61",11
"62",2
"63",12
"64",14
"65",9
"66",15
"67",2
"68",11
"69",12
"70",14
"71",12
"72",5
"73",2
"74",11
"75",13
"76",2
"77",9
"78",5
"79",11
"80",6
"81",5
"82",12
"83",12
"84",12
"85",2
"86",11
"87",13
"88",14
"89",13
"90",2
"91",2
"92",11
"93",9
"94",14
"95",5
"96",11
"97",9
"98",13
"99",7
"100",12
"101",11
"102",13
"103",13
"104",12
"105",9
"106",11
"107",11
"108",14
"109",5
"110",14
"111",5
"112",2
"113",12
"114",14
"115",11
"116",12
"117",13
"118",7
"119",7
"120",11
"121",11
"122",6
"123",2
"124",14
"125",14
"126",12
"127",7
"128",2
"129",7
"130",11
"131",9
"132",7
"133",2
"134",14
"135",5
"136",12
"137",14
"138",11
"139",11
"140",12
"141",12
"142",7
"143",11
"144",6
"145",13
"146",11
"147",2
"148",13
"149",2
"150",12
"151",11
"152",14
"153",9
"154",2
"155",12
"156",13
"157",9
"158",14
"159",12
"160",7
"161",9
"162",13
"163",9
"164",15
"165",5
"166",7
"167",14
"168",11
"169",13
"170",11
"171",12
"172",13
"173",2
"174",14
"175",5
"176",5
"177",11
"178",5
"179",11
"180",14
"181",5
"182",14
"183",14
"184",2
"185",2
"186",5
"187",2
"188",12
"189",2
"190",9
"191",2
"192",6
"193",14
"194",2
"195",11
"196",2
"197",12
"198",2
"199",13
"200",13
"201",2
"202",7
"203",13
"204",14
"205",2
"206",14
"207",5
"208",7
"209",11
"210",12
"211",2
"212",14
"213",2
"214",7
"215",5
"216",15
"217",12
"218",2
"219",12
"220",2
"221",12
"222",12
"223",11
"224",13
"225",9
"226",13
"227",15
"228",5
"229",9
"230",2
"231",5
"232",11
"233",13
"234",12
"235",12
"236",6
"237",13
"238",14
"239",9
"240",11
"241",11
"242",5
"243",13
"244",11
"245",5
"246",9
"247",9
"248",2
"249",12
"250",15
"251",12
"252",15
"253",15
"254",11
"255",12
"256",9
"257",14
"258",11
"259",6
"260",13
"261",7
"262",5
"263",11
"264",5
"265",14
"266",9
"267",12
"268",13
"269",14
"270",2
"271",2
"272",14
"273",2
"274",9
"275",5
"276",12
"277",7
"278",5
"279",2
"280",13
"281",12
"282",14
"283",11
"284",11
"285",11
"286",11
"287",9
"288",7
"289",9
"290",11
"291",13
"292",5
"293",13
"294",6
"295",14
"296",2
"297",12
"298",7
"299",11
"300",11
"301",9
"302",2
"303",11
"304",9
"305",7
"306",11
"307",12
"308",14
"309",11
"310",13
"311",11
"312",5
"313",7
"314",6
"315",11
"316",15
"317",9
"318",11
"319",13
"320",5
"321",2
"322",12
"323",6
"324",9
"325",9
"326",12
"327",5
"328",13
"329",7
"330",11
"331",9
"332",9
"333",7
"334",9
"335",13
"336",5
"337",9
"338",12
"339",13
"340",11
"341",12
"342",5
"343",11
"344",5
"345",12
"346",2
"347",12
"348",9
"349",14
"350",14
"351",12
"352",12
"353",2
"354",13
"355",7
"356",2
"357",13
"358",9
"359",7
"360",12
"361",12
"362",5
"363",11
"364",13
"365",5
"366",13
"367",9
"368",14
"369",15
"370",7
"371",11
"372",2
"373",9
"374",5
"375",14
"376",12
"377",6
"378",11
"379",11
"380",13
"381",9
"382",5
"383",2
"384",11
"385",12
"386",2
"387",11
"388",12
"389",11
"390",9
"391",12
"392",7
"393",13
"394",9
"395",13
"396",12
"397",12
"398",11
"399",7
"400",7
"401",2
"402",11
"403",9
"404",14
"405",9
"406",14
"407",12
"408",9
"409",14
"410",5
"411",5
"412",12
"413",5
"414",2
"415",5
"416",12
"417",14
"418",11
"419",13
"420",2
"421",5
"422",9
"423",13
"424",9
"425",5
"426",9
"427",7
"428",11
"429",7
"430",11
"431",11
"432",15
"433",7
"434",5
"435",14
"436",13
"437",7
"438",9
"439",2
"440",12
"441",13
"442",2
"443",2
"444",12
"445",13
"446",14
"447",11
"448",5
"449",12
"450",13
"451",12
"452",9
"453",13
"454",13
"455",7
"456",11
"457",15
"458",9
"459",2
"460",9
"461",7
"462",11
"463",2
"464",12
"465",6
"466",7
"467",12
"468",7
"469",15
"470",12
"471",11
"472",11
"473",2
"474",2
"475",9
"476",5
"477",11
"478",5
"479",7
"480",12
"481",9
"482",14
"483",11
"484",7
"485",12
"486",9
"487",13
"488",9
"489",12
"490",2
"491",14
"492",12
"493",15
"494",2
"495",12
"496",14
"497",5
"498",11
"499",12
"500",14
"501",11
"502",13
"503",14
"504",12
"505",15
"506",13
"507",11
"508",7
"509",13
"510",11
"511",14
"512",2
"513",5
"514",14
"515",15
"516",12
"517",14
"518",7
"519",9
"520",9
"521",12
"522",2
"523",13
"524",7
"525",14
"526",12
"527",5
"528",2
"529",2
"530",11
"531",5
"532",2
"533",14
"534",9
"535",11
"536",9
"537",5
"538",5
"539",5
"540",5
"541",14
"542",13
"543",11
"544",9
"545",12
"546",7
"547",14
"548",7
"549",14
"550",7
"551",11
"552",14
"553",11
"554",2
"555",5
"556",5
"557",9
"558",11
"559",13
"560",12
"561",7
"562",9
"563",2
"564",7
"565",6
"566",2
"567",7
"568",5
"569",13
"570",11
"571",9
"572",13
"573",5
"574",14
"575",9
"576",12
"577",7
"578",13
"579",9
"580",2
"581",12
"582",13
"583",2
"584",5
"585",12
"586",14
"587",14
"588",7
"589",11
"590",13
"591",12
"592",9
"593",11
"594",7
"595",12
"596",9
"597",9
"598",9
"599",11
"600",9
"601",14
"602",2
"603",13
"604",5
"605",12
"606",13
"607",7
"608",12
"609",5
"610",14
"611",7
"612",12
"613",12
"614",5
"615",9
"616",11
"617",15
"618",5
"619",7
"620",5
"621",13
"622",5
"623",11
"624",11
"625",12
"626",9
"627",12
"628",7
"629",6
"630",5
"631",2
"632",12
"633",14
"634",9
"635",13
"636",13
"637",14
"638",13
"639",2
"640",2
"641",2
"642",13
"643",13
"644",12
"645",14
"646",11
"647",14
"648",13
"649",13
"650",7
"651",13
"652",5
"653",11
"654",5
"655",11
"656",13
"657",2
"658",7
"659",12
"660",14
"661",12
"662",14
"663",11
"664",12
"665",2
"666",12
"667",11
"668",12
"669",6
"670",12
"671",14
"672",9
"673",14
"674",12
"675",11
"676",9
"677",11
"678",14
"679",9
"680",11
"681",14
"682",9
"683",9
"684",11
"685",11
"686",11
"687",14
"688",11
"689",11
"690",12
"691",12
"692",5
"693",5
"694",11
"695",11
"696",7
"697",5
"698",9
"699",7
"700",12
"701",12
"702",7
"703",5
"704",13
"705",12
"706",13
"707",13
"708",12
"709",12
"710",9
"711",9
"712",11
"713",2
"714",9
"715",11
"716",15
"717",14
"718",7
"719",5
"720",14
"721",15
"722",14
"723",14
"724",6
"725",13
"726",13
"727",5
"728",5
"729",9
"730",5
"731",9
"732",6
"733",12
