"","x"
"1",0.296441860517173
"2",0.446151668167767
"3",3
"4",8
"5",2
"6",8
"7",6
"8",6
"9",6
"10",3
"11",2
"12",5
"13",5
"14",5
"15",3
"16",5
"17",2
"18",2
"19",7
"20",6
"21",3
"22",1
"23",2
"24",1
"25",6
"26",1
"27",6
"28",7
"29",2
"30",6
"31",2
"32",6
"33",6
"34",6
"35",6
"36",5
"37",1
"38",5
"39",5
"40",1
"41",6
"42",5
"43",3
"44",2
"45",2
"46",8
"47",2
"48",6
"49",2
"50",6
"51",7
"52",3
"53",8
"54",7
"55",7
"56",3
"57",6
"58",8
"59",8
"60",7
"61",2
"62",7
"63",8
"64",1
"65",2
"66",1
"67",6
"68",4
"69",4
"70",4
"71",7
"72",1
"73",6
"74",6
"75",8
"76",5
"77",1
"78",6
"79",2
"80",6
"81",6
"82",8
"83",2
"84",2
"85",6
"86",5
"87",8
"88",4
"89",1
"90",7
"91",3
"92",2
"93",6
"94",6
"95",3
"96",6
"97",5
"98",2
"99",2
"100",5
"101",8
"102",2
"103",2
"104",8
"105",8
"106",8
"107",2
"108",1
"109",6
"110",1
"111",8
"112",2
"113",8
"114",2
"115",8
"116",7
"117",8
"118",8
"119",6
"120",2
"121",5
"122",2
"123",6
"124",6
"125",6
"126",6
"127",3
"128",8
"129",6
"130",5
"131",2
"132",8
"133",7
"134",2
"135",1
"136",3
"137",6
"138",8
"139",2
"140",8
"141",6
"142",1
"143",1
"144",8
"145",5
"146",5
"147",4
"148",2
"149",6
"150",8
"151",8
"152",5
"153",2
"154",6
"155",7
"156",5
"157",2
"158",6
"159",6
"160",6
"161",8
"162",1
"163",2
"164",6
"165",6
"166",5
"167",8
"168",5
"169",4
"170",1
"171",6
"172",6
"173",6
"174",2
"175",8
"176",2
"177",2
"178",3
"179",6
"180",2
"181",6
"182",6
"183",3
"184",8
"185",6
"186",1
"187",5
"188",3
"189",8
"190",4
"191",3
"192",2
"193",6
"194",6
"195",7
"196",6
"197",2
"198",3
"199",8
"200",1
"201",8
"202",2
"203",3
"204",5
"205",6
"206",6
"207",3
"208",6
"209",2
"210",6
"211",8
"212",4
"213",3
"214",6
"215",5
"216",3
"217",3
"218",2
"219",5
"220",4
"221",2
"222",8
"223",6
"224",2
"225",6
"226",6
"227",3
"228",1
"229",8
"230",8
"231",3
"232",4
"233",2
"234",3
"235",2
"236",2
"237",6
"238",3
"239",6
"240",1
"241",6
"242",2
"243",5
"244",1
"245",2
"246",1
"247",3
"248",1
"249",4
"250",8
"251",8
"252",4
"253",6
"254",6
"255",6
"256",3
"257",6
"258",6
"259",3
"260",5
"261",2
"262",6
"263",3
"264",6
"265",7
"266",2
"267",4
"268",5
"269",3
"270",4
"271",2
"272",6
"273",1
"274",1
"275",6
"276",8
"277",2
"278",1
"279",2
"280",7
"281",1
"282",3
"283",3
"284",5
"285",8
"286",2
"287",2
"288",4
"289",2
"290",6
"291",7
"292",6
"293",7
"294",2
"295",6
"296",1
"297",6
"298",8
"299",6
"300",6
"301",8
"302",8
"303",6
"304",1
"305",5
"306",6
"307",2
"308",2
"309",6
"310",2
"311",2
"312",6
"313",3
"314",6
"315",6
"316",5
"317",2
"318",6
"319",6
"320",6
"321",2
"322",6
"323",4
"324",2
"325",2
"326",6
"327",6
"328",6
"329",6
"330",2
"331",6
"332",6
"333",3
"334",5
"335",6
"336",8
"337",5
"338",5
"339",6
"340",7
"341",2
"342",2
"343",1
"344",4
"345",2
"346",3
"347",6
"348",5
"349",2
"350",5
"351",6
"352",6
"353",8
"354",7
"355",1
"356",7
"357",6
"358",7
"359",5
"360",7
"361",6
"362",4
"363",8
"364",7
"365",1
"366",8
"367",6
"368",2
"369",3
"370",8
"371",1
"372",2
"373",6
"374",6
"375",3
"376",3
"377",5
"378",7
"379",5
"380",2
"381",3
"382",1
"383",5
"384",6
"385",5
"386",7
"387",6
"388",6
"389",6
"390",6
"391",6
"392",1
"393",4
"394",2
"395",5
"396",8
"397",1
"398",2
"399",5
"400",7
"401",2
"402",3
"403",2
"404",3
"405",6
"406",6
"407",2
"408",2
"409",1
"410",2
"411",6
"412",6
"413",7
"414",1
"415",3
"416",6
"417",7
"418",6
"419",8
"420",2
"421",1
"422",2
"423",6
"424",2
"425",2
"426",6
"427",8
"428",8
"429",5
"430",5
"431",8
"432",5
"433",6
"434",8
"435",3
"436",5
"437",7
"438",6
"439",2
"440",6
"441",1
"442",2
"443",8
"444",6
"445",5
"446",1
"447",6
"448",6
"449",2
"450",6
"451",6
"452",7
"453",3
"454",6
"455",1
