"","x"
"1",0.31783687200787
"2",0.538173676289941
"3",4
"4",4
"5",1
"6",7
"7",1
"8",1
"9",1
"10",4
"11",3
"12",2
"13",1
"14",2
"15",4
"16",2
"17",3
"18",6
"19",2
"20",3
"21",3
"22",6
"23",1
"24",6
"25",1
"26",6
"27",3
"28",5
"29",3
"30",3
"31",1
"32",3
"33",1
"34",3
"35",4
"36",3
"37",3
"38",3
"39",5
"40",6
"41",3
"42",5
"43",4
"44",1
"45",1
"46",7
"47",3
"48",1
"49",3
"50",1
"51",2
"52",4
"53",3
"54",2
"55",5
"56",4
"57",1
"58",3
"59",7
"60",2
"61",1
"62",2
"63",1
"64",6
"65",1
"66",3
"67",1
"68",4
"69",1
"70",3
"71",5
"72",6
"73",1
"74",3
"75",1
"76",1
"77",6
"78",3
"79",1
"80",1
"81",1
"82",7
"83",3
"84",1
"85",1
"86",2
"87",8
"88",3
"89",6
"90",5
"91",4
"92",6
"93",1
"94",3
"95",4
"96",1
"97",3
"98",1
"99",3
"100",5
"101",7
"102",1
"103",4
"104",3
"105",7
"106",4
"107",3
"108",3
"109",3
"110",6
"111",7
"112",3
"113",3
"114",3
"115",7
"116",5
"117",3
"118",7
"119",1
"120",6
"121",5
"122",3
"123",3
"124",3
"125",1
"126",1
"127",4
"128",8
"129",8
"130",2
"131",3
"132",7
"133",5
"134",3
"135",3
"136",3
"137",1
"138",8
"139",3
"140",8
"141",3
"142",6
"143",6
"144",7
"145",2
"146",2
"147",7
"148",6
"149",3
"150",7
"151",7
"152",2
"153",3
"154",1
"155",2
"156",2
"157",3
"158",1
"159",1
"160",1
"161",7
"162",6
"163",1
"164",1
"165",1
"166",2
"167",8
"168",5
"169",8
"170",6
"171",1
"172",1
"173",1
"174",1
"175",3
"176",1
"177",1
"178",3
"179",1
"180",6
"181",3
"182",1
"183",4
"184",6
"185",1
"186",6
"187",5
"188",4
"189",7
"190",7
"191",4
"192",3
"193",3
"194",3
"195",2
"196",2
"197",6
"198",4
"199",8
"200",6
"201",8
"202",3
"203",4
"204",2
"205",1
"206",1
"207",3
"208",1
"209",3
"210",1
"211",7
"212",1
"213",3
"214",1
"215",2
"216",4
"217",3
"218",6
"219",1
"220",6
"221",3
"222",8
"223",1
"224",1
"225",1
"226",1
"227",4
"228",3
"229",8
"230",7
"231",4
"232",4
"233",3
"234",3
"235",3
"236",1
"237",3
"238",3
"239",1
"240",6
"241",1
"242",1
"243",2
"244",6
"245",6
"246",6
"247",8
"248",6
"249",6
"250",8
"251",7
"252",3
"253",3
"254",1
"255",1
"256",4
"257",1
"258",1
"259",4
"260",5
"261",3
"262",3
"263",3
"264",1
"265",5
"266",3
"267",3
"268",1
"269",4
"270",8
"271",3
"272",1
"273",6
"274",6
"275",6
"276",7
"277",6
"278",6
"279",3
"280",2
"281",6
"282",3
"283",4
"284",5
"285",8
"286",3
"287",3
"288",6
"289",6
"290",1
"291",5
"292",4
"293",2
"294",6
"295",4
"296",6
"297",4
"298",7
"299",8
"300",3
"301",1
"302",3
"303",1
"304",6
"305",2
"306",3
"307",1
"308",2
"309",3
"310",6
"311",1
"312",1
"313",3
"314",1
"315",2
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",3
"324",3
"325",3
"326",1
"327",3
"328",1
"329",1
"330",6
"331",3
"332",1
"333",4
"334",5
"335",3
"336",7
"337",5
"338",3
"339",3
"340",5
"341",3
"342",6
"343",6
"344",3
"345",3
"346",3
"347",1
"348",2
"349",1
"350",1
"351",3
"352",3
"353",8
"354",5
"355",6
"356",2
"357",3
"358",2
"359",3
"360",2
"361",1
"362",7
"363",7
"364",2
"365",6
"366",7
"367",3
"368",6
"369",4
"370",1
"371",6
"372",3
"373",1
"374",1
"375",3
"376",3
"377",3
"378",5
"379",2
"380",3
"381",3
"382",6
"383",3
"384",4
"385",1
"386",5
"387",1
"388",1
"389",1
"390",3
"391",3
"392",6
"393",4
"394",4
"395",2
"396",1
"397",3
"398",1
"399",2
"400",2
"401",6
"402",4
"403",3
"404",4
"405",3
"406",1
"407",3
"408",6
"409",3
"410",3
"411",1
"412",1
"413",2
"414",6
"415",4
"416",1
"417",5
"418",3
"419",8
"420",6
"421",6
"422",1
"423",1
"424",3
"425",6
"426",1
"427",8
"428",1
"429",2
"430",1
"431",7
"432",5
"433",1
"434",8
"435",3
"436",5
"437",5
"438",3
"439",3
"440",5
"441",1
"442",3
"443",8
"444",3
"445",1
"446",6
"447",3
"448",1
"449",1
"450",3
"451",6
"452",2
"453",3
"454",3
"455",6
"456",3
"457",8
"458",1
"459",1
"460",6
"461",4
"462",3
"463",6
"464",2
"465",6
"466",1
"467",1
"468",1
"469",7
"470",4
"471",4
"472",3
"473",4
"474",3
"475",4
"476",3
"477",3
"478",3
"479",1
"480",1
"481",1
"482",3
"483",5
"484",1
"485",3
"486",7
"487",7
"488",1
"489",8
"490",5
"491",6
"492",3
"493",1
"494",3
"495",4
"496",3
"497",7
"498",3
"499",4
"500",8
"501",1
"502",3
"503",2
"504",6
"505",4
"506",1
"507",3
"508",1
"509",1
"510",2
"511",6
"512",1
"513",3
"514",1
"515",8
"516",1
"517",3
"518",7
"519",7
"520",3
"521",4
"522",1
"523",1
"524",6
"525",6
"526",6
"527",8
"528",5
"529",1
"530",3
"531",1
"532",8
"533",6
"534",1
"535",3
"536",4
"537",5
"538",8
"539",3
"540",3
"541",1
