"","x"
"1",0.0327673983552102
"2",0.0925860352545849
"3",2
"4",10
"5",16
"6",13
"7",9
"8",14
"9",9
"10",13
"11",13
"12",7
"13",9
"14",10
"15",14
"16",13
"17",5
"18",14
"19",14
"20",10
"21",5
"22",10
"23",11
"24",4
"25",14
"26",14
"27",11
"28",14
"29",5
"30",10
"31",10
"32",13
"33",16
"34",16
"35",6
"36",13
"37",10
"38",9
"39",6
"40",3
"41",14
"42",16
"43",13
"44",2
"45",14
"46",5
"47",4
"48",13
"49",13
"50",13
"51",11
"52",10
"53",5
"54",15
"55",4
"56",5
"57",10
"58",14
"59",12
"60",14
"61",4
"62",6
"63",5
"64",4
"65",16
"66",14
"67",15
"68",16
"69",9
"70",5
"71",4
"72",10
"73",3
"74",9
"75",10
"76",16
"77",6
"78",13
"79",10
"80",7
"81",5
"82",13
"83",9
"84",10
"85",11
"86",14
"87",9
"88",6
"89",13
"90",5
"91",7
"92",10
"93",5
"94",5
"95",16
"96",3
"97",14
"98",7
"99",4
"100",14
"101",9
"102",5
"103",3
"104",4
"105",13
"106",14
"107",9
"108",11
"109",11
"110",16
"111",9
"112",14
"113",10
"114",6
"115",9
"116",16
"117",11
"118",11
"119",4
"120",13
"121",14
"122",12
"123",5
"124",10
"125",3
"126",14
"127",6
"128",9
"129",14
"130",7
"131",3
"132",6
"133",3
"134",12
"135",7
"136",4
"137",3
"138",5
"139",3
"140",13
"141",7
"142",14
"143",3
"144",7
"145",6
"146",16
"147",15
"148",7
"149",16
"150",9
"151",9
"152",13
"153",5
"154",16
"155",7
"156",6
"157",5
"158",13
"159",16
"160",7
"161",5
"162",3
"163",15
"164",15
"165",5
"166",6
"167",5
"168",4
"169",12
"170",14
"171",14
"172",2
"173",16
"174",14
"175",4
"176",7
"177",13
"178",4
"179",4
"180",13
"181",5
"182",6
"183",5
"184",14
"185",5
"186",6
"187",13
"188",13
"189",7
"190",6
"191",13
"192",3
"193",9
"194",10
"195",4
"196",4
"197",6
"198",14
"199",10
"200",14
"201",6
"202",14
"203",14
"204",11
"205",10
"206",14
"207",5
"208",7
"209",16
"210",11
"211",5
"212",13
"213",14
"214",4
"215",16
"216",7
"217",7
"218",10
"219",9
"220",4
"221",10
"222",9
"223",7
"224",12
"225",11
"226",15
"227",15
"228",16
"229",10
"230",9
"231",3
"232",11
"233",6
"234",3
"235",2
"236",6
"237",16
"238",5
"239",16
"240",6
"241",11
"242",7
"243",10
"244",5
"245",3
"246",14
"247",16
"248",14
"249",16
"250",2
"251",9
"252",16
"253",16
"254",6
"255",5
"256",14
"257",8
"258",8
"259",14
"260",6
"261",13
"262",14
"263",9
"264",4
"265",3
"266",14
"267",7
"268",4
"269",5
"270",11
"271",14
"272",6
"273",13
"274",13
"275",4
"276",15
"277",5
"278",13
"279",16
"280",14
"281",13
"282",13
"283",10
"284",16
"285",9
"286",14
"287",5
"288",14
"289",5
"290",4
"291",14
"292",13
"293",3
"294",14
"295",6
"296",3
"297",4
"298",3
"299",5
"300",5
"301",6
"302",3
"303",2
"304",4
"305",10
"306",10
"307",14
"308",5
"309",13
"310",11
"311",14
"312",5
"313",6
"314",2
"315",3
"316",4
"317",3
"318",14
"319",13
"320",7
"321",13
"322",10
"323",14
"324",13
"325",10
"326",10
"327",16
"328",7
"329",10
"330",4
"331",13
"332",10
"333",4
"334",14
"335",5
"336",16
"337",16
"338",9
"339",4
"340",10
"341",13
"342",16
"343",10
"344",11
"345",4
"346",5
"347",4
"348",15
"349",4
"350",14
"351",10
"352",7
"353",7
"354",4
"355",6
"356",12
"357",14
"358",6
"359",5
"360",11
"361",13
"362",9
"363",5
"364",4
"365",4
"366",9
"367",11
"368",4
"369",13
"370",16
"371",14
"372",14
"373",16
"374",5
"375",10
"376",14
"377",5
"378",14
"379",5
"380",10
"381",5
"382",4
"383",5
"384",16
"385",15
"386",5
"387",16
"388",4
"389",5
"390",4
"391",13
"392",13
"393",14
"394",3
"395",10
"396",16
"397",16
"398",5
"399",13
"400",5
"401",4
"402",11
"403",3
"404",15
"405",16
"406",5
"407",5
"408",5
"409",7
"410",2
"411",2
"412",4
"413",14
"414",5
"415",8
"416",14
"417",4
"418",5
"419",9
"420",7
"421",15
"422",4
"423",13
"424",14
"425",10
"426",10
"427",9
"428",6
"429",10
"430",7
"431",10
"432",3
"433",14
"434",11
"435",12
"436",6
"437",14
"438",1
"439",4
"440",6
"441",8
"442",2
"443",5
"444",14
"445",4
"446",3
"447",4
"448",4
"449",14
"450",4
"451",11
"452",16
"453",4
"454",7
"455",10
"456",12
"457",9
"458",10
"459",5
"460",6
"461",10
"462",13
"463",13
"464",5
"465",4
"466",13
"467",10
"468",2
"469",5
"470",4
"471",2
"472",16
"473",5
"474",16
"475",4
"476",10
"477",11
"478",11
"479",7
"480",13
"481",11
"482",3
"483",5
"484",7
"485",9
"486",3
"487",5
"488",5
"489",13
"490",16
"491",14
"492",16
"493",13
"494",13
"495",4
"496",3
"497",4
"498",7
"499",13
"500",5
"501",3
"502",9
"503",13
"504",5
"505",4
"506",10
"507",3
"508",11
"509",14
"510",3
"511",14
"512",4
"513",5
"514",9
"515",9
"516",6
"517",5
"518",14
"519",13
"520",16
"521",5
"522",13
"523",10
"524",3
"525",5
"526",13
"527",13
"528",14
"529",5
"530",11
"531",5
"532",16
"533",14
"534",13
"535",5
"536",2
"537",14
"538",3
"539",10
"540",14
"541",8
"542",16
"543",10
"544",14
"545",7
"546",14
"547",16
"548",12
"549",5
"550",9
"551",16
"552",14
"553",13
"554",14
"555",13
"556",13
"557",16
"558",6
"559",14
"560",4
"561",9
"562",12
"563",12
"564",5
"565",4
"566",10
"567",4
"568",4
"569",12
"570",14
"571",5
"572",13
"573",14
"574",4
"575",14
"576",14
"577",3
"578",16
"579",13
"580",3
"581",4
"582",5
"583",9
"584",15
"585",14
"586",10
"587",5
"588",7
"589",10
"590",7
"591",5
"592",7
"593",13
"594",11
"595",5
"596",12
"597",16
"598",13
"599",6
"600",10
"601",2
"602",14
"603",3
"604",5
"605",5
"606",3
"607",11
"608",4
"609",13
"610",5
"611",5
"612",7
"613",12
"614",16
"615",4
"616",13
"617",14
"618",14
"619",9
"620",10
"621",14
"622",16
"623",10
"624",14
"625",14
"626",11
"627",10
"628",5
"629",7
"630",16
"631",7
"632",5
"633",3
"634",16
"635",3
"636",5
"637",14
"638",10
"639",4
"640",14
"641",14
"642",13
"643",5
"644",13
"645",9
"646",13
"647",14
"648",5
"649",5
"650",5
"651",9
"652",13
"653",3
"654",5
"655",14
"656",7
"657",5
"658",6
"659",14
"660",11
"661",16
"662",16
"663",9
"664",14
"665",5
"666",14
"667",14
"668",9
"669",5
"670",10
"671",13
"672",6
"673",13
"674",14
"675",4
"676",4
"677",4
"678",11
"679",4
"680",15
"681",9
"682",12
"683",14
"684",16
"685",4
"686",14
"687",10
"688",14
"689",16
"690",6
"691",12
"692",6
"693",2
"694",13
"695",10
"696",5
"697",13
"698",15
"699",9
"700",3
"701",13
"702",10
"703",3
"704",16
"705",5
"706",16
"707",10
"708",10
"709",13
"710",6
"711",12
"712",9
"713",10
"714",13
"715",14
"716",6
"717",14
"718",9
"719",13
"720",4
"721",7
"722",16
"723",5
"724",13
"725",13
"726",9
"727",16
"728",9
"729",16
"730",6
"731",10
"732",11
"733",10
"734",10
"735",10
"736",11
"737",14
"738",5
"739",4
"740",10
"741",11
"742",3
"743",10
"744",4
"745",16
"746",12
"747",10
"748",5
"749",5
"750",3
"751",6
"752",16
"753",5
"754",6
"755",5
"756",12
"757",5
"758",9
"759",10
"760",4
"761",10
"762",14
"763",4
"764",2
"765",4
"766",13
"767",5
"768",16
"769",14
"770",13
"771",13
"772",14
"773",2
"774",6
"775",10
"776",14
"777",10
"778",12
"779",16
"780",10
"781",13
"782",13
"783",15
"784",10
"785",13
"786",6
"787",12
"788",4
"789",5
"790",9
"791",10
"792",14
"793",5
"794",2
"795",5
"796",8
"797",6
"798",3
"799",4
"800",5
"801",3
"802",4
"803",11
"804",5
"805",10
"806",3
"807",16
"808",5
"809",6
"810",2
"811",10
"812",7
"813",2
"814",16
"815",4
"816",9
"817",14
"818",7
"819",14
"820",6
"821",4
"822",3
"823",2
"824",16
"825",16
"826",5
"827",10
"828",12
"829",10
"830",15
"831",4
"832",4
"833",14
"834",4
"835",16
"836",15
"837",9
"838",5
"839",14
"840",16
"841",6
"842",5
"843",13
"844",14
"845",9
"846",4
"847",13
"848",10
"849",16
"850",2
"851",11
"852",14
"853",2
"854",4
"855",6
"856",15
"857",9
"858",16
"859",10
"860",3
"861",14
"862",4
"863",7
"864",13
"865",9
"866",10
"867",2
"868",11
"869",14
"870",4
"871",13
"872",9
"873",16
"874",7
"875",4
"876",7
"877",12
"878",5
"879",11
"880",10
"881",9
"882",10
"883",11
"884",10
"885",15
"886",14
"887",16
"888",3
"889",14
"890",5
"891",2
"892",7
"893",9
"894",13
"895",5
"896",3
"897",5
"898",2
"899",5
"900",14
"901",14
"902",11
"903",10
"904",16
"905",9
"906",11
"907",16
"908",5
"909",13
"910",10
"911",3
"912",11
"913",11
"914",3
"915",4
"916",10
"917",6
"918",10
"919",9
"920",4
"921",13
"922",5
"923",16
"924",6
"925",9
"926",5
"927",5
"928",14
"929",6
"930",14
"931",13
"932",14
"933",9
"934",5
"935",5
"936",7
"937",10
"938",11
"939",13
"940",4
"941",6
"942",13
"943",5
"944",10
"945",3
"946",10
"947",6
"948",12
"949",3
"950",4
"951",5
"952",16
"953",9
"954",2
"955",3
"956",12
"957",15
"958",13
"959",11
"960",3
"961",11
"962",2
"963",3
"964",3
"965",2
"966",10
"967",7
"968",5
"969",5
"970",3
"971",5
"972",10
"973",12
"974",16
"975",6
"976",7
"977",13
"978",10
"979",10
"980",7
"981",9
"982",10
"983",6
"984",2
"985",6
"986",5
"987",16
"988",11
"989",6
"990",9
"991",11
"992",12
"993",9
"994",10
"995",8
"996",11
"997",16
"998",13
"999",11
"1000",9
"1001",13
"1002",16
"1003",9
"1004",6
"1005",14
"1006",5
"1007",5
"1008",11
"1009",2
"1010",4
"1011",10
"1012",10
"1013",10
"1014",14
"1015",7
"1016",7
"1017",5
"1018",5
"1019",14
"1020",3
"1021",14
"1022",13
"1023",5
"1024",13
"1025",5
"1026",5
"1027",3
"1028",3
"1029",16
"1030",13
"1031",14
"1032",13
"1033",13
"1034",16
"1035",5
"1036",5
"1037",10
"1038",2
"1039",14
"1040",10
"1041",14
"1042",6
"1043",11
"1044",6
"1045",12
"1046",4
"1047",6
"1048",12
"1049",10
"1050",14
"1051",11
"1052",6
"1053",5
"1054",11
"1055",10
"1056",4
"1057",10
"1058",10
"1059",12
"1060",14
"1061",14
"1062",7
"1063",5
"1064",16
"1065",9
"1066",14
"1067",4
"1068",5
"1069",13
"1070",16
"1071",10
"1072",6
"1073",4
"1074",10
"1075",9
"1076",5
"1077",5
"1078",5
"1079",15
"1080",11
"1081",11
"1082",3
"1083",14
"1084",10
"1085",7
"1086",12
"1087",3
"1088",5
"1089",10
"1090",7
"1091",5
"1092",4
"1093",14
"1094",10
"1095",16
"1096",14
"1097",9
"1098",7
"1099",16
"1100",16
"1101",10
"1102",14
"1103",6
"1104",10
"1105",16
"1106",14
"1107",4
"1108",4
"1109",6
"1110",3
"1111",6
"1112",7
"1113",10
"1114",5
"1115",13
"1116",2
"1117",3
"1118",7
"1119",4
"1120",14
"1121",16
"1122",13
"1123",9
"1124",5
"1125",15
"1126",14
"1127",4
"1128",10
"1129",5
"1130",14
"1131",14
"1132",16
"1133",3
"1134",5
"1135",11
"1136",12
"1137",4
"1138",5
"1139",7
"1140",13
"1141",14
"1142",12
"1143",5
"1144",10
"1145",14
"1146",5
"1147",2
"1148",14
"1149",3
"1150",3
"1151",3
"1152",9
"1153",16
"1154",7
"1155",14
"1156",14
"1157",14
"1158",4
"1159",5
"1160",2
"1161",14
"1162",10
"1163",6
"1164",4
"1165",14
"1166",9
"1167",13
"1168",14
"1169",6
"1170",14
"1171",2
"1172",15
"1173",4
"1174",5
"1175",13
"1176",10
"1177",13
"1178",16
"1179",4
"1180",14
"1181",6
"1182",13
"1183",4
"1184",4
"1185",10
"1186",10
"1187",6
"1188",14
"1189",16
"1190",3
"1191",13
"1192",8
"1193",5
"1194",14
"1195",16
"1196",16
"1197",6
"1198",14
"1199",9
"1200",6
"1201",7
"1202",9
"1203",14
"1204",10
"1205",4
"1206",14
"1207",6
"1208",16
"1209",11
"1210",5
"1211",13
"1212",10
"1213",10
"1214",5
"1215",14
"1216",10
"1217",10
"1218",4
"1219",5
"1220",9
"1221",5
"1222",16
"1223",3
"1224",14
"1225",13
"1226",3
"1227",9
"1228",13
"1229",9
"1230",14
"1231",11
"1232",5
"1233",9
"1234",7
"1235",4
"1236",7
"1237",4
"1238",11
"1239",10
"1240",10
"1241",3
"1242",7
"1243",5
"1244",10
"1245",16
"1246",13
"1247",10
"1248",9
"1249",13
"1250",14
"1251",14
"1252",5
"1253",5
"1254",5
"1255",13
"1256",7
"1257",3
"1258",7
"1259",6
"1260",2
"1261",13
"1262",9
"1263",6
"1264",4
"1265",14
"1266",14
"1267",6
"1268",10
"1269",4
"1270",5
"1271",5
"1272",13
"1273",6
"1274",4
"1275",10
"1276",6
"1277",14
"1278",6
"1279",4
"1280",9
"1281",13
"1282",5
"1283",13
"1284",5
"1285",3
"1286",3
"1287",9
"1288",11
"1289",8
"1290",2
"1291",11
"1292",5
"1293",14
"1294",2
"1295",11
"1296",13
"1297",14
"1298",6
"1299",9
"1300",14
"1301",16
"1302",14
"1303",11
"1304",5
"1305",7
"1306",13
"1307",3
"1308",4
"1309",7
"1310",13
"1311",6
"1312",16
"1313",16
"1314",3
