"","x"
"1",0.0147580417795801
"2",0.0876748522535889
"3",9
"4",3
"5",3
"6",3
"7",9
"8",3
"9",3
"10",8
"11",3
"12",3
"13",8
"14",3
"15",10
"16",3
"17",8
"18",3
"19",3
"20",15
"21",3
"22",3
"23",3
"24",3
"25",3
"26",2
"27",12
"28",3
"29",3
"30",8
"31",3
"32",15
"33",3
"34",3
"35",15
"36",3
"37",3
"38",8
"39",15
"40",3
"41",3
"42",2
"43",9
"44",7
"45",7
"46",2
"47",3
"48",8
"49",3
"50",3
"51",3
"52",9
"53",3
"54",8
"55",3
"56",3
"57",8
"58",3
"59",8
"60",3
"61",3
"62",3
"63",8
"64",3
"65",15
"66",8
"67",15
"68",8
"69",3
"70",15
"71",3
"72",15
"73",10
"74",8
"75",15
"76",8
"77",8
"78",9
"79",7
"80",4
"81",8
"82",11
"83",15
"84",3
"85",15
"86",5
"87",8
"88",3
"89",8
"90",8
"91",8
"92",9
"93",14
"94",3
"95",8
"96",8
"97",3
"98",3
"99",3
"100",3
"101",11
"102",15
"103",3
"104",3
"105",8
"106",14
"107",13
"108",15
"109",2
"110",3
"111",3
"112",3
"113",16
"114",3
"115",12
"116",8
"117",3
"118",3
"119",8
"120",3
"121",3
"122",7
"123",8
"124",10
"125",15
"126",3
"127",3
"128",3
"129",3
"130",2
"131",3
"132",3
"133",15
"134",6
"135",3
"136",3
"137",2
"138",3
"139",3
"140",3
"141",3
"142",8
"143",13
"144",8
"145",3
"146",8
"147",8
"148",2
"149",8
"150",3
"151",2
"152",16
"153",3
"154",15
"155",3
"156",3
"157",15
"158",8
"159",7
"160",3
"161",3
"162",3
"163",2
"164",10
"165",3
"166",14
"167",3
"168",3
"169",10
"170",15
"171",9
"172",7
"173",3
"174",10
"175",3
"176",4
"177",15
"178",8
"179",3
"180",3
"181",3
"182",4
"183",3
"184",3
"185",3
"186",5
"187",3
"188",3
"189",3
"190",3
"191",3
"192",3
"193",3
"194",8
"195",3
"196",3
"197",3
"198",12
"199",3
"200",8
"201",8
"202",3
"203",3
"204",8
"205",8
"206",6
"207",8
"208",16
"209",16
"210",8
"211",10
"212",8
"213",3
"214",3
"215",3
"216",3
"217",3
"218",11
"219",8
"220",3
"221",12
"222",3
"223",16
"224",15
"225",12
"226",10
"227",15
"228",3
"229",3
"230",3
"231",3
"232",11
"233",8
"234",11
"235",6
"236",10
"237",9
"238",3
"239",2
"240",15
"241",3
"242",8
"243",8
"244",3
"245",12
"246",3
"247",3
"248",3
"249",9
"250",16
"251",10
"252",7
"253",3
"254",2
"255",15
"256",3
"257",7
"258",7
"259",3
"260",9
"261",3
"262",9
"263",3
"264",3
"265",14
"266",9
"267",15
"268",8
"269",2
"270",15
"271",3
"272",2
"273",3
"274",4
"275",3
"276",8
"277",15
"278",16
"279",7
"280",3
"281",3
"282",8
"283",12
"284",3
"285",3
"286",3
"287",3
"288",3
"289",8
"290",8
"291",3
"292",3
"293",8
"294",3
"295",1
"296",3
"297",3
"298",3
"299",3
"300",3
"301",7
"302",15
"303",6
"304",8
"305",8
"306",3
"307",8
"308",3
"309",3
"310",3
"311",3
"312",9
"313",12
"314",6
"315",8
"316",3
"317",10
"318",3
"319",4
"320",3
"321",7
"322",3
"323",3
"324",3
"325",3
"326",3
"327",15
"328",2
"329",3
"330",3
"331",8
"332",9
"333",3
"334",9
"335",3
"336",3
"337",7
"338",10
"339",12
"340",12
"341",2
"342",3
"343",3
"344",15
"345",8
"346",3
"347",8
"348",2
"349",3
"350",8
"351",3
"352",8
"353",3
"354",3
"355",15
"356",8
"357",3
"358",2
"359",3
"360",8
"361",8
"362",3
"363",3
"364",3
"365",3
"366",8
"367",8
"368",3
"369",3
"370",3
"371",8
"372",3
"373",10
"374",12
"375",8
"376",3
"377",3
"378",3
"379",10
"380",8
"381",3
"382",3
"383",3
"384",3
"385",15
"386",3
"387",8
"388",3
"389",8
"390",3
"391",3
"392",3
"393",8
"394",15
"395",8
"396",3
"397",3
"398",3
"399",3
"400",9
"401",15
"402",3
"403",2
"404",3
"405",3
"406",3
"407",3
"408",3
"409",8
"410",7
"411",7
"412",3
"413",3
"414",8
"415",8
"416",12
"417",3
"418",8
"419",3
"420",8
"421",11
"422",3
"423",3
"424",3
"425",8
"426",6
"427",3
"428",13
"429",8
"430",3
"431",8
"432",15
"433",3
"434",15
"435",8
"436",13
"437",8
"438",8
"439",3
"440",2
"441",8
"442",7
"443",3
"444",3
"445",3
"446",3
"447",3
"448",3
"449",8
"450",9
"451",13
"452",7
"453",3
"454",15
"455",3
"456",8
"457",9
"458",3
"459",3
"460",3
"461",8
"462",3
"463",3
"464",13
"465",3
"466",3
"467",3
"468",7
"469",3
"470",3
"471",8
"472",3
"473",8
"474",3
"475",8
"476",14
"477",13
"478",3
"479",13
"480",8
"481",8
"482",11
"483",8
"484",8
"485",3
"486",3
"487",3
"488",8
"489",3
"490",15
"491",8
"492",8
"493",3
"494",3
"495",8
"496",15
"497",3
"498",10
"499",3
"500",3
"501",3
"502",4
"503",3
"504",15
"505",12
"506",15
"507",8
"508",12
"509",8
"510",15
"511",7
"512",8
"513",3
"514",10
"515",9
"516",2
"517",15
"518",8
"519",15
"520",3
"521",3
"522",10
"523",13
"524",16
"525",3
"526",8
"527",3
"528",8
"529",3
"530",8
"531",3
"532",3
"533",8
"534",3
"535",15
"536",11
"537",3
"538",3
"539",3
"540",2
"541",7
"542",6
"543",8
"544",3
"545",2
"546",12
"547",7
"548",6
"549",8
"550",11
"551",8
"552",3
"553",3
"554",3
"555",3
"556",9
"557",3
"558",13
"559",3
"560",3
"561",2
"562",8
"563",12
"564",3
"565",3
"566",11
"567",15
"568",8
"569",7
"570",3
"571",3
"572",15
"573",15
"574",3
"575",8
"576",15
"577",3
"578",8
"579",16
"580",16
"581",3
"582",4
"583",3
"584",3
"585",3
"586",8
"587",3
"588",2
"589",3
"590",8
"591",3
"592",15
"593",3
"594",8
"595",3
"596",3
"597",14
"598",3
"599",8
"600",3
"601",4
"602",3
"603",16
"604",3
"605",3
"606",3
"607",14
"608",3
"609",3
"610",3
"611",8
"612",16
"613",7
"614",3
"615",3
"616",3
"617",3
"618",3
"619",16
"620",15
"621",3
"622",8
"623",3
"624",3
"625",8
"626",3
"627",13
"628",3
"629",12
"630",1
"631",3
"632",3
"633",3
"634",3
"635",15
"636",3
"637",3
"638",3
"639",3
"640",3
"641",8
"642",3
"643",3
"644",8
"645",3
"646",8
"647",8
"648",3
"649",4
"650",3
"651",16
"652",3
"653",3
"654",3
"655",15
"656",16
"657",8
"658",3
"659",2
"660",15
"661",3
"662",13
"663",15
"664",3
"665",3
"666",3
"667",3
"668",15
"669",8
"670",8
"671",10
"672",3
"673",15
"674",10
"675",3
"676",8
"677",3
"678",14
"679",3
"680",3
"681",15
"682",15
"683",3
"684",3
"685",3
"686",8
"687",15
"688",8
"689",4
"690",3
"691",8
"692",15
"693",6
"694",6
"695",3
"696",3
"697",3
"698",3
"699",1
"700",3
"701",3
"702",7
"703",3
"704",3
"705",8
"706",15
"707",10
"708",3
"709",3
"710",11
"711",7
"712",3
"713",15
"714",3
"715",14
"716",9
"717",3
"718",3
"719",10
"720",3
"721",10
"722",3
"723",3
"724",13
"725",3
"726",3
"727",3
"728",3
"729",7
"730",2
"731",3
"732",8
"733",12
"734",15
"735",3
"736",3
"737",8
"738",3
"739",8
"740",15
"741",3
"742",3
"743",9
"744",3
"745",11
"746",12
"747",3
"748",8
"749",3
"750",3
"751",4
"752",8
"753",3
"754",15
"755",3
"756",12
"757",3
"758",3
"759",3
"760",8
"761",8
"762",9
"763",3
"764",9
"765",3
"766",4
"767",3
"768",8
"769",3
"770",3
"771",3
"772",8
"773",7
"774",3
"775",15
"776",12
"777",9
"778",6
"779",2
"780",8
"781",10
"782",3
"783",10
"784",3
"785",15
"786",8
"787",4
"788",1
"789",3
"790",8
"791",3
"792",3
"793",3
"794",8
"795",3
"796",15
"797",14
"798",3
"799",3
"800",3
"801",8
"802",3
"803",5
"804",7
"805",8
"806",8
"807",8
"808",8
"809",3
"810",6
"811",15
"812",11
"813",6
"814",12
"815",3
"816",3
"817",8
"818",16
"819",8
"820",3
"821",3
"822",3
"823",7
"824",15
"825",3
"826",3
"827",3
"828",7
"829",3
"830",11
"831",8
"832",8
"833",3
"834",3
"835",3
