"","x"
"1",0.936436416219671
"2",0.859622405221473
"3",1
"4",1
"5",4
"6",1
"7",1
"8",1
"9",4
"10",1
"11",4
"12",1
"13",4
"14",4
"15",1
"16",1
"17",4
"18",4
"19",1
"20",1
"21",1
"22",4
"23",4
"24",4
"25",4
"26",4
"27",1
"28",1
"29",4
"30",4
"31",4
"32",1
"33",1
"34",2
"35",1
"36",2
"37",4
"38",4
"39",1
"40",4
"41",2
"42",1
"43",1
"44",4
"45",4
"46",4
"47",4
"48",1
"49",4
"50",4
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",4
"58",1
"59",1
"60",1
"61",4
"62",1
"63",1
"64",4
"65",2
"66",4
"67",1
"68",1
"69",1
"70",1
"71",1
"72",4
"73",1
"74",1
"75",4
"76",1
"77",4
"78",4
"79",4
"80",4
"81",4
"82",1
"83",1
"84",4
"85",2
"86",2
"87",1
"88",4
"89",4
"90",1
"91",1
"92",4
"93",2
"94",1
"95",1
"96",1
"97",2
"98",1
"99",4
"100",1
"101",1
"102",4
"103",1
"104",1
"105",1
"106",1
"107",4
"108",4
"109",2
"110",4
"111",1
"112",4
"113",4
"114",4
"115",1
"116",1
"117",2
"118",1
"119",2
"120",4
"121",1
"122",4
"123",1
"124",1
"125",1
"126",4
"127",1
"128",1
"129",1
"130",4
"131",4
"132",1
"133",1
"134",4
"135",4
"136",1
"137",4
"138",1
"139",1
"140",4
"141",1
"142",4
"143",4
"144",1
"145",1
"146",2
"147",1
"148",4
"149",2
"150",1
"151",1
"152",1
"153",4
"154",2
"155",1
"156",1
"157",4
"158",4
"159",4
"160",4
"161",1
"162",4
"163",4
"164",4
"165",1
"166",1
"167",1
"168",1
"169",1
"170",4
"171",4
"172",4
"173",1
"174",1
"175",4
"176",4
"177",4
"178",1
"179",2
"180",4
"181",1
"182",4
"183",1
"184",4
"185",2
"186",4
"187",1
"188",1
"189",1
"190",1
"191",1
"192",4
"193",2
"194",1
"195",1
"196",2
"197",4
"198",1
"199",1
"200",4
"201",1
"202",4
"203",1
"204",2
"205",2
"206",4
"207",1
"208",4
"209",4
"210",4
"211",1
"212",1
"213",1
"214",4
"215",1
"216",1
"217",1
"218",4
"219",4
"220",4
"221",1
"222",1
"223",4
"224",1
"225",4
"226",1
"227",1
"228",4
"229",1
"230",1
"231",1
"232",1
"233",1
"234",1
"235",4
"236",4
"237",1
"238",1
"239",1
"240",4
"241",2
"242",4
"243",1
"244",4
"245",4
"246",4
"247",1
"248",4
"249",4
"250",1
"251",1
"252",1
"253",1
"254",4
"255",1
"256",1
"257",4
"258",4
"259",1
"260",1
"261",4
"262",4
"263",1
"264",2
"265",1
"266",4
"267",4
"268",2
"269",1
"270",1
"271",2
"272",2
"273",4
"274",4
"275",1
"276",1
"277",4
"278",4
"279",1
"280",1
"281",4
"282",1
"283",1
"284",1
"285",1
"286",1
"287",4
"288",4
"289",4
"290",2
"291",1
"292",1
"293",1
"294",4
"295",1
"296",4
"297",1
"298",1
"299",4
"300",4
"301",4
"302",4
"303",4
"304",4
"305",1
"306",4
"307",1
"308",1
"309",1
"310",4
"311",4
"312",2
"313",1
"314",4
"315",1
"316",1
"317",1
"318",4
"319",4
"320",4
"321",4
"322",4
"323",1
"324",4
"325",4
"326",2
"327",1
"328",2
"329",4
"330",4
"331",4
"332",2
"333",1
"334",1
"335",1
"336",4
"337",1
"338",1
"339",4
"340",1
"341",4
"342",4
"343",4
"344",1
"345",4
"346",1
"347",1
"348",1
"349",4
"350",1
"351",1
"352",4
"353",1
"354",1
"355",4
"356",1
"357",1
"358",1
"359",4
"360",1
"361",2
"362",1
"363",1
"364",1
"365",4
"366",1
"367",4
"368",4
"369",1
"370",1
"371",4
"372",2
"373",4
"374",4
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",4
"383",1
"384",1
"385",1
"386",1
"387",4
"388",4
"389",1
"390",4
"391",4
"392",4
"393",1
"394",1
"395",2
"396",1
"397",4
"398",4
"399",1
"400",1
"401",4
"402",1
"403",4
"404",1
"405",1
"406",1
"407",4
"408",4
"409",4
"410",4
"411",4
"412",1
"413",1
"414",4
"415",1
"416",2
"417",1
"418",4
"419",1
"420",4
