"","x"
"1",0.107533603780729
"2",0.198142812090941
"3",4
"4",8
"5",4
"6",8
"7",4
"8",4
"9",8
"10",4
"11",8
"12",4
"13",4
"14",8
"15",4
"16",4
"17",8
"18",8
"19",8
"20",4
"21",4
"22",8
"23",8
"24",8
"25",8
"26",4
"27",4
"28",8
"29",8
"30",8
"31",8
"32",4
"33",4
"34",3
"35",4
"36",8
"37",8
"38",8
"39",4
"40",8
"41",8
"42",4
"43",4
"44",4
"45",4
"46",6
"47",8
"48",4
"49",8
"50",8
"51",8
"52",2
"53",4
"54",4
"55",8
"56",8
"57",4
"58",8
"59",4
"60",8
"61",8
"62",8
"63",4
"64",8
"65",4
"66",4
"67",4
"68",4
"69",4
"70",1
"71",8
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",5
"81",4
"82",7
"83",4
"84",8
"85",3
"86",5
"87",8
"88",8
"89",4
"90",4
"91",4
"92",4
"93",5
"94",8
"95",4
"96",4
"97",3
"98",4
"99",8
"100",8
"101",4
"102",4
"103",4
"104",4
"105",8
"106",4
"107",4
"108",4
"109",4
"110",8
"111",8
"112",4
"113",4
"114",8
"115",5
"116",4
"117",8
"118",8
"119",1
"120",8
"121",8
"122",4
"123",4
"124",4
"125",2
"126",8
"127",4
"128",8
"129",4
"130",4
"131",8
"132",8
"133",4
"134",8
"135",8
"136",4
"137",4
"138",8
"139",4
"140",8
"141",4
"142",4
"143",4
"144",8
"145",8
"146",4
"147",4
"148",4
"149",8
"150",8
"151",4
"152",6
"153",8
"154",1
"155",8
"156",8
"157",4
"158",8
"159",4
"160",8
"161",8
"162",8
"163",7
"164",4
"165",4
"166",4
"167",8
"168",8
"169",4
"170",4
"171",4
"172",4
"173",4
"174",4
"175",8
"176",4
"177",4
"178",4
"179",8
"180",4
"181",8
"182",4
"183",8
"184",8
"185",3
"186",4
"187",8
"188",8
"189",8
"190",4
"191",8
"192",8
"193",4
"194",4
"195",8
"196",4
"197",8
"198",4
"199",8
"200",4
"201",4
"202",4
"203",4
"204",8
"205",1
"206",8
"207",4
"208",4
"209",4
"210",4
"211",4
"212",4
"213",4
"214",8
"215",8
"216",8
"217",4
"218",2
"219",8
"220",8
"221",4
"222",8
"223",6
"224",4
"225",4
"226",4
"227",4
"228",8
"229",8
"230",8
"231",4
"232",7
"233",4
"234",6
"235",8
"236",4
"237",4
"238",8
"239",4
"240",4
"241",8
"242",8
"243",4
"244",8
"245",5
"246",8
"247",8
"248",8
"249",4
"250",4
"251",5
"252",4
"253",4
"254",4
"255",4
"256",4
"257",8
"258",4
"259",4
"260",4
"261",8
"262",4
"263",4
"264",3
"265",4
"266",4
"267",4
"268",1
"269",7
"270",4
"271",1
"272",4
"273",4
"274",4
"275",4
"276",4
"277",4
"278",4
"279",4
"280",8
"281",8
"282",8
"283",4
"284",8
"285",8
"286",4
"287",8
"288",8
"289",4
"290",8
"291",8
"292",4
"293",8
"294",8
"295",2
"296",8
"297",4
"298",8
"299",8
"300",8
"301",8
"302",4
"303",8
"304",4
"305",8
"306",8
"307",8
"308",8
"309",4
"310",4
"311",8
"312",4
"313",4
"314",8
"315",4
"316",4
"317",4
"318",8
"319",4
"320",8
"321",4
"322",8
"323",4
"324",8
"325",8
"326",8
"327",4
"328",5
"329",8
"330",8
"331",8
"332",1
"333",8
"334",4
"335",4
"336",8
"337",8
"338",4
"339",7
"340",4
"341",4
"342",8
"343",8
"344",4
"345",4
"346",8
"347",4
"348",5
"349",8
"350",4
"351",8
