"","x"
"1",0.00860650498721706
"2",0.0367331657688737
"3",1
"4",2
"5",3
"6",3
"7",4
"8",2
"9",3
"10",5
"11",6
"12",7
"13",4
"14",8
"15",9
"16",3
"17",6
"18",3
"19",10
"20",1
"21",2
"22",11
"23",8
"24",2
"25",6
"26",1
"27",4
"28",11
"29",5
"30",1
"31",3
"32",4
"33",2
"34",6
"35",12
"36",8
"37",10
"38",11
"39",7
"40",8
"41",11
"42",9
"43",13
"44",1
"45",8
"46",4
"47",2
"48",6
"49",11
"50",3
"51",11
"52",9
"53",12
"54",1
"55",11
"56",3
"57",4
"58",3
"59",9
"60",10
"61",14
"62",11
"63",1
"64",5
"65",15
"66",8
"67",9
"68",10
"69",5
"70",6
"71",10
"72",9
"73",4
"74",13
"75",4
"76",8
"77",8
"78",4
"79",1
"80",12
"81",9
"82",16
"83",9
"84",2
"85",1
"86",6
"87",2
"88",4
"89",9
"90",4
"91",1
"92",1
"93",4
"94",3
"95",6
"96",6
"97",2
"98",12
"99",3
"100",10
"101",16
"102",7
"103",8
"104",10
"105",4
"106",4
"107",15
"108",4
"109",4
"110",14
"111",3
"112",3
"113",9
"114",7
"115",9
"116",15
"117",8
"118",14
"119",8
"120",14
"121",9
"122",9
"123",12
"124",4
"125",9
"126",3
"127",3
"128",5
"129",12
"130",1
"131",12
"132",11
"133",11
"134",4
"135",14
"136",2
"137",4
"138",3
"139",6
"140",11
"141",3
"142",15
"143",15
"144",10
"145",3
"146",7
"147",8
"148",6
"149",9
"150",12
"151",7
"152",10
"153",3
"154",1
"155",3
"156",3
"157",2
"158",1
"159",15
"160",3
"161",3
"162",9
"163",13
"164",4
"165",12
"166",9
"167",3
"168",3
"169",4
"170",8
"171",9
"172",10
"173",2
"174",4
"175",14
"176",9
"177",7
"178",4
"179",5
"180",10
"181",14
"182",10
"183",8
"184",2
"185",8
"186",15
"187",2
"188",3
"189",5
"190",2
"191",6
"192",5
"193",2
"194",8
"195",3
"196",3
"197",10
"198",1
"199",5
"200",8
"201",16
"202",2
"203",2
"204",2
"205",8
"206",4
"207",8
"208",9
"209",13
"210",9
"211",1
"212",1
"213",10
"214",2
"215",3
"216",11
"217",4
"218",15
"219",4
"220",2
"221",16
"222",7
"223",7
"224",14
"225",15
"226",1
"227",4
"228",8
"229",12
"230",3
"231",14
"232",13
"233",16
"234",16
"235",1
"236",15
"237",9
"238",2
"239",12
"240",9
"241",3
"242",13
"243",8
"244",2
"245",13
"246",3
"247",4
"248",3
"249",6
"250",1
"251",6
"252",9
"253",2
"254",1
"255",12
"256",10
"257",9
"258",10
"259",11
"260",2
"261",10
"262",16
"263",11
"264",14
"265",4
"266",1
"267",13
"268",12
"269",12
"270",9
"271",3
"272",13
"273",10
"274",4
"275",6
"276",10
"277",4
"278",15
"279",9
"280",5
"281",2
"282",10
"283",12
"284",8
"285",8
"286",5
"287",2
"288",1
"289",1
"290",6
"291",10
"292",2
"293",8
"294",11
"295",16
"296",1
"297",3
"298",11
"299",14
"300",8
"301",9
"302",13
"303",10
"304",10
"305",1
"306",11
"307",6
"308",12
"309",2
"310",8
"311",10
"312",13
"313",1
"314",2
"315",6
"316",11
"317",7
"318",9
"319",4
"320",11
"321",4
"322",14
"323",14
"324",7
"325",2
"326",10
"327",1
"328",13
"329",14
"330",3
"331",8
"332",16
"333",14
"334",7
"335",8
"336",3
"337",10
"338",8
"339",16
"340",16
"341",9
"342",4
"343",11
"344",11
"345",4
"346",3
"347",8
"348",4
"349",11
"350",1
"351",2
"352",8
"353",10
"354",5
"355",13
"356",1
"357",8
"358",1
"359",2
"360",9
"361",16
"362",10
"363",5
"364",10
"365",2
"366",9
"367",9
"368",3
"369",2
"370",3
"371",2
"372",12
"373",8
"374",1
"375",4
"376",10
"377",3
