"","x"
"1",0.0350559507743336
"2",0.0465581945331011
"3",1
"4",6
"5",2
"6",6
"7",2
"8",2
"9",6
"10",3
"11",2
"12",3
"13",3
"14",3
"15",8
"16",1
"17",6
"18",3
"19",1
"20",2
"21",6
"22",4
"23",8
"24",2
"25",6
"26",2
"27",3
"28",3
"29",3
"30",8
"31",3
"32",3
"33",6
"34",7
"35",8
"36",2
"37",1
"38",2
"39",1
"40",1
"41",7
"42",4
"43",2
"44",6
"45",6
"46",2
"47",6
"48",8
"49",2
"50",3
"51",6
"52",3
"53",2
"54",3
"55",3
"56",6
"57",3
"58",3
"59",2
"60",2
"61",3
"62",4
"63",8
"64",7
"65",2
"66",1
"67",8
"68",2
"69",2
"70",3
"71",6
"72",1
"73",2
"74",1
"75",6
"76",2
"77",6
"78",6
"79",3
"80",2
"81",8
"82",7
"83",8
"84",6
"85",4
"86",3
"87",2
"88",1
"89",2
"90",6
"91",1
"92",2
"93",4
"94",3
"95",2
"96",3
"97",8
"98",2
"99",3
"100",3
"101",1
"102",3
"103",2
"104",8
"105",3
"106",3
"107",2
"108",1
"109",6
"110",2
"111",3
"112",3
"113",6
"114",2
"115",1
"116",3
"117",1
"118",6
"119",1
"120",3
"121",3
"122",8
"123",3
"124",2
"125",6
"126",4
"127",8
"128",6
"129",7
"130",3
"131",3
"132",6
"133",3
"134",3
"135",3
"136",2
"137",6
"138",6
"139",8
"140",6
"141",2
"142",3
"143",1
"144",6
"145",2
"146",3
"147",2
"148",2
"149",6
"150",6
"151",6
"152",2
"153",1
"154",4
"155",2
"156",1
"157",3
"158",6
"159",6
"160",6
"161",6
"162",3
"163",7
"164",1
"165",2
"166",2
"167",3
"168",6
"169",8
"170",2
"171",2
"172",3
"173",2
"174",8
"175",2
"176",8
"177",6
"178",2
"179",3
"180",1
"181",6
"182",2
"183",2
"184",3
"185",1
"186",3
"187",6
"188",3
"189",6
"190",6
"191",3
"192",3
"193",3
"194",2
"195",3
"196",8
"197",3
"198",6
"199",6
"200",6
"201",1
"202",3
"203",6
"204",3
"205",8
"206",1
"207",3
"208",3
"209",4
"210",2
"211",6
"212",2
"213",2
"214",3
"215",3
"216",3
"217",6
"218",6
"219",4
"220",6
"221",8
"222",4
"223",4
"224",3
"225",8
"226",8
"227",2
"228",1
"229",3
"230",3
"231",2
"232",6
"233",6
"234",8
"235",6
"236",2
"237",2
"238",1
"239",8
"240",2
"241",3
"242",2
"243",6
"244",3
"245",6
"246",6
"247",4
"248",6
"249",3
"250",1
"251",2
"252",3
"253",3
"254",3
"255",6
"256",6
"257",1
"258",6
"259",3
"260",2
"261",2
"262",8
"263",1
"264",4
"265",6
"266",2
"267",8
"268",2
"269",6
"270",6
"271",1
"272",6
"273",6
"274",6
