"","x"
"1",0.146877316668152
"2",0.180035342229395
"3",1
"4",2
"5",3
"6",4
"7",5
"8",3
"9",6
"10",2
"11",6
"12",3
"13",7
"14",3
"15",8
"16",7
"17",3
"18",4
"19",4
"20",1
"21",2
"22",3
"23",6
"24",6
"25",7
"26",3
"27",5
"28",6
"29",6
"30",5
"31",2
"32",8
"33",1
"34",4
"35",1
"36",6
"37",7
"38",8
"39",4
"40",7
"41",2
"42",5
"43",1
"44",3
"45",3
"46",7
"47",3
"48",1
"49",3
"50",6
"51",4
"52",7
"53",1
"54",8
"55",4
"56",2
"57",3
"58",4
"59",8
"60",3
"61",2
"62",3
"63",1
"64",7
"65",1
"66",8
"67",3
"68",1
"69",7
"70",7
"71",4
"72",5
"73",1
"74",1
"75",7
"76",4
"77",3
"78",7
"79",3
"80",1
"81",3
"82",5
"83",1
"84",2
"85",1
"86",1
"87",4
"88",2
"89",3
"90",8
"91",2
"92",3
"93",7
"94",6
"95",3
"96",1
"97",4
"98",2
"99",2
"100",1
"101",5
"102",5
"103",1
"104",1
"105",7
"106",1
"107",3
"108",3
"109",1
"110",6
"111",4
"112",7
"113",5
"114",2
"115",8
"116",5
"117",2
"118",4
"119",3
"120",6
"121",4
"122",3
"123",1
"124",2
"125",1
"126",3
"127",4
"128",4
"129",3
"130",5
"131",1
"132",6
"133",4
"134",3
"135",3
"136",2
"137",8
"138",2
"139",2
"140",4
"141",1
"142",6
"143",5
"144",3
"145",4
"146",5
"147",5
"148",5
"149",3
"150",4
"151",4
"152",5
"153",2
"154",7
"155",2
"156",6
"157",3
"158",3
"159",3
"160",6
"161",2
"162",3
"163",3
"164",3
"165",1
"166",5
"167",6
"168",6
"169",5
"170",5
"171",3
"172",3
"173",2
"174",1
"175",7
"176",3
"177",3
"178",3
"179",3
"180",1
"181",2
"182",7
"183",8
"184",3
"185",8
"186",5
"187",4
"188",2
"189",3
"190",2
"191",1
"192",6
"193",3
"194",1
"195",3
"196",4
"197",7
"198",7
"199",6
"200",3
"201",5
"202",6
"203",1
"204",2
"205",2
"206",6
"207",2
"208",5
"209",5
"210",3
"211",5
"212",1
"213",1
"214",3
"215",3
"216",4
"217",2
"218",5
"219",3
"220",6
"221",1
"222",4
"223",7
"224",1
"225",5
"226",5
"227",4
"228",1
"229",1
"230",3
"231",1
"232",5
"233",1
"234",5
"235",3
"236",5
"237",1
"238",1
"239",4
"240",5
"241",2
"242",8
"243",3
"244",3
"245",5
"246",6
"247",4
"248",6
"249",7
"250",8
"251",5
"252",5
"253",2
"254",5
"255",3
"256",2
"257",3
"258",3
"259",1
