"","x"
"1",0.424541604734504
"2",0.565146823388346
"3",6
"4",8
"5",8
"6",1
"7",3
"8",1
"9",2
"10",2
"11",2
"12",6
"13",2
"14",4
"15",3
"16",4
"17",6
"18",1
"19",1
"20",6
"21",5
"22",6
"23",1
"24",1
"25",1
"26",2
"27",4
"28",6
"29",2
"30",1
"31",7
"32",3
"33",8
"34",4
"35",3
"36",7
"37",6
"38",1
"39",1
"40",7
"41",8
"42",6
"43",2
"44",2
"45",2
"46",8
"47",8
"48",8
"49",1
"50",3
"51",6
"52",1
"53",1
"54",8
"55",1
"56",3
"57",6
"58",2
"59",8
"60",2
"61",1
"62",4
"63",2
"64",1
"65",5
"66",6
"67",1
"68",6
"69",8
"70",1
"71",1
"72",2
"73",5
"74",2
"75",8
"76",5
"77",1
"78",1
"79",3
"80",1
"81",4
"82",8
"83",8
"84",6
"85",5
"86",5
"87",8
"88",3
"89",1
"90",6
"91",8
"92",1
"93",5
"94",1
"95",5
"96",8
"97",5
"98",1
"99",6
"100",5
"101",7
"102",4
"103",2
"104",3
"105",5
"106",2
"107",1
"108",1
"109",8
"110",5
"111",1
"112",2
"113",3
"114",4
"115",3
"116",4
"117",4
"118",1
"119",1
"120",4
"121",2
"122",8
"123",5
"124",1
"125",2
"126",5
"127",4
"128",5
"129",2
"130",5
"131",4
"132",3
"133",2
"134",2
"135",5
"136",8
"137",2
"138",6
"139",5
"140",4
"141",4
"142",1
"143",2
"144",3
"145",4
"146",6
"147",1
"148",1
"149",7
"150",7
"151",1
"152",3
"153",6
"154",8
"155",8
"156",1
"157",4
"158",8
"159",1
"160",3
"161",6
"162",2
"163",2
"164",3
"165",2
"166",8
"167",6
"168",4
"169",4
"170",8
"171",1
"172",1
"173",2
"174",7
"175",6
"176",3
"177",2
"178",6
"179",1
"180",7
"181",1
"182",5
"183",1
"184",5
"185",7
"186",2
"187",3
"188",8
"189",5
"190",7
"191",2
"192",8
"193",1
"194",7
"195",1
"196",2
"197",5
"198",2
"199",2
"200",7
"201",8
"202",4
"203",5
"204",8
"205",2
"206",1
"207",1
"208",8
"209",6
"210",8
"211",8
"212",3
"213",5
"214",2
"215",5
"216",1
"217",4
"218",3
"219",1
"220",5
"221",3
"222",5
"223",5
"224",8
"225",5
"226",2
"227",5
"228",6
"229",1
"230",1
"231",3
"232",6
"233",8
"234",1
"235",8
"236",4
"237",7
"238",5
"239",1
"240",3
"241",4
"242",4
"243",1
"244",4
"245",5
"246",8
"247",8
"248",1
"249",1
"250",5
"251",2
"252",1
"253",3
"254",6
"255",1
"256",2
"257",8
"258",1
"259",5
"260",8
"261",7
"262",1
"263",5
"264",8
"265",1
"266",1
"267",1
"268",5
"269",8
"270",4
"271",1
"272",1
"273",2
"274",1
"275",3
"276",2
"277",4
"278",1
"279",3
"280",2
"281",2
"282",2
"283",1
"284",6
"285",7
"286",3
"287",8
"288",5
"289",1
"290",3
"291",7
"292",2
"293",2
"294",3
"295",3
"296",6
"297",2
"298",7
"299",3
"300",8
"301",2
"302",2
"303",3
"304",1
"305",3
"306",5
"307",1
"308",1
"309",2
"310",5
"311",8
"312",2
"313",8
"314",4
"315",2
"316",8
"317",1
"318",3
"319",2
"320",2
"321",7
"322",3
"323",4
"324",2
"325",5
"326",1
"327",1
"328",4
"329",1
"330",4
"331",2
"332",1
"333",8
"334",4
"335",6
"336",1
"337",6
"338",1
"339",2
"340",7
"341",2
"342",4
"343",4
"344",8
"345",2
"346",3
"347",2
"348",6
"349",6
"350",1
"351",3
"352",7
"353",6
"354",5
"355",6
"356",6
"357",3
"358",8
"359",2
"360",4
"361",2
"362",1
"363",3
"364",2
"365",5
"366",5
"367",2
"368",2
"369",2
"370",2
"371",4
"372",5
"373",4
"374",6
"375",2
"376",1
"377",6
"378",5
"379",4
"380",2
"381",5
"382",1
"383",8
"384",6
"385",4
"386",1
"387",5
"388",8
"389",4
"390",8
"391",4
"392",6
"393",3
"394",6
"395",4
"396",8
"397",2
"398",1
"399",4
"400",8
"401",2
"402",4
"403",3
"404",8
"405",3
"406",1
"407",8
"408",8
"409",1
"410",2
"411",4
"412",3
"413",3
"414",4
"415",8
"416",8
"417",5
"418",1
"419",8
"420",3
"421",1
"422",2
"423",2
"424",6
"425",8
"426",5
"427",8
"428",6
"429",8
"430",4
"431",3
"432",4
"433",6
"434",2
"435",3
"436",6
"437",2
"438",1
"439",6
"440",4
"441",1
"442",4
"443",7
"444",6
"445",2
"446",3
"447",3
"448",1
"449",8
"450",2
"451",5
"452",3
"453",4
"454",8
"455",8
"456",6
"457",6
"458",5
"459",3
"460",2
"461",8
"462",3
"463",8
"464",7
"465",1
"466",1
"467",7
"468",2
"469",8
"470",4
"471",5
"472",5
"473",8
"474",1
"475",5
"476",5
"477",1
"478",2
"479",3
"480",3
"481",3
"482",8
"483",6
"484",5
"485",2
"486",5
"487",6
"488",2
"489",3
"490",2
"491",5
"492",4
"493",4
"494",6
"495",1
"496",2
"497",5
"498",5
"499",5
"500",8
"501",2
"502",6
"503",3
"504",1
"505",1
"506",1
"507",1
"508",8
"509",8
"510",3
"511",3
"512",1
"513",3
"514",3
"515",2
"516",5
"517",2
"518",2
"519",6
"520",1
"521",3
"522",8
"523",2
"524",3
"525",8
"526",4
"527",6
"528",3
"529",5
"530",6
"531",2
"532",6
"533",3
"534",1
"535",4
"536",4
"537",3
"538",4
"539",1
"540",7
"541",8
"542",6
"543",3
"544",5
"545",2
"546",8
"547",5
"548",4
"549",1
"550",7
"551",1
"552",2
"553",6
"554",8
"555",6
"556",6
"557",8
"558",1
"559",1
"560",1
"561",5
"562",8
"563",3
"564",2
"565",6
"566",8
"567",5
"568",6
"569",4
"570",2
"571",6
"572",5
"573",8
"574",2
"575",6
"576",7
"577",4
"578",2
"579",6
"580",1
"581",6
"582",1
"583",1
"584",1
"585",8
"586",6
"587",3
"588",2
"589",1
"590",1
"591",1
"592",8
"593",6
"594",1
"595",4
"596",8
"597",2
"598",5
"599",6
"600",3
"601",1
"602",6
"603",6
"604",6
"605",4
"606",2
"607",8
"608",6
"609",6
"610",3
"611",1
"612",8
"613",7
"614",6
"615",1
"616",5
"617",4
"618",8
"619",5
"620",2
"621",1
"622",6
"623",6
"624",3
"625",4
"626",7
"627",2
"628",4
"629",7
"630",1
"631",1
"632",8
"633",2
"634",2
"635",5
"636",3
"637",8
"638",8
"639",2
"640",3
"641",4
"642",1
"643",8
"644",6
"645",5
"646",1
"647",3
"648",8
"649",4
"650",4
"651",4
"652",4
"653",1
"654",8
"655",5
"656",1
"657",3
"658",8
"659",2
"660",8
"661",7
"662",1
"663",8
"664",5
"665",8
"666",5
"667",4
"668",4
"669",5
"670",5
"671",3
"672",2
"673",8
"674",5
"675",8
"676",1
"677",2
"678",4
"679",2
"680",4
"681",4
"682",5
"683",4
"684",3
"685",8
"686",2
"687",4
"688",1
"689",5
"690",2
"691",4
"692",6
"693",6
"694",8
"695",6
"696",7
"697",2
"698",6
"699",6
"700",3
"701",1
"702",8
"703",1
"704",8
"705",1
"706",1
"707",1
"708",7
"709",8
"710",6
"711",5
"712",4
"713",7
"714",4
"715",1
"716",5
"717",4
"718",1
"719",8
"720",5
"721",4
"722",1
"723",3
"724",6
"725",6
"726",3
"727",7
"728",7
"729",8
"730",1
"731",3
"732",6
"733",2
"734",2
"735",8
"736",1
"737",4
"738",7
"739",8
"740",5
"741",2
"742",5
"743",1
"744",3
"745",1
"746",2
"747",8
"748",8
"749",1
"750",1
"751",5
"752",5
"753",1
"754",2
"755",7
"756",4
"757",1
"758",1
"759",2
"760",4
"761",6
"762",8
"763",8
"764",6
"765",8
"766",6
"767",1
"768",4
"769",5
"770",1
"771",4
"772",6
"773",2
"774",1
"775",5
"776",2
"777",5
"778",5
"779",2
"780",4
"781",3
"782",1
"783",8
"784",5
"785",8
"786",1
"787",6
"788",4
"789",2
"790",5
"791",4
"792",2
"793",2
"794",2
"795",8
"796",4
"797",3
"798",4
"799",3
"800",6
"801",6
"802",2
"803",4
"804",6
"805",4
"806",8
"807",4
"808",5
"809",5
"810",5
"811",4
"812",4
"813",4
"814",2
"815",1
"816",1
"817",8
"818",5
"819",1
"820",2
"821",1
"822",8
"823",2
"824",2
"825",3
"826",3
"827",2
"828",8
"829",1
"830",1
"831",3
"832",5
"833",1
"834",1
"835",4
"836",1
"837",1
"838",1
"839",1
"840",5
"841",8
"842",6
"843",6
"844",3
"845",2
"846",3
"847",6
"848",2
"849",2
"850",8
"851",5
"852",8
"853",6
"854",1
"855",6
"856",2
"857",8
"858",2
"859",8
"860",4
"861",5
"862",4
"863",1
"864",5
"865",6
"866",5
"867",4
"868",8
"869",3
"870",3
"871",1
"872",2
"873",3
"874",6
"875",8
"876",8
"877",5
"878",1
"879",4
"880",1
"881",1
"882",2
"883",7
"884",3
"885",1
"886",5
"887",2
"888",6
"889",1
"890",6
"891",2
"892",1
"893",2
"894",5
"895",5
"896",4
"897",2
"898",1
"899",3
"900",2
"901",6
"902",4
"903",6
"904",2
"905",8
"906",4
"907",2
"908",3
"909",2
"910",2
"911",6
"912",2
"913",1
"914",2
"915",1
"916",8
"917",1
"918",2
"919",1
"920",1
"921",1
"922",1
"923",5
"924",2
"925",3
"926",8
"927",3
"928",3
"929",1
"930",2
"931",8
"932",4
"933",2
"934",8
"935",4
"936",4
"937",8
"938",5
"939",6
"940",7
"941",3
"942",8
"943",2
"944",4
"945",2
"946",6
"947",3
"948",8
"949",7
"950",8
"951",5
"952",5
"953",4
"954",2
"955",6
"956",8
"957",7
"958",6
"959",6
"960",2
"961",6
"962",1
"963",8
"964",1
"965",7
"966",5
"967",2
"968",5
"969",1
"970",4
"971",6
"972",1
"973",6
"974",3
"975",2
"976",4
"977",1
"978",8
"979",1
"980",4
"981",2
"982",5
"983",2
"984",7
"985",4
"986",1
"987",6
"988",8
"989",2
"990",7
"991",4
"992",8
"993",6
"994",4
"995",6
"996",1
"997",8
"998",1
"999",8
"1000",4
"1001",8
"1002",5
"1003",3
"1004",4
"1005",1
"1006",1
"1007",2
"1008",6
"1009",7
"1010",2
"1011",1
"1012",1
"1013",1
"1014",3
"1015",3
"1016",4
"1017",2
"1018",6
"1019",1
"1020",3
"1021",8
"1022",5
"1023",7
"1024",8
"1025",7
"1026",6
"1027",3
"1028",1
"1029",5
"1030",4
"1031",5
"1032",4
"1033",6
"1034",1
"1035",1
"1036",1
"1037",3
"1038",8
"1039",1
"1040",1
"1041",8
"1042",1
"1043",2
"1044",2
"1045",1
"1046",1
"1047",5
"1048",2
"1049",4
"1050",1
"1051",2
"1052",4
"1053",4
"1054",2
"1055",2
"1056",3
"1057",6
"1058",4
"1059",8
"1060",8
"1061",2
"1062",2
"1063",6
"1064",6
"1065",5
"1066",3
"1067",2
"1068",3
"1069",4
"1070",6
"1071",2
"1072",3
"1073",4
"1074",1
"1075",4
"1076",5
"1077",1
"1078",6
"1079",8
"1080",1
"1081",1
"1082",1
"1083",6
"1084",6
"1085",6
"1086",4
"1087",8
"1088",5
"1089",3
"1090",3
"1091",2
"1092",5
"1093",1
"1094",2
"1095",6
"1096",1
"1097",4
"1098",1
"1099",2
"1100",6
"1101",2
"1102",2
"1103",4
"1104",1
"1105",1
"1106",5
"1107",1
"1108",1
"1109",2
"1110",1
"1111",8
"1112",1
"1113",8
"1114",3
"1115",1
"1116",2
"1117",3
"1118",2
"1119",4
"1120",2
"1121",4
"1122",3
"1123",6
"1124",3
"1125",5
"1126",8
"1127",2
"1128",2
"1129",3
"1130",7
"1131",5
"1132",4
"1133",1
"1134",2
"1135",3
"1136",7
"1137",3
"1138",7
"1139",8
"1140",3
"1141",2
"1142",2
"1143",1
"1144",7
"1145",2
"1146",6
"1147",5
"1148",6
"1149",2
"1150",4
"1151",8
"1152",1
"1153",3
"1154",3
"1155",5
"1156",3
"1157",2
"1158",2
"1159",4
"1160",3
"1161",3
"1162",3
"1163",6
"1164",1
"1165",5
"1166",3
"1167",6
"1168",2
"1169",2
"1170",4
"1171",1
"1172",5
"1173",2
"1174",2
"1175",2
"1176",3
"1177",2
"1178",6
"1179",1
"1180",5
"1181",4
"1182",2
"1183",4
"1184",1
"1185",4
"1186",5
"1187",1
"1188",6
"1189",1
"1190",4
"1191",4
"1192",8
"1193",1
"1194",5
"1195",2
"1196",1
"1197",4
"1198",8
"1199",6
"1200",2
"1201",1
"1202",4
"1203",6
"1204",1
"1205",5
"1206",8
"1207",5
"1208",8
"1209",2
"1210",6
"1211",1
"1212",8
"1213",3
"1214",4
"1215",2
"1216",8
"1217",7
"1218",8
"1219",1
"1220",4
"1221",1
"1222",1
"1223",3
"1224",8
"1225",5
"1226",1
"1227",5
"1228",8
"1229",3
"1230",8
"1231",5
"1232",5
"1233",5
"1234",8
"1235",8
"1236",8
"1237",2
"1238",4
"1239",7
"1240",4
"1241",2
"1242",6
"1243",6
"1244",4
"1245",3
"1246",6
"1247",2
"1248",6
"1249",1
"1250",1
"1251",4
"1252",5
"1253",6
"1254",5
"1255",4
"1256",8
"1257",2
"1258",1
"1259",2
"1260",7
"1261",3
"1262",3
"1263",2
"1264",4
"1265",3
"1266",5
"1267",2
"1268",6
"1269",8
"1270",3
"1271",6
"1272",3
"1273",1
"1274",1
"1275",1
"1276",4
"1277",1
"1278",4
"1279",2
"1280",2
"1281",2
"1282",7
"1283",6
"1284",1
"1285",2
"1286",6
"1287",8
"1288",3
"1289",8
"1290",8
"1291",1
"1292",3
"1293",1
"1294",6
"1295",6
"1296",6
"1297",2
"1298",1
"1299",2
"1300",3
"1301",5
"1302",2
"1303",2
"1304",5
"1305",3
"1306",4
"1307",6
"1308",2
"1309",3
"1310",1
"1311",8
"1312",1
"1313",1
"1314",4
"1315",2
"1316",2
"1317",5
"1318",3
"1319",8
"1320",2
"1321",1
"1322",4
"1323",1
"1324",4
"1325",7
"1326",2
"1327",6
"1328",4
"1329",8
"1330",6
"1331",6
"1332",6
"1333",2
"1334",2
"1335",5
"1336",2
"1337",6
"1338",8
"1339",6
"1340",1
"1341",3
"1342",3
"1343",4
"1344",1
"1345",5
"1346",1
"1347",4
"1348",6
"1349",2
"1350",5
"1351",1
"1352",8
"1353",6
"1354",6
"1355",6
"1356",3
"1357",1
"1358",8
"1359",1
"1360",2
"1361",1
"1362",2
"1363",7
"1364",7
"1365",8
"1366",7
"1367",3
"1368",5
"1369",1
"1370",8
"1371",2
"1372",2
"1373",1
"1374",1
"1375",1
"1376",6
"1377",2
"1378",1
"1379",3
"1380",2
"1381",6
"1382",5
"1383",2
"1384",8
"1385",8
"1386",2
"1387",1
"1388",1
"1389",3
"1390",2
"1391",6
"1392",6
"1393",1
"1394",2
"1395",4
"1396",6
"1397",5
"1398",3
"1399",3
"1400",2
"1401",1
"1402",4
"1403",2
"1404",3
"1405",1
"1406",1
"1407",2
"1408",4
"1409",1
"1410",3
"1411",6
"1412",8
"1413",7
"1414",2
"1415",1
"1416",3
"1417",6
"1418",1
"1419",5
"1420",3
"1421",6
"1422",8
"1423",3
"1424",1
"1425",6
"1426",2
"1427",3
"1428",8
"1429",2
"1430",3
"1431",3
"1432",1
"1433",1
"1434",1
"1435",2
"1436",8
"1437",6
"1438",8
"1439",5
"1440",2
"1441",8
"1442",5
"1443",1
"1444",8
"1445",1
"1446",3
"1447",3
"1448",6
"1449",8
"1450",1
"1451",7
"1452",8
"1453",2
"1454",8
"1455",4
"1456",8
"1457",2
"1458",8
"1459",5
"1460",3
"1461",4
"1462",1
"1463",2
"1464",1
"1465",3
"1466",4
"1467",8
"1468",2
"1469",2
"1470",2
"1471",6
"1472",3
"1473",2
"1474",6
"1475",1
"1476",3
"1477",6
"1478",3
"1479",2
"1480",6
"1481",7
"1482",2
"1483",5
"1484",1
"1485",8
"1486",7
"1487",4
"1488",5
"1489",1
"1490",3
"1491",4
"1492",4
"1493",6
"1494",3
"1495",1
"1496",2
"1497",2
"1498",6
"1499",1
"1500",1
"1501",1
"1502",8
"1503",1
"1504",5
"1505",4
"1506",2
"1507",8
"1508",3
"1509",3
"1510",2
"1511",6
"1512",1
"1513",8
"1514",5
"1515",2
"1516",1
"1517",8
"1518",3
"1519",1
"1520",2
"1521",2
"1522",8
"1523",3
"1524",3
"1525",4
"1526",5
"1527",4
"1528",6
"1529",5
"1530",4
"1531",5
"1532",7
"1533",4
"1534",7
"1535",3
"1536",8
"1537",8
"1538",6
"1539",8
"1540",5
"1541",3
"1542",2
"1543",2
"1544",7
"1545",6
"1546",1
"1547",1
"1548",3
"1549",2
"1550",5
"1551",1
"1552",2
"1553",7
"1554",1
"1555",3
"1556",3
"1557",5
"1558",3
"1559",8
"1560",5
"1561",8
"1562",3
"1563",1
"1564",5
"1565",5
"1566",3
"1567",8
"1568",3
"1569",4
"1570",4
"1571",4
"1572",1
"1573",6
"1574",5
"1575",5
"1576",5
"1577",5
"1578",5
"1579",2
"1580",5
"1581",8
"1582",6
"1583",1
"1584",5
"1585",1
"1586",2
"1587",4
"1588",3
"1589",4
"1590",8
"1591",2
"1592",8
"1593",1
"1594",1
"1595",2
"1596",7
"1597",2
"1598",1
"1599",3
"1600",7
"1601",4
"1602",1
"1603",5
"1604",3
"1605",8
"1606",6
"1607",1
"1608",2
"1609",4
"1610",3
"1611",6
"1612",5
"1613",1
"1614",6
"1615",3
"1616",5
"1617",4
"1618",7
"1619",6
"1620",7
"1621",1
"1622",4
