"","x"
"1",0.403368240237064
"2",0.607695327986987
"3",3
"4",3
"5",3
"6",5
"7",1
"8",5
"9",2
"10",6
"11",4
"12",4
"13",4
"14",5
"15",5
"16",5
"17",6
"18",5
"19",5
"20",3
"21",5
"22",6
"23",5
"24",5
"25",5
"26",1
"27",5
"28",3
"29",2
"30",5
"31",8
"32",5
"33",3
"34",5
"35",5
"36",8
"37",6
"38",5
"39",5
"40",5
"41",3
"42",7
"43",1
"44",4
"45",4
"46",3
"47",3
"48",3
"49",1
"50",5
"51",3
"52",5
"53",5
"54",6
"55",5
"56",5
"57",3
"58",4
"59",3
"60",2
"61",5
"62",1
"63",2
"64",5
"65",5
"66",6
"67",5
"68",6
"69",3
"70",1
"71",5
"72",2
"73",5
"74",2
"75",3
"76",5
"77",5
"78",5
"79",8
"80",3
"81",1
"82",3
"83",3
"84",6
"85",5
"86",5
"87",3
"88",5
"89",5
"90",6
"91",3
"92",5
"93",5
"94",5
"95",5
"96",3
"97",5
"98",5
"99",6
"100",8
"101",5
"102",5
"103",2
"104",1
"105",5
"106",4
"107",5
"108",5
"109",3
"110",8
"111",5
"112",4
"113",5
"114",5
"115",5
"116",5
"117",5
"118",5
"119",5
"120",5
"121",4
"122",3
"123",8
"124",5
"125",4
"126",8
"127",5
"128",8
"129",4
"130",5
"131",5
"132",1
"133",4
"134",4
"135",5
"136",3
"137",4
"138",6
"139",5
"140",5
"141",5
"142",5
"143",4
"144",5
"145",5
"146",3
"147",5
"148",5
"149",2
"150",8
"151",5
"152",5
"153",3
"154",3
"155",3
"156",5
"157",5
"158",3
"159",5
"160",5
"161",6
"162",4
"163",4
"164",5
"165",4
"166",3
"167",3
"168",5
"169",1
"170",3
"171",5
"172",3
"173",4
"174",5
"175",6
"176",5
"177",4
"178",3
"179",5
"180",8
"181",5
"182",5
"183",1
"184",5
"185",8
"186",4
"187",5
"188",3
"189",5
"190",8
"191",4
"192",3
"193",5
"194",8
"195",5
"196",4
"197",8
"198",4
"199",1
"200",5
"201",3
"202",3
"203",5
"204",3
"205",4
"206",5
"207",5
"208",3
"209",6
"210",3
"211",3
"212",5
"213",5
"214",2
"215",8
"216",1
"217",5
"218",1
"219",5
"220",5
"221",1
"222",5
"223",5
"224",3
"225",5
"226",4
"227",5
"228",7
"229",5
"230",5
