"","x"
"1",0.502499697592898
"2",0.63332977554841
"3",2
"4",6
"5",1
"6",6
"7",4
"8",2
"9",6
"10",8
"11",8
"12",2
"13",2
"14",3
"15",6
"16",6
"17",3
"18",6
"19",7
"20",6
"21",2
"22",6
"23",1
"24",6
"25",3
"26",4
"27",3
"28",6
"29",5
"30",2
"31",6
"32",6
"33",6
"34",6
"35",2
"36",6
"37",4
"38",2
"39",6
"40",6
"41",8
"42",8
"43",6
"44",6
"45",6
"46",6
"47",6
"48",6
"49",8
"50",3
"51",7
"52",3
"53",6
"54",8
"55",8
"56",6
"57",6
"58",3
"59",3
"60",8
"61",3
"62",3
"63",1
"64",6
"65",6
"66",2
"67",2
"68",1
"69",1
"70",6
"71",8
"72",8
"73",6
"74",2
"75",3
"76",8
"77",3
"78",2
"79",3
"80",6
"81",6
"82",6
"83",2
"84",6
"85",8
"86",8
"87",8
"88",3
"89",6
"90",5
"91",2
"92",2
"93",2
"94",8
"95",7
"96",3
"97",8
"98",8
"99",6
"100",8
"101",2
"102",2
"103",2
"104",6
"105",2
"106",6
"107",8
"108",2
"109",4
"110",2
"111",8
"112",3
"113",6
"114",8
"115",3
"116",6
"117",8
"118",6
"119",6
"120",8
"121",6
"122",8
"123",8
"124",5
"125",4
"126",8
"127",6
"128",3
"129",6
"130",2
"131",1
"132",1
"133",1
"134",2
"135",6
"136",5
"137",8
"138",1
"139",3
"140",8
"141",4
"142",6
"143",6
"144",6
"145",6
"146",4
"147",8
"148",6
"149",6
"150",6
"151",8
"152",3
"153",2
"154",6
"155",1
"156",8
"157",2
"158",1
"159",6
"160",4
"161",6
"162",6
"163",3
"164",6
"165",3
"166",1
"167",5
"168",2
"169",3
"170",3
"171",2
"172",2
"173",8
"174",4
"175",4
"176",2
"177",2
"178",8
"179",3
"180",8
"181",4
"182",8
"183",4
"184",2
"185",6
"186",4
"187",1
"188",8
"189",6
"190",5
"191",7
"192",5
"193",6
"194",6
"195",6
"196",2
"197",2
"198",1
"199",5
"200",6
"201",6
"202",8
"203",2
"204",7
"205",6
"206",3
"207",2
"208",3
"209",7
"210",6
"211",3
"212",8
"213",2
"214",6
"215",8
"216",1
"217",6
"218",3
"219",6
"220",1
"221",4
"222",5
"223",8
"224",3
"225",2
"226",3
"227",6
"228",1
"229",3
"230",2
"231",6
"232",1
"233",1
"234",3
"235",3
"236",8
"237",8
"238",1
"239",2
"240",3
"241",3
"242",8
"243",8
"244",6
"245",8
"246",3
"247",6
"248",8
"249",2
"250",2
"251",6
"252",3
"253",2
"254",6
"255",6
"256",3
"257",2
"258",6
"259",3
"260",6
"261",1
"262",6
"263",1
"264",6
"265",1
"266",6
"267",3
"268",7
"269",8
"270",8
"271",6
"272",8
"273",2
"274",1
"275",6
"276",7
"277",8
"278",6
"279",4
"280",3
"281",4
"282",6
"283",1
"284",2
"285",8
"286",2
"287",4
"288",6
"289",8
"290",4
"291",2
"292",1
"293",3
"294",6
"295",8
"296",8
"297",2
"298",6
"299",8
"300",6
"301",3
"302",3
"303",2
"304",6
"305",8
"306",2
"307",6
"308",8
"309",4
"310",8
"311",6
"312",6
"313",6
"314",7
"315",6
"316",8
"317",2
"318",3
"319",6
"320",6
"321",8
"322",3
"323",2
"324",6
"325",6
"326",2
"327",1
"328",2
"329",6
"330",8
"331",6
"332",2
"333",6
"334",6
"335",3
"336",6
"337",6
"338",3
"339",6
"340",4
"341",6
"342",6
"343",3
"344",2
"345",6
"346",8
"347",6
"348",4
"349",8
"350",8
"351",3
"352",6
"353",2
"354",8
"355",6
"356",6
"357",8
"358",3
"359",6
"360",4
"361",8
"362",2
"363",3
"364",4
"365",5
"366",2
"367",6
"368",3
"369",3
"370",3
"371",2
"372",8
"373",8
"374",3
"375",8
"376",8
"377",3
"378",8
"379",6
"380",6
"381",8
"382",3
"383",8
"384",6
"385",6
"386",4
"387",6
"388",6
"389",8
"390",1
"391",6
"392",6
"393",3
"394",1
"395",6
"396",8
"397",8
"398",6
"399",1
"400",1
"401",6
"402",6
"403",8
"404",6
"405",1
"406",5
"407",6
"408",1
"409",4
"410",6
"411",4
"412",6
"413",1
"414",8
"415",1
"416",6
"417",8
"418",5
"419",7
"420",1
"421",7
"422",2
"423",6
"424",2
"425",8
"426",4
"427",8
"428",7
"429",6
"430",6
"431",7
"432",6
"433",5
"434",6
"435",2
"436",2
"437",2
"438",5
"439",1
"440",6
"441",6
"442",8
"443",2
"444",4
"445",6
"446",8
"447",6
"448",8
"449",8
"450",5
"451",2
"452",6
"453",6
"454",2
"455",6
"456",1
"457",2
"458",8
"459",3
"460",3
"461",2
"462",1
"463",1
"464",6
"465",2
"466",6
"467",8
"468",2
"469",8
"470",2
"471",6
"472",6
"473",7
"474",6
"475",2
"476",5
"477",1
"478",2
"479",6
"480",6
"481",2
"482",6
"483",3
"484",8
"485",6
"486",8
"487",3
"488",6
"489",6
"490",6
"491",6
"492",2
"493",2
"494",6
"495",3
"496",6
"497",3
"498",3
"499",6
"500",5
"501",4
"502",2
"503",6
"504",3
"505",4
"506",4
"507",8
"508",6
"509",6
"510",4
"511",7
"512",1
"513",6
"514",2
"515",6
"516",2
"517",8
"518",8
"519",2
"520",3
"521",2
"522",7
"523",2
"524",4
"525",8
"526",7
"527",6
"528",6
"529",3
"530",6
"531",2
"532",6
"533",6
"534",3
"535",6
"536",3
"537",1
"538",6
"539",7
"540",1
"541",5
"542",1
"543",1
"544",2
"545",6
"546",1
"547",2
"548",1
"549",6
"550",1
"551",6
"552",2
"553",6
"554",1
"555",2
"556",6
"557",6
"558",8
"559",2
"560",7
"561",6
"562",6
"563",6
"564",4
"565",2
"566",1
"567",8
"568",8
"569",7
"570",3
"571",2
"572",3
"573",2
"574",4
"575",2
"576",2
"577",8
"578",6
"579",3
"580",7
"581",6
"582",1
"583",6
"584",2
"585",2
"586",8
"587",3
"588",2
"589",2
"590",2
"591",2
"592",6
"593",8
"594",1
"595",8
"596",7
"597",5
"598",6
"599",7
"600",8
"601",4
"602",8
"603",6
"604",6
"605",5
"606",8
"607",3
"608",8
"609",1
"610",6
"611",7
"612",2
"613",8
"614",6
"615",6
"616",6
"617",6
"618",7
"619",2
"620",2
"621",2
"622",6
"623",2
"624",8
"625",3
"626",6
"627",2
"628",6
"629",3
"630",2
"631",3
"632",6
"633",3
"634",7
"635",4
"636",6
"637",7
"638",3
"639",1
"640",6
"641",3
"642",8
"643",6
"644",7
"645",6
"646",2
"647",6
"648",6
"649",3
"650",6
"651",6
"652",3
"653",5
"654",8
"655",3
"656",6
"657",6
"658",6
"659",1
"660",1
"661",2
"662",3
"663",2
"664",6
"665",2
"666",6
"667",2
"668",2
"669",1
"670",6
"671",3
"672",3
"673",2
"674",8
"675",6
"676",2
"677",4
"678",8
"679",7
"680",1
"681",6
"682",6
"683",8
"684",8
"685",6
"686",6
"687",3
"688",7
"689",6
"690",2
"691",1
"692",3
"693",6
"694",4
"695",3
"696",8
"697",2
"698",8
"699",5
"700",3
"701",6
"702",1
"703",2
"704",3
"705",6
"706",6
"707",2
"708",2
"709",1
"710",7
"711",6
"712",2
"713",2
"714",2
"715",1
"716",2
"717",2
"718",6
"719",2
"720",8
"721",6
"722",8
"723",6
"724",6
"725",3
"726",8
"727",6
"728",3
"729",8
"730",8
"731",3
"732",3
"733",1
"734",6
"735",6
"736",1
"737",1
"738",2
"739",2
"740",6
"741",2
"742",1
"743",6
"744",3
"745",1
"746",2
"747",6
"748",8
"749",6
"750",6
"751",7
"752",2
"753",3
"754",2
"755",2
"756",6
"757",1
"758",2
"759",3
"760",2
"761",6
"762",6
"763",6
"764",6
"765",6
"766",8
"767",6
"768",6
"769",8
"770",8
"771",6
"772",8
"773",1
"774",6
"775",3
"776",6
"777",2
"778",2
"779",4
"780",6
"781",6
"782",2
"783",6
"784",2
"785",8
"786",8
"787",8
"788",3
"789",1
"790",6
"791",8
"792",2
"793",1
"794",1
"795",6
"796",6
"797",6
"798",2
"799",3
"800",2
"801",5
"802",6
"803",2
"804",1
"805",6
"806",5
"807",2
"808",1
"809",6
"810",8
"811",8
"812",6
"813",3
"814",2
"815",2
"816",8
"817",4
"818",3
"819",7
"820",6
"821",6
"822",2
"823",6
"824",7
"825",2
"826",2
"827",2
"828",8
"829",3
"830",8
"831",2
"832",8
"833",8
"834",5
"835",2
"836",2
"837",6
"838",6
"839",2
"840",3
"841",6
"842",8
"843",6
"844",8
"845",6
"846",6
"847",3
"848",6
"849",8
"850",6
"851",6
"852",5
"853",6
"854",3
"855",8
"856",6
"857",3
"858",3
"859",8
"860",6
"861",8
"862",6
"863",4
"864",8
"865",6
"866",6
"867",6
"868",8
"869",6
"870",6
"871",7
"872",2
"873",3
"874",6
"875",4
"876",4
"877",8
"878",6
"879",3
"880",6
"881",6
"882",1
"883",1
"884",8
"885",6
"886",2
"887",1
"888",3
"889",6
"890",6
"891",7
"892",2
"893",2
"894",8
"895",6
"896",6
"897",7
"898",4
"899",1
"900",6
"901",2
"902",5
"903",8
"904",3
"905",3
"906",2
"907",3
"908",2
"909",6
"910",5
"911",6
"912",6
"913",4
"914",2
"915",8
"916",2
"917",2
"918",3
"919",8
"920",6
"921",6
"922",2
"923",3
"924",6
"925",6
"926",6
"927",4
"928",6
"929",1
"930",6
"931",8
"932",8
"933",6
"934",6
"935",6
"936",4
"937",6
"938",2
"939",3
"940",3
"941",2
"942",2
"943",2
"944",6
"945",1
"946",1
"947",1
"948",1
"949",6
"950",2
"951",2
"952",6
"953",6
"954",6
"955",4
"956",2
"957",6
"958",8
"959",6
"960",8
"961",6
"962",3
"963",2
"964",2
"965",2
"966",1
"967",6
"968",8
"969",3
"970",3
"971",2
"972",2
"973",6
"974",6
"975",2
"976",8
"977",1
"978",8
"979",2
"980",2
"981",7
"982",6
"983",8
"984",6
"985",3
"986",6
"987",3
"988",3
"989",8
"990",6
"991",2
"992",3
"993",4
"994",2
"995",8
"996",4
"997",6
"998",8
"999",1
"1000",2
"1001",2
"1002",3
"1003",2
"1004",3
"1005",3
"1006",4
"1007",1
"1008",6
"1009",5
"1010",2
"1011",2
"1012",7
"1013",2
"1014",5
"1015",6
"1016",5
"1017",3
"1018",8
"1019",6
"1020",3
"1021",6
"1022",3
"1023",6
"1024",6
"1025",6
"1026",6
"1027",6
"1028",6
"1029",3
"1030",6
"1031",8
"1032",6
"1033",6
"1034",3
"1035",4
"1036",2
"1037",3
"1038",3
"1039",2
"1040",6
"1041",6
"1042",6
"1043",1
"1044",3
"1045",6
"1046",3
"1047",2
"1048",8
"1049",3
"1050",6
"1051",1
"1052",2
"1053",3
"1054",6
"1055",8
"1056",6
"1057",2
