"","x"
"1",0.826611561610161
"2",0.831135226636674
"3",5
"4",6
"5",5
"6",5
"7",6
"8",6
"9",5
"10",3
"11",5
"12",2
"13",2
"14",5
"15",4
"16",5
"17",5
"18",1
"19",6
"20",2
"21",5
"22",6
"23",2
"24",3
"25",2
"26",5
"27",1
"28",6
"29",2
"30",2
"31",2
"32",5
"33",5
"34",9
"35",6
"36",6
"37",9
"38",2
"39",2
"40",5
"41",3
"42",6
"43",6
"44",2
"45",6
"46",2
"47",6
"48",6
"49",2
"50",5
"51",6
"52",5
"53",6
"54",5
"55",4
"56",2
"57",2
"58",6
"59",6
"60",2
"61",5
"62",2
"63",5
"64",5
"65",5
"66",2
"67",2
"68",9
"69",6
"70",5
"71",6
"72",5
"73",4
"74",2
"75",2
"76",6
"77",6
"78",1
"79",5
"80",2
"81",2
"82",2
"83",7
"84",9
"85",5
"86",9
"87",5
"88",3
"89",1
"90",9
"91",2
"92",2
"93",4
"94",2
"95",6
"96",5
"97",4
"98",2
"99",8
"100",5
"101",2
"102",2
"103",7
"104",5
"105",6
"106",2
"107",3
"108",5
"109",2
"110",2
"111",2
"112",6
"113",6
"114",5
"115",4
"116",3
"117",2
"118",6
"119",5
"120",2
"121",5
"122",5
"123",5
"124",6
"125",2
"126",5
"127",2
"128",3
"129",5
"130",5
"131",2
"132",6
"133",1
"134",7
"135",2
"136",2
"137",5
"138",1
"139",5
"140",6
"141",5
"142",2
"143",6
"144",9
"145",5
"146",2
"147",5
"148",3
"149",5
"150",4
"151",5
"152",9
"153",5
"154",2
"155",2
"156",5
"157",6
"158",2
"159",6
"160",2
"161",6
"162",2
"163",2
"164",6
"165",5
"166",2
"167",5
"168",2
"169",5
"170",2
"171",6
"172",6
"173",2
"174",5
"175",1
"176",6
"177",2
"178",2
"179",5
"180",7
"181",2
"182",9
"183",6
"184",5
"185",5
"186",9
"187",5
"188",9
"189",3
"190",5
"191",5
"192",5
"193",6
"194",5
"195",1
"196",8
"197",5
"198",5
"199",5
"200",3
"201",9
"202",5
"203",3
"204",5
"205",9
"206",8
"207",5
"208",5
"209",1
"210",5
"211",1
"212",5
"213",3
"214",5
"215",3
"216",5
"217",5
"218",8
"219",3
"220",5
"221",5
"222",8
"223",8
"224",6
"225",7
"226",3
"227",3
"228",9
"229",5
"230",5
"231",5
"232",6
"233",5
"234",6
"235",9
"236",9
"237",2
"238",7
"239",5
"240",8
"241",9
"242",9
"243",9
"244",3
"245",8
"246",5
"247",1
"248",8
"249",1
"250",3
"251",5
"252",8
"253",8
"254",3
"255",8
"256",9
"257",5
"258",8
"259",5
"260",9
"261",8
"262",3
"263",8
"264",6
"265",3
"266",8
"267",6
"268",5
"269",5
"270",3
"271",4
"272",9
"273",4
"274",5
"275",8
"276",5
"277",4
"278",4
"279",5
"280",5
"281",4
"282",5
"283",5
"284",3
"285",5
"286",5
"287",5
"288",5
"289",3
"290",7
"291",9
"292",9
"293",5
"294",3
"295",9
"296",5
"297",6
"298",1
"299",1
"300",5
"301",5
"302",8
"303",4
"304",8
"305",6
"306",9
"307",9
"308",5
"309",8
"310",6
"311",4
"312",6
"313",9
"314",6
"315",8
"316",5
"317",9
"318",5
"319",6
"320",4
"321",5
"322",8
"323",5
"324",5
"325",5
"326",9
"327",8
"328",5
"329",8
"330",8
"331",3
"332",5
"333",9
"334",6
"335",1
"336",3
"337",5
"338",5
"339",9
"340",5
"341",5
"342",9
"343",3
"344",6
"345",3
"346",9
"347",9
"348",6
"349",5
"350",8
"351",5
"352",8
"353",8
"354",5
"355",8
"356",5
"357",5
"358",5
"359",5
"360",9
"361",5
"362",5
"363",8
"364",4
"365",5
"366",1
"367",5
"368",5
"369",3
"370",9
"371",3
"372",5
"373",8
"374",5
"375",8
"376",4
"377",4
"378",5
"379",5
"380",5
"381",3
"382",3
"383",1
"384",2
"385",5
"386",4
"387",8
"388",5
"389",8
"390",3
"391",1
"392",9
"393",5
"394",6
"395",5
"396",5
"397",5
"398",8
"399",5
"400",3
"401",5
"402",3
"403",8
"404",5
"405",3
"406",8
"407",8
"408",3
"409",5
"410",5
"411",4
"412",5
"413",5
"414",5
"415",5
"416",3
"417",5
"418",4
"419",5
"420",9
"421",5
"422",1
"423",5
"424",5
"425",4
"426",5
"427",5
"428",9
"429",5
"430",4
"431",5
"432",5
"433",5
"434",5
"435",1
"436",9
"437",3
"438",8
"439",3
"440",4
"441",6
"442",5
"443",6
"444",9
"445",5
"446",5
"447",5
"448",5
"449",4
"450",5
"451",5
"452",5
"453",5
"454",5
"455",4
"456",9
"457",5
"458",5
"459",5
"460",1
"461",3
"462",5
"463",5
"464",4
"465",5
"466",5
"467",5
"468",1
"469",5
"470",5
"471",5
"472",8
"473",6
"474",5
"475",3
"476",6
"477",3
"478",7
"479",5
"480",9
"481",4
"482",5
"483",3
"484",4
"485",5
"486",4
"487",8
"488",5
"489",1
"490",8
"491",5
"492",5
"493",5
"494",8
"495",8
"496",8
"497",8
"498",5
"499",5
"500",8
"501",5
"502",3
"503",5
"504",8
"505",5
"506",3
"507",8
"508",5
"509",8
"510",7
"511",5
"512",5
"513",3
"514",8
"515",7
"516",9
"517",1
"518",8
"519",5
"520",8
"521",7
"522",5
"523",4
"524",5
"525",9
"526",8
"527",8
"528",8
"529",8
"530",6
"531",5
"532",3
"533",5
"534",5
"535",8
"536",5
"537",8
"538",5
"539",2
"540",5
"541",3
"542",3
"543",2
"544",9
"545",5
"546",5
"547",3
"548",8
"549",5
"550",6
"551",8
"552",5
"553",5
"554",3
"555",9
"556",1
"557",5
"558",5
"559",5
"560",3
"561",5
"562",5
"563",5
"564",8
"565",5
"566",4
"567",3
"568",8
"569",9
"570",7
"571",5
"572",8
"573",9
"574",5
"575",5
"576",7
"577",1
"578",3
"579",3
"580",5
"581",8
"582",5
"583",5
"584",5
"585",7
"586",9
"587",8
"588",5
"589",5
"590",4
"591",9
"592",5
"593",8
"594",3
"595",7
"596",5
"597",3
"598",8
"599",5
"600",8
"601",4
"602",8
"603",5
"604",8
"605",5
"606",4
"607",5
"608",5
"609",5
"610",3
"611",9
"612",5
"613",9
"614",5
"615",5
"616",5
"617",5
"618",8
"619",8
"620",4
"621",6
"622",3
"623",1
"624",6
"625",3
"626",9
"627",5
"628",3
"629",8
"630",9
"631",1
"632",5
"633",5
"634",9
"635",9
"636",9
"637",8
"638",5
"639",8
"640",3
"641",9
"642",8
"643",8
"644",5
"645",5
"646",1
"647",5
"648",5
"649",8
"650",2
"651",2
"652",5
"653",5
"654",1
"655",3
"656",5
"657",7
"658",5
"659",8
"660",5
"661",5
"662",9
"663",9
"664",8
"665",3
"666",5
"667",5
"668",8
"669",8
"670",5
"671",7
"672",5
"673",5
"674",8
"675",1
"676",5
"677",9
"678",3
"679",3
"680",9
"681",5
"682",3
"683",5
"684",5
"685",5
"686",8
"687",8
"688",3
"689",5
"690",5
"691",9
"692",9
"693",3
"694",1
"695",1
"696",3
"697",5
"698",7
"699",5
"700",9
"701",5
"702",5
"703",8
"704",5
"705",5
"706",5
"707",5
"708",5
"709",5
"710",5
"711",1
"712",5
"713",5
"714",5
"715",6
"716",5
"717",9
"718",5
"719",3
"720",9
"721",1
"722",8
"723",5
"724",6
"725",3
"726",5
"727",5
"728",5
"729",5
"730",3
"731",6
"732",5
"733",5
"734",5
"735",6
"736",3
"737",5
"738",3
"739",3
"740",8
"741",6
"742",5
"743",5
"744",3
"745",8
"746",3
"747",3
"748",5
"749",3
"750",5
"751",6
"752",8
"753",6
"754",8
"755",1
"756",4
"757",2
"758",5
"759",6
"760",4
"761",5
"762",5
"763",5
"764",2
"765",3
"766",5
"767",2
"768",5
"769",5
"770",6
"771",4
"772",5
"773",5
"774",2
"775",2
"776",6
"777",4
"778",5
"779",6
"780",5
"781",5
"782",7
"783",5
"784",5
"785",5
"786",6
"787",6
"788",6
"789",4
"790",6
"791",7
"792",5
"793",3
"794",4
"795",5
"796",4
"797",5
"798",2
"799",5
"800",4
"801",5
"802",5
"803",3
"804",5
"805",2
"806",2
"807",7
"808",4
"809",7
"810",4
"811",3
"812",5
"813",6
"814",5
"815",2
"816",5
"817",4
"818",5
"819",6
"820",6
"821",5
"822",5
"823",5
"824",3
"825",5
"826",4
"827",5
"828",5
"829",6
"830",4
"831",5
"832",5
"833",2
"834",4
"835",4
"836",2
"837",5
"838",2
"839",5
"840",5
"841",5
"842",5
"843",5
"844",2
"845",5
"846",5
"847",5
"848",3
"849",5
"850",3
"851",5
"852",5
"853",5
"854",3
"855",2
"856",5
"857",6
"858",3
"859",8
"860",1
"861",8
"862",8
"863",5
"864",6
"865",5
"866",1
"867",3
"868",6
"869",5
"870",2
"871",2
"872",2
"873",8
"874",2
"875",4
"876",5
"877",8
"878",3
"879",5
"880",6
"881",2
"882",3
"883",2
"884",3
"885",3
"886",2
"887",7
"888",6
"889",6
"890",6
"891",2
"892",8
"893",5
"894",5
"895",5
"896",5
"897",8
"898",5
"899",7
"900",5
"901",5
"902",3
"903",7
"904",2
"905",6
"906",5
"907",6
"908",9
"909",5
"910",5
"911",3
"912",5
"913",6
"914",5
"915",5
"916",8
"917",5
"918",3
"919",6
"920",1
"921",5
"922",6
"923",6
"924",5
"925",5
"926",4
"927",5
"928",5
"929",1
"930",4
"931",9
"932",5
"933",6
"934",3
"935",5
"936",2
"937",5
"938",9
"939",3
"940",3
"941",7
"942",5
"943",5
"944",5
"945",5
"946",5
"947",4
"948",5
"949",5
"950",6
"951",5
"952",5
"953",5
"954",4
"955",5
"956",4
"957",6
"958",5
"959",5
"960",5
"961",5
"962",3
"963",5
"964",2
"965",5
"966",5
"967",5
"968",6
"969",5
"970",5
"971",4
"972",4
"973",8
"974",8
"975",1
"976",5
"977",5
"978",4
"979",6
"980",6
"981",5
"982",6
"983",3
"984",2
"985",5
"986",5
"987",4
"988",5
"989",3
"990",6
"991",5
"992",4
"993",6
"994",5
"995",5
"996",3
"997",3
"998",4
"999",4
"1000",7
"1001",6
"1002",5
"1003",4
"1004",3
"1005",6
"1006",5
"1007",3
"1008",5
"1009",1
"1010",4
"1011",6
"1012",2
"1013",5
"1014",5
"1015",6
"1016",4
"1017",6
"1018",5
"1019",5
"1020",6
"1021",3
"1022",4
"1023",5
"1024",3
"1025",2
"1026",5
"1027",1
"1028",5
"1029",5
"1030",3
"1031",7
"1032",5
"1033",5
"1034",3
"1035",6
"1036",3
"1037",5
"1038",5
"1039",6
"1040",6
"1041",7
"1042",4
"1043",1
"1044",6
"1045",5
"1046",5
"1047",6
"1048",5
"1049",5
"1050",5
"1051",6
"1052",5
"1053",6
"1054",5
"1055",5
"1056",4
"1057",5
"1058",3
"1059",5
"1060",5
"1061",5
"1062",6
"1063",5
"1064",6
"1065",3
"1066",5
"1067",5
"1068",5
"1069",2
"1070",5
"1071",6
"1072",6
"1073",7
"1074",1
"1075",5
"1076",5
"1077",6
"1078",1
"1079",5
"1080",5
"1081",5
"1082",4
"1083",5
"1084",6
"1085",4
"1086",8
"1087",3
"1088",2
"1089",2
"1090",1
"1091",5
"1092",5
"1093",5
"1094",5
"1095",1
"1096",4
"1097",6
"1098",6
"1099",6
"1100",5
"1101",5
"1102",3
"1103",3
"1104",5
"1105",5
"1106",6
"1107",3
"1108",3
"1109",5
"1110",4
"1111",3
"1112",5
"1113",5
"1114",5
"1115",5
"1116",5
"1117",6
"1118",6
"1119",6
"1120",4
"1121",5
"1122",6
"1123",3
"1124",2
"1125",5
"1126",6
"1127",5
"1128",6
"1129",8
"1130",6
"1131",6
"1132",5
"1133",6
"1134",2
"1135",6
"1136",5
"1137",4
"1138",6
"1139",6
"1140",5
"1141",5
"1142",5
"1143",5
"1144",4
"1145",4
"1146",6
"1147",6
"1148",6
"1149",5
"1150",5
"1151",6
"1152",5
"1153",5
"1154",5
"1155",7
"1156",4
"1157",5
"1158",5
"1159",6
"1160",5
"1161",9
"1162",5
"1163",3
"1164",6
"1165",2
"1166",5
"1167",6
"1168",6
"1169",3
"1170",5
"1171",5
"1172",3
"1173",5
"1174",2
"1175",6
"1176",6
"1177",3
"1178",5
"1179",5
"1180",5
"1181",5
"1182",6
"1183",4
"1184",6
"1185",3
"1186",4
"1187",4
"1188",5
"1189",6
"1190",1
"1191",5
"1192",5
"1193",6
"1194",4
"1195",5
"1196",6
"1197",5
"1198",6
"1199",5
"1200",6
"1201",6
"1202",6
"1203",7
"1204",5
"1205",5
"1206",5
"1207",6
"1208",3
"1209",5
"1210",2
"1211",4
"1212",5
"1213",5
"1214",2
"1215",5
"1216",5
"1217",2
"1218",5
"1219",5
"1220",4
"1221",6
"1222",3
