"","x"
"1",0.648425703066443
"2",0.676655834393829
"3",1
"4",2
"5",1
"6",3
"7",1
"8",1
"9",1
"10",4
"11",4
"12",3
"13",1
"14",1
"15",5
"16",1
"17",1
"18",1
"19",1
"20",1
"21",4
"22",4
"23",4
"24",4
"25",1
"26",5
"27",1
"28",3
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",4
"36",1
"37",1
"38",1
"39",3
"40",1
"41",4
"42",4
"43",1
"44",1
"45",1
"46",1
"47",4
"48",3
"49",1
"50",2
"51",4
"52",4
"53",1
"54",1
"55",1
"56",1
"57",4
"58",1
"59",3
"60",1
"61",4
"62",4
"63",4
"64",4
"65",1
"66",1
"67",1
"68",5
"69",1
"70",1
"71",4
"72",1
"73",5
"74",4
"75",1
"76",1
"77",1
"78",1
"79",4
"80",1
"81",1
"82",3
"83",1
"84",1
"85",4
"86",1
"87",1
"88",1
"89",4
"90",4
"91",1
"92",1
"93",5
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",4
"102",5
"103",1
"104",1
"105",4
"106",3
"107",1
"108",1
"109",1
"110",4
"111",4
"112",1
"113",1
"114",3
"115",1
"116",1
"117",4
"118",1
"119",1
"120",4
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",3
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",3
"136",4
"137",1
"138",1
"139",4
"140",1
"141",1
"142",1
"143",3
"144",1
"145",5
"146",1
"147",4
"148",1
"149",1
"150",3
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",4
"163",4
"164",1
"165",1
"166",1
"167",3
"168",1
"169",3
"170",4
"171",1
"172",3
"173",5
"174",5
"175",1
"176",5
"177",4
"178",4
"179",1
"180",1
"181",1
"182",4
"183",5
"184",1
"185",1
"186",1
"187",4
"188",4
"189",1
"190",1
"191",4
"192",1
"193",5
"194",5
"195",4
"196",3
"197",1
"198",3
"199",1
"200",3
"201",1
"202",1
"203",2
"204",4
"205",1
"206",4
"207",1
"208",2
"209",1
"210",1
"211",1
"212",1
"213",2
"214",2
"215",3
"216",5
"217",1
"218",1
"219",4
"220",5
"221",1
"222",1
"223",1
"224",5
"225",1
"226",1
"227",4
"228",1
"229",1
"230",4
"231",1
"232",3
"233",3
"234",4
