"","x"
"1",0.905541876666099
"2",0.789075082508617
"3",4
"4",3
"5",4
"6",4
"7",4
"8",4
"9",4
"10",3
"11",3
"12",4
"13",4
"14",4
"15",5
"16",4
"17",4
"18",4
"19",4
"20",4
"21",3
"22",3
"23",3
"24",3
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",3
"36",4
"37",4
"38",4
"39",4
"40",4
"41",3
"42",4
"43",4
"44",4
"45",4
"46",4
"47",3
"48",4
"49",4
"50",3
"51",3
"52",3
"53",4
"54",4
"55",4
"56",4
"57",3
"58",4
"59",4
"60",4
"61",3
"62",3
"63",4
"64",3
"65",4
"66",4
"67",4
"68",2
"69",4
"70",4
"71",3
"72",4
"73",4
"74",3
"75",4
"76",4
"77",4
"78",4
"79",3
"80",4
"81",4
"82",4
"83",4
"84",4
"85",3
"86",4
"87",4
"88",4
"89",3
"90",3
"91",4
"92",4
"93",2
"94",4
"95",4
"96",4
"97",4
"98",4
"99",4
"100",4
"101",3
"102",2
"103",4
"104",4
"105",3
"106",4
"107",4
"108",4
"109",4
"110",3
"111",3
"112",4
"113",4
"114",4
"115",4
"116",4
"117",3
"118",4
"119",4
"120",3
"121",4
"122",4
"123",4
"124",4
"125",4
"126",4
"127",4
"128",4
"129",4
"130",4
"131",4
"132",4
"133",4
"134",4
"135",4
"136",3
"137",4
"138",4
"139",3
"140",4
"141",4
"142",4
"143",4
"144",4
"145",2
"146",4
"147",3
"148",4
"149",4
"150",4
"151",4
"152",4
"153",4
"154",4
"155",4
"156",4
"157",4
"158",4
"159",4
"160",4
"161",4
"162",3
"163",3
"164",4
"165",4
"166",4
"167",4
"168",4
"169",4
"170",5
"171",4
"172",4
"173",2
"174",5
"175",4
"176",2
"177",3
"178",4
"179",4
"180",4
"181",4
"182",3
"183",2
"184",4
"185",4
"186",4
"187",3
"188",3
"189",4
"190",4
"191",3
"192",4
"193",5
"194",4
"195",3
"196",4
"197",4
"198",4
"199",4
"200",4
"201",4
"202",4
"203",3
"204",3
"205",4
"206",3
"207",4
"208",3
"209",4
"210",4
"211",4
"212",4
"213",3
"214",2
"215",4
"216",5
"217",4
"218",4
"219",3
"220",4
"221",4
"222",4
"223",4
"224",2
"225",4
"226",4
"227",3
"228",4
"229",4
"230",3
"231",4
"232",4
"233",4
"234",3
"235",3
"236",4
"237",4
"238",4
"239",3
"240",4
"241",4
"242",3
"243",4
"244",4
"245",4
"246",4
"247",4
"248",4
"249",3
"250",4
"251",3
"252",4
"253",4
"254",4
"255",4
"256",3
"257",4
"258",5
"259",4
"260",4
"261",4
"262",4
"263",4
"264",4
"265",3
"266",4
"267",3
"268",4
"269",4
"270",4
"271",4
"272",4
"273",3
"274",4
"275",3
"276",4
"277",3
"278",4
"279",4
"280",4
"281",4
"282",4
"283",3
"284",4
"285",4
"286",3
"287",4
"288",4
"289",3
"290",4
"291",3
"292",3
"293",4
"294",4
"295",4
"296",4
"297",4
"298",4
"299",4
"300",4
"301",4
"302",4
"303",4
"304",4
"305",4
"306",4
"307",4
"308",4
"309",4
"310",4
"311",4
"312",4
"313",4
"314",4
"315",4
"316",4
"317",4
"318",4
"319",4
"320",3
"321",4
"322",4
"323",4
"324",3
"325",4
"326",4
"327",4
"328",3
"329",4
"330",4
"331",4
"332",3
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",5
"345",2
"346",5
"347",4
"348",4
"349",4
"350",4
"351",3
"352",3
"353",3
"354",4
"355",4
"356",4
"357",4
"358",4
"359",4
"360",3
"361",4
"362",4
"363",4
"364",4
"365",4
"366",4
"367",3
"368",4
"369",4
"370",4
"371",4
"372",3
"373",4
"374",4
"375",4
"376",4
"377",4
"378",4
"379",4
"380",4
"381",3
"382",4
"383",4
"384",4
"385",4
"386",4
"387",3
"388",5
"389",4
"390",2
"391",4
"392",4
"393",4
"394",4
"395",4
"396",4
"397",4
"398",4
"399",3
"400",4
"401",4
"402",4
"403",4
"404",4
"405",4
"406",4
"407",4
"408",3
"409",4
"410",3
"411",4
"412",4
"413",4
"414",4
"415",3
"416",4
"417",4
"418",4
"419",4
"420",4
"421",4
"422",4
"423",3
"424",3
"425",4
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",4
"433",2
"434",4
"435",3
"436",4
"437",4
"438",4
"439",5
"440",2
"441",2
"442",3
"443",4
"444",4
"445",3
"446",4
"447",4
"448",3
"449",3
"450",4
"451",4
"452",5
"453",4
"454",3
"455",4
"456",4
"457",4
"458",4
"459",4
"460",4
"461",3
"462",4
"463",4
"464",2
"465",4
"466",3
"467",4
"468",4
"469",4
"470",2
"471",4
"472",4
"473",4
"474",3
"475",3
"476",4
"477",4
"478",4
"479",4
"480",4
"481",4
"482",3
"483",5
"484",4
"485",5
"486",4
"487",4
"488",4
"489",4
"490",4
"491",3
"492",4
"493",3
"494",4
"495",4
"496",3
"497",4
"498",4
"499",3
"500",4
"501",3
"502",4
"503",4
"504",3
"505",3
"506",4
"507",2
"508",4
"509",4
"510",4
"511",4
"512",4
"513",4
"514",4
"515",4
"516",4
"517",3
"518",3
"519",3
"520",4
"521",4
"522",4
"523",4
"524",3
"525",4
"526",3
"527",4
"528",4
"529",4
"530",4
"531",4
"532",3
"533",4
"534",3
"535",3
"536",3
"537",4
"538",4
"539",4
"540",4
"541",3
"542",4
"543",4
"544",2
"545",3
"546",3
"547",4
"548",4
"549",3
"550",4
