"","x"
"1",0.781047658358155
"2",0.840069693615717
"3",1
"4",2
"5",3
"6",4
"7",4
"8",2
"9",5
"10",1
"11",2
"12",4
"13",4
"14",4
"15",1
"16",3
"17",1
"18",4
"19",3
"20",1
"21",4
"22",3
"23",1
"24",4
"25",5
"26",5
"27",1
"28",4
"29",2
"30",3
"31",2
"32",3
"33",2
"34",4
"35",5
"36",1
"37",4
"38",1
"39",4
"40",6
"41",2
"42",3
"43",4
"44",2
"45",3
"46",4
"47",4
"48",5
"49",4
"50",4
"51",5
"52",4
"53",4
"54",2
"55",1
"56",4
"57",4
"58",3
"59",4
"60",4
"61",1
"62",4
"63",4
"64",3
"65",4
"66",1
"67",4
"68",3
"69",2
"70",1
"71",4
"72",5
"73",4
"74",3
"75",4
"76",5
"77",4
"78",4
"79",2
"80",4
"81",4
"82",1
"83",4
"84",2
"85",1
"86",2
"87",4
"88",4
"89",1
"90",4
"91",4
"92",4
"93",2
"94",1
"95",2
"96",4
"97",1
"98",4
"99",4
"100",4
"101",2
"102",2
"103",2
"104",1
"105",4
"106",2
"107",4
"108",1
"109",4
"110",1
"111",4
"112",4
"113",1
"114",4
"115",2
"116",1
"117",4
"118",4
"119",4
"120",4
"121",1
"122",2
"123",1
"124",4
"125",2
"126",4
"127",1
"128",4
"129",1
"130",2
"131",3
"132",5
"133",3
"134",5
"135",3
"136",3
"137",3
"138",3
"139",5
"140",5
"141",5
"142",5
"143",1
"144",1
"145",1
"146",6
"147",1
"148",5
"149",3
"150",5
"151",3
"152",3
"153",5
"154",5
"155",3
"156",5
"157",3
"158",5
"159",5
"160",3
"161",3
"162",5
"163",5
"164",3
"165",6
"166",4
"167",4
"168",4
"169",4
"170",4
"171",1
"172",1
"173",1
"174",2
"175",4
"176",3
"177",4
"178",2
"179",3
"180",5
"181",4
"182",1
"183",1
"184",1
"185",3
"186",3
"187",4
"188",4
"189",4
"190",4
"191",5
"192",2
"193",4
"194",4
"195",4
"196",4
"197",2
"198",5
"199",4
"200",4
"201",4
"202",4
"203",4
"204",4
"205",4
"206",4
"207",4
"208",1
"209",1
"210",1
"211",3
"212",3
"213",1
"214",1
"215",3
"216",3
"217",5
"218",5
"219",5
"220",4
