"","x"
"1",0.354050157928645
"2",0.441674328626119
"3",6
"4",1
"5",5
"6",1
"7",1
"8",5
"9",5
"10",6
"11",1
"12",1
"13",1
"14",1
"15",3
"16",5
"17",6
"18",1
"19",5
"20",6
"21",1
"22",5
"23",6
"24",1
"25",5
"26",5
"27",6
"28",1
"29",1
"30",5
"31",1
"32",5
"33",1
"34",1
"35",5
"36",6
"37",1
"38",6
"39",4
"40",5
"41",1
"42",5
"43",1
"44",1
"45",5
"46",4
"47",1
"48",5
"49",1
"50",1
"51",1
"52",4
"53",1
"54",1
"55",6
"56",1
"57",4
"58",5
"59",1
"60",1
"61",6
"62",1
"63",1
"64",5
"65",1
"66",6
"67",1
"68",5
"69",1
"70",6
"71",1
"72",5
"73",1
"74",5
"75",1
"76",5
"77",3
"78",4
"79",5
"80",3
"81",4
"82",2
"83",4
"84",2
"85",3
"86",5
"87",4
"88",3
"89",3
"90",1
"91",3
"92",4
"93",3
"94",3
"95",5
"96",3
"97",6
"98",3
"99",4
"100",3
"101",3
"102",4
"103",4
"104",3
"105",4
"106",3
"107",1
"108",3
"109",1
"110",2
"111",1
"112",3
"113",3
"114",3
"115",3
"116",2
"117",3
"118",3
"119",3
"120",3
"121",6
"122",5
"123",5
"124",3
"125",3
"126",3
"127",3
"128",4
"129",5
"130",5
"131",4
"132",3
"133",5
"134",3
"135",5
"136",5
"137",5
"138",5
"139",5
"140",5
"141",1
"142",3
"143",6
"144",6
"145",6
"146",5
"147",3
"148",3
"149",4
"150",3
"151",4
"152",5
"153",3
"154",5
"155",5
"156",5
"157",5
"158",1
"159",5
"160",5
"161",5
"162",3
"163",3
"164",4
"165",5
"166",1
"167",4
"168",4
"169",4
"170",4
"171",6
"172",6
"173",6
"174",1
"175",4
"176",4
"177",4
"178",4
"179",5
"180",5
"181",4
"182",6
"183",6
"184",6
"185",5
"186",5
"187",4
"188",1
"189",3
"190",4
"191",1
"192",2
"193",1
"194",1
"195",1
"196",4
"197",2
"198",1
"199",4
"200",4
"201",4
"202",4
"203",1
"204",4
"205",4
"206",4
"207",4
"208",6
"209",6
"210",6
"211",5
"212",5
"213",2
"214",2
"215",5
"216",5
"217",4
"218",5
"219",1
"220",1
"221",4
"222",6
"223",6
"224",5
"225",5
"226",5
"227",5
"228",1
"229",4
"230",1
"231",4
"232",2
"233",4
"234",4
"235",4
"236",1
"237",4
"238",5
"239",5
"240",5
"241",4
"242",4
"243",1
"244",1
"245",1
"246",4
"247",4
"248",1
"249",1
"250",4
"251",1
"252",4
"253",2
"254",6
"255",5
"256",6
"257",3
"258",4
"259",1
"260",1
"261",4
"262",4
"263",4
"264",6
"265",6
"266",6
"267",5
"268",5
"269",5
"270",6
"271",4
"272",5
"273",1
"274",1
"275",4
"276",6
"277",6
"278",5
"279",5
"280",5
"281",1
"282",4
"283",4
"284",4
"285",4
"286",1
"287",1
"288",4
"289",1
"290",1
"291",1
"292",4
"293",5
"294",1
"295",4
"296",1
"297",1
"298",1
"299",4
"300",4
"301",6
"302",6
"303",6
"304",4
"305",6
"306",5
"307",5
"308",4
"309",1
"310",4
"311",1
"312",4
"313",6
"314",6
"315",6
"316",5
"317",5
"318",1
"319",5
"320",1
"321",1
"322",1
"323",1
"324",6
"325",6
"326",6
"327",5
"328",3
"329",5
"330",1
"331",1
"332",4
"333",1
"334",4
"335",1
"336",1
"337",4
"338",2
"339",1
"340",1
"341",4
"342",3
"343",1
