"","x"
"1",0.792267908143246
"2",0.748091645335356
"3",4
"4",2
"5",3
"6",2
"7",2
"8",2
"9",1
"10",5
"11",2
"12",2
"13",2
"14",2
"15",4
"16",2
"17",6
"18",2
"19",3
"20",4
"21",2
"22",3
"23",5
"24",2
"25",1
"26",1
"27",6
"28",2
"29",2
"30",3
"31",2
"32",3
"33",2
"34",2
"35",1
"36",6
"37",2
"38",6
"39",2
"40",1
"41",1
"42",3
"43",2
"44",2
"45",3
"46",2
"47",2
"48",1
"49",2
"50",2
"51",1
"52",2
"53",2
"54",2
"55",4
"56",2
"57",2
"58",3
"59",2
"60",2
"61",4
"62",2
"63",6
"64",3
"65",2
"66",4
"67",2
"68",3
"69",2
"70",4
"71",2
"72",1
"73",2
"74",3
"75",2
"76",1
"77",2
"78",2
"79",2
"80",2
"81",2
"82",5
"83",2
"84",2
"85",5
"86",2
"87",2
"88",2
"89",4
"90",2
"91",2
"92",2
"93",2
"94",4
"95",2
"96",2
"97",5
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",4
"109",2
"110",5
"111",2
"112",2
"113",5
"114",2
"115",2
"116",5
"117",2
"118",2
"119",2
"120",2
"121",3
"122",2
"123",4
"124",2
"125",2
"126",2
"127",5
"128",2
"129",4
"130",2
"131",3
"132",1
"133",3
"134",1
"135",3
"136",3
"137",3
"138",3
"139",1
"140",1
"141",1
"142",1
"143",4
"144",6
"145",5
"146",1
"147",4
"148",1
"149",1
"150",1
"151",3
"152",3
"153",1
"154",1
"155",3
"156",1
"157",3
"158",1
"159",1
"160",3
"161",3
"162",1
"163",1
"164",3
"165",1
"166",2
"167",2
"168",2
"169",2
"170",2
"171",4
"172",5
"173",5
"174",2
"175",2
"176",3
"177",2
"178",2
"179",3
"180",1
"181",2
"182",5
"183",5
"184",5
"185",3
"186",3
"187",2
"188",2
"189",2
"190",2
"191",1
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",1
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",4
"209",5
"210",4
"211",3
"212",3
"213",5
"214",4
"215",3
"216",3
"217",1
"218",1
"219",1
"220",2
"221",2
"222",4
"223",4
"224",5
"225",3
"226",3
"227",1
"228",2
"229",2
"230",2
"231",2
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",3
"239",1
"240",5
"241",2
"242",2
"243",2
"244",2
"245",2
"246",2
"247",2
"248",2
"249",2
"250",2
"251",2
"252",4
"253",4
"254",5
"255",3
"256",5
"257",2
"258",2
"259",2
"260",2
"261",2
"262",2
"263",2
"264",5
"265",4
"266",5
"267",3
"268",3
"269",1
"270",4
"271",3
"272",3
"273",1
"274",2
"275",2
"276",5
"277",4
"278",3
"279",3
"280",1
"281",2
"282",2
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",2
"293",1
"294",2
"295",2
"296",2
"297",2
"298",2
"299",2
"300",2
"301",4
"302",5
"303",4
"304",2
"305",4
"306",3
"307",1
"308",2
"309",2
"310",2
"311",2
"312",2
"313",5
"314",5
"315",5
"316",3
"317",3
"318",1
"319",1
"320",1
"321",1
"322",2
"323",2
"324",4
"325",5
"326",5
"327",3
"328",1
"329",1
"330",2
"331",2
"332",2
"333",2
"334",2
"335",2
"336",2
"337",2
"338",5
"339",2
"340",2
"341",2
"342",1
"343",2
"344",2
"345",2
"346",2
"347",2
"348",2
"349",2
"350",2
"351",3
"352",5
"353",5
"354",2
"355",5
"356",5
"357",4
"358",4
"359",3
"360",1
"361",6
"362",2
"363",2
"364",2
"365",2
"366",5
"367",4
"368",5
"369",5
"370",3
"371",3
"372",1
