"","x"
"1",0.171700014271063
"2",0.355380465362874
"3",10
"4",4
"5",1
"6",7
"7",1
"8",4
"9",6
"10",1
"11",7
"12",6
"13",6
"14",6
"15",7
"16",6
"17",4
"18",8
"19",9
"20",6
"21",6
"22",7
"23",1
"24",6
"25",8
"26",7
"27",1
"28",1
"29",11
"30",6
"31",6
"32",7
"33",6
"34",6
"35",6
"36",7
"37",6
"38",4
"39",1
"40",6
"41",6
"42",6
"43",1
"44",6
"45",1
"46",7
"47",8
"48",1
"49",6
"50",6
"51",1
"52",1
"53",6
"54",6
"55",6
"56",6
"57",7
"58",6
"59",6
"60",1
"61",5
"62",6
"63",1
"64",6
"65",6
"66",8
"67",1
"68",4
"69",7
"70",8
"71",7
"72",1
"73",6
"74",4
"75",6
"76",4
"77",1
"78",8
"79",6
"80",1
"81",7
"82",1
"83",1
"84",6
"85",7
"86",1
"87",8
"88",7
"89",7
"90",6
"91",6
"92",7
"93",6
"94",7
"95",6
"96",7
"97",1
"98",6
"99",8
"100",6
"101",6
"102",1
"103",6
"104",6
"105",6
"106",7
"107",6
"108",6
"109",7
"110",1
"111",6
"112",6
"113",7
"114",6
"115",7
"116",8
"117",6
"118",6
"119",6
"120",6
"121",8
"122",7
"123",8
"124",1
"125",6
"126",6
"127",6
"128",10
"129",6
"130",4
"131",8
"132",1
"133",8
"134",1
"135",8
"136",1
"137",8
"138",1
"139",6
"140",4
"141",2
"142",11
"143",6
"144",6
"145",6
"146",6
"147",8
"148",6
"149",11
"150",7
"151",9
"152",9
"153",6
"154",6
"155",4
"156",6
"157",6
"158",1
"159",8
"160",7
"161",6
"162",6
"163",7
"164",6
"165",6
"166",7
"167",7
"168",4
"169",8
"170",6
"171",6
"172",6
"173",6
"174",4
"175",6
"176",7
"177",6
"178",6
"179",7
"180",7
"181",6
"182",6
"183",4
"184",1
"185",6
"186",6
"187",6
"188",7
"189",7
"190",6
"191",6
"192",9
"193",1
"194",7
"195",6
"196",8
"197",7
"198",6
"199",6
"200",7
"201",6
"202",6
"203",7
"204",4
"205",1
"206",4
"207",6
"208",1
"209",4
"210",1
"211",7
"212",10
"213",1
"214",7
"215",6
"216",6
"217",6
"218",6
"219",4
"220",7
"221",9
"222",11
"223",10
"224",7
"225",6
"226",8
"227",4
"228",6
"229",6
"230",1
"231",6
"232",6
"233",7
"234",7
"235",7
"236",1
"237",8
"238",6
"239",6
"240",1
"241",6
"242",10
"243",10
"244",7
"245",6
"246",8
"247",6
"248",9
"249",7
"250",7
"251",6
"252",11
"253",9
"254",6
"255",7
"256",6
"257",1
"258",4
"259",7
"260",1
"261",4
"262",6
"263",6
"264",10
"265",6
"266",6
"267",6
"268",6
"269",6
"270",1
"271",10
"272",7
"273",8
"274",9
"275",10
"276",7
"277",1
"278",6
"279",10
"280",6
"281",6
"282",6
"283",7
"284",10
"285",6
"286",6
"287",6
"288",6
"289",7
"290",9
"291",1
"292",7
"293",7
"294",1
"295",7
"296",6
"297",6
"298",1
"299",6
"300",7
"301",6
"302",7
"303",1
"304",9
"305",6
"306",1
"307",9
"308",1
"309",6
"310",6
"311",6
"312",9
"313",7
"314",6
"315",6
"316",6
"317",6
"318",6
"319",7
"320",7
"321",7
"322",7
"323",9
"324",10
"325",8
"326",9
"327",1
"328",6
"329",7
"330",7
"331",1
"332",8
"333",1
"334",6
"335",7
"336",1
"337",9
"338",1
"339",6
"340",9
"341",9
"342",7
"343",1
"344",6
"345",6
"346",7
"347",11
"348",6
"349",11
"350",7
"351",1
"352",7
"353",10
"354",7
"355",6
"356",6
"357",7
"358",9
"359",8
"360",7
"361",7
"362",6
"363",1
"364",6
"365",1
"366",6
"367",6
"368",7
"369",6
"370",1
"371",9
"372",7
"373",7
"374",1
"375",6
"376",9
"377",6
"378",1
"379",7
"380",6
"381",7
"382",6
"383",6
"384",7
"385",11
"386",6
"387",6
"388",6
"389",7
"390",1
"391",7
"392",6
"393",7
"394",6
"395",6
"396",6
"397",7
"398",1
"399",7
"400",9
"401",6
"402",7
"403",1
"404",6
"405",7
"406",6
"407",7
"408",6
"409",9
"410",8
"411",9
"412",7
"413",7
"414",6
"415",4
"416",6
"417",10
"418",7
"419",6
"420",8
"421",9
"422",7
"423",9
"424",1
"425",7
"426",10
"427",8
"428",6
"429",7
"430",6
"431",6
"432",1
"433",6
"434",6
"435",6
"436",7
"437",6
"438",6
"439",11
"440",6
"441",7
"442",8
"443",9
"444",6
"445",7
"446",6
"447",6
"448",1
"449",6
"450",6
"451",6
"452",6
"453",6
"454",7
"455",4
"456",8
"457",7
"458",1
"459",6
"460",8
"461",7
"462",6
"463",7
"464",9
"465",1
"466",7
"467",8
"468",8
"469",9
"470",7
"471",8
"472",5
"473",7
"474",1
"475",6
"476",7
"477",1
"478",7
"479",7
"480",10
"481",7
"482",4
"483",6
"484",9
"485",7
"486",6
"487",4
"488",6
"489",6
"490",1
"491",6
"492",6
"493",7
"494",8
"495",4
"496",7
"497",10
"498",9
"499",6
"500",6
"501",6
"502",7
"503",6
"504",4
"505",1
"506",6
"507",6
"508",7
"509",10
"510",8
"511",7
"512",6
"513",9
"514",1
"515",1
"516",6
"517",6
"518",6
"519",6
"520",6
"521",7
"522",6
"523",6
"524",6
"525",6
"526",6
"527",6
"528",6
"529",8
"530",6
"531",6
"532",6
"533",6
"534",6
"535",6
"536",6
"537",6
"538",6
"539",6
"540",6
"541",6
"542",6
"543",6
"544",6
"545",6
"546",6
"547",6
"548",6
"549",6
"550",8
"551",6
"552",6
"553",7
"554",6
"555",8
"556",6
"557",6
"558",4
"559",6
"560",4
"561",6
"562",7
"563",7
"564",7
"565",9
"566",6
"567",6
"568",7
"569",6
"570",6
"571",6
"572",7
"573",7
"574",6
"575",6
"576",7
"577",6
"578",8
"579",6
"580",6
"581",7
"582",6
"583",6
"584",6
"585",7
"586",6
"587",1
"588",6
"589",1
"590",7
"591",7
"592",6
"593",7
"594",6
"595",6
"596",6
"597",7
"598",6
"599",7
"600",6
"601",6
"602",6
"603",6
"604",6
"605",6
"606",6
"607",7
"608",6
"609",7
"610",7
"611",7
"612",8
"613",6
"614",7
"615",6
"616",6
"617",7
"618",7
"619",7
"620",7
"621",6
"622",7
"623",7
"624",6
"625",10
"626",6
"627",6
"628",6
"629",6
"630",6
"631",6
"632",6
"633",6
"634",6
"635",1
"636",6
"637",7
"638",6
"639",8
"640",8
"641",7
"642",6
"643",7
"644",6
"645",9
"646",6
"647",7
"648",6
"649",6
"650",6
"651",6
"652",6
"653",6
"654",6
"655",8
"656",6
"657",6
"658",1
"659",6
"660",8
"661",6
"662",6
"663",9
"664",6
"665",6
"666",6
"667",6
"668",8
"669",6
"670",6
"671",7
"672",6
"673",7
"674",8
"675",8
"676",6
"677",6
"678",6
"679",8
"680",6
"681",6
"682",6
"683",6
"684",6
"685",6
"686",6
"687",6
"688",6
"689",8
"690",6
"691",7
"692",6
"693",1
"694",6
"695",6
"696",6
"697",6
"698",6
"699",6
"700",6
"701",7
"702",1
"703",6
"704",8
"705",1
"706",6
"707",6
"708",6
"709",8
"710",6
"711",8
"712",8
"713",6
"714",6
"715",6
"716",6
"717",8
"718",7
"719",8
"720",6
"721",6
"722",8
"723",6
"724",6
"725",8
"726",8
"727",6
"728",6
"729",7
"730",8
"731",6
"732",4
"733",7
"734",7
"735",6
"736",6
"737",8
"738",7
"739",7
"740",6
"741",7
"742",6
"743",6
"744",7
"745",6
"746",6
"747",6
"748",6
"749",6
"750",8
"751",6
"752",6
"753",6
"754",6
"755",6
"756",8
"757",6
"758",6
"759",6
"760",6
"761",6
"762",6
"763",6
"764",7
"765",6
"766",8
"767",8
"768",6
"769",6
"770",7
"771",6
"772",4
"773",6
"774",6
"775",7
"776",6
"777",7
"778",6
"779",6
"780",6
"781",6
"782",6
"783",6
"784",6
"785",6
"786",6
"787",6
"788",6
"789",7
"790",8
"791",6
"792",6
"793",6
"794",4
"795",4
"796",4
"797",8
"798",6
"799",4
"800",6
"801",4
"802",6
"803",8
"804",6
"805",6
"806",4
"807",6
"808",4
"809",4
"810",6
"811",6
"812",6
"813",6
"814",6
"815",8
"816",7
"817",6
"818",6
"819",8
"820",6
"821",6
"822",6
"823",6
"824",6
"825",7
"826",8
"827",6
"828",4
"829",8
"830",6
"831",6
"832",6
"833",6
"834",6
"835",6
"836",4
"837",6
"838",6
"839",6
"840",6
"841",6
"842",6
"843",6
"844",4
"845",6
"846",6
"847",6
"848",6
"849",6
"850",6
"851",6
"852",4
"853",6
"854",4
"855",6
"856",6
"857",6
"858",6
"859",6
"860",8
"861",6
"862",6
"863",6
"864",6
"865",8
"866",6
"867",4
"868",6
"869",6
"870",6
"871",4
"872",7
"873",6
"874",6
"875",4
"876",6
"877",6
"878",6
"879",6
"880",6
"881",7
"882",4
"883",6
"884",6
"885",6
"886",8
"887",8
"888",4
"889",6
"890",6
"891",6
"892",6
"893",6
"894",6
"895",4
"896",6
"897",6
"898",6
"899",6
"900",6
"901",6
"902",1
"903",6
"904",6
"905",6
"906",6
"907",6
"908",6
"909",6
"910",6
"911",6
"912",6
"913",6
"914",6
"915",6
"916",6
"917",6
"918",6
"919",6
"920",4
"921",6
"922",8
"923",6
"924",6
"925",6
"926",4
"927",6
"928",6
"929",6
"930",6
"931",6
"932",6
"933",6
"934",6
"935",6
"936",6
"937",6
"938",4
"939",6
"940",4
"941",7
"942",6
"943",6
"944",6
"945",6
"946",6
"947",6
"948",8
"949",6
"950",6
"951",6
"952",6
"953",6
"954",6
"955",6
"956",4
"957",6
"958",6
"959",8
"960",6
"961",4
"962",6
"963",6
"964",6
"965",6
"966",6
"967",6
"968",6
"969",6
"970",6
"971",6
"972",4
"973",6
"974",6
"975",6
"976",6
"977",6
"978",6
"979",6
"980",6
"981",6
"982",6
"983",6
"984",6
"985",4
"986",6
"987",6
"988",6
"989",7
"990",3
"991",3
"992",3
"993",3
"994",3
"995",5
"996",9
"997",5
"998",11
"999",5
"1000",11
"1001",5
"1002",5
"1003",2
"1004",5
"1005",5
"1006",3
"1007",10
"1008",10
"1009",3
"1010",10
"1011",10
"1012",10
"1013",10
"1014",3
"1015",3
"1016",9
"1017",3
"1018",3
"1019",6
"1020",9
"1021",3
"1022",9
"1023",11
"1024",10
"1025",11
"1026",5
"1027",10
"1028",10
"1029",10
"1030",11
"1031",10
"1032",10
"1033",2
"1034",10
"1035",3
"1036",3
"1037",3
"1038",5
"1039",5
"1040",3
"1041",5
"1042",10
"1043",3
"1044",3
"1045",7
"1046",10
"1047",5
"1048",5
"1049",5
"1050",3
"1051",11
"1052",10
"1053",11
"1054",10
"1055",2
"1056",3
"1057",4
"1058",10
"1059",5
"1060",2
"1061",9
"1062",11
"1063",2
"1064",11
"1065",10
"1066",9
"1067",11
"1068",11
"1069",3
"1070",11
"1071",5
"1072",2
"1073",3
"1074",3
"1075",5
"1076",9
"1077",10
"1078",3
"1079",5
"1080",5
"1081",11
"1082",7
"1083",2
"1084",11
"1085",6
"1086",5
"1087",5
"1088",5
"1089",2
"1090",9
"1091",3
"1092",11
"1093",11
"1094",2
"1095",5
"1096",10
"1097",7
"1098",10
"1099",5
"1100",8
"1101",5
"1102",11
"1103",10
"1104",10
"1105",10
"1106",3
"1107",9
"1108",9
"1109",10
"1110",10
"1111",5
"1112",10
"1113",5
"1114",10
"1115",8
"1116",9
"1117",5
"1118",2
"1119",11
"1120",10
"1121",11
"1122",5
"1123",10
"1124",10
"1125",9
"1126",5
"1127",10
"1128",10
"1129",3
"1130",5
"1131",5
"1132",10
"1133",5
"1134",10
"1135",9
"1136",11
"1137",8
"1138",10
"1139",10
"1140",10
"1141",9
"1142",10
"1143",3
"1144",10
"1145",9
"1146",5
"1147",11
"1148",11
"1149",11
"1150",3
"1151",5
"1152",3
"1153",10
"1154",10
"1155",3
"1156",9
"1157",11
"1158",10
"1159",9
"1160",3
"1161",9
"1162",10
"1163",11
"1164",3
"1165",10
"1166",9
"1167",3
"1168",5
"1169",9
"1170",11
"1171",5
"1172",8
"1173",10
"1174",10
"1175",10
"1176",5
"1177",5
"1178",10
"1179",10
"1180",11
"1181",5
"1182",3
"1183",3
"1184",9
"1185",8
"1186",11
"1187",5
"1188",9
"1189",11
"1190",3
"1191",10
"1192",3
"1193",3
"1194",5
"1195",3
"1196",3
"1197",3
"1198",3
"1199",11
"1200",5
"1201",10
"1202",5
"1203",10
"1204",3
"1205",5
"1206",5
"1207",10
"1208",5
"1209",10
"1210",3
"1211",11
"1212",11
"1213",5
"1214",10
"1215",3
"1216",5
"1217",3
"1218",2
"1219",9
"1220",2
"1221",3
"1222",2
"1223",2
"1224",2
"1225",11
"1226",3
"1227",2
"1228",2
"1229",3
"1230",3
"1231",2
"1232",2
"1233",2
"1234",2
"1235",2
"1236",2
"1237",2
"1238",2
"1239",3
"1240",2
"1241",2
"1242",2
"1243",2
"1244",3
"1245",3
"1246",2
"1247",2
"1248",2
"1249",2
"1250",9
"1251",3
"1252",2
"1253",2
"1254",3
"1255",2
"1256",2
"1257",3
"1258",2
"1259",2
"1260",2
"1261",2
"1262",3
"1263",2
"1264",3
"1265",2
"1266",2
"1267",2
"1268",2
"1269",2
"1270",2
"1271",2
"1272",3
"1273",2
"1274",3
"1275",3
"1276",2
"1277",2
"1278",2
"1279",2
"1280",11
"1281",2
"1282",2
"1283",3
"1284",2
"1285",2
"1286",3
"1287",2
"1288",2
"1289",2
"1290",2
"1291",3
"1292",3
"1293",5
"1294",9
"1295",3
"1296",2
"1297",5
"1298",2
"1299",2
"1300",2
"1301",2
"1302",2
"1303",2
"1304",5
"1305",3
"1306",2
"1307",2
"1308",2
"1309",2
"1310",2
"1311",2
"1312",2
"1313",3
"1314",2
"1315",2
"1316",2
"1317",2
"1318",2
"1319",2
"1320",2
"1321",2
"1322",11
"1323",3
"1324",9
"1325",2
"1326",7
"1327",2
"1328",3
"1329",2
"1330",2
"1331",3
"1332",3
"1333",3
"1334",2
"1335",3
"1336",3
"1337",2
"1338",3
"1339",2
"1340",2
"1341",3
"1342",2
"1343",2
"1344",2
"1345",2
"1346",2
"1347",3
"1348",2
"1349",2
"1350",2
"1351",2
"1352",5
"1353",2
"1354",2
"1355",2
"1356",2
"1357",2
"1358",11
"1359",2
"1360",2
"1361",2
"1362",2
"1363",2
"1364",2
"1365",3
"1366",5
"1367",3
"1368",3
"1369",5
"1370",3
"1371",2
"1372",3
"1373",2
"1374",2
"1375",9
"1376",2
"1377",9
"1378",3
"1379",2
"1380",2
"1381",2
"1382",3
"1383",2
"1384",2
"1385",2
"1386",2
"1387",2
"1388",2
"1389",2
"1390",2
"1391",2
"1392",2
"1393",11
"1394",2
"1395",3
"1396",3
"1397",2
"1398",2
"1399",2
"1400",2
