"","x"
"1",0.128222678096597
"2",0.338757498491914
"3",3
"4",11
"5",3
"6",11
"7",3
"8",11
"9",5
"10",3
"11",4
"12",11
"13",4
"14",7
"15",4
"16",5
"17",11
"18",5
"19",2
"20",7
"21",3
"22",11
"23",3
"24",11
"25",5
"26",8
"27",7
"28",3
"29",11
"30",2
"31",5
"32",8
"33",5
"34",11
"35",11
"36",4
"37",11
"38",11
"39",3
"40",3
"41",5
"42",11
"43",3
"44",11
"45",3
"46",4
"47",7
"48",3
"49",3
"50",11
"51",3
"52",3
"53",7
"54",11
"55",11
"56",3
"57",4
"58",5
"59",5
"60",3
"61",11
"62",11
"63",3
"64",3
"65",3
"66",11
"67",3
"68",11
"69",4
"70",4
"71",4
"72",3
"73",11
"74",11
"75",11
"76",11
"77",3
"78",9
"79",10
"80",3
"81",11
"82",3
"83",8
"84",11
"85",4
"86",3
"87",11
"88",2
"89",4
"90",9
"91",11
"92",4
"93",5
"94",4
"95",11
"96",2
"97",3
"98",11
"99",5
"100",5
"101",11
"102",7
"103",5
"104",11
"105",7
"106",2
"107",11
"108",8
"109",4
"110",3
"111",5
"112",11
"113",4
"114",11
"115",11
"116",11
"117",11
"118",5
"119",7
"120",11
"121",5
"122",11
"123",11
"124",3
"125",5
"126",5
"127",5
"128",3
"129",11
"130",11
"131",11
"132",3
"133",5
"134",3
"135",11
"136",3
"137",9
"138",3
"139",11
"140",11
"141",8
"142",9
"143",10
"144",5
"145",3
"146",7
"147",5
"148",7
"149",11
"150",4
"151",6
"152",9
"153",4
"154",5
"155",11
"156",8
"157",11
"158",3
"159",11
"160",5
"161",3
"162",11
"163",4
"164",7
"165",11
"166",11
"167",4
"168",5
"169",11
"170",11
"171",5
"172",11
"173",5
"174",11
"175",11
"176",2
"177",5
"178",11
"179",11
"180",11
"181",5
"182",5
"183",11
"184",3
"185",5
"186",2
"187",5
"188",4
"189",4
"190",11
"191",5
"192",7
"193",3
"194",2
"195",7
"196",11
"197",11
"198",5
"199",11
"200",4
"201",3
"202",5
"203",1
"204",11
"205",3
"206",11
"207",11
"208",3
"209",11
"210",8
"211",4
"212",3
"213",7
"214",4
"215",11
"216",5
"217",5
"218",5
"219",11
"220",4
"221",2
"222",11
"223",3
"224",11
"225",11
"226",5
"227",11
"228",5
"229",3
"230",3
"231",11
