"","x"
"1",0.210542706833766
"2",0.517969527669148
"3",10
"4",3
"5",10
"6",6
"7",4
"8",7
"9",7
"10",4
"11",1
"12",4
"13",1
"14",9
"15",1
"16",1
"17",7
"18",7
"19",1
"20",10
"21",4
"22",6
"23",5
"24",2
"25",7
"26",1
"27",9
"28",10
"29",7
"30",2
"31",8
"32",1
"33",8
"34",7
"35",6
"36",1
"37",4
"38",7
"39",10
"40",4
"41",7
"42",8
"43",4
"44",8
"45",4
"46",1
"47",4
"48",4
"49",4
"50",7
"51",10
"52",9
"53",9
"54",8
"55",7
"56",10
"57",1
"58",7
"59",6
"60",10
"61",7
"62",4
"63",10
"64",10
"65",4
"66",9
"67",4
"68",7
"69",1
"70",4
"71",1
"72",10
"73",7
"74",7
"75",4
"76",7
"77",5
"78",2
"79",8
"80",5
"81",6
"82",10
"83",9
"84",8
"85",1
"86",10
"87",2
"88",1
"89",1
"90",7
"91",7
"92",1
"93",6
"94",1
"95",7
"96",1
"97",10
"98",8
"99",10
"100",1
"101",7
"102",9
"103",7
"104",2
"105",4
"106",1
"107",7
"108",2
"109",1
"110",10
"111",7
"112",8
"113",1
"114",7
"115",1
"116",7
"117",8
"118",7
"119",4
"120",4
"121",7
"122",6
"123",7
"124",10
"125",7
"126",8
"127",4
"128",10
"129",10
"130",7
"131",7
"132",9
"133",7
"134",4
"135",7
"136",4
"137",7
"138",5
"139",9
"140",7
"141",9
"142",7
"143",1
"144",7
"145",4
"146",4
"147",7
"148",4
"149",7
"150",1
"151",6
"152",7
"153",1
"154",8
"155",7
"156",4
"157",9
"158",10
"159",7
"160",8
"161",5
"162",1
"163",1
"164",4
"165",1
"166",2
"167",1
"168",7
"169",4
"170",6
"171",2
"172",4
"173",7
"174",7
"175",9
"176",1
"177",7
"178",7
"179",1
"180",1
"181",7
"182",7
"183",7
"184",10
"185",7
"186",1
"187",6
"188",1
"189",1
"190",7
"191",7
"192",9
"193",4
"194",1
"195",1
"196",7
"197",8
"198",10
"199",1
"200",1
"201",4
"202",8
"203",7
"204",7
"205",10
"206",7
"207",6
"208",10
"209",7
"210",10
"211",1
"212",10
"213",9
"214",1
"215",7
"216",1
"217",7
"218",2
"219",7
"220",1
"221",1
"222",7
"223",10
"224",1
"225",8
"226",7
"227",1
"228",8
"229",4
"230",10
"231",2
"232",8
"233",1
"234",1
"235",1
"236",10
"237",7
"238",10
"239",4
"240",10
"241",7
"242",10
"243",10
"244",1
"245",7
"246",7
"247",7
"248",7
"249",6
"250",1
"251",7
"252",7
"253",1
"254",1
"255",1
"256",1
"257",10
"258",7
"259",1
"260",10
"261",7
"262",4
"263",1
"264",10
"265",6
"266",9
"267",8
"268",10
"269",8
"270",10
"271",4
"272",1
"273",2
"274",6
"275",5
"276",1
"277",9
"278",1
"279",10
"280",1
"281",7
"282",7
"283",1
"284",10
"285",7
"286",9
"287",7
"288",7
"289",1
"290",8
"291",4
"292",6
"293",1
"294",10
"295",1
"296",8
"297",8
"298",10
"299",7
"300",1
"301",4
"302",1
"303",10
"304",1
"305",7
"306",10
"307",6
"308",4
"309",4
"310",7
"311",7
"312",1
"313",1
"314",7
"315",11
"316",4
"317",2
"318",4
"319",1
"320",6
"321",1
"322",6
"323",1
"324",10
"325",7
"326",6
"327",10
"328",7
"329",1
"330",1
"331",10
"332",7
"333",10
"334",7
"335",1
"336",5
"337",1
"338",10
"339",7
"340",6
"341",6
"342",1
"343",9
"344",7
"345",8
"346",1
"347",7
"348",7
"349",7
"350",8
"351",4
"352",1
"353",10
"354",7
"355",1
"356",7
"357",6
"358",8
"359",4
"360",1
"361",1
"362",8
"363",4
"364",7
"365",4
"366",4
"367",9
"368",1
"369",10
"370",9
"371",8
"372",8
"373",1
"374",10
"375",7
"376",1
"377",7
"378",4
"379",1
"380",4
"381",8
"382",10
"383",7
"384",8
"385",7
"386",7
"387",10
"388",7
"389",6
"390",10
"391",1
"392",7
"393",6
"394",4
"395",8
"396",1
"397",1
"398",10
"399",7
"400",1
"401",6
"402",4
"403",10
"404",4
"405",1
"406",7
"407",1
"408",8
"409",6
"410",4
"411",7
"412",6
"413",1
"414",5
"415",7
"416",8
"417",10
"418",1
"419",7
"420",2
"421",1
"422",1
"423",6
"424",10
"425",8
"426",10
"427",7
"428",7
"429",8
"430",4
"431",11
"432",10
"433",7
"434",4
"435",1
"436",1
"437",8
"438",7
"439",7
"440",7
"441",1
"442",7
"443",6
"444",8
"445",1
"446",10
"447",7
"448",10
"449",7
"450",4
"451",7
"452",1
"453",7
"454",1
"455",7
"456",7
"457",6
"458",4
"459",7
"460",7
"461",1
"462",4
"463",1
"464",1
"465",4
"466",1
"467",7
"468",4
"469",6
"470",7
"471",7
"472",7
"473",1
"474",4
"475",7
"476",1
"477",10
"478",6
"479",1
"480",9
"481",1
"482",7
"483",4
"484",1
"485",1
"486",7
"487",7
"488",7
"489",6
"490",10
"491",7
"492",2
"493",8
"494",7
"495",7
"496",1
"497",10
"498",1
"499",1
"500",7
"501",7
"502",1
"503",2
"504",7
"505",10
"506",1
"507",7
"508",1
"509",10
"510",7
"511",1
"512",7
"513",1
"514",10
"515",10
"516",7
"517",1
"518",1
"519",1
"520",2
"521",1
"522",10
"523",10
"524",10
"525",7
"526",10
"527",9
"528",10
"529",7
"530",9
"531",4
"532",1
"533",9
"534",9
"535",1
"536",10
"537",1
"538",1
"539",4
"540",6
"541",9
"542",10
"543",10
"544",4
"545",9
"546",10
"547",7
"548",9
"549",9
"550",6
"551",4
"552",1
"553",1
"554",7
"555",7
"556",4
"557",4
"558",7
"559",9
"560",7
"561",10
"562",10
"563",1
"564",3
"565",1
"566",8
"567",9
"568",1
"569",9
"570",9
"571",4
"572",6
"573",1
"574",7
"575",1
"576",1
"577",6
"578",7
"579",4
"580",1
"581",1
"582",4
"583",4
"584",4
"585",1
"586",1
"587",10
"588",2
"589",10
"590",1
"591",8
"592",10
"593",1
"594",10
"595",10
"596",7
"597",1
"598",7
"599",1
"600",10
"601",9
"602",7
"603",7
"604",7
"605",9
"606",4
"607",1
"608",4
"609",1
"610",1
"611",1
"612",7
"613",6
"614",6
"615",1
"616",6
"617",1
"618",1
"619",1
"620",1
"621",1
"622",1
"623",1
"624",7
"625",1
"626",9
"627",10
"628",4
"629",4
"630",4
"631",9
"632",6
"633",9
"634",9
"635",10
"636",7
"637",9
"638",9
"639",7
"640",7
"641",1
"642",3
"643",9
"644",9
"645",1
"646",9
"647",1
"648",7
"649",10
"650",7
"651",9
"652",7
"653",8
"654",8
"655",7
"656",10
"657",7
"658",10
"659",4
"660",7
"661",10
"662",10
"663",9
"664",7
"665",4
"666",4
"667",7
"668",7
"669",10
"670",7
"671",1
"672",9
"673",8
"674",7
"675",7
"676",7
"677",9
"678",7
"679",7
"680",10
"681",7
"682",2
"683",9
"684",10
"685",4
"686",10
"687",7
"688",7
"689",7
"690",6
"691",1
"692",10
"693",10
"694",10
"695",7
"696",6
"697",4
"698",10
"699",7
"700",4
"701",1
"702",10
"703",7
"704",7
"705",10
"706",6
"707",7
"708",9
"709",7
"710",7
"711",7
"712",7
"713",7
"714",7
"715",9
"716",7
"717",7
"718",1
"719",7
"720",7
"721",7
"722",7
"723",9
"724",7
"725",11
"726",7
"727",7
"728",9
"729",7
"730",7
"731",7
"732",7
"733",1
"734",7
"735",6
"736",8
"737",6
"738",1
"739",2
"740",10
"741",6
"742",10
"743",10
"744",6
"745",10
"746",10
"747",7
"748",7
"749",8
"750",7
"751",4
"752",7
"753",7
"754",10
"755",7
"756",7
"757",7
"758",4
"759",7
"760",7
"761",7
"762",7
"763",7
"764",9
"765",7
"766",7
"767",7
"768",9
"769",9
"770",7
"771",7
"772",7
"773",7
"774",9
"775",11
"776",10
"777",4
"778",9
"779",2
"780",7
"781",9
"782",9
"783",9
"784",9
"785",10
"786",9
"787",7
"788",1
"789",1
"790",7
"791",7
"792",7
"793",7
"794",7
"795",7
"796",7
"797",7
"798",8
"799",7
"800",9
"801",7
"802",9
"803",7
"804",7
"805",9
"806",7
"807",4
"808",7
"809",7
"810",9
"811",7
"812",4
"813",9
"814",9
"815",7
"816",6
"817",4
"818",7
"819",7
"820",7
"821",7
"822",7
"823",4
"824",7
"825",1
"826",7
"827",7
"828",7
"829",7
"830",7
"831",7
"832",7
"833",2
"834",9
"835",7
"836",7
"837",9
"838",2
"839",7
"840",9
"841",7
"842",9
"843",9
"844",7
"845",2
"846",9
"847",7
"848",7
"849",4
"850",9
"851",7
"852",7
"853",9
"854",7
"855",9
"856",9
"857",1
"858",7
"859",9
"860",7
"861",9
"862",2
"863",9
"864",7
"865",7
"866",7
"867",7
"868",7
"869",9
"870",2
"871",7
"872",1
"873",7
"874",9
"875",7
"876",9
"877",7
"878",9
"879",7
"880",7
"881",1
"882",7
"883",7
"884",7
"885",9
"886",1
"887",7
"888",7
"889",7
"890",7
"891",7
"892",7
"893",9
"894",9
"895",7
"896",7
"897",7
"898",9
"899",9
"900",7
"901",7
"902",10
"903",7
"904",7
"905",7
"906",9
"907",9
"908",9
"909",9
"910",7
"911",10
"912",9
"913",9
"914",9
"915",9
"916",7
"917",9
"918",9
"919",9
"920",7
"921",7
"922",7
"923",7
"924",10
"925",1
"926",7
"927",7
"928",7
"929",9
"930",9
"931",9
"932",2
"933",7
"934",7
"935",7
"936",9
"937",9
"938",7
"939",7
"940",7
"941",1
"942",9
"943",7
"944",7
"945",9
"946",9
"947",7
"948",7
"949",7
"950",9
"951",7
"952",2
"953",9
"954",7
"955",9
"956",7
"957",7
"958",4
"959",7
"960",7
"961",7
"962",7
"963",7
"964",9
"965",7
"966",7
"967",9
"968",9
"969",7
"970",7
"971",9
"972",7
"973",9
"974",9
"975",2
"976",1
"977",9
"978",9
"979",9
"980",7
"981",10
"982",9
"983",9
"984",7
"985",7
"986",9
"987",7
"988",9
"989",7
"990",11
"991",11
"992",11
"993",11
"994",7
"995",7
"996",4
"997",7
"998",7
"999",7
"1000",7
"1001",7
"1002",7
"1003",7
"1004",7
"1005",7
"1006",4
"1007",9
"1008",9
"1009",9
"1010",3
"1011",9
"1012",9
"1013",9
"1014",7
"1015",9
"1016",7
"1017",10
"1018",9
"1019",7
"1020",7
"1021",7
"1022",7
"1023",7
"1024",9
"1025",7
"1026",7
"1027",9
"1028",9
"1029",9
"1030",7
"1031",10
"1032",9
"1033",7
"1034",9
"1035",7
"1036",4
"1037",1
"1038",7
"1039",7
"1040",2
"1041",7
"1042",3
"1043",11
"1044",2
"1045",7
"1046",9
"1047",7
"1048",7
"1049",7
"1050",11
"1051",7
"1052",9
"1053",7
"1054",9
"1055",7
"1056",1
"1057",7
"1058",9
"1059",7
"1060",11
"1061",11
"1062",7
"1063",11
"1064",7
"1065",9
"1066",1
"1067",7
"1068",7
"1069",7
"1070",7
"1071",2
"1072",11
"1073",7
"1074",11
"1075",7
"1076",7
"1077",9
"1078",7
"1079",7
"1080",7
"1081",7
"1082",2
"1083",11
"1084",7
"1085",7
"1086",7
"1087",7
"1088",7
"1089",7
"1090",7
"1091",7
"1092",7
"1093",7
"1094",11
"1095",7
"1096",9
"1097",7
"1098",9
"1099",7
"1100",7
"1101",7
"1102",7
"1103",9
"1104",9
"1105",9
"1106",7
"1107",7
"1108",7
"1109",9
