"","x"
"1",0.53865186591393
"2",0.610287179835687
"3",1
"4",1
"5",2
"6",1
"7",1
"8",3
"9",2
"10",1
"11",1
"12",3
"13",3
"14",2
"15",3
"16",3
"17",3
"18",2
"19",3
"20",3
"21",1
"22",2
"23",1
"24",1
"25",3
"26",2
"27",3
"28",3
"29",1
"30",1
"31",2
"32",3
"33",3
"34",2
"35",3
"36",3
"37",1
"38",2
"39",1
"40",3
"41",2
"42",3
"43",3
"44",3
"45",1
"46",1
"47",3
"48",2
"49",3
"50",2
"51",3
"52",3
"53",3
"54",1
"55",1
"56",3
"57",2
"58",4
"59",2
"60",1
"61",1
"62",3
"63",3
"64",3
"65",3
"66",3
"67",1
"68",3
"69",3
"70",1
"71",2
"72",1
"73",2
"74",3
"75",3
"76",3
"77",3
"78",3
"79",3
"80",1
"81",1
"82",3
"83",3
"84",3
"85",3
"86",3
"87",3
"88",3
"89",4
"90",2
"91",1
"92",4
"93",2
"94",3
"95",2
"96",3
"97",2
"98",3
"99",3
"100",3
"101",1
"102",3
"103",3
"104",1
"105",3
"106",1
"107",1
"108",1
"109",1
"110",3
"111",3
"112",3
"113",1
"114",2
"115",3
"116",3
"117",3
"118",3
"119",3
"120",2
"121",3
"122",2
"123",3
"124",2
"125",3
"126",1
"127",1
"128",3
"129",1
"130",3
"131",3
"132",1
"133",1
"134",3
"135",1
"136",2
"137",1
"138",3
"139",3
"140",2
"141",3
"142",1
"143",1
"144",3
"145",1
"146",3
"147",1
"148",3
"149",3
"150",4
"151",2
"152",3
"153",3
"154",1
"155",1
"156",3
"157",3
"158",1
"159",3
"160",3
"161",1
"162",2
"163",1
"164",3
"165",1
"166",1
"167",3
"168",3
"169",3
"170",1
"171",3
"172",3
"173",1
"174",2
"175",1
"176",1
"177",2
"178",1
"179",1
"180",3
"181",1
"182",1
"183",3
"184",1
"185",3
"186",2
"187",3
"188",3
"189",4
"190",3
"191",3
"192",1
"193",4
"194",1
"195",3
"196",1
"197",3
"198",1
"199",3
"200",1
"201",3
"202",2
"203",2
"204",3
"205",3
"206",4
"207",2
"208",2
"209",1
"210",1
"211",3
"212",3
"213",1
"214",3
"215",2
"216",2
"217",3
"218",3
"219",3
"220",3
"221",3
"222",3
