"","x"
"1",0.393197579527751
"2",0.476168370596116
"3",2
"4",2
"5",3
"6",1
"7",2
"8",4
"9",3
"10",2
"11",2
"12",4
"13",4
"14",3
"15",4
"16",4
"17",4
"18",3
"19",4
"20",4
"21",1
"22",3
"23",1
"24",2
"25",4
"26",3
"27",4
"28",4
"29",2
"30",2
"31",3
"32",4
"33",2
"34",3
"35",4
"36",4
"37",2
"38",3
"39",2
"40",4
"41",3
"42",4
"43",4
"44",4
"45",1
"46",2
"47",4
"48",3
"49",4
"50",3
"51",4
"52",4
"53",4
"54",2
"55",3
"56",2
"57",3
"58",2
"59",3
"60",2
"61",2
"62",4
"63",2
"64",4
"65",4
"66",4
"67",2
"68",4
"69",4
"70",2
"71",3
"72",1
"73",3
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",2
"81",1
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",4
"89",4
"90",3
"91",1
"92",2
"93",3
"94",4
"95",3
"96",4
"97",3
"98",4
"99",4
"100",4
"101",4
"102",4
"103",4
"104",1
"105",4
"106",2
"107",2
"108",2
"109",1
"110",4
"111",4
"112",4
"113",1
"114",3
"115",4
"116",4
"117",4
"118",4
"119",4
"120",3
"121",4
"122",3
"123",4
"124",3
"125",4
"126",2
"127",2
"128",4
"129",2
"130",4
"131",4
"132",1
"133",2
"134",4
"135",2
"136",3
"137",2
"138",4
"139",4
"140",3
"141",4
"142",2
"143",3
"144",4
"145",2
"146",4
"147",1
"148",4
"149",4
"150",2
"151",3
"152",4
"153",4
"154",2
"155",2
"156",4
"157",4
"158",2
"159",4
"160",4
"161",2
"162",3
"163",2
"164",4
"165",2
"166",2
"167",4
"168",4
"169",4
"170",2
"171",4
"172",4
"173",2
"174",3
"175",2
"176",2
"177",3
"178",2
"179",2
"180",4
"181",2
"182",2
"183",4
"184",2
"185",4
"186",3
"187",4
"188",4
"189",2
"190",4
"191",4
"192",2
"193",2
"194",1
"195",4
"196",2
"197",4
"198",2
"199",4
"200",2
"201",4
"202",3
"203",3
"204",4
"205",4
"206",2
"207",3
"208",3
"209",2
"210",1
"211",4
"212",4
"213",2
"214",4
"215",3
"216",3
"217",4
"218",4
"219",4
"220",4
"221",4
"222",4
"223",4
"224",2
"225",4
"226",4
"227",4
"228",4
"229",2
"230",4
"231",2
"232",2
"233",4
"234",4
"235",2
"236",4
"237",4
"238",1
"239",4
"240",4
"241",4
"242",2
"243",2
"244",2
"245",2
"246",2
"247",3
"248",3
"249",4
"250",2
"251",3
"252",1
"253",3
"254",3
"255",2
"256",2
"257",2
"258",2
"259",4
"260",4
"261",4
"262",4
"263",2
"264",4
"265",4
"266",2
"267",4
"268",4
"269",4
"270",4
"271",4
"272",1
"273",2
"274",1
"275",4
"276",2
"277",4
"278",3
"279",4
"280",2
"281",4
"282",3
"283",2
"284",2
"285",4
"286",4
"287",1
"288",4
"289",4
"290",2
"291",2
"292",2
"293",4
"294",4
"295",2
"296",3
"297",3
"298",4
"299",2
"300",2
"301",2
"302",4
"303",2
"304",4
"305",4
"306",4
"307",4
"308",2
"309",2
"310",4
"311",4
"312",1
"313",4
"314",2
"315",2
"316",2
"317",2
"318",2
"319",2
"320",4
"321",4
"322",4
"323",2
"324",2
"325",3
"326",3
"327",2
"328",4
"329",4
"330",2
"331",4
"332",2
"333",4
"334",2
"335",4
"336",4
"337",4
"338",3
"339",4
"340",4
"341",2
"342",2
"343",1
"344",2
"345",3
"346",2
"347",3
"348",2
"349",2
"350",2
"351",4
"352",2
"353",2
"354",3
"355",3
"356",2
"357",4
"358",4
"359",2
"360",2
"361",3
"362",2
"363",2
"364",2
"365",4
"366",4
"367",1
"368",4
"369",3
"370",4
"371",2
"372",4
"373",2
"374",4
"375",4
"376",2
"377",3
"378",4
"379",4
"380",4
"381",4
"382",2
"383",2
"384",2
"385",2
"386",2
"387",3
"388",4
"389",4
"390",4
"391",2
"392",4
"393",2
"394",4
"395",2
"396",4
"397",2
"398",1
"399",2
"400",4
"401",4
"402",4
"403",4
"404",4
"405",4
"406",2
"407",4
"408",4
"409",3
"410",2
"411",3
"412",3
"413",3
"414",3
"415",2
"416",4
"417",4
"418",2
"419",3
"420",2
"421",4
"422",3
"423",4
"424",4
"425",2
"426",4
"427",4
"428",4
"429",3
"430",4
"431",2
"432",4
"433",1
"434",4
"435",4
"436",4
"437",1
"438",4
"439",2
"440",4
"441",1
"442",4
"443",2
"444",4
"445",2
"446",3
"447",3
"448",4
"449",2
"450",4
"451",2
"452",3
"453",2
"454",4
"455",4
"456",4
"457",4
"458",2
"459",4
"460",4
"461",2
"462",4
"463",3
"464",4
"465",4
"466",1
"467",4
"468",4
"469",2
"470",2
"471",2
"472",4
"473",4
"474",4
"475",4
"476",3
"477",2
"478",2
"479",2
"480",4
"481",3
"482",4
"483",4
"484",4
"485",2
"486",1
"487",4
"488",4
"489",2
"490",2
"491",3
"492",4
"493",4
"494",4
"495",2
"496",2
"497",2
"498",4
"499",2
"500",4
"501",2
"502",4
"503",4
