"","x"
"1",0.325840482034984
"2",0.39590243425144
"3",1
"4",3
"5",2
"6",3
"7",3
"8",1
"9",3
"10",1
"11",3
"12",3
"13",5
"14",1
"15",3
"16",3
"17",3
"18",3
"19",3
"20",3
"21",3
"22",2
"23",3
"24",5
"25",3
"26",1
"27",5
"28",3
"29",3
"30",2
"31",1
"32",3
"33",3
"34",3
"35",2
"36",3
"37",3
"38",3
"39",3
"40",3
"41",3
"42",2
"43",3
"44",2
"45",3
"46",2
"47",3
"48",3
"49",2
"50",1
"51",3
"52",1
"53",3
"54",3
"55",3
"56",3
"57",3
"58",2
"59",2
"60",1
"61",3
"62",2
"63",1
"64",3
"65",2
"66",2
"67",3
"68",3
"69",3
"70",3
"71",1
"72",3
"73",1
"74",1
"75",1
"76",3
"77",3
"78",1
"79",5
"80",3
"81",2
"82",3
"83",1
"84",3
"85",5
"86",1
"87",1
"88",2
"89",1
"90",3
"91",3
"92",5
"93",5
"94",1
"95",2
"96",3
"97",3
"98",3
"99",3
"100",3
"101",1
"102",3
"103",3
"104",3
"105",2
"106",3
"107",1
"108",3
"109",2
"110",1
"111",1
"112",1
"113",3
"114",3
"115",3
"116",1
"117",3
"118",2
"119",2
"120",3
"121",3
"122",5
"123",3
"124",2
"125",2
"126",2
"127",2
"128",1
"129",1
"130",3
"131",3
"132",3
"133",5
"134",1
"135",5
"136",2
"137",3
"138",2
"139",3
"140",3
"141",5
"142",3
"143",3
"144",2
"145",3
"146",3
"147",3
"148",2
"149",1
"150",2
"151",3
"152",2
"153",1
"154",3
"155",3
"156",1
"157",5
"158",3
"159",1
"160",1
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",2
"168",1
"169",3
"170",3
"171",3
"172",3
"173",2
"174",3
"175",1
"176",2
"177",2
"178",3
"179",3
"180",3
"181",3
"182",3
"183",3
"184",3
"185",3
"186",3
"187",3
"188",3
"189",3
"190",3
"191",3
"192",2
"193",1
"194",3
"195",3
"196",3
"197",4
"198",3
"199",3
"200",3
"201",1
"202",2
"203",3
"204",3
"205",3
"206",2
"207",3
"208",3
"209",3
"210",1
"211",1
"212",2
"213",3
"214",1
"215",3
"216",2
"217",3
"218",3
"219",1
"220",2
"221",3
"222",4
"223",1
"224",3
"225",3
"226",3
"227",3
"228",3
"229",3
"230",2
"231",2
"232",5
"233",2
"234",1
"235",3
"236",3
"237",2
"238",1
"239",2
"240",3
"241",3
"242",3
"243",3
"244",3
"245",1
"246",3
"247",3
"248",2
"249",5
"250",2
"251",3
"252",3
"253",1
"254",2
"255",3
"256",3
"257",1
"258",1
