"","x"
"1",0.501217131427223
"2",0.596644954670324
"3",2
"4",3
"5",2
"6",3
"7",3
"8",3
"9",2
"10",3
"11",2
"12",2
"13",3
"14",3
"15",2
"16",3
"17",3
"18",2
"19",3
"20",3
"21",3
"22",2
"23",2
"24",2
"25",3
"26",3
"27",3
"28",2
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",2
"36",2
"37",3
"38",2
"39",3
"40",3
"41",8
"42",3
"43",3
"44",3
"45",3
"46",2
"47",3
"48",3
"49",3
"50",3
"51",3
"52",2
"53",3
"54",3
"55",3
"56",2
"57",3
"58",3
"59",3
"60",3
"61",3
"62",2
"63",2
"64",3
"65",3
"66",3
"67",3
"68",3
"69",2
"70",2
"71",3
"72",2
"73",2
"74",2
"75",3
"76",3
"77",3
"78",3
"79",2
"80",3
"81",3
"82",3
"83",2
"84",2
"85",2
"86",2
"87",2
"88",3
"89",2
"90",3
"91",2
"92",2
"93",3
"94",3
"95",2
"96",2
"97",3
"98",3
"99",2
"100",3
"101",3
"102",3
"103",1
"104",3
"105",3
"106",3
"107",2
"108",2
"109",3
"110",3
"111",2
"112",2
"113",2
"114",3
"115",3
"116",2
"117",2
"118",3
"119",3
"120",3
"121",8
"122",3
"123",3
"124",3
"125",3
"126",3
"127",2
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",2
"136",3
"137",3
"138",2
"139",2
"140",3
"141",3
"142",2
"143",2
"144",2
"145",3
"146",3
"147",3
"148",2
"149",3
"150",3
"151",3
"152",2
"153",2
"154",3
"155",3
"156",3
"157",3
"158",2
"159",3
"160",2
"161",3
"162",3
"163",7
"164",2
"165",3
"166",3
"167",3
"168",3
"169",2
"170",3
"171",3
"172",3
"173",3
"174",3
"175",2
"176",2
"177",3
"178",9
"179",3
"180",3
"181",2
"182",3
"183",2
"184",3
"185",3
"186",3
"187",3
"188",2
"189",3
"190",3
"191",3
"192",2
"193",3
"194",2
"195",2
"196",2
"197",3
"198",3
"199",2
"200",3
"201",2
"202",3
"203",2
"204",3
"205",8
"206",3
"207",3
"208",3
"209",2
"210",3
"211",2
"212",3
"213",2
"214",2
"215",5
"216",3
"217",2
"218",3
"219",2
"220",2
"221",3
"222",3
"223",3
"224",3
"225",3
"226",2
"227",3
"228",2
"229",3
"230",3
"231",2
"232",3
"233",3
"234",3
"235",3
"236",3
"237",3
"238",2
"239",3
"240",2
"241",2
"242",3
"243",3
"244",3
"245",3
"246",3
"247",2
"248",3
"249",3
"250",3
"251",2
"252",2
"253",7
"254",3
"255",2
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",2
"263",2
"264",2
"265",3
"266",2
"267",2
"268",3
"269",3
"270",3
"271",2
"272",2
"273",3
"274",2
"275",3
"276",3
"277",2
"278",3
"279",2
"280",2
"281",3
"282",3
"283",2
"284",2
"285",2
"286",3
"287",2
"288",2
"289",2
"290",3
"291",3
"292",2
"293",2
"294",3
"295",2
"296",3
"297",3
"298",7
"299",2
"300",3
"301",3
"302",3
"303",3
"304",2
"305",3
"306",2
"307",3
"308",2
"309",2
"310",3
"311",3
"312",3
"313",2
"314",3
"315",2
"316",3
"317",3
"318",3
"319",3
"320",3
"321",2
"322",2
"323",2
"324",3
"325",3
"326",3
"327",2
"328",2
"329",3
"330",3
"331",3
"332",3
"333",3
"334",3
"335",2
"336",2
"337",3
"338",3
"339",3
"340",3
"341",2
"342",3
"343",3
"344",2
"345",3
"346",3
"347",3
"348",2
"349",3
"350",3
"351",2
"352",2
"353",2
"354",3
"355",2
"356",2
"357",2
"358",3
"359",2
"360",3
"361",2
"362",2
"363",7
"364",2
"365",3
"366",3
"367",3
"368",3
"369",2
"370",2
"371",3
"372",2
"373",3
"374",3
"375",2
"376",3
"377",3
"378",3
"379",3
"380",2
"381",2
"382",3
"383",2
"384",2
"385",3
"386",3
"387",3
"388",2
"389",2
"390",3
"391",3
"392",3
"393",2
"394",3
"395",2
"396",3
"397",2
"398",2
"399",2
"400",3
"401",2
"402",3
"403",3
"404",3
"405",7
"406",3
"407",3
"408",3
"409",2
"410",2
"411",3
"412",3
"413",2
"414",3
"415",3
"416",2
"417",2
"418",2
"419",2
"420",2
"421",2
"422",2
"423",3
"424",3
"425",3
"426",3
"427",2
"428",3
"429",3
"430",2
"431",2
"432",3
"433",2
"434",2
"435",3
"436",3
"437",2
"438",3
"439",2
"440",3
"441",2
"442",2
"443",3
"444",3
"445",3
"446",2
"447",2
"448",3
"449",3
"450",2
"451",8
"452",3
"453",2
"454",2
"455",3
"456",3
"457",3
"458",3
"459",3
"460",5
"461",3
"462",2
"463",2
"464",2
"465",3
"466",2
"467",3
"468",3
"469",2
"470",2
"471",2
"472",3
"473",2
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",2
"481",3
"482",3
"483",3
"484",3
"485",3
"486",3
"487",2
"488",3
"489",3
"490",3
"491",3
"492",3
"493",3
"494",3
"495",2
"496",2
"497",2
"498",3
"499",3
"500",7
"501",2
"502",3
"503",2
"504",2
"505",3
"506",2
"507",3
"508",2
