"","x"
"1",0.301848796902901
"2",0.413514276373109
"3",2
"4",2
"5",2
"6",2
"7",3
"8",2
"9",2
"10",1
"11",3
"12",1
"13",2
"14",1
"15",2
"16",3
"17",2
"18",3
"19",2
"20",3
"21",2
"22",2
"23",2
"24",2
"25",1
"26",2
"27",2
"28",2
"29",3
"30",2
"31",3
"32",3
"33",2
"34",2
"35",3
"36",2
"37",3
"38",2
"39",3
"40",2
"41",3
"42",2
"43",2
"44",2
"45",3
"46",2
"47",2
"48",2
"49",2
"50",2
"51",2
"52",2
"53",2
"54",2
"55",2
"56",2
"57",2
"58",2
"59",2
"60",2
"61",2
"62",2
"63",2
"64",2
"65",2
"66",3
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",2
"74",2
"75",2
"76",2
"77",2
"78",3
"79",2
"80",2
"81",2
"82",2
"83",2
"84",3
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",3
"92",2
"93",2
"94",3
"95",2
"96",3
"97",2
"98",2
"99",2
"100",3
"101",2
"102",1
"103",2
"104",2
"105",2
"106",3
"107",2
"108",3
"109",2
"110",3
"111",2
"112",2
"113",3
"114",2
"115",2
"116",2
"117",2
"118",3
"119",2
"120",2
"121",2
"122",2
"123",1
"124",3
"125",2
"126",2
"127",2
"128",2
"129",3
"130",2
"131",2
"132",3
"133",2
"134",2
"135",2
"136",2
"137",2
"138",3
"139",2
"140",2
"141",2
"142",2
"143",2
"144",2
"145",2
"146",2
"147",3
"148",2
"149",3
"150",2
"151",3
"152",1
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",3
"160",2
"161",2
"162",2
"163",2
"164",2
"165",3
"166",3
"167",3
"168",3
"169",3
"170",2
"171",3
"172",2
"173",2
"174",2
"175",3
"176",2
"177",3
"178",2
"179",2
"180",2
"181",2
"182",3
"183",2
"184",1
"185",3
"186",1
"187",2
"188",2
"189",1
"190",2
"191",2
"192",2
"193",2
"194",2
"195",3
"196",1
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",3
"204",2
"205",2
"206",3
"207",1
"208",2
"209",2
"210",2
"211",3
"212",2
"213",2
"214",2
"215",1
"216",2
"217",2
"218",2
"219",2
"220",2
"221",2
"222",1
"223",1
"224",2
"225",3
"226",2
"227",2
"228",2
"229",2
"230",2
"231",3
"232",2
"233",2
"234",2
"235",2
"236",2
"237",3
"238",1
"239",2
"240",2
"241",3
"242",2
"243",2
"244",2
"245",4
"246",2
"247",1
"248",2
"249",2
"250",2
"251",3
"252",1
"253",2
"254",2
"255",3
"256",2
"257",2
"258",3
"259",2
"260",2
"261",2
"262",2
"263",2
"264",1
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",3
"273",2
"274",2
"275",2
"276",2
"277",2
"278",2
"279",2
"280",1
"281",2
"282",3
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",1
"290",3
"291",1
"292",3
"293",2
"294",2
"295",2
"296",2
"297",2
"298",3
"299",2
"300",2
"301",2
"302",3
"303",1
"304",3
"305",3
"306",2
"307",2
"308",1
"309",2
"310",2
"311",2
"312",2
"313",2
"314",2
"315",2
"316",2
"317",2
"318",1
"319",2
"320",2
"321",2
"322",3
"323",3
"324",2
"325",2
"326",3
"327",2
"328",2
"329",2
"330",2
"331",2
"332",1
"333",2
"334",2
"335",2
"336",1
"337",1
"338",2
"339",2
"340",2
"341",3
"342",2
"343",2
"344",2
"345",3
"346",2
"347",2
"348",3
"349",3
"350",2
"351",2
"352",2
"353",2
"354",2
"355",2
"356",2
"357",3
"358",1
"359",2
"360",1
"361",2
"362",2
"363",2
