"","x"
"1",0.213603261070654
"2",0.340102168172089
"3",1
"4",2
"5",3
"6",4
"7",3
"8",3
"9",2
"10",5
"11",6
"12",1
"13",2
"14",7
"15",5
"16",2
"17",8
"18",2
"19",9
"20",3
"21",8
"22",7
"23",1
"24",1
"25",10
"26",6
"27",2
"28",5
"29",3
"30",3
"31",2
"32",2
"33",5
"34",8
"35",2
"36",6
"37",2
"38",5
"39",5
"40",7
"41",2
"42",2
"43",4
"44",5
"45",6
"46",1
"47",5
"48",9
"49",2
"50",2
"51",2
"52",4
"53",11
"54",2
"55",3
"56",8
"57",1
"58",11
"59",7
"60",2
"61",4
"62",11
"63",1
"64",5
"65",3
"66",2
"67",1
"68",12
"69",5
"70",5
"71",13
"72",4
"73",1
"74",2
"75",4
"76",5
"77",7
"78",3
"79",9
"80",2
"81",2
"82",5
"83",5
"84",9
"85",2
"86",2
"87",1
"88",1
"89",5
"90",1
"91",5
"92",11
"93",1
"94",6
"95",2
"96",7
"97",2
"98",2
"99",4
"100",12
"101",6
"102",7
"103",2
"104",2
"105",9
"106",3
"107",1
"108",5
"109",6
"110",9
"111",2
"112",11
"113",2
"114",5
"115",8
"116",5
"117",3
"118",3
"119",2
"120",9
"121",2
"122",2
"123",2
"124",1
"125",6
"126",2
"127",6
"128",2
"129",3
"130",2
"131",1
"132",1
"133",9
"134",1
"135",6
"136",3
"137",4
"138",6
"139",13
"140",6
"141",1
"142",5
"143",4
"144",5
"145",8
"146",9
"147",1
"148",6
"149",1
"150",2
"151",4
"152",2
"153",8
"154",1
"155",8
"156",11
"157",5
"158",3
"159",2
"160",11
"161",2
"162",5
"163",12
"164",7
"165",1
"166",5
"167",11
"168",3
"169",5
"170",8
"171",14
"172",1
"173",5
"174",9
"175",7
"176",11
"177",1
"178",2
"179",6
"180",1
"181",2
"182",4
"183",2
"184",4
"185",2
"186",2
"187",5
"188",5
"189",2
"190",8
"191",5
"192",3
"193",9
"194",5
"195",9
"196",7
"197",2
"198",7
"199",2
"200",2
"201",7
"202",3
"203",2
"204",7
"205",2
"206",1
"207",7
"208",5
"209",6
"210",2
"211",4
"212",4
"213",4
"214",2
"215",1
"216",11
"217",1
"218",2
"219",3
"220",5
"221",6
"222",6
"223",4
"224",2
"225",8
"226",4
"227",5
"228",1
"229",7
"230",3
"231",4
"232",6
"233",4
"234",5
"235",2
"236",7
"237",6
"238",5
"239",6
"240",7
"241",5
"242",8
"243",7
"244",2
"245",1
"246",2
"247",2
"248",1
"249",1
"250",6
"251",11
"252",3
"253",2
"254",2
"255",2
"256",7
"257",2
"258",8
"259",5
"260",7
"261",3
"262",6
"263",8
"264",1
"265",7
"266",5
"267",11
"268",1
"269",2
"270",9
"271",1
"272",1
"273",4
"274",2
"275",9
"276",6
"277",2
"278",11
"279",2
"280",5
"281",12
"282",12
"283",6
"284",2
"285",2
"286",8
"287",7
"288",2
"289",9
"290",5
"291",5
"292",2
"293",2
"294",9
"295",6
"296",9
"297",4
"298",5
"299",2
"300",7
"301",2
"302",8
"303",12
"304",1
"305",7
"306",2
"307",6
"308",3
"309",2
"310",2
"311",2
"312",3
"313",1
"314",3
"315",11
"316",2
"317",7
"318",4
"319",2
"320",2
"321",5
"322",5
"323",14
"324",7
"325",1
"326",2
"327",7
"328",5
"329",1
"330",8
"331",2
"332",2
"333",6
"334",5
"335",5
"336",3
"337",2
"338",6
"339",3
"340",6
"341",6
"342",11
"343",6
"344",9
"345",2
"346",4
"347",3
"348",2
"349",9
"350",1
"351",5
"352",3
"353",1
"354",2
"355",2
"356",1
"357",3
"358",12
"359",2
"360",2
"361",2
"362",5
"363",7
"364",2
"365",2
"366",6
"367",5
"368",3
"369",6
"370",2
"371",2
"372",9
"373",2
"374",6
"375",12
"376",6
"377",2
"378",8
"379",3
"380",3
"381",3
"382",6
"383",6
"384",5
"385",6
"386",11
"387",4
"388",5
"389",2
"390",9
"391",2
"392",5
"393",2
"394",2
"395",1
"396",6
"397",7
"398",11
"399",5
"400",4
"401",5
"402",1
"403",1
"404",8
"405",7
"406",5
"407",2
"408",5
"409",2
"410",5
"411",2
"412",7
"413",5
"414",4
"415",5
"416",6
"417",4
"418",6
"419",3
"420",5
"421",2
"422",1
"423",6
"424",2
"425",1
"426",9
"427",5
"428",1
"429",3
"430",4
"431",9
"432",2
"433",1
"434",5
"435",5
"436",6
"437",7
"438",5
"439",8
"440",9
"441",1
"442",8
"443",3
"444",7
"445",1
"446",2
"447",7
"448",9
"449",1
"450",1
"451",8
"452",7
"453",9
"454",1
"455",2
"456",2
"457",11
"458",2
"459",6
"460",2
"461",9
"462",14
"463",11
"464",4
"465",2
"466",1
"467",1
"468",3
"469",4
"470",4
"471",2
"472",7
"473",5
"474",1
"475",1
"476",12
"477",1
"478",5
"479",5
"480",2
"481",5
"482",5
"483",5
"484",5
"485",8
"486",9
"487",9
"488",2
"489",2
"490",9
"491",8
"492",2
"493",1
"494",3
"495",7
"496",1
"497",2
"498",2
"499",8
"500",5
"501",8
"502",4
"503",2
"504",9
"505",1
"506",2
"507",9
"508",5
"509",5
"510",6
"511",2
"512",2
"513",1
"514",4
"515",8
"516",8
"517",1
"518",2
"519",6
"520",4
"521",6
"522",2
"523",6
"524",11
"525",1
"526",2
"527",5
"528",6
"529",5
"530",2
"531",3
"532",8
"533",5
"534",5
"535",5
"536",2
"537",2
"538",6
"539",6
"540",7
"541",2
"542",4
"543",8
"544",2
"545",2
"546",2
"547",6
"548",5
"549",6
"550",4
"551",6
"552",8
"553",5
"554",5
"555",12
"556",2
"557",2
"558",9
"559",6
"560",2
"561",4
"562",1
"563",2
"564",1
"565",2
"566",3
"567",2
"568",11
"569",9
"570",5
"571",9
"572",7
"573",1
"574",11
"575",2
"576",4
"577",4
"578",7
"579",5
"580",2
"581",3
"582",1
"583",2
"584",8
"585",6
"586",5
"587",2
"588",9
"589",2
"590",8
"591",2
"592",2
"593",4
"594",12
"595",5
"596",5
"597",6
"598",5
"599",7
"600",1
"601",8
"602",8
"603",5
"604",3
"605",3
"606",2
"607",3
"608",8
"609",5
"610",4
"611",12
"612",12
"613",8
"614",6
"615",2
"616",6
"617",3
"618",2
"619",2
"620",7
"621",11
"622",2
"623",6
"624",5
"625",3
"626",7
"627",2
"628",3
"629",12
"630",2
"631",11
"632",5
"633",2
"634",9
"635",11
"636",7
"637",1
"638",11
"639",5
"640",9
"641",2
"642",2
"643",11
"644",6
"645",2
"646",2
"647",2
"648",2
"649",11
"650",5
"651",5
"652",3
"653",10
"654",2
"655",2
"656",5
"657",9
"658",5
"659",2
"660",12
"661",4
"662",6
"663",6
"664",2
"665",2
"666",2
"667",3
"668",9
"669",5
"670",4
"671",2
"672",2
"673",2
"674",8
"675",2
"676",5
"677",8
"678",2
"679",5
"680",5
"681",7
"682",6
"683",6
"684",2
"685",8
"686",2
"687",2
"688",5
"689",2
"690",11
"691",2
"692",11
"693",8
"694",5
"695",1
"696",1
"697",6
"698",2
"699",5
"700",2
"701",4
"702",2
"703",2
"704",2
"705",6
"706",2
"707",1
"708",2
"709",2
"710",9
"711",7
"712",2
"713",3
"714",6
"715",4
"716",11
"717",14
"718",3
"719",1
"720",2
"721",1
"722",6
"723",11
"724",8
"725",7
"726",5
"727",8
"728",2
"729",3
"730",6
"731",8
"732",5
"733",2
"734",1
"735",5
"736",5
"737",4
"738",9
"739",2
"740",4
"741",2
"742",5
"743",2
"744",3
"745",7
"746",5
"747",5
"748",2
"749",4
"750",4
"751",7
"752",5
"753",4
"754",8
"755",3
"756",8
"757",9
"758",5
"759",9
"760",5
"761",2
"762",5
"763",2
"764",2
"765",7
"766",9
"767",2
"768",4
"769",5
"770",2
"771",9
"772",3
"773",4
"774",2
"775",12
"776",4
"777",5
"778",6
"779",8
"780",1
"781",2
"782",2
"783",4
"784",5
"785",6
"786",2
"787",6
"788",1
"789",9
"790",6
"791",4
"792",6
"793",2
"794",2
"795",8
"796",6
"797",1
"798",5
"799",3
"800",1
"801",6
"802",12
"803",8
"804",6
"805",5
"806",11
"807",3
"808",8
"809",1
"810",3
"811",1
"812",12
"813",1
"814",1
"815",2
"816",1
"817",5
"818",2
"819",4
"820",2
"821",9
"822",7
"823",3
"824",3
"825",2
"826",12
"827",2
"828",7
"829",8
"830",2
"831",1
"832",8
"833",2
"834",2
"835",3
"836",3
"837",9
"838",1
"839",11
"840",5
"841",2
"842",2
"843",3
"844",9
"845",6
"846",1
"847",7
"848",2
"849",4
"850",7
"851",2
"852",3
"853",2
"854",5
"855",3
"856",9
"857",7
"858",2
"859",2
"860",1
"861",2
"862",3
"863",5
"864",11
"865",8
"866",4
"867",4
"868",4
"869",7
"870",2
"871",8
"872",5
"873",5
"874",5
"875",2
"876",5
"877",3
"878",5
"879",7
"880",11
"881",2
"882",6
"883",5
"884",6
"885",12
"886",12
"887",2
"888",7
"889",12
"890",7
"891",3
"892",1
"893",7
"894",7
"895",9
"896",12
"897",12
"898",2
"899",1
"900",5
"901",8
"902",5
"903",2
"904",5
"905",5
"906",2
"907",1
"908",6
"909",1
"910",2
"911",5
"912",7
"913",1
"914",4
"915",1
"916",6
"917",12
"918",1
"919",5
"920",12
"921",2
"922",5
"923",8
"924",2
"925",5
"926",2
"927",1
"928",5
"929",6
"930",4
"931",2
"932",3
"933",5
"934",8
"935",9
"936",5
"937",8
"938",3
"939",8
"940",11
"941",7
"942",2
"943",2
"944",2
"945",5
"946",1
"947",4
"948",8
"949",5
"950",5
"951",5
"952",7
"953",8
"954",2
"955",6
"956",4
"957",4
"958",2
"959",11
"960",2
"961",8
"962",7
"963",2
"964",6
"965",2
"966",8
"967",11
"968",11
"969",1
"970",5
"971",2
"972",7
"973",8
"974",9
"975",4
"976",2
"977",6
"978",5
"979",3
"980",9
"981",2
"982",2
"983",11
"984",8
"985",1
"986",1
"987",2
"988",9
"989",14
"990",12
"991",2
"992",14
"993",2
"994",2
"995",11
"996",1
"997",1
"998",2
"999",1
"1000",2
"1001",1
"1002",4
"1003",7
"1004",4
"1005",4
"1006",1
"1007",1
"1008",2
"1009",6
"1010",6
"1011",5
"1012",1
"1013",12
"1014",5
"1015",2
"1016",1
"1017",10
"1018",1
"1019",2
"1020",5
"1021",1
"1022",4
"1023",2
"1024",4
"1025",4
"1026",2
"1027",2
"1028",11
"1029",6
"1030",2
"1031",7
"1032",7
"1033",2
"1034",9
"1035",2
"1036",2
"1037",2
"1038",2
"1039",3
"1040",1
"1041",5
"1042",8
"1043",6
"1044",11
"1045",3
"1046",2
"1047",11
"1048",2
"1049",4
"1050",8
"1051",2
"1052",4
"1053",7
"1054",7
"1055",1
"1056",9
"1057",5
"1058",6
"1059",6
"1060",2
"1061",3
"1062",5
"1063",1
"1064",3
"1065",5
"1066",12
"1067",6
"1068",4
"1069",2
"1070",2
"1071",2
"1072",2
"1073",6
"1074",5
"1075",8
"1076",5
"1077",5
"1078",1
"1079",6
"1080",2
"1081",1
"1082",2
"1083",9
"1084",2
"1085",9
"1086",5
"1087",4
"1088",1
"1089",7
"1090",2
"1091",7
"1092",9
"1093",2
"1094",2
"1095",2
"1096",7
"1097",12
"1098",2
"1099",1
"1100",2
"1101",1
"1102",6
"1103",2
"1104",2
"1105",6
"1106",5
"1107",3
"1108",7
"1109",2
"1110",2
"1111",2
"1112",2
"1113",4
"1114",5
"1115",1
"1116",1
"1117",4
"1118",2
"1119",2
"1120",2
"1121",1
"1122",7
"1123",1
"1124",7
"1125",9
"1126",1
"1127",5
"1128",5
"1129",2
"1130",7
"1131",7
"1132",5
"1133",2
"1134",1
"1135",2
"1136",2
"1137",4
"1138",1
"1139",7
"1140",9
"1141",8
"1142",1
"1143",2
"1144",4
"1145",11
"1146",5
"1147",8
"1148",5
"1149",12
"1150",2
"1151",5
"1152",3
"1153",11
"1154",1
"1155",2
"1156",5
"1157",6
"1158",8
"1159",1
"1160",5
"1161",1
"1162",2
"1163",2
"1164",2
"1165",8
"1166",5
"1167",5
"1168",11
"1169",3
"1170",2
"1171",3
"1172",9
"1173",11
"1174",7
"1175",2
"1176",6
"1177",12
"1178",2
"1179",4
"1180",2
"1181",5
"1182",6
"1183",7
"1184",3
"1185",6
"1186",7
"1187",5
"1188",5
"1189",1
"1190",2
"1191",2
"1192",4
"1193",11
"1194",2
"1195",12
"1196",4
"1197",6
"1198",5
"1199",1
"1200",6
"1201",2
"1202",9
"1203",2
"1204",11
"1205",2
"1206",1
"1207",1
"1208",12
"1209",2
"1210",11
"1211",2
"1212",4
"1213",4
"1214",12
"1215",5
"1216",3
"1217",5
"1218",2
"1219",6
"1220",2
"1221",5
"1222",7
"1223",7
"1224",2
"1225",2
"1226",2
"1227",2
"1228",5
"1229",7
"1230",2
"1231",5
"1232",2
"1233",2
"1234",4
"1235",3
"1236",2
"1237",2
"1238",2
"1239",2
"1240",6
"1241",6
"1242",5
"1243",7
"1244",7
"1245",2
"1246",2
"1247",11
"1248",8
"1249",6
"1250",12
"1251",3
"1252",3
"1253",8
"1254",5
"1255",4
"1256",2
"1257",3
"1258",2
"1259",3
"1260",6
"1261",11
"1262",5
"1263",3
"1264",2
"1265",9
"1266",7
"1267",6
"1268",7
"1269",7
"1270",1
"1271",2
"1272",9
"1273",3
"1274",5
"1275",2
"1276",2
"1277",2
"1278",5
"1279",4
"1280",2
"1281",1
"1282",2
"1283",3
"1284",2
"1285",2
"1286",2
"1287",5
"1288",3
"1289",2
"1290",3
"1291",4
"1292",11
"1293",5
"1294",4
"1295",5
"1296",2
"1297",5
"1298",1
"1299",9
"1300",3
"1301",7
"1302",8
"1303",1
"1304",6
"1305",12
"1306",3
"1307",2
"1308",2
"1309",7
"1310",2
"1311",7
"1312",1
"1313",4
"1314",3
"1315",5
"1316",2
"1317",1
"1318",5
"1319",2
"1320",2
"1321",2
"1322",7
"1323",5
"1324",7
"1325",5
"1326",5
"1327",8
"1328",2
"1329",3
"1330",2
"1331",5
"1332",2
"1333",3
"1334",6
"1335",2
"1336",12
"1337",3
"1338",2
"1339",3
"1340",9
"1341",9
"1342",1
"1343",7
"1344",6
"1345",9
"1346",1
"1347",6
"1348",5
"1349",9
"1350",3
"1351",12
"1352",9
"1353",2
"1354",6
"1355",5
"1356",6
"1357",6
"1358",8
"1359",11
"1360",1
"1361",5
"1362",9
"1363",1
"1364",11
"1365",2
"1366",3
"1367",1
"1368",1
"1369",5
"1370",1
"1371",1
"1372",2
"1373",8
"1374",2
"1375",5
"1376",4
"1377",1
"1378",5
"1379",8
"1380",1
"1381",5
"1382",14
"1383",1
"1384",1
"1385",9
"1386",5
"1387",2
"1388",4
"1389",2
"1390",2
"1391",1
"1392",2
