"","x"
"1",0.436752261204541
"2",0.689038563937312
"3",11
"4",2
"5",10
"6",3
"7",15
"8",12
"9",14
"10",10
"11",14
"12",3
"13",4
"14",10
"15",2
"16",14
"17",7
"18",3
"19",1
"20",2
"21",14
"22",4
"23",1
"24",4
"25",14
"26",10
"27",3
"28",1
"29",1
"30",2
"31",2
"32",14
"33",14
"34",4
"35",14
"36",11
"37",14
"38",4
"39",3
"40",4
"41",14
"42",4
"43",14
"44",10
"45",11
"46",10
"47",10
"48",10
"49",11
"50",3
"51",11
"52",11
"53",4
"54",14
"55",11
"56",10
"57",4
"58",4
"59",2
"60",10
"61",7
"62",14
"63",3
"64",3
"65",4
"66",14
"67",12
"68",4
"69",11
"70",11
"71",10
"72",2
"73",2
"74",4
"75",11
"76",14
"77",16
"78",16
"79",13
"80",14
"81",3
"82",10
"83",14
"84",11
"85",7
"86",2
"87",11
"88",2
"89",15
"90",10
"91",14
"92",2
"93",16
"94",10
"95",2
"96",1
"97",14
"98",10
"99",11
"100",14
"101",14
"102",10
"103",4
"104",4
"105",11
"106",4
"107",3
"108",15
"109",1
"110",2
"111",8
"112",2
"113",14
"114",11
"115",1
"116",2
"117",10
"118",4
"119",16
"120",1
"121",10
"122",16
"123",1
"124",11
"125",2
"126",4
"127",1
"128",4
"129",11
"130",16
"131",1
"132",11
"133",7
"134",16
"135",14
"136",8
"137",14
"138",14
"139",7
"140",4
"141",11
"142",2
"143",10
"144",11
"145",14
"146",3
"147",5
"148",4
"149",11
"150",3
"151",5
"152",14
"153",14
"154",1
"155",8
"156",4
"157",10
"158",1
"159",3
"160",1
"161",5
"162",12
"163",5
"164",14
"165",4
"166",3
"167",14
"168",16
"169",7
"170",11
"171",2
"172",11
"173",11
"174",13
"175",16
"176",10
"177",7
"178",1
"179",1
"180",16
"181",11
"182",14
"183",14
"184",8
"185",3
"186",8
"187",7
"188",14
"189",16
"190",11
"191",4
"192",10
"193",11
"194",1
"195",14
"196",15
"197",4
"198",16
"199",3
"200",4
"201",10
"202",1
"203",4
"204",14
"205",3
"206",14
"207",11
"208",3
"209",2
"210",10
"211",11
"212",11
"213",2
"214",10
"215",16
"216",14
"217",5
"218",10
"219",11
"220",5
"221",3
"222",14
"223",1
"224",11
"225",13
"226",11
"227",14
"228",10
"229",14
"230",5
"231",2
"232",8
"233",16
"234",14
"235",16
"236",10
"237",1
"238",7
"239",1
"240",11
"241",16
"242",10
"243",14
"244",16
"245",10
"246",11
"247",10
"248",16
"249",14
"250",2
"251",15
"252",5
"253",14
"254",3
"255",1
"256",14
"257",14
"258",4
"259",2
"260",16
"261",2
"262",3
"263",3
"264",15
"265",10
"266",3
"267",10
"268",10
"269",8
"270",15
"271",3
"272",14
"273",9
"274",5
"275",4
"276",4
"277",4
"278",4
"279",3
"280",14
"281",15
"282",2
"283",2
"284",14
"285",1
"286",15
"287",4
"288",7
"289",4
"290",1
"291",16
"292",16
"293",3
"294",10
"295",13
"296",8
"297",4
"298",5
"299",3
"300",7
"301",14
"302",4
"303",2
"304",11
"305",3
"306",4
"307",16
"308",8
"309",14
"310",11
"311",8
"312",12
"313",14
"314",2
"315",1
"316",14
"317",4
"318",4
"319",2
"320",5
"321",13
"322",10
"323",14
"324",14
"325",14
"326",14
"327",14
"328",10
"329",3
"330",14
"331",4
"332",6
"333",11
"334",10
"335",16
"336",1
"337",1
"338",1
"339",11
"340",10
"341",1
"342",12
"343",4
"344",2
"345",11
"346",14
"347",13
"348",10
"349",10
"350",11
"351",3
"352",10
"353",10
"354",4
"355",3
"356",4
"357",10
"358",13
"359",1
"360",1
"361",10
"362",11
"363",14
"364",3
"365",11
"366",10
"367",4
"368",14
"369",9
"370",11
"371",11
"372",14
"373",2
"374",11
"375",10
"376",14
"377",11
"378",14
"379",1
"380",11
"381",16
"382",5
"383",11
"384",16
"385",3
"386",8
"387",10
"388",14
"389",4
"390",2
"391",5
"392",1
"393",16
"394",1
"395",1
"396",1
"397",10
"398",11
"399",4
"400",12
"401",3
"402",4
"403",14
"404",10
"405",4
"406",10
"407",3
"408",14
"409",14
"410",14
"411",10
"412",3
"413",10
"414",14
"415",10
"416",5
"417",1
"418",8
"419",8
"420",10
"421",10
"422",2
"423",14
"424",4
"425",14
"426",14
"427",11
"428",10
"429",3
"430",4
"431",10
"432",13
"433",2
"434",16
"435",5
"436",2
"437",14
"438",2
"439",11
"440",11
"441",2
"442",14
"443",1
"444",14
"445",11
"446",10
"447",10
"448",11
"449",12
"450",1
"451",11
"452",13
"453",3
"454",4
"455",10
"456",16
"457",4
"458",4
"459",2
"460",10
"461",11
"462",11
"463",1
"464",13
"465",10
"466",3
"467",11
"468",1
"469",14
"470",3
"471",3
"472",5
"473",8
"474",4
"475",4
"476",4
"477",14
"478",11
"479",10
"480",3
"481",7
"482",2
"483",8
"484",4
"485",16
"486",13
"487",14
"488",1
"489",3
"490",2
"491",11
"492",7
"493",1
"494",14
"495",2
"496",8
"497",15
"498",10
"499",2
"500",10
"501",14
"502",3
"503",4
"504",3
"505",4
"506",14
"507",5
"508",14
"509",11
"510",4
"511",11
"512",10
"513",10
"514",4
"515",14
"516",11
"517",16
"518",11
"519",2
"520",11
"521",11
"522",3
"523",14
"524",14
"525",1
"526",14
"527",11
"528",4
"529",14
"530",10
"531",4
"532",1
"533",2
"534",12
"535",1
"536",11
"537",10
"538",1
"539",1
"540",3
"541",1
"542",3
"543",1
"544",3
"545",14
"546",4
"547",14
"548",4
"549",16
"550",10
"551",1
"552",1
"553",1
"554",7
"555",8
"556",14
"557",4
"558",4
"559",1
"560",1
"561",14
"562",11
"563",3
"564",1
"565",4
"566",14
"567",14
"568",3
"569",11
"570",4
"571",12
"572",3
"573",8
"574",14
"575",1
"576",4
"577",4
"578",14
"579",11
"580",1
"581",14
"582",14
"583",3
"584",11
"585",5
"586",11
"587",14
"588",16
"589",8
"590",4
"591",10
"592",14
"593",14
"594",1
"595",3
"596",4
"597",3
"598",11
"599",11
"600",10
"601",10
"602",4
"603",1
"604",10
"605",14
"606",11
"607",10
"608",4
"609",2
"610",11
"611",11
"612",4
"613",4
"614",7
"615",5
"616",5
"617",9
"618",15
"619",12
"620",13
"621",12
"622",7
"623",7
"624",10
"625",2
"626",13
"627",3
"628",10
"629",11
"630",16
"631",2
"632",11
"633",10
"634",12
"635",4
"636",14
"637",3
"638",4
"639",14
"640",4
"641",2
"642",4
"643",4
"644",10
"645",3
"646",14
"647",10
"648",3
"649",16
"650",14
"651",14
"652",11
"653",13
"654",14
"655",8
"656",12
"657",10
"658",3
"659",2
"660",14
"661",14
"662",16
"663",11
"664",16
"665",2
"666",11
"667",2
"668",10
"669",10
"670",4
"671",11
"672",14
"673",6
"674",4
"675",14
"676",11
"677",14
"678",14
"679",3
"680",5
"681",10
"682",14
"683",10
"684",14
"685",2
"686",10
"687",7
"688",5
"689",15
"690",14
"691",13
"692",16
"693",10
"694",11
"695",10
"696",1
"697",15
"698",14
"699",10
"700",10
"701",2
"702",16
"703",14
"704",11
"705",3
"706",3
"707",2
"708",14
