"","x"
"1",0.277888354704483
"2",0.490521074826681
"3",7
"4",6
"5",4
"6",13
"7",15
"8",13
"9",16
"10",10
"11",16
"12",9
"13",7
"14",10
"15",6
"16",16
"17",13
"18",9
"19",9
"20",6
"21",16
"22",10
"23",9
"24",7
"25",16
"26",16
"27",6
"28",4
"29",4
"30",6
"31",6
"32",16
"33",16
"34",7
"35",6
"36",7
"37",16
"38",7
"39",16
"40",10
"41",16
"42",13
"43",16
"44",13
"45",7
"46",16
"47",16
"48",4
"49",10
"50",10
"51",10
"52",7
"53",4
"54",16
"55",7
"56",7
"57",10
"58",2
"59",14
"60",16
"61",13
"62",16
"63",13
"64",16
"65",4
"66",16
"67",13
"68",4
"69",7
"70",10
"71",16
"72",14
"73",6
"74",13
"75",16
"76",16
"77",10
"78",4
"79",6
"80",16
"81",1
"82",7
"83",16
"84",7
"85",13
"86",6
"87",10
"88",6
"89",15
"90",7
"91",16
"92",6
"93",9
"94",10
"95",6
"96",4
"97",16
"98",10
"99",7
"100",16
"101",16
"102",2
"103",10
"104",2
"105",10
"106",4
"107",16
"108",15
"109",15
"110",14
"111",15
"112",6
"113",16
"114",7
"115",7
"116",6
"117",4
"118",7
"119",4
"120",4
"121",7
"122",4
"123",4
"124",7
"125",6
"126",10
"127",9
"128",10
"129",7
"130",9
"131",4
"132",7
"133",13
"134",4
"135",16
"136",15
"137",16
"138",16
"139",13
"140",10
"141",10
"142",6
"143",7
"144",10
"145",16
"146",13
"147",13
"148",15
"149",7
"150",13
"151",7
"152",16
"153",16
"154",4
"155",15
"156",10
"157",16
"158",4
"159",16
"160",9
"161",12
"162",13
"163",13
"164",1
"165",7
"166",15
"167",16
"168",13
"169",8
"170",7
"171",6
"172",10
"173",9
"174",6
"175",4
"176",2
"177",13
"178",4
"179",9
"180",10
"181",7
"182",16
"183",16
"184",15
"185",16
"186",15
"187",13
"188",16
"189",4
"190",10
"191",10
"192",16
"193",10
"194",9
"195",16
"196",13
"197",7
"198",4
"199",16
"200",10
"201",2
"202",9
"203",7
"204",16
"205",7
"206",16
"207",7
"208",9
"209",6
"210",10
"211",7
"212",7
"213",6
"214",10
"215",10
"216",16
"217",12
"218",7
"219",10
"220",15
"221",13
"222",16
"223",13
"224",16
"225",16
"226",10
"227",16
"228",10
"229",16
"230",12
"231",6
"232",15
"233",10
"234",16
"235",4
"236",16
"237",9
"238",13
"239",13
"240",7
"241",4
"242",10
"243",16
"244",4
"245",4
"246",10
"247",7
"248",4
"249",16
"250",14
"251",15
"252",12
"253",16
"254",16
"255",9
"256",16
"257",16
"258",4
"259",6
"260",10
"261",6
"262",15
"263",16
"264",15
"265",7
"266",10
"267",7
"268",16
"269",15
"270",15
"271",6
"272",16
"273",13
"274",13
"275",2
"276",2
"277",4
"278",10
"279",16
"280",16
"281",15
"282",6
"283",6
"284",16
"285",9
"286",15
"287",10
"288",13
"289",10
"290",9
"291",4
"292",4
"293",7
"294",4
"295",16
"296",15
"297",10
"298",12
"299",7
"300",13
"301",16
"302",10
"303",6
"304",7
"305",6
"306",7
"307",4
"308",15
"309",16
"310",7
"311",15
"312",13
"313",16
"314",16
"315",13
"316",16
"317",7
"318",9
"319",6
"320",12
"321",6
"322",13
"323",16
"324",16
"325",16
"326",16
"327",16
"328",10
"329",6
"330",6
"331",7
"332",13
"333",7
"334",7
"335",4
"336",7
"337",4
"338",4
"339",7
"340",10
"341",4
"342",13
"343",10
"344",6
"345",7
"346",16
"347",16
"348",7
"349",10
"350",7
"351",7
"352",10
"353",7
"354",4
"355",6
"356",2
"357",7
"358",6
"359",4
"360",9
"361",10
"362",7
"363",16
"364",7
"365",10
"366",16
"367",10
"368",6
"369",13
"370",7
"371",10
"372",16
"373",14
"374",7
"375",7
"376",16
"377",7
"378",16
"379",13
"380",7
"381",7
"382",12
"383",7
"384",13
"385",16
"386",15
"387",10
"388",16
"389",10
"390",6
"391",13
"392",4
"393",4
"394",9
"395",15
"396",7
"397",7
"398",7
"399",9
"400",13
"401",15
"402",4
"403",16
"404",4
"405",7
"406",10
"407",15
"408",6
"409",16
"410",16
"411",10
"412",16
"413",7
"414",16
"415",10
"416",12
"417",9
"418",15
"419",15
"420",7
"421",15
"422",6
"423",16
"424",7
"425",16
"426",16
"427",7
"428",7
"429",16
"430",4
"431",7
"432",16
"433",6
"434",4
