"","x"
"1",0.0895222412304595
"2",0.13539560609876
"3",1
"4",4
"5",4
"6",1
"7",6
"8",9
"9",3
"10",10
"11",2
"12",7
"13",10
"14",3
"15",8
"16",7
"17",1
"18",8
"19",5
"20",3
"21",2
"22",2
"23",3
"24",5
"25",1
"26",3
"27",2
"28",3
"29",4
"30",7
"31",6
"32",5
"33",7
"34",8
"35",5
"36",5
"37",4
"38",8
"39",8
"40",7
"41",7
"42",7
"43",10
"44",3
"45",1
"46",9
"47",2
"48",3
"49",2
"50",2
"51",6
"52",2
"53",4
"54",9
"55",2
"56",4
"57",7
"58",5
"59",1
"60",4
"61",1
"62",3
"63",1
"64",3
"65",3
"66",2
"67",4
"68",9
"69",2
"70",3
"71",8
"72",4
"73",3
"74",3
"75",5
"76",4
"77",5
"78",10
"79",10
"80",5
"81",8
"82",4
"83",2
"84",4
"85",8
"86",3
"87",6
"88",6
"89",3
"90",10
"91",5
"92",5
"93",7
"94",4
"95",7
"96",7
"97",6
"98",10
"99",4
"100",8
"101",4
"102",3
"103",10
"104",8
"105",5
"106",4
"107",5
"108",2
"109",8
"110",5
"111",10
"112",2
"113",10
"114",10
"115",4
"116",9
"117",8
"118",5
"119",5
"120",10
"121",4
"122",4
"123",2
"124",4
"125",4
"126",7
"127",3
"128",8
"129",8
"130",2
"131",2
"132",4
"133",1
"134",1
"135",9
"136",9
"137",7
"138",5
"139",4
"140",10
"141",8
"142",8
"143",3
"144",3
"145",9
"146",4
"147",4
"148",4
"149",6
"150",9
"151",5
"152",9
"153",2
"154",7
"155",8
"156",2
"157",5
"158",9
"159",7
"160",2
"161",4
"162",2
"163",1
"164",8
"165",8
"166",9
"167",2
"168",1
"169",7
"170",2
"171",4
"172",7
"173",2
"174",6
"175",9
"176",1
"177",4
"178",1
"179",8
"180",4
"181",5
"182",2
"183",5
"184",9
"185",7
"186",4
"187",1
"188",4
"189",8
"190",4
"191",9
"192",3
"193",7
"194",6
"195",8
"196",9
"197",10
"198",7
"199",2
"200",9
"201",5
"202",8
"203",3
"204",10
"205",6
"206",8
"207",10
"208",4
"209",2
"210",8
"211",4
"212",2
"213",10
"214",3
"215",10
"216",8
"217",4
"218",9
"219",8
"220",1
"221",2
"222",3
"223",2
"224",10
"225",9
"226",3
"227",3
"228",1
"229",5
"230",7
"231",10
"232",4
"233",5
"234",4
"235",4
"236",3
"237",7
"238",9
"239",7
"240",10
"241",9
"242",2
"243",4
"244",3
"245",4
"246",1
"247",4
"248",3
"249",4
"250",1
"251",4
"252",7
"253",4
"254",10
"255",2
"256",2
"257",1
"258",3
"259",3
"260",5
"261",8
"262",7
"263",9
"264",6
"265",2
"266",2
"267",8
"268",4
"269",3
"270",8
"271",2
"272",1
"273",3
"274",4
"275",2
"276",8
"277",4
"278",1
"279",4
"280",1
"281",5
"282",2
"283",8
"284",1
"285",2
"286",10
"287",7
"288",8
"289",4
"290",1
"291",8
"292",5
"293",1
"294",8
"295",10
"296",8
"297",4
"298",8
"299",4
"300",5
"301",8
"302",1
"303",9
"304",5
"305",4
"306",1
"307",2
"308",6
"309",3
"310",7
"311",8
"312",4
"313",4
"314",5
"315",7
"316",5
"317",8
"318",10
"319",2
"320",5
"321",1
"322",5
"323",3
"324",4
"325",6
"326",9
"327",8
"328",3
"329",8
"330",8
"331",6
"332",8
"333",10
"334",2
"335",8
"336",1
"337",4
"338",10
"339",3
"340",4
"341",3
"342",8
"343",8
"344",5
"345",10
"346",4
"347",8
"348",3
"349",3
"350",8
"351",2
"352",4
"353",8
"354",3
"355",4
"356",3
"357",9
"358",9
"359",2
"360",2
"361",9
"362",8
"363",4
"364",3
"365",7
"366",8
"367",4
"368",8
"369",1
"370",1
"371",7
"372",10
"373",7
"374",5
"375",5
"376",2
"377",8
"378",5
"379",1
"380",10
"381",6
"382",4
"383",2
"384",3
"385",8
"386",4
"387",8
"388",2
"389",2
"390",3
"391",6
"392",10
"393",8
"394",5
"395",6
"396",5
"397",2
"398",2
"399",2
"400",7
"401",4
"402",4
"403",8
"404",7
"405",5
"406",8
"407",7
"408",4
"409",8
"410",3
"411",3
"412",5
"413",4
"414",5
"415",8
"416",4
"417",8
"418",10
"419",7
"420",3
"421",5
"422",7
"423",1
"424",4
"425",5
"426",6
"427",4
"428",4
"429",10
"430",5
"431",5
"432",7
"433",5
"434",8
"435",4
"436",1
"437",3
"438",2
"439",4
"440",8
"441",8
"442",4
"443",9
"444",6
"445",2
"446",3
"447",4
"448",9
"449",4
"450",7
"451",5
"452",1
"453",8
"454",1
"455",2
"456",1
"457",8
"458",2
"459",10
"460",10
"461",3
"462",7
"463",9
"464",4
"465",1
"466",8
"467",8
"468",1
"469",4
"470",1
"471",10
"472",8
"473",8
"474",5
"475",10
"476",8
"477",6
"478",4
"479",1
"480",3
"481",5
"482",5
"483",6
"484",6
"485",2
"486",5
"487",3
"488",5
"489",2
"490",10
"491",2
"492",9
"493",2
"494",8
"495",4
"496",3
"497",8
"498",8
"499",4
"500",1
"501",6
"502",8
"503",2
"504",2
"505",1
"506",4
"507",3
"508",9
"509",4
"510",5
"511",4
"512",1
"513",9
"514",1
"515",7
"516",2
"517",5
"518",4
"519",9
"520",8
"521",1
"522",8
"523",2
"524",6
"525",2
"526",8
"527",1
"528",3
"529",2
"530",1
"531",3
"532",3
"533",4
"534",4
"535",8
"536",1
"537",6
"538",5
"539",8
"540",2
"541",1
"542",3
"543",2
"544",4
"545",7
"546",8
"547",10
"548",8
"549",8
"550",7
"551",7
"552",8
"553",5
"554",2
"555",10
"556",8
"557",5
"558",2
"559",5
"560",8
"561",1
"562",1
"563",1
"564",4
"565",5
"566",4
"567",1
"568",8
"569",8
"570",4
"571",7
"572",5
"573",6
"574",5
"575",2
"576",1
"577",7
"578",10
"579",7
"580",9
"581",2
"582",5
"583",8
"584",5
"585",4
"586",2
"587",5
"588",7
"589",1
"590",4
"591",4
"592",2
"593",1
"594",7
"595",5
"596",8
"597",1
"598",4
"599",3
"600",3
"601",7
"602",4
"603",7
"604",8
"605",9
"606",1
"607",7
"608",2
"609",2
