"","x"
"1",0.036307804823231
"2",0.103183784547522
"3",1
"4",2
"5",1
"6",3
"7",4
"8",5
"9",6
"10",7
"11",1
"12",8
"13",9
"14",10
"15",11
"16",8
"17",12
"18",10
"19",13
"20",4
"21",6
"22",9
"23",13
"24",10
"25",3
"26",14
"27",5
"28",12
"29",4
"30",6
"31",1
"32",10
"33",9
"34",14
"35",8
"36",15
"37",3
"38",14
"39",4
"40",5
"41",9
"42",9
"43",8
"44",10
"45",13
"46",13
"47",8
"48",9
"49",10
"50",11
"51",7
"52",7
"53",2
"54",6
"55",2
"56",5
"57",4
"58",13
"59",8
"60",7
"61",11
"62",8
"63",10
"64",10
"65",16
"66",13
"67",12
"68",7
"69",8
"70",10
"71",9
"72",9
"73",8
"74",7
"75",12
"76",11
"77",10
"78",12
"79",15
"80",15
"81",9
"82",15
"83",9
"84",14
"85",14
"86",16
"87",16
"88",13
"89",7
"90",12
"91",9
"92",2
"93",14
"94",2
"95",7
"96",7
"97",14
"98",9
"99",1
"100",12
"101",5
"102",2
"103",13
"104",7
"105",6
"106",4
"107",10
"108",9
"109",12
"110",10
"111",5
"112",1
"113",12
"114",6
"115",9
"116",7
"117",4
"118",10
"119",14
"120",11
"121",7
"122",9
"123",14
"124",12
"125",12
"126",7
"127",2
"128",1
"129",10
"130",15
"131",1
"132",7
"133",6
"134",7
"135",7
"136",10
"137",14
"138",16
"139",9
"140",9
"141",16
"142",9
"143",8
"144",2
"145",7
"146",14
"147",8
"148",14
"149",5
"150",8
"151",11
"152",1
"153",1
"154",14
"155",9
"156",16
"157",7
"158",9
"159",4
"160",8
"161",7
"162",11
"163",13
"164",7
"165",9
"166",9
"167",6
"168",10
"169",2
"170",10
"171",8
"172",6
"173",16
"174",12
"175",7
"176",7
"177",7
"178",2
"179",14
"180",10
"181",13
"182",10
"183",9
"184",8
"185",6
"186",11
"187",12
"188",4
"189",13
"190",9
"191",2
"192",1
"193",9
"194",9
"195",7
"196",9
"197",8
"198",12
"199",11
"200",14
"201",9
"202",12
"203",7
"204",16
"205",14
"206",13
"207",4
"208",14
"209",16
"210",15
"211",11
"212",8
"213",13
"214",9
"215",8
"216",5
"217",13
"218",10
"219",14
"220",9
"221",9
"222",9
"223",6
"224",12
"225",7
"226",11
"227",4
"228",10
"229",10
"230",10
"231",4
"232",12
"233",13
"234",13
"235",10
"236",7
"237",12
"238",1
"239",5
"240",12
"241",9
"242",12
"243",2
"244",2
"245",15
"246",3
"247",8
"248",10
"249",16
"250",9
"251",5
"252",10
"253",7
"254",9
"255",10
"256",13
"257",6
"258",8
"259",8
"260",8
"261",7
"262",4
"263",8
"264",14
"265",2
"266",11
"267",16
"268",14
"269",7
"270",8
"271",9
"272",14
"273",9
"274",1
"275",14
"276",7
"277",13
"278",7
"279",10
"280",5
"281",10
"282",9
"283",4
"284",7
"285",12
"286",1
"287",15
"288",15
"289",1
"290",10
"291",9
"292",2
"293",9
"294",10
"295",2
"296",4
"297",16
"298",8
"299",7
"300",2
"301",1
"302",8
"303",1
"304",5
"305",2
"306",11
"307",6
"308",9
"309",9
"310",9
"311",9
"312",5
"313",6
"314",2
"315",10
"316",9
"317",8
"318",11
"319",10
"320",6
"321",9
"322",6
"323",15
"324",1
"325",3
"326",9
"327",8
"328",5
"329",9
"330",15
"331",13
"332",12
"333",9
"334",8
"335",10
"336",1
"337",14
"338",16
"339",2
"340",7
"341",10
"342",8
"343",11
"344",2
"345",14
"346",8
"347",9
"348",4
"349",10
"350",9
"351",5
"352",1
"353",16
"354",7
"355",8
"356",6
"357",13
"358",10
"359",14
"360",9
"361",16
"362",8
"363",11
"364",8
"365",10
"366",16
"367",1
"368",10
"369",7
"370",14
"371",7
"372",6
"373",9
"374",12
"375",2
"376",8
"377",15
"378",7
"379",6
"380",14
"381",10
"382",8
"383",9
"384",13
"385",12
"386",7
"387",6
"388",13
"389",10
"390",10
"391",10
"392",11
"393",15
"394",2
"395",5
"396",15
"397",10
"398",1
"399",10
"400",7
"401",7
"402",13
"403",3
"404",15
"405",7
"406",6
"407",4
"408",9
"409",1
"410",6
"411",8
"412",12
"413",8
"414",8
"415",9
"416",10
"417",1
"418",10
"419",12
"420",14
"421",14
"422",5
"423",10
"424",1
"425",3
"426",14
"427",9
"428",14
"429",3
"430",10
"431",11
"432",8
"433",7
"434",2
"435",7
"436",2
"437",12
"438",12
"439",10
"440",11
"441",3
"442",10
"443",3
"444",7
"445",10
"446",7
"447",1
"448",5
"449",8
"450",8
"451",2
"452",7
"453",1
"454",3
"455",1
"456",9
"457",5
"458",15
"459",14
"460",9
"461",16
"462",7
"463",7
"464",12
"465",8
"466",11
"467",10
"468",12
"469",9
"470",8
"471",7
"472",7
"473",5
"474",10
"475",2
"476",16
"477",9
"478",16
"479",4
"480",12
"481",8
"482",2
"483",7
"484",12
"485",12
"486",5
"487",3
"488",11
"489",16
"490",9
"491",1
"492",16
"493",5
"494",10
"495",13
"496",10
"497",7
"498",4
"499",4
"500",16
"501",16
"502",2
"503",8
"504",13
"505",9
"506",7
"507",8
"508",16
"509",8
"510",7
"511",14
"512",8
"513",13
"514",9
"515",16
"516",12
"517",5
"518",8
"519",10
"520",10
"521",11
"522",10
"523",6
"524",8
"525",11
"526",1
"527",11
"528",7
"529",14
"530",5
"531",7
"532",5
"533",1
"534",6
"535",9
"536",7
"537",2
"538",11
"539",9
"540",10
"541",13
"542",9
"543",1
"544",2
"545",2
"546",9
"547",6
"548",8
"549",7
"550",12
"551",13
"552",8
"553",6
"554",14
"555",2
"556",11
"557",9
"558",10
"559",15
"560",8
"561",12
"562",8
"563",11
"564",9
"565",4
"566",10
"567",14
"568",5
"569",7
"570",1
"571",8
"572",12
"573",1
"574",4
"575",10
"576",13
"577",9
"578",14
"579",12
"580",10
"581",2
"582",8
"583",1
"584",9
"585",10
"586",13
"587",2
"588",14
"589",8
"590",6
"591",16
"592",9
"593",6
"594",2
"595",4
"596",14
"597",16
"598",2
"599",6
"600",1
"601",4
"602",1
"603",1
"604",14
"605",7
"606",2
"607",9
"608",9
"609",4
"610",3
"611",14
"612",5
"613",10
"614",9
"615",3
"616",7
"617",10
"618",10
"619",9
"620",7
"621",10
"622",12
"623",7
"624",6
"625",16
"626",10
"627",1
"628",11
"629",15
"630",3
"631",7
"632",15
"633",16
"634",7
"635",5
"636",1
"637",7
"638",2
"639",9
"640",11
"641",4
"642",7
"643",6
"644",14
"645",9
"646",14
"647",7
"648",12
"649",7
"650",9
"651",10
"652",2
"653",9
"654",9
"655",7
"656",8
"657",14
"658",6
"659",8
"660",2
"661",7
"662",13
"663",10
"664",7
"665",7
"666",10
"667",7
"668",7
"669",13
"670",8
"671",10
"672",14
"673",4
"674",9
"675",12
"676",5
"677",6
"678",9
"679",6
"680",3
"681",16
"682",9
"683",1
"684",6
"685",9
"686",9
"687",13
"688",5
"689",14
"690",10
"691",5
"692",15
"693",5
"694",16
"695",7
"696",9
"697",1
"698",13
"699",12
"700",13
"701",7
"702",2
"703",9
"704",8
"705",7
"706",1
"707",13
"708",11
"709",2
"710",15
"711",11
"712",9
"713",13
"714",10
"715",14
"716",10
"717",8
"718",9
"719",14
"720",11
"721",1
"722",6
"723",5
"724",10
"725",9
"726",1
"727",4
"728",8
"729",9
"730",5
"731",3
"732",8
"733",9
"734",3
"735",9
"736",13
"737",3
"738",4
"739",2
"740",10
"741",6
"742",15
"743",15
"744",10
"745",14
"746",7
"747",7
"748",7
"749",10
"750",9
"751",6
"752",8
"753",16
"754",16
"755",3
"756",10
"757",4
"758",1
"759",4
"760",4
"761",12
"762",16
"763",4
"764",9
"765",9
"766",16
"767",16
"768",11
"769",10
"770",11
"771",16
"772",7
"773",6
"774",6
"775",13
"776",10
"777",13
"778",1
"779",9
"780",15
"781",14
"782",11
"783",8
"784",14
"785",7
"786",2
"787",7
"788",7
"789",10
"790",15
"791",16
"792",9
"793",8
"794",9
"795",9
"796",2
"797",12
"798",12
"799",4
"800",9
"801",10
"802",9
"803",11
"804",8
"805",9
"806",1
"807",14
"808",16
"809",3
"810",1
"811",4
"812",10
"813",12
"814",9
"815",16
"816",9
"817",5
"818",11
"819",9
"820",2
"821",9
"822",9
"823",13
"824",1
"825",14
"826",10
"827",2
"828",7
"829",8
"830",14
"831",9
"832",11
"833",7
"834",4
"835",8
"836",11
"837",8
"838",10
"839",7
"840",1
"841",1
"842",13
"843",10
"844",10
"845",5
"846",13
"847",2
"848",10
"849",10
"850",9
"851",14
