"","x"
"1",0.0348096718340987
"2",0.0899160109543096
"3",1
"4",2
"5",3
"6",4
"7",5
"8",6
"9",7
"10",7
"11",6
"12",5
"13",8
"14",9
"15",3
"16",7
"17",3
"18",1
"19",6
"20",10
"21",7
"22",8
"23",11
"24",12
"25",2
"26",13
"27",8
"28",7
"29",4
"30",5
"31",6
"32",13
"33",13
"34",4
"35",11
"36",3
"37",10
"38",4
"39",1
"40",4
"41",4
"42",1
"43",5
"44",10
"45",5
"46",13
"47",7
"48",6
"49",4
"50",13
"51",12
"52",14
"53",10
"54",8
"55",9
"56",3
"57",7
"58",15
"59",10
"60",16
"61",12
"62",5
"63",1
"64",4
"65",7
"66",13
"67",13
"68",10
"69",5
"70",8
"71",6
"72",4
"73",8
"74",16
"75",8
"76",13
"77",11
"78",4
"79",3
"80",12
"81",10
"82",3
"83",6
"84",8
"85",9
"86",10
"87",4
"88",11
"89",6
"90",2
"91",14
"92",5
"93",8
"94",11
"95",8
"96",14
"97",13
"98",7
"99",6
"100",8
"101",13
"102",6
"103",11
"104",8
"105",9
"106",8
"107",6
"108",1
"109",10
"110",5
"111",4
"112",3
"113",13
"114",1
"115",1
"116",8
"117",10
"118",2
"119",12
"120",5
"121",8
"122",7
"123",4
"124",14
"125",8
"126",9
"127",11
"128",2
"129",11
"130",3
"131",1
"132",8
"133",5
"134",1
"135",4
"136",6
"137",10
"138",4
"139",7
"140",8
"141",1
"142",10
"143",8
"144",5
"145",14
"146",13
"147",4
"148",8
"149",3
"150",2
"151",5
"152",10
"153",5
"154",8
"155",13
"156",3
"157",10
"158",8
"159",1
"160",8
"161",14
"162",10
"163",15
"164",5
"165",16
"166",8
"167",1
"168",13
"169",5
"170",12
"171",7
"172",1
"173",5
"174",2
"175",11
"176",10
"177",2
"178",5
"179",4
"180",10
"181",13
"182",5
"183",6
"184",5
"185",8
"186",10
"187",5
"188",10
"189",13
"190",16
"191",7
"192",11
"193",14
"194",1
"195",8
"196",10
"197",6
"198",1
"199",3
"200",7
"201",8
"202",13
"203",10
"204",16
"205",6
"206",15
"207",10
"208",2
"209",9
"210",3
"211",7
"212",16
"213",16
"214",10
"215",10
"216",13
"217",10
"218",1
"219",4
"220",1
"221",4
"222",14
"223",4
"224",10
"225",2
"226",7
"227",1
"228",7
"229",11
"230",3
"231",11
"232",7
"233",3
