"","x"
"1",0.603721945076679
"2",0.66079016397786
"3",2
"4",2
"5",1
"6",2
"7",2
"8",3
"9",3
"10",2
"11",1
"12",2
"13",1
"14",3
"15",2
"16",2
"17",3
"18",1
"19",2
"20",4
"21",2
"22",1
"23",1
"24",1
"25",1
"26",1
"27",2
"28",4
"29",3
"30",3
"31",4
"32",2
"33",4
"34",3
"35",2
"36",4
"37",1
"38",3
"39",2
"40",1
"41",3
"42",2
"43",2
"44",3
"45",3
"46",3
"47",1
"48",2
"49",3
"50",3
"51",2
"52",2
"53",4
"54",2
"55",4
"56",2
"57",4
"58",2
"59",4
"60",2
"61",1
"62",2
"63",4
"64",1
"65",3
"66",1
"67",2
"68",4
"69",2
"70",2
"71",4
"72",1
"73",2
"74",2
"75",1
"76",3
"77",1
"78",1
"79",4
"80",3
"81",3
"82",2
"83",4
"84",1
"85",3
"86",3
"87",2
"88",1
"89",1
"90",2
"91",2
"92",1
"93",3
"94",2
"95",2
"96",4
"97",3
"98",2
"99",1
"100",2
"101",2
"102",3
"103",2
"104",2
"105",2
"106",2
"107",1
"108",1
"109",3
"110",4
"111",2
"112",4
"113",3
"114",4
"115",2
"116",4
"117",3
"118",2
"119",3
"120",1
"121",2
"122",3
"123",2
"124",2
"125",2
"126",1
"127",2
"128",2
"129",4
"130",3
"131",1
"132",2
"133",2
"134",3
"135",1
"136",2
"137",4
"138",4
"139",2
"140",2
"141",2
"142",1
"143",4
"144",4
"145",2
"146",3
"147",2
"148",1
"149",3
"150",2
"151",2
"152",2
"153",1
"154",4
"155",2
"156",2
"157",4
"158",3
"159",3
"160",3
"161",2
"162",1
"163",3
"164",1
"165",2
"166",2
"167",2
"168",2
"169",2
"170",1
"171",3
"172",4
"173",2
"174",4
"175",1
"176",4
"177",3
"178",2
"179",3
"180",4
"181",2
"182",1
"183",2
"184",1
"185",3
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",3
"193",3
"194",2
"195",2
"196",3
"197",1
"198",2
"199",2
"200",1
"201",1
"202",3
"203",2
"204",3
"205",3
"206",3
"207",4
"208",3
"209",3
"210",1
"211",2
"212",4
"213",2
"214",3
"215",2
"216",2
"217",2
"218",1
"219",3
"220",1
"221",2
"222",2
"223",1
"224",2
"225",1
"226",3
"227",2
"228",1
"229",2
"230",2
"231",2
"232",2
"233",4
"234",2
"235",3
"236",1
"237",2
"238",2
"239",2
"240",1
"241",3
"242",3
"243",1
"244",4
"245",1
"246",4
"247",2
"248",1
"249",1
"250",2
"251",2
"252",2
"253",2
"254",3
"255",2
"256",2
"257",3
"258",3
"259",2
"260",2
"261",1
"262",4
"263",2
"264",3
"265",2
"266",3
"267",3
"268",4
"269",2
"270",2
"271",3
"272",3
"273",1
"274",1
"275",2
"276",2
"277",1
"278",1
"279",2
"280",2
"281",1
"282",2
"283",2
"284",2
"285",2
"286",2
"287",1
"288",1
"289",1
"290",3
"291",2
"292",2
"293",2
"294",1
"295",2
"296",1
"297",2
"298",2
"299",1
"300",3
"301",1
"302",1
"303",3
"304",1
"305",3
"306",1
"307",2
"308",3
"309",4
"310",1
"311",1
"312",3
"313",2
"314",3
"315",2
"316",2
"317",2
"318",1
"319",1
"320",3
"321",1
"322",3
"323",4
"324",1
"325",1
"326",3
"327",2
"328",4
"329",3
"330",1
"331",1
"332",3
"333",4
"334",4
"335",2
"336",1
"337",2
"338",2
"339",1
"340",2
"341",3
"342",1
"343",1
"344",2
"345",4
"346",2
"347",2
"348",2
"349",1
"350",3
"351",2
"352",3
"353",2
"354",2
"355",1
"356",2
"357",2
"358",4
"359",3
"360",2
"361",3
"362",4
"363",4
"364",2
"365",1
"366",2
"367",1
"368",1
"369",2
"370",2
"371",1
"372",3
"373",3
"374",1
"375",2
"376",2
"377",2
"378",2
"379",2
"380",2
"381",2
"382",1
"383",2
"384",2
"385",2
"386",3
"387",3
"388",1
"389",2
"390",4
"391",3
"392",1
"393",2
"394",2
"395",3
"396",2
"397",4
"398",1
"399",2
"400",2
"401",1
"402",2
"403",1
"404",2
"405",2
"406",2
"407",3
"408",1
"409",1
"410",3
"411",3
"412",2
"413",2
"414",4
"415",2
"416",3
"417",2
"418",3
"419",4
"420",1
"421",1
"422",3
"423",3
"424",2
"425",1
"426",3
"427",4
"428",2
"429",2
"430",3
"431",4
"432",4
"433",3
"434",2
"435",2
"436",2
"437",2
"438",3
"439",3
"440",3
"441",2
"442",3
"443",2
"444",2
"445",2
"446",1
"447",1
"448",3
"449",1
"450",2
"451",4
"452",2
"453",2
"454",1
"455",1
"456",3
"457",2
"458",4
"459",3
"460",1
"461",2
"462",2
"463",1
"464",3
"465",1
"466",3
"467",2
"468",3
"469",2
"470",2
"471",2
"472",2
"473",2
"474",2
"475",2
"476",4
"477",3
"478",3
"479",3
"480",1
"481",1
"482",4
"483",2
"484",2
"485",3
"486",2
"487",2
"488",2
"489",2
"490",3
"491",1
"492",2
"493",3
"494",2
"495",2
"496",2
"497",2
