"","x"
"1",0.612191327046706
"2",0.647275410148616
"3",1
"4",1
"5",2
"6",2
"7",1
"8",2
"9",3
"10",1
"11",3
"12",2
"13",2
"14",3
"15",1
"16",1
"17",3
"18",2
"19",2
"20",1
"21",1
"22",1
"23",4
"24",3
"25",2
"26",1
"27",1
"28",2
"29",3
"30",3
"31",2
"32",1
"33",1
"34",3
"35",1
"36",3
"37",3
"38",3
"39",2
"40",4
"41",3
"42",2
"43",1
"44",3
"45",3
"46",3
"47",3
"48",1
"49",3
"50",3
"51",2
"52",1
"53",1
"54",2
"55",2
"56",1
"57",2
"58",1
"59",2
"60",2
"61",2
"62",2
"63",1
"64",1
"65",3
"66",2
"67",1
"68",1
"69",1
"70",1
"71",2
"72",3
"73",1
"74",1
"75",1
"76",3
"77",1
"78",1
"79",3
"80",3
"81",3
"82",2
"83",1
"84",1
"85",3
"86",3
"87",2
"88",2
"89",3
"90",2
"91",1
"92",1
"93",3
"94",2
"95",1
"96",1
"97",3
"98",1
"99",1
"100",2
"101",2
"102",3
"103",1
"104",1
"105",2
"106",1
"107",1
"108",2
"109",3
"110",3
"111",2
"112",1
"113",3
"114",3
"115",2
"116",2
"117",3
"118",2
"119",3
"120",2
"121",2
"122",3
"123",1
"124",1
"125",1
"126",2
"127",1
"128",2
"129",3
"130",3
"131",2
"132",2
"133",2
"134",3
"135",1
"136",1
"137",2
"138",2
"139",1
"140",2
"141",1
"142",1
"143",2
"144",2
"145",2
"146",3
"147",2
"148",2
"149",3
"150",2
"151",2
"152",2
"153",2
"154",3
"155",2
"156",2
"157",4
"158",3
"159",3
"160",3
"161",2
"162",2
"163",3
"164",2
"165",1
"166",2
"167",2
"168",2
"169",2
"170",1
"171",3
"172",3
"173",1
"174",1
"175",3
"176",3
"177",3
"178",1
"179",3
"180",3
"181",1
"182",2
"183",1
"184",3
"185",3
"186",2
"187",2
"188",1
"189",2
"190",2
"191",1
"192",3
"193",3
"194",1
"195",2
"196",3
"197",1
"198",1
"199",2
"200",2
"201",2
"202",3
"203",1
"204",3
"205",3
"206",3
"207",1
"208",3
"209",3
"210",3
"211",2
"212",1
"213",3
"214",3
"215",2
"216",1
"217",1
"218",2
"219",3
"220",3
"221",1
"222",2
"223",2
"224",1
"225",2
"226",3
"227",1
"228",2
"229",2
"230",2
"231",1
"232",1
"233",2
"234",1
"235",3
"236",2
"237",1
"238",1
"239",1
"240",1
"241",3
"242",3
"243",2
"244",4
"245",2
"246",3
"247",1
"248",2
"249",2
"250",2
"251",2
"252",1
"253",1
"254",3
"255",1
"256",1
"257",3
"258",3
"259",1
"260",2
"261",2
"262",3
"263",1
"264",3
"265",2
"266",3
"267",3
"268",3
"269",1
"270",2
"271",3
"272",3
"273",3
"274",2
"275",1
"276",2
"277",2
"278",1
"279",1
"280",2
"281",1
"282",1
"283",1
"284",2
"285",2
"286",1
"287",1
"288",1
"289",2
"290",3
"291",2
"292",1
"293",2
"294",2
"295",1
"296",3
"297",1
"298",2
"299",2
"300",3
"301",2
"302",2
"303",3
"304",2
"305",3
"306",1
"307",1
"308",3
"309",1
"310",3
"311",2
"312",3
"313",1
"314",3
"315",1
"316",1
"317",1
"318",2
"319",2
"320",3
"321",2
"322",3
"323",1
"324",4
"325",2
"326",3
"327",1
"328",3
"329",3
"330",2
"331",1
"332",3
"333",1
"334",2
"335",1
"336",4
"337",2
"338",3
"339",2
"340",2
"341",3
"342",1
"343",2
"344",1
"345",1
"346",1
"347",1
"348",2
"349",2
"350",3
"351",1
"352",3
"353",2
"354",2
"355",2
"356",2
"357",1
"358",2
"359",3
"360",2
"361",3
"362",2
"363",2
"364",2
"365",1
"366",2
"367",4
"368",2
"369",1
"370",1
"371",2
"372",3
"373",3
"374",2
"375",1
"376",1
"377",1
"378",2
"379",2
"380",1
"381",1
"382",3
"383",1
"384",1
"385",1
"386",2
"387",3
"388",2
"389",1
"390",2
"391",3
"392",2
"393",1
"394",1
"395",3
"396",1
"397",1
"398",3
"399",2
"400",2
"401",2
"402",1
"403",2
"404",1
"405",1
"406",1
"407",3
"408",3
"409",1
"410",3
"411",3
"412",1
"413",2
"414",3
"415",1
"416",3
"417",2
"418",3
"419",2
"420",2
"421",3
"422",3
"423",3
"424",1
"425",3
"426",3
"427",2
"428",1
"429",2
"430",3
"431",2
"432",2
"433",3
"434",2
"435",1
"436",2
"437",1
"438",3
"439",3
"440",3
"441",1
"442",3
"443",2
"444",1
"445",1
"446",3
"447",2
"448",3
"449",1
"450",1
"451",3
"452",2
"453",1
"454",4
"455",4
"456",3
"457",2
"458",4
"459",3
"460",2
"461",1
"462",1
"463",3
"464",3
"465",3
"466",3
"467",1
"468",3
"469",2
