"","x"
"1",0.00950125356023973
"2",0.0371414449632298
"3",1
"4",2
"5",3
"6",4
"7",2
"8",5
"9",6
"10",4
"11",4
"12",7
"13",8
"14",9
"15",9
"16",10
"17",2
"18",3
"19",3
"20",10
"21",6
"22",10
"23",11
"24",3
"25",7
"26",7
"27",3
"28",4
"29",6
"30",2
"31",9
"32",12
"33",6
"34",13
"35",9
"36",14
"37",15
"38",1
"39",16
"40",3
"41",6
"42",16
"43",9
"44",16
"45",6
"46",2
"47",7
"48",6
"49",2
"50",14
"51",5
"52",12
"53",10
"54",15
"55",6
"56",3
"57",13
"58",2
"59",15
"60",15
"61",14
"62",2
"63",2
"64",5
"65",8
"66",2
"67",2
"68",1
"69",2
"70",13
"71",1
"72",4
"73",9
"74",15
"75",7
"76",5
"77",4
"78",4
"79",2
"80",14
"81",2
"82",14
"83",15
"84",10
"85",1
"86",6
"87",2
"88",11
"89",6
"90",5
"91",15
"92",7
"93",12
"94",10
"95",13
"96",15
"97",14
"98",15
"99",10
"100",12
"101",3
"102",12
"103",11
"104",16
"105",12
"106",16
"107",6
"108",13
"109",7
"110",4
"111",9
"112",3
"113",7
"114",5
"115",15
"116",1
"117",13
"118",4
"119",14
"120",3
"121",16
"122",9
"123",6
"124",5
"125",5
"126",7
"127",6
"128",4
"129",2
"130",14
"131",5
"132",8
"133",5
"134",15
"135",3
"136",16
"137",8
"138",6
"139",4
"140",6
"141",6
"142",16
"143",15
"144",6
"145",4
"146",3
"147",5
"148",15
"149",14
"150",9
"151",14
"152",16
"153",10
"154",12
"155",11
"156",3
"157",9
"158",16
"159",10
"160",3
"161",15
"162",4
"163",11
"164",10
"165",8
"166",12
"167",1
"168",4
"169",2
"170",3
"171",4
"172",15
"173",16
"174",16
"175",16
"176",8
"177",15
"178",2
"179",5
"180",5
"181",3
"182",9
"183",4
"184",12
"185",8
"186",4
"187",11
"188",9
"189",2
"190",7
"191",12
"192",6
"193",13
"194",8
"195",10
"196",16
"197",16
"198",16
"199",14
"200",4
"201",15
"202",9
"203",6
"204",15
"205",2
"206",11
"207",5
"208",16
"209",16
"210",14
"211",3
"212",5
"213",4
"214",16
"215",5
"216",2
"217",16
"218",8
"219",3
"220",16
"221",10
"222",15
"223",5
"224",3
"225",16
"226",13
"227",16
"228",2
"229",3
"230",9
"231",4
"232",2
"233",14
"234",4
"235",15
"236",15
"237",9
"238",7
"239",13
"240",4
"241",6
"242",6
"243",12
"244",1
"245",14
"246",14
"247",1
"248",6
"249",5
"250",16
"251",2
"252",13
"253",5
"254",4
"255",10
"256",9
"257",6
"258",15
"259",1
"260",9
"261",12
"262",2
"263",15
"264",3
"265",2
"266",2
"267",8
"268",7
"269",1
"270",5
"271",15
"272",5
"273",13
