"","x"
"1",0.286324931791298
"2",0.551440937768251
"3",2
"4",2
"5",3
"6",4
"7",7
"8",7
"9",16
"10",7
"11",3
"12",9
"13",7
"14",14
"15",8
"16",7
"17",16
"18",6
"19",7
"20",7
"21",7
"22",7
"23",3
"24",8
"25",11
"26",5
"27",7
"28",9
"29",16
"30",14
"31",11
"32",2
"33",7
"34",12
"35",7
"36",15
"37",5
"38",12
"39",9
"40",8
"41",4
"42",9
"43",7
"44",16
"45",16
"46",8
"47",7
"48",7
"49",16
"50",14
"51",7
"52",7
"53",7
"54",7
"55",7
"56",8
"57",7
"58",8
"59",7
"60",7
"61",8
"62",7
"63",7
"64",6
"65",7
"66",8
"67",7
"68",2
"69",14
"70",7
"71",7
"72",5
"73",8
"74",7
"75",7
"76",7
"77",6
"78",7
"79",8
"80",15
"81",7
"82",8
"83",7
"84",7
"85",12
"86",7
"87",10
"88",15
"89",5
"90",7
"91",2
"92",5
"93",12
"94",2
"95",7
"96",7
"97",14
"98",7
"99",3
"100",9
"101",10
"102",16
"103",8
"104",13
"105",10
"106",7
"107",8
"108",6
"109",7
"110",5
"111",10
"112",3
"113",7
"114",16
"115",1
"116",7
"117",7
"118",10
"119",14
"120",5
"121",7
"122",7
"123",7
"124",7
"125",7
"126",7
"127",7
"128",10
"129",7
"130",15
"131",11
"132",1
"133",7
"134",7
"135",5
"136",7
"137",7
"138",10
"139",7
"140",10
"141",7
"142",6
"143",6
"144",1
"145",9
"146",14
"147",1
"148",5
"149",15
"150",10
"151",15
"152",7
"153",11
"154",12
"155",7
"156",4
"157",14
"158",7
"159",14
"160",16
"161",10
"162",5
"163",8
"164",1
"165",7
"166",9
"167",1
"168",9
"169",10
"170",5
"171",16
"172",12
"173",7
"174",7
"175",7
"176",7
"177",16
"178",8
"179",7
"180",6
"181",7
"182",1
"183",2
"184",5
"185",12
"186",6
"187",9
"188",7
"189",10
"190",10
"191",2
"192",8
"193",7
"194",7
"195",7
"196",7
"197",6
"198",2
"199",15
"200",11
"201",1
"202",16
"203",12
"204",7
"205",14
"206",7
"207",7
"208",12
"209",16
"210",15
"211",1
"212",7
"213",16
"214",16
"215",7
"216",2
"217",7
"218",6
"219",3
"220",5
"221",7
"222",10
"223",16
"224",7
"225",7
"226",7
"227",2
"228",6
"229",1
"230",1
"231",7
"232",2
"233",3
"234",9
"235",7
"236",1
"237",7
"238",1
"239",7
"240",7
"241",7
"242",16
"243",8
"244",5
"245",15
"246",8
"247",7
"248",5
"249",6
"250",10
"251",10
"252",2
"253",2
"254",7
"255",7
"256",7
"257",7
"258",6
"259",7
"260",9
"261",7
"262",16
"263",2
"264",14
"265",7
"266",8
"267",16
"268",12
"269",7
"270",1
"271",12
"272",7
"273",6
"274",5
"275",15
"276",7
"277",8
"278",5
"279",7
"280",9
"281",8
"282",2
"283",7
"284",7
"285",10
"286",7
"287",3
"288",16
"289",5
"290",7
"291",9
"292",7
"293",2
"294",6
"295",7
"296",8
"297",15
"298",1
"299",6
"300",16
"301",7
"302",11
"303",9
"304",8
"305",7
"306",7
"307",7
"308",7
"309",7
"310",6
"311",7
"312",3
"313",7
"314",14
"315",7
"316",7
"317",7
"318",10
"319",7
"320",7
"321",11
"322",16
"323",7
"324",3
"325",11
"326",7
"327",2
"328",9
"329",16
"330",3
"331",3
"332",14
"333",2
"334",9
"335",7
"336",11
"337",7
"338",7
"339",7
"340",7
"341",16
"342",8
"343",8
"344",7
"345",15
"346",2
"347",7
"348",9
"349",7
"350",7
"351",7
"352",16
"353",10
"354",9
"355",6
"356",9
"357",8
"358",9
"359",12
"360",7
"361",7
"362",10
"363",15
"364",7
"365",5
"366",10
"367",3
"368",6
"369",2
"370",7
"371",7
"372",6
"373",16
"374",16
"375",7
"376",3
"377",7
"378",7
"379",9
"380",7
"381",13
"382",5
"383",7
"384",2
"385",7
"386",7
"387",8
"388",15
"389",7
"390",5
"391",7
"392",16
"393",15
"394",7
"395",7
"396",15
"397",8
"398",3
"399",9
"400",7
"401",16
"402",2
"403",11
"404",15
"405",7
"406",7
"407",16
"408",11
"409",5
"410",7
"411",8
"412",2
"413",9
"414",6
"415",2
"416",14
"417",9
"418",7
"419",10
"420",5
"421",8
"422",16
"423",14
"424",3
"425",5
"426",12
"427",1
"428",7
"429",15
"430",7
"431",10
"432",7
"433",12
"434",1
"435",7
"436",9
"437",9
"438",7
"439",5
"440",7
"441",7
"442",7
"443",7
"444",2
"445",7
"446",6
"447",3
"448",16
"449",16
"450",7
"451",6
"452",7
"453",2
"454",11
"455",5
"456",16
"457",1
"458",8
"459",12
"460",8
"461",2
"462",7
"463",6
"464",12
"465",5
"466",14
"467",15
"468",15
"469",10
"470",2
"471",7
"472",7
"473",2
"474",7
"475",7
"476",2
"477",16
"478",7
"479",16
"480",1
"481",6
"482",1
"483",7
"484",7
"485",7
"486",7
"487",10
"488",7
"489",10
"490",7
"491",6
"492",2
"493",7
"494",7
"495",7
"496",1
"497",1
"498",3
"499",7
"500",10
"501",7
"502",13
"503",7
"504",15
"505",2
"506",7
"507",7
"508",7
"509",16
"510",7
"511",5
"512",1
"513",7
"514",7
"515",10
"516",7
"517",13
"518",10
"519",1
"520",7
"521",14
"522",7
"523",7
"524",5
"525",8
"526",5
"527",1
"528",7
"529",1
"530",7
"531",16
"532",10
"533",8
"534",2
"535",16
"536",7
"537",7
"538",1
"539",7
"540",2
"541",7
"542",16
"543",8
"544",6
"545",8
"546",12
"547",2
"548",7
"549",7
"550",3
"551",5
"552",16
"553",7
"554",14
"555",7
"556",4
"557",11
"558",10
"559",15
"560",7
"561",10
"562",7
"563",15
"564",2
"565",6
"566",14
"567",12
"568",7
"569",9
"570",3
"571",16
"572",7
"573",7
"574",2
"575",5
"576",7
"577",7
"578",7
"579",16
"580",2
"581",8
"582",7
"583",16
"584",7
"585",8
"586",15
"587",7
"588",14
"589",6
"590",7
"591",9
"592",7
"593",7
"594",7
"595",7
"596",5
"597",7
"598",14
"599",16
"600",2
"601",1
"602",14
"603",10
"604",7
"605",9
"606",9
"607",9
"608",12
"609",2
"610",11
"611",8
"612",9
"613",16
"614",2
"615",11
"616",7
"617",6
"618",7
"619",10
"620",9
"621",8
"622",2
"623",16
"624",16
"625",7
"626",7
"627",2
"628",14
"629",7
"630",7
"631",9
"632",15
"633",7
"634",4
"635",2
"636",9
"637",7
"638",1
"639",7
"640",14
"641",16
"642",7
"643",1
"644",14
"645",7
"646",7
"647",8
"648",10
"649",7
"650",16
"651",7
"652",7
"653",7
"654",7
"655",6
"656",8
"657",12
"658",7
"659",5
"660",16
"661",7
"662",7
"663",1
"664",7
"665",1
"666",14
"667",7
"668",2
"669",16
"670",7
"671",6
"672",12
"673",7
"674",9
"675",7
"676",7
"677",7
"678",1
"679",10
"680",7
"681",10
"682",9
"683",7
"684",2
"685",10
"686",7
"687",8
"688",8
"689",5
"690",15
"691",15
"692",15
"693",1
"694",7
"695",13
"696",9
"697",3
"698",10
"699",14
"700",7
"701",7
"702",13
"703",7
"704",5
"705",12
"706",10
"707",7
"708",7
"709",7
"710",8
"711",15
"712",1
"713",7
"714",14
"715",14
"716",7
"717",7
"718",10
"719",5
"720",7
"721",10
"722",7
"723",1
"724",7
"725",7
"726",15
"727",16
"728",1
"729",13
"730",7
"731",2
"732",6
"733",10
"734",2
"735",10
"736",6
"737",11
"738",10
"739",2
"740",14
"741",14
"742",7
"743",15
"744",14
"745",12
"746",5
"747",16
"748",11
"749",13
"750",1
"751",11
"752",5
"753",10
"754",5
"755",6
"756",7
"757",15
"758",10
"759",5
"760",2
"761",7
"762",16
"763",7
"764",12
"765",11
"766",2
"767",7
"768",10
"769",16
"770",5
"771",1
"772",7
"773",8
"774",7
"775",8
"776",16
"777",2
"778",8
"779",16
"780",15
"781",7
"782",7
"783",3
"784",9
"785",12
"786",9
"787",7
"788",11
"789",1
"790",15
"791",4
"792",12
"793",15
"794",10
"795",13
"796",14
"797",9
"798",13
"799",1
"800",16
"801",9
"802",16
"803",14
"804",7
"805",4
"806",3
"807",14
"808",10
"809",9
"810",3
"811",9
"812",7
"813",7
"814",16
"815",10
"816",7
"817",15
"818",15
"819",16
"820",7
"821",5
"822",7
"823",15
"824",7
"825",7
"826",14
"827",14
"828",7
"829",7
"830",7
"831",7
"832",14
"833",7
"834",7
"835",6
"836",13
"837",10
"838",3
"839",7
"840",11
"841",9
"842",15
"843",1
"844",6
"845",16
"846",3
"847",7
"848",7
"849",5
"850",7
"851",1
"852",1
"853",8
"854",7
"855",15
"856",7
"857",10
"858",7
"859",5
"860",1
"861",7
"862",3
"863",15
"864",2
"865",7
"866",7
"867",7
"868",2
"869",2
"870",12
"871",7
"872",1
"873",5
"874",5
"875",2
"876",13
"877",16
"878",5
"879",7
"880",10
"881",10
"882",7
"883",7
"884",12
"885",3
"886",5
"887",7
"888",10
"889",9
"890",16
"891",12
"892",5
"893",14
"894",7
"895",9
"896",7
"897",7
"898",7
"899",7
"900",10
"901",6
"902",7
"903",10
"904",9
"905",10
"906",8
"907",7
"908",16
"909",11
"910",3
"911",7
"912",7
"913",6
"914",7
"915",11
"916",3
"917",7
"918",3
"919",10
"920",7
"921",10
"922",8
"923",7
"924",15
"925",10
"926",7
"927",10
"928",8
"929",7
"930",7
"931",11
"932",7
"933",1
"934",5
"935",7
"936",8
"937",5
"938",7
"939",2
"940",7
"941",7
"942",5
"943",14
"944",7
"945",7
"946",7
"947",5
"948",9
"949",10
"950",5
"951",2
"952",2
"953",7
"954",7
"955",8
"956",15
"957",7
"958",7
"959",12
"960",2
"961",7
"962",7
"963",3
"964",2
"965",3
"966",5
"967",16
"968",14
"969",9
"970",15
"971",2
"972",12
"973",6
"974",9
"975",7
"976",16
"977",2
"978",7
"979",3
"980",7
"981",7
"982",7
"983",14
"984",3
"985",7
"986",2
"987",14
"988",7
"989",9
"990",11
"991",7
"992",15
"993",10
"994",7
"995",13
"996",16
"997",2
"998",7
"999",10
"1000",10
"1001",7
"1002",8
"1003",1
"1004",1
"1005",7
"1006",8
"1007",7
"1008",9
"1009",10
"1010",7
"1011",7
"1012",7
"1013",7
"1014",9
"1015",7
"1016",10
"1017",5
"1018",8
"1019",2
"1020",10
"1021",6
"1022",14
"1023",7
"1024",5
"1025",6
"1026",8
"1027",7
"1028",7
"1029",2
"1030",2
"1031",5
"1032",3
"1033",14
"1034",11
"1035",9
"1036",7
"1037",7
"1038",2
"1039",7
"1040",6
"1041",11
"1042",8
"1043",8
"1044",3
"1045",16
"1046",16
"1047",9
"1048",16
"1049",7
"1050",12
"1051",7
"1052",9
"1053",9
"1054",9
"1055",6
"1056",6
"1057",8
"1058",7
"1059",16
"1060",7
"1061",16
"1062",16
"1063",11
"1064",8
"1065",7
"1066",11
"1067",1
"1068",7
"1069",9
"1070",8
"1071",14
"1072",7
"1073",7
"1074",13
"1075",5
"1076",1
"1077",1
"1078",16
"1079",7
"1080",7
"1081",7
"1082",7
"1083",16
"1084",6
"1085",7
"1086",7
"1087",5
"1088",7
"1089",3
"1090",16
"1091",9
"1092",7
"1093",7
"1094",7
"1095",16
"1096",1
"1097",16
"1098",16
"1099",7
"1100",7
"1101",7
"1102",7
"1103",7
"1104",16
"1105",7
"1106",16
"1107",3
"1108",7
"1109",9
"1110",7
"1111",3
"1112",7
"1113",7
"1114",2
"1115",9
"1116",7
"1117",6
"1118",7
"1119",7
"1120",4
