"","x"
"1",0.262508261615656
"2",0.289879497692477
"3",4
"4",4
"5",2
"6",4
"7",4
"8",1
"9",3
"10",2
"11",3
"12",3
"13",3
"14",3
"15",4
"16",2
"17",2
"18",3
"19",4
"20",1
"21",4
"22",3
"23",3
"24",3
"25",3
"26",3
"27",4
"28",4
"29",3
"30",3
"31",3
"32",4
"33",2
"34",2
"35",4
"36",2
"37",3
"38",3
"39",4
"40",3
"41",3
"42",4
"43",4
"44",2
"45",3
"46",3
"47",3
"48",4
"49",3
"50",2
"51",4
"52",4
"53",4
"54",2
"55",4
"56",2
"57",3
"58",4
"59",2
"60",4
"61",3
"62",4
"63",4
"64",2
"65",2
"66",3
"67",4
"68",4
"69",4
"70",4
"71",1
"72",3
"73",4
"74",2
"75",3
"76",2
"77",2
"78",2
"79",2
"80",3
"81",3
"82",4
"83",2
"84",3
"85",3
"86",3
"87",4
"88",3
"89",3
"90",4
"91",4
"92",1
"93",4
"94",3
"95",4
"96",2
"97",3
"98",2
"99",2
"100",4
"101",2
"102",3
"103",4
"104",4
"105",4
"106",4
"107",2
"108",3
"109",3
"110",1
"111",2
"112",2
"113",3
"114",3
"115",2
"116",1
"117",3
"118",4
"119",3
"120",3
"121",4
"122",2
"123",4
"124",4
"125",4
"126",3
"127",4
"128",4
"129",3
"130",2
"131",2
"132",4
"133",1
"134",3
"135",3
"136",1
"137",3
"138",2
"139",4
"140",4
"141",4
"142",3
"143",1
"144",2
"145",2
"146",3
"147",4
"148",3
"149",3
"150",4
"151",2
"152",4
"153",3
"154",3
"155",2
"156",2
"157",1
"158",3
"159",3
"160",3
"161",4
"162",3
"163",3
"164",2
"165",4
"166",4
"167",2
"168",2
"169",2
"170",2
"171",3
"172",3
"173",4
"174",4
"175",3
"176",2
"177",3
"178",4
"179",3
"180",2
"181",4
"182",3
"183",2
"184",3
"185",3
"186",3
"187",4
"188",4
"189",4
"190",2
"191",4
"192",2
"193",3
"194",4
"195",2
"196",3
"197",3
"198",2
"199",4
"200",3
"201",2
"202",3
"203",4
"204",3
"205",3
"206",3
"207",1
"208",3
"209",3
"210",3
"211",4
"212",2
"213",4
"214",1
"215",2
"216",4
"217",3
"218",3
"219",3
"220",2
"221",4
"222",4
"223",3
"224",2
"225",3
"226",3
"227",4
"228",3
"229",3
"230",4
"231",4
"232",2
"233",2
"234",4
"235",3
"236",3
"237",4
"238",4
"239",4
"240",2
"241",3
"242",3
"243",2
"244",2
"245",3
"246",2
"247",4
"248",3
"249",3
"250",4
"251",4
"252",4
"253",4
"254",3
"255",4
"256",4
"257",3
"258",3
"259",4
"260",4
"261",3
"262",3
"263",4
"264",3
"265",4
"266",3
"267",3
"268",1
"269",4
"270",2
"271",3
"272",3
"273",2
"274",3
"275",4
"276",4
"277",2
"278",3
"279",2
"280",4
"281",3
"282",4
"283",4
"284",2
"285",4
"286",4
"287",3
"288",2
"289",1
"290",3
"291",2
"292",4
"293",3
"294",2
"295",4
"296",3
"297",2
"298",2
"299",3
"300",3
"301",3
"302",2
"303",3
"304",3
"305",3
"306",3
"307",1
"308",3
"309",2
"310",2
"311",2
"312",3
"313",4
"314",3
"315",4
"316",2
"317",4
"318",2
"319",2
"320",3
"321",3
"322",3
"323",2
"324",3
"325",3
"326",2
"327",4
"328",3
"329",3
"330",2
"331",2
"332",3
"333",2
"334",2
"335",4
"336",3
"337",1
"338",4
"339",2
"340",4
"341",4
"342",2
"343",2
"344",4
"345",3
"346",4
"347",4
"348",4
"349",3
"350",2
"351",1
"352",3
"353",4
"354",4
"355",3
"356",4
"357",4
"358",2
"359",1
"360",4
"361",3
"362",2
"363",4
"364",4
"365",2
"366",4
"367",3
"368",3
"369",4
"370",4
"371",3
"372",3
"373",3
"374",1
"375",4
"376",4
"377",4
"378",4
"379",2
"380",4
"381",4
"382",2
"383",4
"384",4
"385",4
"386",3
"387",3
"388",3
"389",4
"390",3
"391",3
"392",3
"393",4
"394",4
"395",2
"396",4
"397",2
"398",3
"399",4
"400",4
"401",3
"402",2
"403",3
"404",4
"405",4
"406",1
"407",3
"408",3
"409",3
"410",3
"411",3
"412",4
"413",4
"414",3
"415",2
"416",4
"417",4
"418",3
"419",4
"420",3
"421",2
"422",2
"423",1
"424",2
"425",3
"426",2
"427",4
"428",2
"429",1
"430",2
"431",3
"432",2
"433",3
"434",4
"435",2
"436",4
"437",4
"438",2
"439",3
"440",2
"441",2
"442",2
"443",4
"444",4
"445",1
"446",3
"447",1
"448",3
"449",3
"450",4
"451",2
"452",2
"453",2
"454",2
"455",2
"456",3
"457",4
"458",1
"459",3
"460",1
"461",4
"462",4
"463",3
"464",3
"465",3
"466",3
"467",4
"468",2
"469",4
"470",4
"471",4
"472",4
"473",2
"474",2
