"","x"
"1",0.508272759443269
"2",0.486174573555504
"3",3
"4",3
"5",4
"6",2
"7",3
"8",3
"9",2
"10",3
"11",4
"12",2
"13",4
"14",4
"15",3
"16",3
"17",2
"18",4
"19",2
"20",3
"21",3
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",3
"29",2
"30",2
"31",4
"32",3
"33",3
"34",2
"35",3
"36",2
"37",4
"38",2
"39",3
"40",4
"41",2
"42",3
"43",3
"44",2
"45",2
"46",2
"47",4
"48",3
"49",2
"50",2
"51",3
"52",3
"53",3
"54",2
"55",4
"56",3
"57",4
"58",3
"59",3
"60",2
"61",4
"62",3
"63",3
"64",4
"65",2
"66",4
"67",3
"68",3
"69",3
"70",3
"71",2
"72",4
"73",3
"74",3
"75",4
"76",2
"77",4
"78",4
"79",2
"80",2
"81",2
"82",4
"83",3
"84",2
"85",2
"86",2
"87",4
"88",4
"89",4
"90",3
"91",3
"92",4
"93",2
"94",4
"95",3
"96",3
"97",2
"98",3
"99",4
"100",2
"101",4
"102",3
"103",3
"104",3
"105",4
"106",3
"107",4
"108",2
"109",2
"110",4
"111",2
"112",4
"113",3
"114",2
"115",2
"116",2
"117",2
"118",4
"119",4
"120",4
"121",2
"122",4
"123",3
"124",3
"125",3
"126",4
"127",3
"128",3
"129",2
"130",2
"131",4
"132",4
"133",3
"134",2
"135",4
"136",3
"137",4
"138",2
"139",2
"140",2
"141",3
"142",4
"143",4
"144",2
"145",4
"146",2
"147",2
"148",4
"149",2
"150",3
"151",2
"152",4
"153",3
"154",4
"155",2
"156",3
"157",4
"158",2
"159",2
"160",2
"161",2
"162",3
"163",2
"164",2
"165",3
"166",3
"167",3
"168",2
"169",4
"170",4
"171",2
"172",4
"173",3
"174",3
"175",4
"176",2
"177",2
"178",3
"179",2
"180",4
"181",3
"182",4
"183",3
"184",4
"185",2
"186",4
"187",2
"188",3
"189",3
"190",4
"191",3
"192",3
"193",2
"194",3
"195",2
"196",2
"197",4
"198",3
"199",2
"200",4
"201",4
"202",2
"203",3
"204",4
"205",2
"206",2
"207",3
"208",2
"209",2
"210",4
"211",2
"212",3
"213",3
"214",2
"215",4
"216",3
"217",3
"218",4
"219",2
"220",4
"221",3
"222",3
"223",4
"224",3
"225",4
"226",2
"227",3
"228",4
"229",2
"230",4
"231",3
"232",2
"233",4
"234",3
"235",2
"236",4
"237",3
"238",3
"239",3
"240",4
"241",2
"242",2
"243",3
"244",4
"245",4
"246",4
"247",3
"248",4
"249",4
"250",3
"251",4
"252",3
"253",3
"254",2
"255",3
"256",3
"257",2
"258",2
"259",3
"260",2
"261",4
"262",2
"263",3
"264",2
"265",3
"266",2
"267",2
"268",4
"269",3
"270",3
"271",2
"272",2
"273",4
"274",4
"275",3
"276",2
"277",4
"278",4
"279",3
"280",3
"281",4
"282",3
"283",3
"284",4
"285",3
"286",2
"287",2
"288",2
"289",4
"290",2
"291",4
"292",3
"293",3
"294",2
"295",3
"296",4
"297",3
"298",3
"299",4
"300",2
"301",4
"302",4
"303",2
"304",4
"305",2
"306",4
"307",3
"308",2
"309",3
"310",4
"311",4
"312",2
"313",3
"314",3
"315",3
"316",3
"317",3
"318",4
"319",4
"320",2
"321",4
"322",2
"323",3
"324",4
"325",4
"326",2
"327",3
"328",2
"329",2
"330",4
"331",4
"332",2
"333",3
"334",2
"335",3
"336",4
"337",3
"338",3
"339",4
"340",4
"341",2
"342",4
"343",4
"344",3
"345",4
"346",3
"347",3
"348",2
"349",4
"350",2
"351",3
"352",2
"353",2
"354",2
"355",4
"356",4
"357",3
"358",3
