"","x"
"1",0.529426234960873
"2",0.65586322525908
"3",4
"4",4
"5",6
"6",8
"7",2
"8",2
"9",5
"10",9
"11",6
"12",16
"13",7
"14",3
"15",4
"16",2
"17",5
"18",10
"19",11
"20",9
"21",9
"22",9
"23",6
"24",13
"25",6
"26",5
"27",2
"28",16
"29",5
"30",3
"31",6
"32",4
"33",2
"34",14
"35",1
"36",1
"37",13
"38",14
"39",16
"40",10
"41",11
"42",16
"43",9
"44",13
"45",5
"46",2
"47",7
"48",2
"49",5
"50",1
"51",11
"52",4
"53",9
"54",11
"55",11
"56",4
"57",11
"58",4
"59",7
"60",11
"61",2
"62",11
"63",2
"64",10
"65",9
"66",10
"67",2
"68",11
"69",2
"70",7
"71",11
"72",13
"73",2
"74",9
"75",5
"76",8
"77",10
"78",7
"79",1
"80",1
"81",9
"82",7
"83",2
"84",7
"85",14
"86",9
"87",8
"88",1
"89",13
"90",11
"91",4
"92",13
"93",14
"94",11
"95",9
"96",2
"97",3
"98",2
"99",6
"100",16
"101",8
"102",5
"103",1
"104",2
"105",11
"106",9
"107",1
"108",10
"109",9
"110",13
"111",8
"112",6
"113",9
"114",13
"115",7
"116",11
"117",9
"118",8
"119",3
"120",13
"121",11
"122",1
"123",2
"124",2
"125",2
"126",16
"127",9
"128",8
"129",7
"130",1
"131",6
"132",7
"133",11
"134",9
"135",13
"136",2
"137",9
"138",8
"139",2
"140",8
"141",9
"142",10
"143",10
"144",7
"145",16
"146",3
"147",7
"148",13
"149",1
"150",8
"151",8
"152",11
"153",6
"154",3
"155",7
"156",1
"157",11
"158",12
"159",2
"160",5
"161",8
"162",13
"163",2
"164",7
"165",2
"166",16
"167",7
"168",16
"169",8
"170",13
"171",5
"172",10
"173",2
"174",2
"175",5
"176",9
"177",5
"178",1
"179",9
"180",10
"181",2
"182",7
"183",4
"184",13
"185",14
"186",10
"187",16
"188",1
"189",7
"190",7
"191",4
"192",7
"193",9
"194",2
"195",11
"196",9
"197",10
"198",4
"199",1
"200",6
"201",7
"202",5
"203",9
"204",9
"205",3
"206",11
"207",9
"208",14
"209",5
"210",1
"211",7
"212",2
"213",11
"214",5
"215",11
"216",4
"217",9
"218",10
"219",3
"220",13
"221",2
"222",8
"223",11
"224",2
"225",10
"226",9
"227",4
"228",10
"229",7
"230",7
"231",9
"232",4
"233",6
"234",2
"235",9
"236",9
"237",2
"238",4
"239",2
"240",13
"241",9
"242",5
"243",11
"244",13
"245",10
"246",13
"247",4
"248",13
"249",10
"250",8
"251",15
"252",4
"253",4
"254",9
"255",2
"256",9
"257",11
"258",9
"259",9
"260",16
"261",9
"262",5
"263",9
"264",3
"265",11
"266",5
"267",5
"268",14
"269",9
"270",7
"271",14
"272",9
"273",8
"274",13
"275",2
"276",7
"277",2
"278",13
"279",7
"280",16
"281",10
"282",4
"283",1
"284",11
"285",8
"286",2
"287",6
"288",10
"289",13
"290",9
"291",16
"292",9
"293",16
"294",10
"295",9
"296",10
"297",4
"298",7
"299",10
"300",5
"301",6
"302",6
"303",1
"304",10
"305",9
"306",9
"307",2
"308",9
"309",2
"310",10
"311",11
"312",1
"313",9
"314",3
"315",2
"316",2
"317",2
"318",9
"319",2
"320",5
"321",6
"322",5
"323",2
"324",6
"325",6
"326",9
"327",2
"328",9
"329",5
"330",6
"331",6
"332",3
"333",4
"334",16
"335",2
"336",6
"337",11
"338",2
"339",10
"340",11
"341",5
"342",5
"343",13
"344",2
"345",1
"346",4
"347",2
"348",16
"349",7
"350",9
"351",2
"352",5
"353",8
"354",16
"355",10
"356",16
"357",1
"358",16
"359",14
"360",11
"361",9
"362",8
"363",1
"364",11
"365",13
"366",8
"367",6
"368",10
"369",4
"370",2
"371",13
"372",9
"373",5
"374",2
"375",2
"376",9
"377",1
"378",11
"379",16
"380",2
"381",12
"382",13
"383",2
"384",4
"385",2
"386",11
"387",11
"388",3
"389",11
"390",10
"391",9
"392",10
"393",1
"394",9
"395",9
"396",1
"397",2
"398",6
"399",16
"400",11
"401",13
"402",4
"403",6
"404",1
"405",9
"406",2
"407",5
"408",6
"409",13
"410",2
"411",9
"412",2
"413",16
"414",10
"415",4
"416",3
"417",16
"418",9
"419",2
"420",13
"421",10
"422",5
"423",3
"424",6
"425",13
"426",14
"427",7
"428",2
"429",2
"430",9
"431",8
"432",11
"433",14
"434",7
"435",9
"436",16
"437",16
"438",9
"439",5
"440",9
"441",2
"442",13
"443",7
"444",4
"445",2
"446",10
"447",6
"448",13
"449",5
"450",9
"451",10
"452",11
"453",4
"454",6
"455",13
"456",5
"457",7
"458",11
"459",14
"460",10
"461",4
"462",9
"463",10
"464",14
"465",13
"466",3
"467",1
"468",7
"469",8
"470",4
"471",7
"472",9
"473",4
"474",2
"475",9
"476",4
"477",5
"478",9
"479",5
"480",9
"481",9
"482",7
"483",11
"484",2
"485",9
"486",8
"487",8
"488",2
"489",8
"490",9
"491",10
"492",4
"493",1
"494",9
"495",9
"496",9
"497",7
"498",9
"499",4
"500",9
"501",9
"502",9
"503",11
"504",13
"505",4
"506",2
"507",2
"508",2
"509",5
"510",11
"511",13
"512",9
"513",9
"514",2
"515",8
"516",2
"517",9
"518",8
"519",7
"520",2
"521",4
"522",9
"523",9
"524",13
"525",10
"526",13
"527",7
"528",11
"529",8
"530",9
"531",5
"532",8
"533",10
"534",5
"535",5
"536",2
"537",11
"538",7
"539",2
"540",4
"541",7
"542",5
"543",13
"544",10
"545",9
"546",14
"547",16
"548",8
"549",9
"550",6
"551",13
"552",5
"553",11
"554",3
"555",2
"556",9
"557",6
"558",3
"559",1
"560",11
"561",8
"562",2
"563",1
"564",4
"565",10
"566",3
"567",14
"568",2
"569",16
"570",6
"571",13
"572",9
"573",8
"574",4
"575",13
"576",2
"577",2
"578",2
"579",10
"580",7
"581",1
"582",2
"583",5
"584",8
"585",11
"586",1
"587",9
"588",3
"589",10
"590",9
"591",16
"592",9
"593",9
"594",11
"595",7
"596",13
"597",9
"598",3
"599",5
"600",4
"601",7
"602",11
"603",8
"604",9
"605",16
"606",16
"607",16
"608",14
"609",4
"610",6
"611",10
"612",16
"613",8
"614",4
"615",6
"616",9
"617",10
"618",2
"619",8
"620",9
"621",13
"622",4
"623",5
"624",5
"625",11
"626",2
"627",4
"628",3
"629",9
"630",16
"631",9
"632",1
"633",7
"634",10
"635",4
"636",16
"637",9
"638",16
"639",11
"640",3
"641",5
"642",2
"643",7
"644",14
"645",7
"646",11
"647",2
"648",8
"649",2
"650",5
"651",9
"652",9
"653",9
"654",2
"655",10
"656",5
"657",14
"658",2
"659",13
"660",5
"661",2
"662",9
