"","x"
"1",0.0278355198264586
"2",0.0743162049789277
"3",1
"4",2
"5",2
"6",3
"7",4
"8",5
"9",6
"10",7
"11",5
"12",8
"13",5
"14",2
"15",2
"16",7
"17",5
"18",8
"19",9
"20",10
"21",10
"22",6
"23",11
"24",1
"25",9
"26",10
"27",4
"28",8
"29",2
"30",7
"31",11
"32",10
"33",10
"34",9
"35",1
"36",1
"37",12
"38",7
"39",13
"40",3
"41",5
"42",14
"43",15
"44",3
"45",3
"46",2
"47",10
"48",9
"49",6
"50",10
"51",6
"52",3
"53",9
"54",2
"55",14
"56",5
"57",5
"58",5
"59",15
"60",10
"61",11
"62",10
"63",3
"64",2
"65",15
"66",3
"67",9
"68",8
"69",10
"70",5
"71",10
"72",6
"73",10
"74",5
"75",9
"76",12
"77",14
"78",5
"79",13
"80",2
"81",16
"82",3
"83",7
"84",2
"85",2
"86",1
"87",6
"88",2
"89",1
"90",10
"91",7
"92",12
"93",4
"94",11
"95",10
"96",12
"97",6
"98",10
"99",14
"100",5
"101",2
"102",9
"103",3
"104",7
"105",11
"106",3
"107",9
"108",5
"109",7
"110",10
"111",10
"112",10
"113",1
"114",2
"115",12
"116",2
"117",3
"118",10
"119",11
"120",9
"121",9
"122",5
"123",3
"124",9
"125",1
"126",2
"127",6
"128",6
"129",10
"130",4
"131",2
"132",5
"133",2
"134",5
"135",9
"136",9
"137",2
"138",8
"139",14
"140",8
"141",8
"142",1
"143",4
"144",10
"145",9
"146",14
"147",10
"148",15
"149",5
"150",8
"151",8
"152",9
"153",11
"154",10
"155",9
"156",2
"157",3
"158",7
"159",5
"160",14
"161",10
"162",5
"163",15
"164",1
"165",3
"166",9
"167",11
"168",8
"169",3
"170",4
"171",13
"172",5
"173",5
"174",10
"175",6
"176",2
"177",10
"178",12
"179",3
"180",14
"181",12
"182",3
"183",8
"184",9
"185",2
"186",15
"187",9
"188",8
"189",6
"190",8
"191",9
"192",14
"193",12
"194",9
"195",9
"196",10
"197",9
"198",12
"199",12
"200",7
"201",9
"202",10
"203",7
"204",8
"205",2
"206",14
"207",8
"208",13
"209",15
"210",9
"211",3
"212",3
"213",7
"214",3
"215",8
"216",14
"217",8
"218",1
"219",9
"220",6
"221",1
"222",11
"223",5
"224",6
"225",11
"226",3
"227",10
"228",14
"229",5
"230",3
"231",9
"232",2
"233",13
"234",3
"235",11
"236",13
"237",1
"238",10
"239",3
"240",10
"241",14
"242",10
"243",13
"244",10
"245",1
"246",6
"247",9
"248",10
"249",9
"250",12
"251",3
"252",10
"253",8
"254",1
"255",1
"256",10
"257",7
"258",10
"259",14
"260",5
"261",9
"262",10
"263",14
"264",8
"265",13
"266",10
"267",12
"268",2
"269",1
"270",11
"271",6
"272",2
"273",14
"274",7
"275",10
"276",9
"277",14
"278",9
"279",6
"280",9
"281",7
"282",8
"283",7
"284",6
"285",13
"286",10
"287",9
"288",5
"289",5
"290",5
"291",9
"292",10
"293",9
"294",11
"295",2
"296",5
"297",7
"298",9
"299",11
"300",8
"301",12
"302",2
"303",10
"304",9
"305",12
"306",5
"307",11
"308",10
"309",8
"310",6
"311",2
"312",12
"313",10
"314",7
"315",1
"316",16
"317",5
"318",5
"319",13
"320",8
"321",4
"322",10
"323",10
"324",5
"325",11
"326",11
"327",3
"328",13
"329",6
"330",14
"331",5
"332",3
"333",8
"334",10
"335",11
"336",14
"337",10
"338",5
"339",2
"340",3
"341",4
"342",5
"343",6
"344",5
"345",4
"346",10
"347",3
"348",16
"349",2
"350",5
"351",5
"352",8
"353",10
"354",11
"355",8
"356",3
"357",10
"358",15
"359",10
"360",3
"361",3
"362",12
"363",8
"364",11
"365",9
"366",12
"367",2
"368",11
"369",10
"370",7
"371",14
"372",5
"373",10
"374",2
"375",5
"376",9
"377",8
"378",11
"379",15
"380",1
"381",12
"382",11
"383",9
"384",9
"385",7
"386",10
"387",9
"388",8
"389",14
"390",2
"391",2
"392",2
"393",7
"394",10
"395",4
"396",10
"397",5
"398",9
"399",13
"400",5
"401",1
"402",12
"403",5
"404",12
"405",2
"406",8
"407",12
"408",5
"409",3
"410",4
"411",1
"412",6
"413",9
"414",2
"415",5
"416",5
"417",11
"418",10
"419",5
"420",3
"421",13
"422",7
"423",5
"424",14
"425",4
"426",7
"427",5
"428",12
"429",11
"430",5
"431",5
"432",7
"433",14
"434",11
"435",3
"436",3
"437",9
"438",10
"439",13
"440",13
"441",3
"442",13
"443",3
"444",10
"445",10
"446",3
"447",9
"448",6
"449",15
"450",6
"451",5
"452",15
"453",9
"454",6
"455",8
"456",5
"457",9
"458",12
"459",3
"460",14
"461",13
"462",6
"463",9
"464",5
"465",6
"466",2
"467",8
"468",10
"469",4
"470",9
"471",10
"472",7
"473",5
"474",10
"475",12
"476",5
"477",2
"478",14
"479",10
"480",5
"481",9
"482",13
"483",14
"484",5
"485",14
"486",5
"487",8
"488",10
"489",11
"490",11
"491",9
"492",2
"493",6
"494",7
"495",5
"496",7
"497",8
"498",2
"499",8
"500",10
"501",9
"502",1
"503",10
"504",1
"505",2
"506",3
"507",3
"508",13
"509",8
"510",13
"511",3
"512",2
"513",7
"514",1
"515",4
"516",12
"517",8
"518",5
"519",3
"520",10
"521",10
"522",3
"523",2
"524",14
"525",9
"526",15
"527",15
"528",14
"529",9
"530",12
"531",4
"532",11
"533",2
"534",3
"535",3
"536",13
"537",9
"538",12
"539",14
"540",5
"541",2
"542",11
"543",2
"544",10
"545",9
"546",4
"547",3
"548",11
"549",7
"550",4
"551",10
"552",14
"553",8
"554",14
"555",7
"556",4
"557",11
"558",4
"559",10
"560",10
"561",3
"562",3
"563",1
"564",10
"565",2
"566",13
"567",6
"568",6
"569",1
"570",2
"571",9
"572",2
"573",11
"574",9
"575",7
"576",1
"577",5
"578",14
"579",1
"580",15
"581",11
"582",13
"583",8
"584",5
"585",9
"586",10
"587",1
"588",4
"589",10
"590",9
"591",8
"592",10
"593",14
"594",12
"595",5
"596",10
"597",1
"598",6
"599",7
"600",14
"601",3
"602",8
"603",3
"604",2
"605",9
"606",10
"607",9
"608",9
"609",6
"610",5
"611",10
"612",9
"613",5
"614",10
"615",2
"616",10
"617",10
"618",7
"619",13
"620",10
"621",10
"622",3
"623",10
"624",6
"625",9
"626",6
"627",7
"628",14
"629",1
"630",13
"631",7
"632",2
"633",14
"634",6
"635",8
"636",7
"637",7
"638",9
"639",10
"640",11
"641",7
"642",10
"643",9
"644",16
"645",6
"646",13
"647",12
"648",6
"649",5
"650",14
"651",15
"652",10
"653",7
