"","x"
"1",0.936436416219671
"2",0.859622405221473
"3",4
"4",4
"5",1
"6",4
"7",4
"8",4
"9",1
"10",4
"11",1
"12",4
"13",1
"14",1
"15",4
"16",4
"17",1
"18",1
"19",4
"20",4
"21",4
"22",1
"23",1
"24",1
"25",1
"26",1
"27",4
"28",4
"29",1
"30",1
"31",1
"32",4
"33",4
"34",3
"35",4
"36",3
"37",1
"38",1
"39",4
"40",1
"41",3
"42",4
"43",4
"44",1
"45",1
"46",1
"47",1
"48",4
"49",1
"50",1
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",1
"58",4
"59",4
"60",4
"61",1
"62",4
"63",4
"64",1
"65",3
"66",1
"67",4
"68",4
"69",4
"70",4
"71",4
"72",1
"73",4
"74",4
"75",1
"76",4
"77",1
"78",1
"79",1
"80",1
"81",1
"82",4
"83",4
"84",1
"85",3
"86",3
"87",4
"88",1
"89",1
"90",4
"91",4
"92",1
"93",3
"94",4
"95",4
"96",4
"97",3
"98",4
"99",1
"100",4
"101",4
"102",1
"103",4
"104",4
"105",4
"106",4
"107",1
"108",1
"109",3
"110",1
"111",4
"112",1
"113",1
"114",1
"115",4
"116",4
"117",3
"118",4
"119",3
"120",1
"121",4
"122",1
"123",4
"124",4
"125",4
"126",1
"127",4
"128",4
"129",4
"130",1
"131",1
"132",4
"133",4
"134",1
"135",1
"136",4
"137",1
"138",4
"139",4
"140",1
"141",4
"142",1
"143",1
"144",4
"145",4
"146",3
"147",4
"148",1
"149",3
"150",4
"151",4
"152",4
"153",1
"154",3
"155",4
"156",4
"157",1
"158",1
"159",1
"160",1
"161",4
"162",1
"163",1
"164",1
"165",4
"166",4
"167",4
"168",4
"169",4
"170",1
"171",1
"172",1
"173",4
"174",4
"175",1
"176",1
"177",1
"178",4
"179",3
"180",1
"181",4
"182",1
"183",4
"184",1
"185",3
"186",1
"187",4
"188",4
"189",4
"190",4
"191",4
"192",1
"193",3
"194",4
"195",4
"196",3
"197",1
"198",4
"199",4
"200",1
"201",4
"202",1
"203",4
"204",3
"205",3
"206",1
"207",4
"208",1
"209",1
"210",1
"211",4
"212",4
"213",4
"214",1
"215",4
"216",4
"217",4
"218",1
"219",1
"220",1
"221",4
"222",4
"223",1
"224",4
"225",1
"226",4
"227",4
"228",1
"229",4
"230",4
"231",4
"232",4
"233",4
"234",4
"235",1
"236",1
"237",4
"238",4
"239",4
"240",1
"241",3
"242",1
"243",4
"244",1
"245",1
"246",1
"247",4
"248",1
"249",1
"250",4
"251",4
"252",4
"253",4
"254",1
"255",4
"256",4
"257",1
"258",1
"259",4
"260",4
"261",1
"262",1
"263",4
"264",3
"265",4
"266",1
"267",1
"268",3
"269",4
"270",4
"271",3
"272",3
"273",1
"274",1
"275",4
"276",4
"277",1
"278",1
"279",4
"280",4
"281",1
"282",4
"283",4
"284",4
"285",4
"286",4
"287",1
"288",1
"289",1
"290",3
"291",4
"292",4
"293",4
"294",1
"295",4
"296",1
"297",4
"298",4
"299",1
"300",1
"301",1
"302",1
"303",1
"304",1
"305",4
"306",1
"307",4
"308",4
"309",4
"310",1
"311",1
"312",3
"313",4
"314",1
"315",4
"316",4
"317",4
"318",1
"319",1
"320",1
"321",1
"322",1
"323",4
"324",1
"325",1
"326",3
"327",4
"328",3
"329",1
"330",1
"331",1
"332",3
"333",4
"334",4
"335",4
"336",1
"337",4
"338",4
"339",1
"340",4
"341",1
"342",1
"343",1
"344",4
"345",1
"346",4
"347",4
"348",4
"349",1
"350",4
"351",4
"352",1
"353",4
"354",4
"355",1
"356",4
"357",4
"358",4
"359",1
"360",4
"361",3
"362",4
"363",4
"364",4
"365",1
"366",4
"367",1
"368",1
"369",4
"370",4
"371",1
"372",3
"373",1
"374",1
"375",4
"376",4
"377",4
"378",4
"379",4
"380",4
"381",4
"382",1
"383",4
"384",4
"385",4
"386",4
"387",1
"388",1
"389",4
"390",1
"391",1
"392",1
"393",4
"394",4
"395",3
"396",4
"397",1
"398",1
"399",4
"400",4
"401",1
"402",4
"403",1
"404",4
"405",4
"406",4
"407",1
"408",1
"409",1
"410",1
"411",1
"412",4
"413",4
"414",1
"415",4
"416",3
"417",4
"418",1
"419",4
"420",1
