"","x"
"1",0.613722773094116
"2",0.565591960318664
"3",4
"4",4
"5",4
"6",4
"7",3
"8",4
"9",1
"10",4
"11",1
"12",4
"13",1
"14",1
"15",3
"16",3
"17",1
"18",1
"19",4
"20",4
"21",4
"22",1
"23",1
"24",1
"25",1
"26",1
"27",3
"28",4
"29",1
"30",2
"31",1
"32",4
"33",3
"34",3
"35",3
"36",3
"37",1
"38",1
"39",4
"40",1
"41",4
"42",4
"43",4
"44",1
"45",1
"46",1
"47",1
"48",4
"49",1
"50",2
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",1
"58",3
"59",4
"60",4
"61",1
"62",4
"63",4
"64",4
"65",4
"66",1
"67",4
"68",4
"69",4
"70",4
"71",4
"72",2
"73",3
"74",4
"75",2
"76",3
"77",1
"78",1
"79",1
"80",1
"81",1
"82",4
"83",4
"84",1
"85",4
"86",4
"87",4
"88",1
"89",1
"90",3
"91",4
"92",1
"93",4
"94",3
"95",4
"96",4
"97",3
"98",4
"99",1
"100",4
"101",4
"102",4
"103",4
"104",4
"105",4
"106",3
"107",1
"108",1
"109",4
"110",1
"111",4
"112",1
"113",1
"114",1
"115",4
"116",3
"117",4
"118",4
"119",3
"120",1
"121",3
"122",1
"123",3
"124",3
"125",3
"126",4
"127",4
"128",4
"129",3
"130",3
"131",1
"132",4
"133",4
"134",1
"135",1
"136",4
"137",1
"138",4
"139",4
"140",4
"141",4
"142",1
"143",1
"144",4
"145",4
"146",3
"147",4
"148",1
"149",3
"150",4
"151",4
"152",4
"153",2
"154",4
"155",4
"156",4
"157",1
"158",1
"159",1
"160",1
"161",4
"162",1
"163",2
"164",2
"165",4
"166",3
"167",4
"168",4
"169",3
"170",2
"171",2
"172",1
"173",3
"174",4
"175",1
"176",2
"177",1
"178",3
"179",3
"180",1
"181",4
"182",1
"183",4
"184",1
"185",3
"186",2
"187",4
"188",4
"189",3
"190",4
"191",4
"192",1
"193",3
"194",4
"195",4
"196",3
"197",4
"198",4
"199",3
"200",1
"201",4
"202",1
"203",4
"204",3
"205",3
"206",1
"207",4
"208",1
"209",1
"210",2
"211",3
"212",3
"213",4
"214",1
"215",4
"216",3
"217",4
"218",1
"219",1
"220",1
"221",4
"222",4
"223",1
"224",4
"225",1
"226",3
"227",3
"228",1
"229",4
"230",4
"231",4
"232",3
"233",1
"234",3
"235",1
"236",1
"237",3
"238",3
"239",4
"240",1
"241",3
"242",1
"243",4
"244",1
"245",1
"246",1
"247",4
"248",1
"249",1
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",2
"258",1
"259",4
"260",3
"261",1
"262",4
"263",3
"264",3
"265",3
"266",1
"267",1
"268",3
"269",4
"270",3
"271",3
"272",3
"273",1
"274",1
"275",4
"276",4
"277",1
"278",1
"279",4
"280",3
"281",1
"282",3
"283",3
"284",4
"285",3
"286",4
"287",1
"288",1
"289",1
"290",3
"291",4
"292",4
"293",3
