"","x"
"1",0.0263167026874077
"2",0.0767659360950246
"3",12
"4",14
"5",4
"6",5
"7",9
"8",9
"9",16
"10",13
"11",4
"12",14
"13",9
"14",14
"15",2
"16",13
"17",9
"18",16
"19",16
"20",2
"21",5
"22",14
"23",14
"24",16
"25",16
"26",2
"27",7
"28",2
"29",5
"30",14
"31",2
"32",5
"33",6
"34",5
"35",6
"36",5
"37",14
"38",13
"39",6
"40",13
"41",16
"42",6
"43",6
"44",12
"45",2
"46",13
"47",16
"48",5
"49",5
"50",1
"51",1
"52",16
"53",9
"54",13
"55",4
"56",3
"57",2
"58",14
"59",6
"60",16
"61",6
"62",6
"63",11
"64",6
"65",2
"66",2
"67",13
"68",4
"69",9
"70",4
"71",16
"72",16
"73",13
"74",11
"75",2
"76",10
"77",11
"78",4
"79",2
"80",7
"81",5
"82",13
"83",5
"84",2
"85",14
"86",16
"87",11
"88",6
"89",5
"90",15
"91",9
"92",2
"93",4
"94",4
"95",11
"96",5
"97",2
"98",6
"99",4
"100",8
"101",13
"102",5
"103",13
"104",6
"105",11
"106",14
"107",6
"108",7
"109",7
"110",4
"111",15
"112",16
"113",1
"114",4
"115",6
"116",6
"117",14
"118",7
"119",6
"120",5
"121",16
"122",8
"123",11
"124",8
"125",5
"126",2
"127",6
"128",9
"129",9
"130",6
"131",13
"132",2
"133",5
"134",8
"135",14
"136",16
"137",11
"138",6
"139",13
"140",13
"141",2
"142",16
"143",13
"144",8
"145",14
"146",6
"147",13
"148",16
"149",6
"150",9
"151",3
"152",5
"153",4
"154",6
"155",7
"156",6
"157",4
"158",5
"159",7
"160",14
"161",9
"162",5
"163",13
"164",11
"165",4
"166",6
"167",9
"168",16
"169",7
"170",2
"171",7
"172",2
"173",6
"174",10
"175",10
"176",2
"177",9
"178",1
"179",16
"180",5
"181",4
"182",1
"183",5
"184",16
"185",4
"186",2
"187",6
"188",4
"189",1
"190",6
"191",5
"192",5
"193",5
"194",2
"195",6
"196",4
"197",16
"198",7
"199",2
"200",2
"201",7
"202",10
"203",2
"204",14
"205",1
"206",14
"207",4
"208",14
"209",16
"210",10
"211",13
"212",6
"213",16
"214",4
"215",3
"216",14
"217",14
"218",1
"219",10
"220",2
"221",7
"222",4
"223",16
"224",15
"225",14
"226",13
"227",1
"228",10
"229",14
"230",16
"231",11
"232",10
"233",6
"234",5
"235",12
"236",15
"237",9
"238",5
"239",9
"240",2
"241",15
"242",14
"243",14
"244",4
"245",6
"246",2
"247",6
"248",16
"249",4
"250",11
"251",10
"252",4
"253",6
"254",10
"255",5
"256",16
"257",8
"258",8
"259",16
"260",11
"261",9
"262",16
"263",9
"264",16
"265",1
"266",16
"267",16
"268",4
"269",4
"270",14
"271",16
"272",10
"273",5
"274",6
"275",4
"276",11
"277",4
"278",9
"279",6
"280",2
"281",4
"282",5
"283",14
"284",4
"285",9
"286",10
"287",4
"288",16
"289",4
"290",4
"291",16
"292",4
"293",13
"294",2
"295",10
"296",5
"297",4
"298",13
"299",4
"300",4
"301",2
"302",5
"303",12
"304",4
"305",2
"306",2
"307",2
"308",4
"309",10
"310",16
"311",10
"312",13
"313",10
"314",12
"315",13
"316",6
"317",13
"318",16
"319",5
"320",8
"321",12
"322",7
"323",16
"324",13
"325",2
"326",2
"327",6
"328",11
"329",14
"330",16
"331",9
"332",16
"333",16
"334",2
"335",5
"336",11
"337",6
"338",9
"339",16
"340",2
"341",5
"342",16
"343",14
"344",14
"345",4
"346",5
"347",4
"348",11
"349",11
"350",7
"351",2
"352",14
"353",9
"354",6
"355",16
"356",14
"357",16
"358",6
"359",5
"360",8
"361",5
"362",9
"363",6
"364",16
"365",6
"366",9
"367",2
"368",4
"369",4
"370",6
"371",8
"372",4
"373",4
"374",5
"375",10
"376",16
"377",5
"378",4
"379",6
"380",2
"381",4
"382",16
"383",5
"384",2
"385",13
"386",6
"387",16
"388",16
"389",9
"390",5
"391",5
"392",4
"393",16
"394",1
"395",14
"396",6
"397",6
"398",4
"399",4
"400",13
"401",16
"402",7
"403",5
"404",13
"405",6
"406",6
"407",4
"408",5
"409",14
"410",12
"411",12
"412",4
"413",16
"414",4
"415",6
"416",6
"417",4
"418",4
"419",9
"420",9
"421",13
"422",4
"423",11
"424",16
"425",14
"426",2
"427",9
"428",16
"429",14
"430",16
"431",14
"432",13
"433",16
"434",2
"435",7
"436",2
"437",10
"438",4
"439",4
"440",10
"441",7
"442",12
"443",9
"444",16
"445",4
"446",5
"447",16
"448",4
"449",2
"450",4
"451",14
"452",16
"453",4
"454",10
"455",14
"456",7
"457",5
"458",7
"459",6
"460",6
"461",7
"462",1
"463",6
"464",15
"465",4
"466",5
"467",7
"468",2
"469",5
"470",4
"471",11
"472",4
"473",4
"474",16
"475",4
"476",14
"477",1
"478",11
"479",7
"480",9
"481",7
"482",10
"483",4
"484",7
"485",16
"486",13
"487",11
"488",4
"489",5
"490",6
"491",9
"492",6
"493",5
"494",5
"495",16
"496",1
"497",4
"498",14
"499",5
"500",1
"501",5
"502",9
"503",5
"504",16
"505",10
"506",14
"507",11
"508",14
"509",14
"510",13
"511",16
"512",9
"513",5
"514",4
"515",9
"516",10
"517",5
"518",7
"519",3
"520",6
"521",5
"522",5
"523",14
"524",5
"525",4
"526",5
"527",5
"528",2
"529",4
"530",14
"531",4
"532",6
"533",16
"534",5
"535",4
"536",8
"537",7
"538",9
"539",2
"540",2
"541",8
"542",12
"543",2
"544",16
"545",14
"546",2
"547",16
"548",8
"549",5
"550",16
"551",10
"552",10
"553",4
"554",16
"555",5
"556",4
"557",16
"558",10
"559",14
"560",16
"561",9
"562",8
"563",12
"564",4
"565",16
"566",14
"567",9
"568",4
"569",15
"570",16
"571",4
"572",13
"573",14
"574",4
"575",16
"576",2
"577",5
"578",6
"579",16
"580",13
"581",16
"582",6
"583",6
"584",11
"585",6
"586",3
"587",4
"588",2
"589",2
"590",2
"591",4
"592",7
"593",5
"594",7
"595",5
"596",16
"597",10
"598",13
"599",10
"600",2
"601",9
"602",16
"603",13
"604",4
"605",4
"606",11
"607",7
"608",4
"609",5
"610",4
"611",6
"612",10
"613",8
"614",6
"615",16
"616",9
"617",16
"618",16
"619",13
"620",8
"621",2
"622",16
"623",14
"624",2
"625",16
"626",14
"627",14
"628",4
"629",2
"630",6
"631",14
"632",6
"633",5
"634",6
"635",5
"636",6
"637",2
"638",14
"639",16
"640",2
"641",14
"642",5
"643",4
"644",13
"645",9
"646",5
"647",2
"648",5
"649",6
"650",6
"651",10
"652",5
"653",13
"654",4
"655",1
"656",9
"657",4
"658",2
"659",14
"660",14
"661",6
"662",2
"663",9
"664",16
"665",4
"666",16
"667",16
"668",9
"669",10
"670",7
"671",15
"672",2
"673",5
"674",16
"675",16
"676",4
"677",4
"678",10
"679",4
"680",6
"681",9
"682",1
"683",14
"684",4
"685",16
"686",11
"687",2
"688",2
"689",6
"690",6
"691",7
"692",2
"693",12
"694",12
"695",2
"696",6
"697",5
"698",4
"699",12
"700",4
"701",13
"702",11
"703",5
"704",4
"705",4
"706",4
"707",14
"708",14
"709",5
"710",1
"711",8
"712",9
"713",7
"714",5
"715",16
"716",2
"717",2
"718",5
"719",5
"720",16
"721",7
"722",6
"723",4
"724",5
"725",4
"726",9
"727",16
"728",9
"729",9
"730",11
"731",14
"732",7
"733",2
"734",2
"735",14
"736",7
"737",10
"738",11
"739",16
"740",14
"741",2
"742",13
"743",14
"744",6
"745",9
"746",7
"747",16
"748",5
"749",6
"750",13
"751",10
"752",16
"753",5
"754",11
"755",6
"756",8
"757",6
"758",13
"759",2
"760",4
"761",7
"762",16
"763",4
"764",10
"765",16
"766",5
"767",5
"768",10
"769",2
"770",10
"771",5
"772",2
"773",12
"774",1
"775",2
"776",16
"777",14
"778",8
"779",6
"780",15
"781",1
"782",5
"783",13
"784",2
"785",6
"786",16
"787",7
"788",1
"789",13
"790",9
"791",2
"792",16
"793",4
"794",8
"795",5
"796",14
"797",10
"798",13
"799",10
"800",6
"801",5
"802",4
"803",14
"804",5
"805",14
"806",10
"807",10
"808",9
"809",6
"810",8
"811",2
"812",2
"813",8
"814",4
"815",16
"816",16
"817",16
"818",10
"819",11
"820",6
"821",13
"822",5
"823",12
"824",16
"825",16
"826",6
"827",2
"828",8
"829",2
"830",11
"831",10
"832",9
"833",16
"834",16
"835",4
"836",13
"837",9
"838",4
"839",16
"840",6
"841",10
"842",9
"843",6
"844",2
"845",9
"846",4
"847",5
"848",2
"849",6
"850",12
"851",7
"852",16
"853",12
"854",2
"855",6
"856",13
"857",11
"858",12
"859",14
"860",13
"861",16
"862",4
"863",7
"864",4
"865",16
"866",14
"867",2
"868",1
"869",2
"870",6
"871",13
"872",9
"873",16
"874",14
"875",16
"876",2
"877",7
"878",4
"879",15
"880",12
"881",9
"882",2
"883",14
"884",2
"885",13
"886",16
"887",16
"888",13
"889",2
"890",4
"891",12
"892",9
"893",15
"894",5
"895",10
"896",11
"897",5
"898",11
"899",11
"900",2
"901",6
"902",10
"903",14
"904",4
"905",9
"906",11
"907",4
"908",4
"909",6
"910",16
"911",13
"912",8
"913",2
"914",13
"915",16
"916",2
"917",6
"918",14
"919",13
"920",16
"921",9
"922",13
"923",9
"924",6
"925",9
"926",5
"927",4
"928",14
"929",10
"930",11
"931",5
"932",16
"933",9
"934",4
"935",13
"936",15
"937",14
"938",7
"939",5
"940",4
"941",10
"942",11
"943",5
"944",2
"945",13
"946",2
"947",11
"948",12
"949",13
"950",16
"951",4
"952",16
"953",9
"954",12
"955",5
"956",12
"957",12
"958",5
"959",14
"960",13
"961",7
"962",12
"963",13
"964",13
"965",2
"966",14
"967",14
"968",5
"969",4
"970",13
"971",4
"972",1
"973",8
"974",10
"975",10
"976",14
"977",4
"978",2
"979",2
"980",2
"981",4
"982",2
"983",6
"984",9
"985",11
"986",16
"987",6
"988",7
"989",6
"990",10
"991",15
"992",8
"993",9
"994",2
"995",14
"996",14
"997",6
"998",5
"999",7
"1000",13
"1001",13
"1002",6
"1003",9
"1004",6
"1005",2
"1006",4
"1007",4
"1008",1
"1009",9
"1010",4
"1011",10
"1012",2
"1013",7
"1014",6
"1015",16
"1016",9
"1017",4
"1018",4
"1019",2
"1020",5
"1021",14
"1022",4
"1023",6
"1024",4
"1025",4
"1026",4
"1027",11
"1028",13
"1029",6
"1030",5
"1031",16
"1032",13
"1033",9
"1034",2
"1035",6
"1036",4
"1037",2
"1038",4
"1039",16
"1040",14
"1041",16
"1042",10
"1043",7
"1044",10
"1045",7
"1046",16
"1047",10
"1048",8
"1049",2
"1050",2
"1051",2
"1052",6
"1053",6
"1054",7
"1055",10
"1056",16
"1057",14
"1058",14
"1059",7
"1060",2
"1061",16
"1062",7
"1063",5
"1064",4
"1065",9
"1066",16
"1067",9
"1068",6
"1069",5
"1070",16
"1071",2
"1072",6
"1073",16
"1074",14
"1075",11
"1076",4
"1077",5
"1078",3
"1079",11
"1080",2
"1081",2
"1082",13
"1083",16
"1084",2
"1085",14
"1086",14
"1087",13
"1088",5
"1089",2
"1090",14
"1091",16
"1092",16
"1093",16
"1094",16
"1095",6
"1096",16
"1097",4
"1098",14
"1099",4
"1100",16
"1101",2
"1102",16
"1103",11
"1104",2
"1105",10
"1106",16
"1107",4
"1108",9
"1109",6
"1110",13
"1111",2
"1112",14
"1113",8
"1114",5
"1115",5
"1116",12
"1117",5
"1118",11
"1119",4
"1120",16
"1121",10
"1122",11
"1123",2
"1124",4
"1125",4
"1126",16
"1127",6
"1128",7
"1129",4
"1130",16
"1131",16
"1132",12
"1133",13
"1134",5
"1135",14
"1136",7
"1137",4
"1138",4
"1139",14
"1140",11
"1141",8
"1142",7
"1143",5
"1144",2
"1145",16
"1146",4
"1147",4
"1148",16
"1149",1
"1150",5
"1151",13
"1152",9
"1153",6
"1154",14
"1155",16
"1156",11
"1157",2
"1158",10
"1159",5
"1160",11
"1161",2
"1162",14
"1163",6
"1164",4
"1165",6
"1166",9
"1167",5
"1168",14
"1169",10
"1170",16
"1171",2
"1172",13
"1173",16
"1174",6
"1175",13
"1176",7
"1177",4
"1178",6
"1179",16
"1180",16
"1181",2
"1182",5
"1183",4
"1184",14
"1185",2
"1186",2
"1187",10
"1188",6
"1189",9
"1190",5
"1191",5
"1192",11
"1193",5
"1194",16
"1195",6
"1196",2
"1197",1
"1198",16
"1199",5
"1200",6
"1201",10
"1202",9
"1203",16
"1204",1
"1205",4
"1206",6
"1207",10
"1208",9
"1209",14
"1210",4
"1211",5
"1212",2
"1213",14
"1214",1
"1215",16
"1216",2
"1217",2
"1218",6
"1219",5
"1220",9
"1221",6
"1222",6
"1223",6
"1224",2
"1225",5
"1226",9
"1227",9
"1228",4
"1229",9
"1230",6
"1231",7
"1232",6
"1233",5
"1234",14
"1235",4
"1236",6
"1237",16
"1238",7
"1239",2
"1240",10
"1241",13
"1242",14
"1243",4
"1244",2
"1245",6
"1246",9
"1247",2
"1248",9
"1249",13
