"","x"
"1",0.17380128978759
"2",0.162183399216267
"3",8
"4",2
"5",2
"6",4
"7",1
"8",8
"9",7
"10",8
"11",1
"12",4
"13",4
"14",1
"15",4
"16",8
"17",1
"18",8
"19",4
"20",4
"21",7
"22",1
"23",1
"24",1
"25",1
"26",1
"27",8
"28",1
"29",4
"30",1
"31",2
"32",5
"33",8
"34",4
"35",5
"36",1
"37",1
"38",1
"39",5
"40",4
"41",1
"42",4
"43",5
"44",7
"45",1
"46",1
"47",1
"48",8
"49",4
"50",8
"51",4
"52",1
"53",8
"54",4
"55",4
"56",5
"57",1
"58",4
"59",4
"60",2
"61",1
"62",8
"63",7
"64",4
"65",1
"66",7
"67",1
"68",8
"69",8
"70",5
"71",2
"72",4
"73",2
"74",7
"75",8
"76",7
"77",8
"78",1
"79",7
"80",1
"81",8
"82",4
"83",8
"84",4
"85",4
"86",1
"87",4
"88",8
"89",1
"90",4
"91",7
"92",1
"93",7
"94",4
"95",1
"96",1
"97",1
"98",5
"99",4
"100",5
"101",2
"102",4
"103",8
"104",5
"105",4
"106",5
"107",2
"108",1
"109",8
"110",1
"111",1
"112",4
"113",1
"114",1
"115",5
"116",4
"117",1
"118",4
"119",1
"120",1
"121",4
"122",1
"123",7
"124",8
"125",5
"126",1
"127",8
"128",4
"129",1
"130",4
"131",8
"132",7
"133",4
"134",5
"135",1
"136",8
"137",5
"138",4
"139",2
"140",2
"141",5
"142",1
"143",4
"144",4
"145",1
"146",8
"147",7
"148",1
"149",1
"150",4
"151",1
"152",4
"153",1
"154",4
"155",4
"156",4
"157",1
"158",8
"159",7
"160",1
"161",4
"162",1
"163",1
"164",1
"165",8
"166",1
"167",1
"168",5
"169",8
"170",5
"171",1
"172",1
"173",2
"174",8
"175",1
"176",1
"177",1
"178",7
"179",1
"180",4
"181",8
"182",1
"183",4
"184",1
"185",7
"186",7
"187",4
"188",8
"189",8
"190",2
"191",8
"192",1
"193",8
"194",5
"195",4
"196",1
"197",7
"198",1
"199",4
"200",8
"201",4
"202",1
"203",5
"204",8
"205",4
"206",5
"207",1
"208",7
"209",8
"210",4
"211",8
"212",7
"213",4
"214",1
"215",1
"216",8
"217",2
"218",4
"219",1
"220",1
"221",8
"222",4
"223",5
"224",8
"225",4
"226",1
"227",7
"228",4
"229",8
"230",4
"231",5
"232",1
"233",7
"234",8
"235",1
"236",1
"237",2
"238",4
"239",8
"240",5
"241",1
"242",4
"243",4
"244",8
"245",4
"246",1
"247",1
"248",1
"249",7
"250",1
"251",4
"252",5
"253",2
"254",8
"255",7
"256",8
"257",5
"258",1
"259",2
"260",4
"261",1
"262",1
"263",8
"264",1
"265",1
"266",1
"267",1
"268",8
"269",8
"270",1
"271",1
"272",4
"273",1
"274",5
"275",5
"276",4
"277",2
"278",4
"279",8
"280",8
"281",1
"282",5
"283",8
"284",7
"285",2
"286",7
"287",8
"288",1
"289",7
"290",4
"291",4
"292",1
"293",5
"294",7
"295",4
"296",5
"297",2
"298",2
"299",4
"300",7
"301",4
"302",2
"303",1
"304",4
"305",4
"306",7
"307",2
"308",2
"309",8
"310",8
"311",8
"312",8
"313",1
"314",8
"315",2
"316",8
"317",8
"318",2
"319",8
"320",1
"321",1
"322",1
"323",5
"324",1
"325",7
"326",1
"327",7
"328",5
"329",8
"330",1
"331",1
"332",4
"333",4
"334",4
"335",8
"336",4
"337",1
"338",7
"339",5
"340",4
"341",1
"342",1
"343",1
"344",8
"345",1
"346",4
"347",5
"348",5
"349",1
"350",1
"351",7
"352",1
"353",4
"354",8
"355",2
"356",5
"357",2
"358",4
"359",1
"360",7
"361",7
"362",4
"363",7
"364",4
"365",1
"366",4
"367",2
"368",1
"369",2
"370",8
"371",1
"372",1
"373",1
"374",8
"375",7
"376",1
"377",7
"378",4
"379",5
"380",7
"381",4
"382",7
"383",8
"384",4
"385",8
"386",4
"387",1
"388",1
"389",5
"390",2
"391",4
"392",8
"393",8
"394",8
"395",1
"396",8
"397",1
"398",1
"399",4
"400",1
"401",1
"402",4
"403",4
"404",4
"405",8
"406",7
"407",7
"408",1
"409",4
"410",7
"411",8
"412",5
"413",7
"414",4
"415",1
"416",1
"417",4
"418",4
"419",8
"420",5
"421",4
"422",1
"423",1
"424",4
"425",1
"426",7
