"","x"
"1",0.527831298562418
"2",0.668370836718489
"3",1
"4",1
"5",1
"6",2
"7",2
"8",2
"9",3
"10",4
"11",3
"12",4
"13",3
"14",5
"15",5
"16",5
"17",4
"18",2
"19",5
"20",1
"21",6
"22",4
"23",5
"24",5
"25",5
"26",3
"27",5
"28",1
"29",3
"30",5
"31",6
"32",5
"33",1
"34",5
"35",5
"36",7
"37",4
"38",5
"39",2
"40",6
"41",1
"42",4
"43",3
"44",3
"45",3
"46",1
"47",1
"48",1
"49",5
"50",5
"51",4
"52",2
"53",2
"54",4
"55",5
"56",2
"57",1
"58",3
"59",1
"60",3
"61",5
"62",2
"63",3
"64",5
"65",6
"66",4
"67",5
"68",4
"69",1
"70",2
"71",2
"72",3
"73",6
"74",3
"75",1
"76",6
"77",5
"78",5
"79",6
"80",5
"81",5
"82",1
"83",1
"84",4
"85",6
"86",6
"87",1
"88",6
"89",6
"90",4
"91",4
"92",5
"93",5
"94",5
"95",6
"96",4
"97",7
"98",2
"99",4
"100",7
"101",6
"102",5
"103",3
"104",5
"105",6
"106",3
"107",5
"108",2
"109",1
"110",7
"111",5
"112",3
"113",2
"114",5
"115",5
"116",2
"117",6
"118",2
"119",5
"120",5
"121",3
"122",1
"123",6
"124",5
"125",3
"126",7
"127",5
"128",7
"129",3
"130",6
"131",5
"132",2
"133",3
"134",3
"135",6
"136",1
"137",3
"138",4
"139",6
"140",5
"141",5
"142",5
"143",3
"144",2
"145",2
"146",4
"147",2
"148",5
"149",3
"150",7
"151",5
"152",2
"153",1
"154",1
"155",1
"156",5
"157",2
"158",1
"159",5
"160",5
"161",4
"162",3
"163",3
"164",2
"165",3
"166",1
"167",4
"168",6
"169",5
"170",1
"171",2
"172",5
"173",3
"174",6
"175",4
"176",5
"177",3
"178",1
"179",5
"180",6
"181",5
"182",6
"183",2
"184",2
"185",7
"186",3
"187",5
"188",1
"189",5
"190",7
"191",3
"192",1
"193",5
"194",7
"195",5
"196",3
"197",6
"198",3
"199",3
"200",6
"201",1
"202",5
"203",6
"204",1
"205",3
"206",5
"207",2
"208",1
"209",4
"210",1
"211",1
"212",5
"213",5
"214",3
"215",7
"216",2
"217",6
"218",5
"219",6
"220",6
"221",2
"222",6
"223",6
"224",1
"225",6
"226",3
"227",6
"228",1
"229",2
"230",5
"231",5
"232",4
"233",1
"234",5
"235",1
"236",5
"237",7
"238",6
"239",5
"240",2
"241",3
"242",5
"243",2
"244",2
"245",7
"246",1
"247",1
"248",5
"249",2
"250",6
"251",3
"252",2
"253",5
"254",4
"255",5
"256",3
"257",1
"258",5
"259",6
"260",1
"261",6
"262",2
"263",6
"264",1
"265",5
"266",2
"267",2
"268",5
"269",1
"270",2
"271",5
"272",5
"273",3
"274",5
"275",5
"276",3
"277",6
"278",5
"279",5
"280",3
"281",3
"282",3
"283",6
"284",4
"285",8
"286",2
"287",1
"288",6
"289",5
"290",2
"291",6
"292",3
"293",3
"294",5
"295",6
"296",4
"297",3
"298",7
"299",5
"300",1
"301",3
"302",3
"303",6
"304",5
"305",2
"306",6
"307",5
"308",5
"309",3
"310",6
"311",1
"312",3
"313",1
"314",2
"315",3
"316",4
"317",6
"318",2
"319",3
"320",3
"321",7
"322",5
"323",5
"324",3
"325",6
"326",6
"327",2
"328",2
"329",5
"330",2
"331",3
"332",5
"333",1
"334",5
"335",4
"336",2
"337",1
"338",5
"339",3
"340",7
"341",3
"342",5
"343",6
"344",1
"345",4
"346",2
"347",3
"348",1
"349",4
"350",5
"351",2
"352",7
"353",1
"354",6
"355",4
"356",4
"357",2
"358",1
"359",4
"360",2
"361",3
"362",2
"363",5
"364",3
"365",6
"366",6
"367",3
"368",3
"369",3
"370",4
"371",5
"372",6
"373",6
"374",4
"375",3
"376",5
"377",4
"378",7
"379",2
"380",3
"381",7
"382",2
"383",1
"384",4
"385",2
"386",6
"387",2
"388",1
"389",5
"390",4
"391",2
"392",4
"393",2
"394",4
"395",2
"396",1
"397",3
"398",2
"399",6
"400",1
"401",3
"402",6
"403",2
"404",1
"405",2
"406",2
"407",1
"408",1
"409",5
"410",3
"411",5
"412",2
"413",5
"414",6
"415",1
"416",1
"417",6
"418",5
"419",1
"420",2
"421",5
"422",3
"423",3
"424",4
"425",1
"426",2
"427",1
"428",4
"429",1
"430",2
"431",5
"432",2
"433",1
"434",3
"435",5
"436",4
"437",3
"438",5
"439",4
"440",6
"441",5
"442",2
"443",7
"444",4
"445",3
"446",2
"447",6
"448",5
"449",1
"450",3
"451",6
"452",5
"453",6
"454",1
"455",1
"456",4
"457",4
"458",5
"459",5
"460",3
"461",1
"462",5
"463",1
"464",2
"465",5
"466",5
"467",6
"468",3
"469",1
"470",2
"471",6
"472",6
"473",1
"474",5
"475",6
"476",6
"477",6
"478",3
"479",5
"480",5
"481",5
"482",1
"483",1
"484",7
"485",3
"486",6
"487",1
"488",3
"489",2
"490",3
"491",6
"492",5
"493",2
"494",1
"495",5
"496",3
"497",6
"498",6
"499",6
"500",1
"501",3
"502",1
"503",2
"504",5
"505",5
"506",5
"507",5
"508",1
"509",1
"510",2
"511",2
"512",5
"513",2
"514",2
"515",3
"516",6
"517",3
"518",3
"519",4
"520",2
"521",5
"522",1
"523",3
"524",5
"525",1
"526",5
"527",4
"528",5
"529",7
"530",4
"531",3
"532",4
"533",6
"534",6
"535",2
"536",6
"537",2
"538",2
"539",5
"540",6
"541",1
"542",4
"543",5
"544",6
"545",3
"546",1
"547",6
"548",5
"549",6
"550",7
"551",2
"552",3
"553",4
"554",1
"555",4
"556",4
"557",1
"558",5
"559",6
"560",5
"561",6
"562",1
"563",2
"564",3
"565",1
"566",1
"567",6
"568",4
"569",2
"570",3
"571",4
"572",6
"573",1
"574",4
"575",4
"576",7
"577",5
"578",3
"579",1
"580",5
"581",4
"582",5
"583",2
"584",5
"585",1
"586",1
"587",2
"588",4
"589",2
"590",5
"591",2
"592",1
"593",1
"594",5
"595",5
"596",1
"597",4
"598",6
"599",4
"600",2
"601",5
"602",1
"603",4
"604",1
"605",5
"606",3
"607",1
"608",4
"609",1
"610",5
"611",2
"612",1
"613",7
"614",4
"615",2
"616",6
"617",5
"618",1
"619",6
"620",3
"621",2
"622",1
"623",4
"624",2
"625",2
"626",6
"627",3
"628",5
"629",5
"630",2
"631",5
"632",1
"633",3
"634",3
"635",6
"636",5
"637",1
"638",1
"639",3
"640",2
"641",2
"642",6
"643",1
"644",4
"645",7
"646",5
"647",2
"648",4
"649",5
"650",5
"651",2
"652",2
"653",2
"654",4
"655",6
"656",6
"657",5
"658",1
"659",3
"660",1
"661",6
"662",5
"663",1
"664",6
"665",1
"666",6
"667",4
"668",5
"669",6
"670",6
"671",2
"672",3
"673",1
"674",7
"675",4
"676",5
"677",3
"678",2
"679",3
"680",5
"681",5
"682",6
"683",5
"684",5
"685",1
"686",3
"687",5
"688",5
"689",6
"690",3
"691",5
"692",4
"693",4
"694",1
"695",4
"696",7
"697",3
"698",1
"699",4
"700",5
"701",5
"702",1
"703",5
"704",1
"705",2
"706",5
"707",6
"708",7
"709",1
"710",1
"711",6
"712",5
"713",6
"714",5
"715",2
"716",6
"717",2
"718",5
"719",1
"720",6
"721",3
"722",5
"723",5
"724",1
"725",4
"726",5
"727",7
"728",7
"729",1
"730",5
"731",5
"732",1
"733",3
"734",3
"735",4
"736",5
"737",2
"738",6
"739",1
"740",6
"741",3
"742",6
"743",5
"744",5
"745",6
"746",3
"747",1
"748",1
"749",5
"750",5
"751",6
"752",6
"753",5
"754",3
"755",6
"756",6
"757",6
"758",5
"759",3
"760",6
"761",4
"762",1
"763",1
"764",4
"765",1
"766",4
"767",5
"768",5
"769",7
"770",6
"771",5
"772",4
"773",3
"774",6
"775",6
"776",3
"777",6
"778",6
"779",3
"780",5
"781",2
"782",5
"783",4
"784",6
"785",1
"786",5
"787",4
"788",6
"789",3
"790",6
"791",2
"792",3
"793",3
"794",3
"795",1
"796",2
"797",5
"798",6
"799",5
"800",4
"801",4
"802",3
"803",5
"804",4
"805",6
"806",1
"807",6
"808",6
"809",6
"810",6
"811",2
"812",6
"813",6
"814",3
"815",6
"816",2
"817",1
"818",6
"819",2
"820",3
"821",5
"822",1
"823",3
"824",3
"825",5
"826",5
"827",3
"828",1
"829",5
"830",5
"831",5
"832",6
"833",5
"834",2
"835",6
"836",5
"837",2
"838",2
"839",2
"840",6
"841",4
"842",4
"843",4
"844",2
"845",3
"846",5
"847",1
"848",3
"849",3
"850",1
"851",6
"852",1
"853",5
"854",2
"855",1
"856",3
"857",1
"858",3
"859",1
"860",2
"861",6
"862",2
"863",5
"864",6
"865",4
"866",7
"867",6
"868",1
"869",5
"870",6
"871",2
"872",3
"873",2
"874",1
"875",1
"876",1
"877",6
"878",2
"879",5
"880",5
"881",5
"882",3
"883",7
"884",2
"885",5
"886",7
"887",3
"888",1
"889",5
"890",4
"891",4
"892",5
"893",3
"894",6
"895",6
"896",2
"897",3
"898",5
"899",5
"900",3
"901",4
"902",2
"903",4
"904",3
"905",1
"906",2
"907",3
"908",2
"909",3
"910",3
"911",4
"912",3
"913",5
"914",3
"915",6
"916",4
"917",5
"918",3
"919",5
"920",5
"921",5
"922",6
"923",6
"924",3
"925",6
"926",1
"927",5
"928",5
"929",5
"930",3
"931",1
"932",5
"933",3
"934",1
"935",5
"936",6
"937",1
"938",6
"939",4
"940",7
"941",5
"942",1
"943",3
"944",2
"945",3
"946",1
"947",5
"948",1
"949",2
"950",1
"951",5
"952",6
"953",5
"954",3
"955",4
"956",1
"957",7
"958",4
"959",4
"960",3
"961",4
"962",2
"963",1
"964",5
"965",6
"966",6
"967",3
"968",6
"969",6
"970",5
"971",4
"972",2
"973",4
"974",2
"975",3
"976",6
"977",5
"978",4
"979",2
"980",6
"981",3
"982",6
"983",3
"984",7
