"","x"
"1",0.44112524540831
"2",0.596017308135043
"3",8
"4",8
"5",8
"6",6
"7",7
"8",7
"9",6
"10",2
"11",5
"12",2
"13",5
"14",7
"15",7
"16",7
"17",2
"18",7
"19",7
"20",8
"21",1
"22",8
"23",7
"24",7
"25",4
"26",5
"27",4
"28",8
"29",5
"30",7
"31",1
"32",7
"33",2
"34",4
"35",7
"36",1
"37",2
"38",7
"39",4
"40",1
"41",2
"42",2
"43",5
"44",5
"45",5
"46",8
"47",2
"48",8
"49",7
"50",1
"51",2
"52",4
"53",4
"54",8
"55",7
"56",4
"57",2
"58",5
"59",2
"60",5
"61",4
"62",7
"63",5
"64",7
"65",4
"66",2
"67",1
"68",8
"69",2
"70",4
"71",7
"72",5
"73",1
"74",5
"75",8
"76",1
"77",7
"78",7
"79",4
"80",6
"81",4
"82",8
"83",2
"84",8
"85",7
"86",1
"87",8
"88",1
"89",6
"90",2
"91",2
"92",7
"93",7
"94",7
"95",1
"96",2
"97",1
"98",4
"99",2
"100",1
"101",6
"102",4
"103",5
"104",4
"105",1
"106",5
"107",4
"108",4
"109",2
"110",1
"111",4
"112",5
"113",7
"114",7
"115",4
"116",7
"117",1
"118",4
"119",7
"120",1
"121",5
"122",2
"123",1
"124",4
"125",5
"126",1
"127",4
"128",1
"129",5
"130",1
"131",4
"132",7
"133",5
"134",5
"135",1
"136",2
"137",5
"138",2
"139",1
"140",6
"141",4
"142",4
"143",5
"144",7
"145",6
"146",2
"147",7
"148",4
"149",1
"150",1
"151",7
"152",7
"153",8
"154",8
"155",2
"156",7
"157",4
"158",2
"159",7
"160",7
"161",2
"162",5
"163",5
"164",7
"165",5
"166",2
"167",2
"168",1
"169",7
"170",2
"171",4
"172",7
"173",5
"174",1
"175",2
"176",7
"177",5
"178",2
"179",4
"180",1
"181",7
"182",6
"183",6
"184",4
"185",1
"186",5
"187",7
"188",2
"189",1
"190",1
"191",5
"192",2
"193",7
"194",1
"195",4
"196",5
"197",1
"198",6
"199",5
"200",1
"201",2
"202",3
"203",1
"204",2
"205",5
"206",4
"207",4
"208",2
"209",2
"210",2
"211",2
"212",4
"213",1
"214",5
"215",1
"216",4
"217",6
"218",7
"219",1
"220",1
"221",4
"222",1
"223",1
"224",2
"225",1
"226",5
"227",1
"228",2
"229",4
"230",7
"231",4
"232",2
"233",2
"234",7
"235",2
"236",4
"237",1
"238",1
"239",7
"240",4
"241",4
"242",7
"243",7
"244",4
"245",1
"246",8
"247",8
"248",4
"249",7
"250",1
"251",5
"252",7
"253",7
"254",2
"255",4
"256",5
"257",2
"258",7
"259",1
"260",2
"261",1
"262",7
"263",1
"264",8
"265",7
"266",4
"267",7
"268",4
"269",2
"270",7
"271",7
"272",7
"273",5
"274",1
"275",4
"276",5
"277",1
"278",7
"279",4
"280",5
"281",5
"282",5
"283",4
"284",2
"285",2
"286",4
"287",8
"288",1
"289",7
"290",7
"291",1
"292",5
"293",5
"294",7
"295",1
"296",2
"297",5
"298",1
"299",7
"300",2
"301",5
"302",5
"303",1
"304",7
"305",4
"306",1
"307",4
"308",4
"309",6
"310",1
"311",2
"312",5
"313",2
"314",6
"315",5
"316",2
"317",6
"318",4
"319",5
"320",5
"321",1
"322",4
"323",4
"324",5
"325",1
"326",1
"327",7
"328",4
"329",7
"330",7
"331",5
"332",7
"333",2
"334",7
"335",2
"336",7
"337",2
"338",7
"339",6
"340",1
"341",5
"342",7
"343",4
"344",8
"345",2
"346",6
"347",5
"348",2
"349",2
"350",7
"351",7
"352",1
"353",8
"354",1
"355",2
"356",2
"357",7
"358",8
"359",2
"360",7
"361",5
"362",7
"363",7
"364",5
"365",1
"366",1
"367",5
"368",5
"369",5
"370",5
"371",4
"372",1
"373",7
"374",8
"375",5
"376",7
"377",8
"378",1
"379",7
"380",5
"381",1
"382",7
"383",2
"384",2
"385",7
"386",7
"387",6
"388",8
"389",7
"390",2
"391",7
"392",8
"393",7
"394",2
"395",4
"396",2
"397",5
"398",7
"399",4
"400",8
"401",5
"402",7
"403",7
"404",2
"405",4
"406",7
"407",8
"408",2
"409",4
"410",5
"411",4
"412",7
"413",7
"414",6
"415",2
"416",2
"417",1
"418",4
"419",2
"420",7
"421",7
"422",5
"423",5
"424",2
"425",8
"426",7
"427",2
"428",8
"429",2
"430",4
"431",4
"432",4
"433",8
"434",5
"435",7
"436",8
"437",5
"438",4
"439",2
"440",1
"441",7
"442",4
"443",1
"444",2
"445",5
"446",7
"447",7
"448",7
"449",8
"450",5
"451",1
"452",7
"453",1
"454",8
"455",8
"456",2
