"","x"
"1",0.189809145631716
"2",0.301119656936525
"3",6
"4",6
"5",6
"6",6
"7",6
"8",8
"9",6
"10",6
"11",6
"12",8
"13",6
"14",6
"15",8
"16",6
"17",6
"18",6
"19",6
"20",6
"21",6
"22",6
"23",8
"24",6
"25",6
"26",5
"27",6
"28",6
"29",6
"30",6
"31",8
"32",6
"33",8
"34",8
"35",8
"36",6
"37",8
"38",6
"39",6
"40",6
"41",6
"42",6
"43",6
"44",8
"45",5
"46",6
"47",6
"48",6
"49",6
"50",6
"51",6
"52",6
"53",5
"54",6
"55",6
"56",6
"57",6
"58",6
"59",6
"60",6
"61",6
"62",6
"63",8
"64",6
"65",6
"66",6
"67",6
"68",6
"69",6
"70",6
"71",8
"72",6
"73",8
"74",6
"75",6
"76",8
"77",6
"78",6
"79",6
"80",6
"81",8
"82",6
"83",6
"84",6
"85",6
"86",6
"87",6
"88",1
"89",6
"90",8
"91",6
"92",6
"93",8
"94",8
"95",6
"96",6
"97",7
"98",5
"99",6
"100",6
"101",1
"102",6
"103",6
"104",3
"105",6
"106",6
"107",6
"108",6
"109",6
"110",3
"111",8
"112",6
"113",6
"114",6
"115",6
"116",6
"117",6
"118",6
"119",6
"120",6
"121",6
"122",6
"123",6
"124",6
"125",6
"126",6
"127",5
"128",6
"129",6
"130",6
"131",6
"132",5
"133",6
"134",6
"135",6
"136",6
"137",6
"138",8
"139",8
"140",8
"141",8
"142",6
"143",8
"144",6
"145",8
"146",6
"147",6
"148",6
"149",6
"150",6
"151",6
"152",6
"153",6
"154",6
"155",6
"156",8
"157",6
"158",6
"159",8
"160",6
"161",6
"162",6
"163",6
"164",6
"165",8
"166",6
"167",6
"168",8
"169",5
"170",5
"171",6
"172",6
"173",5
"174",6
"175",6
"176",5
"177",6
"178",6
"179",6
"180",6
"181",6
"182",6
"183",6
"184",6
"185",8
"186",6
"187",6
"188",6
"189",6
"190",6
"191",6
"192",6
"193",6
"194",6
"195",3
"196",6
"197",6
"198",8
"199",6
"200",6
"201",8
"202",8
"203",6
"204",6
"205",8
"206",8
"207",6
"208",6
"209",6
"210",6
"211",1
"212",8
"213",6
"214",6
"215",6
"216",6
"217",6
"218",6
"219",6
"220",6
"221",8
"222",6
"223",8
"224",6
"225",6
"226",6
"227",8
"228",6
"229",6
"230",6
"231",6
"232",6
"233",8
"234",6
"235",5
"236",6
"237",5
"238",6
"239",6
"240",6
"241",6
"242",6
"243",1
"244",6
"245",6
"246",6
"247",6
"248",8
"249",6
"250",3
"251",6
"252",6
"253",6
"254",6
"255",6
"256",8
"257",6
"258",5
"259",6
"260",6
"261",6
"262",8
"263",6
"264",6
"265",6
"266",6
"267",6
"268",8
"269",8
"270",6
"271",8
"272",6
"273",6
"274",5
"275",6
"276",8
"277",6
"278",5
"279",6
"280",6
"281",5
"282",6
"283",6
"284",6
"285",6
"286",6
"287",6
"288",8
"289",3
"290",6
"291",6
"292",6
"293",6
"294",8
"295",8
"296",6
"297",6
"298",6
"299",6
"300",5
"301",6
"302",6
"303",6
"304",6
"305",6
"306",6
"307",6
"308",6
"309",6
"310",6
"311",6
"312",6
"313",5
"314",6
"315",6
"316",6
"317",6
"318",6
"319",6
"320",6
"321",6
"322",6
"323",6
"324",6
"325",8
"326",6
"327",5
"328",6
"329",8
"330",6
"331",6
"332",8
"333",6
"334",6
"335",6
"336",8
"337",6
"338",6
"339",6
"340",6
"341",6
"342",6
"343",6
"344",6
"345",6
"346",6
"347",6
"348",6
"349",6
"350",6
"351",6
"352",6
"353",6
"354",6
"355",6
"356",6
"357",6
"358",6
"359",6
"360",1
"361",6
"362",6
"363",6
"364",8
"365",6
"366",6
"367",6
"368",6
"369",6
"370",6
"371",6
"372",6
"373",8
"374",6
"375",5
"376",6
"377",8
"378",6
"379",8
"380",6
"381",6
"382",6
"383",6
"384",6
"385",6
"386",6
"387",5
"388",6
"389",8
"390",6
"391",8
"392",5
"393",6
"394",6
"395",6
"396",8
"397",6
"398",6
"399",6
"400",5
"401",6
"402",6
"403",6
"404",6
"405",6
"406",6
"407",6
"408",6
"409",6
"410",6
"411",6
"412",6
"413",6
"414",6
"415",6
"416",8
"417",6
"418",6
"419",8
"420",8
"421",6
"422",6
"423",6
"424",8
"425",8
"426",6
"427",8
"428",5
"429",6
"430",6
"431",8
"432",6
"433",6
"434",6
"435",6
"436",8
"437",6
"438",8
"439",6
"440",6
"441",6
"442",6
"443",6
"444",8
"445",8
"446",6
"447",8
"448",6
"449",6
"450",6
"451",6
"452",6
"453",6
"454",6
"455",6
"456",8
"457",6
"458",8
"459",8
"460",6
"461",6
"462",6
"463",6
"464",6
"465",5
"466",8
"467",6
"468",6
"469",6
"470",6
"471",6
"472",5
"473",6
"474",5
"475",6
"476",6
"477",2
"478",8
"479",6
"480",6
"481",8
"482",1
"483",8
"484",8
"485",6
"486",8
"487",6
"488",6
"489",6
"490",6
"491",8
"492",5
"493",6
"494",6
"495",1
"496",6
"497",6
"498",6
"499",6
"500",6
"501",6
"502",6
"503",6
"504",6
"505",6
"506",6
"507",6
"508",6
"509",8
"510",6
"511",6
"512",6
"513",6
"514",8
"515",6
"516",3
"517",3
"518",3
"519",3
"520",8
"521",5
"522",3
"523",8
"524",2
"525",8
"526",3
"527",8
"528",8
"529",8
"530",8
"531",8
"532",3
"533",8
"534",3
"535",8
"536",3
"537",8
"538",3
"539",3
"540",3
"541",3
"542",8
"543",8
"544",8
"545",8
"546",8
"547",3
"548",2
"549",8
"550",3
"551",8
"552",8
"553",3
"554",8
"555",8
"556",8
"557",8
"558",8
"559",3
"560",3
"561",8
"562",8
"563",8
"564",8
"565",8
"566",8
"567",3
"568",8
"569",8
"570",3
"571",2
"572",3
"573",8
"574",3
"575",2
"576",8
"577",8
"578",2
"579",8
"580",8
"581",3
"582",3
"583",8
"584",8
"585",3
"586",3
"587",8
"588",6
"589",8
"590",3
"591",8
"592",2
"593",8
"594",8
"595",6
"596",3
"597",3
"598",3
"599",2
"600",8
"601",8
"602",3
"603",6
"604",8
"605",3
"606",3
"607",6
"608",3
"609",3
"610",3
"611",8
"612",8
"613",8
"614",2
"615",8
"616",8
"617",3
"618",3
"619",3
"620",2
"621",8
"622",8
"623",8
"624",8
"625",3
"626",3
"627",3
"628",8
"629",2
"630",8
"631",3
"632",3
"633",8
"634",6
"635",2
"636",8
"637",8
"638",8
"639",3
"640",8
"641",3
"642",3
"643",8
"644",8
"645",8
"646",3
"647",8
"648",8
"649",8
"650",8
"651",3
"652",8
"653",3
"654",3
"655",3
"656",8
"657",8
"658",8
"659",3
"660",3
"661",8
"662",8
"663",8
"664",6
"665",3
"666",8
"667",8
"668",8
"669",3
"670",3
"671",3
"672",2
"673",8
"674",3
"675",8
"676",8
"677",8
"678",8
"679",3
"680",3
"681",6
"682",3
"683",3
"684",3
"685",8
"686",3
"687",8
"688",3
"689",8
"690",3
"691",6
"692",8
"693",8
"694",3
"695",3
"696",3
"697",3
"698",2
"699",3
"700",3
"701",8
"702",8
"703",8
"704",3
"705",8
"706",8
"707",8
"708",8
"709",8
"710",3
"711",8
"712",8
"713",8
"714",8
"715",3
"716",3
"717",8
"718",3
"719",8
"720",8
"721",8
"722",3
"723",8
"724",3
"725",8
"726",8
"727",8
"728",8
"729",2
"730",3
"731",3
"732",3
"733",8
"734",6
"735",3
"736",3
"737",3
"738",8
"739",6
"740",6
"741",6
"742",8
"743",3
"744",8
"745",3
"746",6
"747",8
"748",8
"749",3
"750",6
"751",3
"752",2
"753",8
"754",3
"755",8
"756",8
"757",3
"758",3
"759",8
"760",3
"761",3
"762",8
"763",2
"764",8
"765",3
"766",8
"767",3
"768",8
"769",8
"770",8
"771",3
"772",3
"773",3
"774",8
"775",8
"776",3
"777",3
"778",2
"779",3
"780",3
"781",8
"782",2
"783",3
"784",8
"785",8
"786",8
"787",3
"788",3
"789",3
"790",2
"791",3
"792",5
"793",3
"794",2
"795",3
"796",8
"797",8
"798",3
"799",3
"800",3
"801",8
"802",8
"803",8
"804",3
"805",3
"806",8
"807",8
"808",3
"809",3
"810",8
"811",3
"812",8
"813",3
"814",8
"815",8
"816",8
"817",3
"818",3
"819",8
"820",8
"821",3
"822",8
"823",8
"824",3
"825",2
"826",3
"827",8
"828",3
"829",8
"830",8
"831",8
"832",3
"833",3
"834",3
"835",8
"836",8
"837",8
"838",8
"839",3
"840",8
"841",8
"842",3
"843",8
"844",8
"845",8
"846",3
"847",6
"848",3
"849",3
"850",8
"851",8
"852",3
"853",3
"854",3
"855",3
"856",6
