"","x"
"1",0.527370670007266
"2",0.652194003376681
"3",1
"4",2
"5",1
"6",1
"7",2
"8",2
"9",1
"10",3
"11",1
"12",4
"13",4
"14",1
"15",3
"16",1
"17",1
"18",3
"19",2
"20",4
"21",5
"22",2
"23",4
"24",3
"25",4
"26",1
"27",3
"28",2
"29",4
"30",4
"31",4
"32",1
"33",1
"34",1
"35",2
"36",2
"37",4
"38",4
"39",6
"40",5
"41",3
"42",2
"43",2
"44",4
"45",2
"46",6
"47",2
"48",2
"49",6
"50",1
"51",2
"52",1
"53",2
"54",1
"55",3
"56",4
"57",4
"58",2
"59",7
"60",6
"61",1
"62",4
"63",1
"64",1
"65",1
"66",4
"67",6
"68",1
"69",2
"70",1
"71",2
"72",1
"73",3
"74",4
"75",4
"76",2
"77",4
"78",2
"79",1
"80",4
"81",4
"82",4
"83",1
"84",1
"85",1
"86",1
"87",5
"88",3
"89",3
"90",1
"91",4
"92",4
"93",3
"94",4
"95",2
"96",1
"97",3
"98",6
"99",3
"100",1
"101",4
"102",4
"103",3
"104",1
"105",2
"106",4
"107",2
"108",1
"109",4
"110",4
"111",4
"112",2
"113",2
"114",1
"115",3
"116",3
"117",2
"118",2
"119",1
"120",4
"121",1
"122",1
"123",1
"124",2
"125",4
"126",1
"127",6
"128",3
"129",1
"130",1
"131",4
"132",2
"133",2
"134",3
"135",4
"136",4
"137",1
"138",2
"139",1
"140",2
"141",1
"142",4
"143",2
"144",1
"145",1
"146",2
"147",1
"148",3
"149",1
"150",3
"151",1
"152",1
"153",1
"154",4
"155",4
"156",1
"157",2
"158",4
"159",2
"160",4
"161",2
"162",4
"163",6
"164",2
"165",1
"166",4
"167",1
"168",6
"169",1
"170",4
"171",2
"172",2
"173",4
"174",1
"175",3
"176",2
"177",6
"178",4
"179",1
"180",3
"181",4
"182",1
"183",2
"184",5
"185",5
"186",5
"187",5
"188",5
"189",5
"190",5
"191",5
"192",5
"193",3
"194",5
"195",8
"196",8
"197",5
"198",5
"199",5
"200",3
"201",5
"202",5
"203",3
"204",5
"205",5
"206",8
"207",5
"208",5
"209",8
"210",5
"211",8
"212",5
"213",8
"214",5
"215",3
"216",5
"217",5
"218",8
"219",3
"220",5
"221",5
"222",8
"223",8
"224",2
"225",5
"226",3
"227",8
"228",5
"229",5
"230",5
"231",5
"232",7
"233",5
"234",7
"235",3
"236",1
"237",6
"238",5
"239",5
"240",8
"241",3
"242",3
"243",5
"244",3
"245",8
"246",5
"247",8
"248",8
"249",8
"250",8
"251",5
"252",8
"253",8
"254",3
"255",8
"256",3
"257",5
"258",8
"259",5
"260",3
"261",8
"262",3
"263",8
"264",7
"265",3
"266",8
"267",2
"268",5
"269",5
"270",8
"271",8
"272",5
"273",8
"274",5
"275",8
"276",5
"277",8
"278",8
"279",5
"280",3
"281",8
"282",5
"283",5
"284",3
"285",5
"286",5
"287",5
"288",5
"289",3
"290",5
"291",5
"292",5
"293",5
"294",3
"295",5
"296",5
"297",2
"298",8
"299",8
"300",5
"301",5
"302",8
"303",8
"304",8
"305",2
"306",5
"307",5
"308",5
"309",8
"310",2
"311",8
"312",2
"313",5
"314",2
"315",8
"316",5
"317",5
"318",5
"319",2
"320",8
"321",5
"322",8
"323",5
"324",5
"325",5
"326",1
"327",8
"328",5
"329",8
"330",8
"331",3
"332",5
"333",5
"334",2
"335",8
"336",8
"337",5
"338",5
"339",5
"340",5
"341",5
"342",5
"343",8
"344",2
"345",3
"346",5
"347",5
"348",2
"349",5
"350",8
"351",5
"352",3
"353",8
"354",5
"355",8
"356",5
"357",5
"358",5
"359",5
"360",5
"361",5
"362",5
"363",8
"364",8
"365",5
"366",8
"367",5
"368",5
"369",3
"370",5
"371",8
"372",5
"373",8
"374",5
"375",3
"376",8
"377",8
"378",5
"379",5
"380",5
"381",3
"382",8
"383",8
"384",6
"385",5
"386",8
"387",3
"388",5
"389",3
"390",3
"391",8
"392",5
"393",5
"394",7
"395",5
"396",5
"397",5
"398",3
"399",5
"400",8
"401",5
"402",3
"403",3
"404",5
"405",3
"406",8
"407",8
"408",3
"409",5
"410",5
"411",8
"412",5
"413",5
"414",5
"415",5
"416",3
"417",5
"418",8
"419",5
"420",5
"421",5
"422",8
"423",5
"424",5
"425",8
"426",5
"427",5
"428",5
"429",5
"430",8
"431",5
"432",5
"433",5
"434",5
"435",8
"436",5
"437",3
"438",8
"439",3
"440",8
"441",2
"442",5
"443",2
"444",5
"445",5
"446",5
"447",5
"448",5
"449",8
"450",5
"451",5
"452",5
"453",5
"454",5
"455",8
"456",5
"457",5
"458",5
"459",5
"460",8
"461",3
"462",5
"463",5
"464",8
"465",5
"466",5
"467",5
"468",8
"469",5
"470",5
"471",5
"472",8
"473",7
"474",5
"475",3
"476",7
"477",3
"478",5
"479",5
"480",5
"481",3
"482",5
"483",3
"484",8
"485",5
"486",8
"487",8
"488",5
"489",8
"490",8
"491",5
"492",5
"493",5
"494",8
"495",8
"496",8
"497",3
"498",5
"499",5
"500",8
"501",5
"502",8
"503",5
"504",8
"505",5
"506",8
"507",8
"508",5
"509",8
"510",5
"511",5
"512",5
"513",3
"514",8
"515",1
"516",5
"517",8
"518",8
"519",5
"520",8
"521",5
"522",1
"523",8
"524",5
"525",3
"526",8
"527",8
"528",3
"529",8
"530",2
"531",1
"532",3
"533",1
"534",5
"535",8
"536",5
"537",8
"538",5
"539",6
"540",5
"541",3
"542",3
"543",6
"544",3
"545",5
"546",5
"547",3
"548",8
"549",5
"550",2
"551",8
"552",5
"553",5
"554",8
"555",5
"556",8
"557",5
"558",5
"559",5
"560",8
"561",5
"562",5
"563",5
"564",8
"565",5
"566",8
"567",8
"568",8
"569",5
"570",5
"571",5
"572",8
"573",5
"574",5
"575",5
"576",5
"577",8
"578",3
"579",3
"580",5
"581",8
"582",5
"583",5
"584",5
"585",5
"586",5
"587",8
"588",5
"589",5
"590",8
"591",5
"592",5
"593",8
"594",8
"595",1
"596",5
"597",8
"598",8
"599",5
"600",8
"601",8
"602",8
"603",5
"604",8
"605",5
"606",8
"607",5
"608",5
"609",5
"610",8
"611",5
"612",5
"613",5
"614",5
"615",5
"616",5
"617",5
"618",8
"619",8
"620",8
"621",7
"622",3
"623",8
"624",2
"625",3
"626",6
"627",5
"628",8
"629",8
"630",5
"631",8
"632",5
"633",5
"634",5
"635",3
"636",5
"637",8
"638",5
"639",8
"640",5
"641",5
"642",8
"643",8
"644",5
"645",5
"646",8
"647",5
"648",5
"649",8
"650",4
"651",6
"652",5
"653",5
"654",8
"655",3
"656",5
"657",5
"658",5
"659",8
"660",5
"661",5
"662",5
"663",3
"664",8
"665",3
"666",5
"667",5
"668",8
"669",8
"670",5
"671",5
"672",5
"673",5
"674",8
"675",8
"676",5
"677",5
"678",3
"679",5
"680",5
"681",5
"682",3
"683",5
"684",5
"685",3
"686",8
"687",8
"688",3
"689",5
"690",5
"691",3
"692",3
"693",8
"694",8
"695",8
"696",3
"697",5
"698",3
"699",5
"700",5
"701",5
"702",5
"703",8
"704",5
"705",6
"706",5
"707",5
"708",5
"709",5
"710",5
"711",8
"712",5
"713",5
"714",5
"715",9
"716",5
"717",5
"718",5
"719",3
"720",5
"721",8
"722",8
"723",5
"724",7
"725",3
"726",5
"727",5
"728",5
"729",5
"730",8
"731",2
"732",5
"733",5
"734",5
"735",2
"736",3
"737",5
"738",3
"739",3
"740",8
"741",2
"742",5
"743",5
"744",3
"745",8
"746",3
"747",3
"748",5
"749",8
"750",5
"751",5
"752",8
"753",2
"754",8
"755",8
"756",3
"757",4
"758",5
"759",2
"760",8
"761",1
"762",5
"763",5
"764",4
"765",3
"766",1
"767",4
"768",1
"769",5
"770",9
"771",8
"772",5
"773",5
"774",4
"775",6
"776",2
"777",8
"778",5
"779",2
"780",5
"781",5
"782",8
"783",3
"784",5
"785",3
"786",2
"787",2
"788",7
"789",8
"790",2
"791",5
"792",5
"793",3
"794",8
"795",8
"796",8
"797",5
"798",2
"799",5
"800",3
"801",5
"802",5
"803",3
"804",5
"805",4
"806",4
"807",3
"808",8
"809",8
"810",8
"811",8
"812",5
"813",9
"814",5
"815",4
"816",5
"817",8
"818",5
"819",7
"820",2
"821",9
"822",5
"823",5
"824",3
"825",5
"826",8
"827",5
"828",5
"829",2
"830",8
"831",5
"832",5
"833",6
"834",8
"835",8
"836",4
"837",1
"838",4
"839",1
"840",1
"841",1
"842",5
"843",1
"844",4
"845",1
"846",1
"847",1
"848",3
"849",1
"850",3
"851",1
"852",1
"853",1
"854",3
"855",6
"856",5
"857",9
"858",3
"859",3
"860",3
"861",3
"862",3
"863",1
"864",2
"865",1
"866",2
"867",3
"868",2
"869",3
"870",6
"871",4
"872",6
"873",3
"874",4
"875",3
"876",1
"877",3
"878",3
"879",3
"880",2
"881",4
"882",3
"883",4
"884",3
"885",3
"886",6
"887",3
"888",2
"889",9
"890",9
"891",4
"892",8
"893",3
"894",1
"895",3
"896",1
"897",3
"898",1
"899",3
"900",1
"901",1
"902",2
"903",3
"904",4
"905",9
"906",1
"907",2
"908",5
"909",1
"910",1
"911",3
"912",3
"913",7
"914",1
"915",5
"916",3
"917",1
"918",3
"919",2
"920",8
"921",1
"922",9
"923",9
"924",1
"925",5
"926",8
"927",5
"928",3
"929",8
"930",8
"931",5
"932",5
"933",2
"934",8
"935",5
"936",4
"937",5
"938",5
"939",3
"940",8
"941",3
"942",5
"943",5
"944",5
"945",5
"946",5
"947",8
"948",5
"949",5
"950",2
"951",5
"952",5
"953",5
"954",8
"955",5
"956",8
"957",9
"958",5
"959",5
"960",5
"961",5
"962",3
"963",5
"964",4
"965",5
"966",5
"967",5
"968",2
"969",5
"970",5
"971",8
"972",8
"973",8
"974",8
"975",8
"976",3
"977",3
"978",8
"979",9
"980",9
"981",5
"982",9
"983",8
"984",6
"985",5
"986",5
"987",8
"988",5
"989",3
"990",9
"991",5
"992",8
"993",9
"994",3
"995",5
"996",5
"997",3
"998",8
"999",8
"1000",5
"1001",2
"1002",5
"1003",8
"1004",3
"1005",2
"1006",5
"1007",3
"1008",5
"1009",3
"1010",8
"1011",2
"1012",4
"1013",5
"1014",5
"1015",7
"1016",3
"1017",7
"1018",1
"1019",1
"1020",2
"1021",3
"1022",8
"1023",2
"1024",3
"1025",4
"1026",5
"1027",8
"1028",1
"1029",5
"1030",3
"1031",4
"1032",5
"1033",1
"1034",3
"1035",2
"1036",8
"1037",5
"1038",5
"1039",9
"1040",2
"1041",3
"1042",8
"1043",3
"1044",9
"1045",1
"1046",5
"1047",7
"1048",1
"1049",3
"1050",5
"1051",2
"1052",5
"1053",2
"1054",2
"1055",1
"1056",3
"1057",5
"1058",3
"1059",5
"1060",1
"1061",5
"1062",2
"1063",1
"1064",9
"1065",8
"1066",5
"1067",1
"1068",3
"1069",4
"1070",3
"1071",9
"1072",2
"1073",3
"1074",3
"1075",1
"1076",1
"1077",2
"1078",8
"1079",1
"1080",1
"1081",5
"1082",8
"1083",1
"1084",9
"1085",3
"1086",8
"1087",3
"1088",6
"1089",6
"1090",8
"1091",5
"1092",1
"1093",5
"1094",5
"1095",8
"1096",3
"1097",2
"1098",2
"1099",7
"1100",1
"1101",5
"1102",3
"1103",3
"1104",5
"1105",5
"1106",9
"1107",8
"1108",3
"1109",5
"1110",8
"1111",8
"1112",5
"1113",5
"1114",5
"1115",5
"1116",5
"1117",9
"1118",9
"1119",2
"1120",8
"1121",5
"1122",7
"1123",3
"1124",4
"1125",5
"1126",2
"1127",5
"1128",9
"1129",8
"1130",2
"1131",2
"1132",5
"1133",2
"1134",4
"1135",2
"1136",5
"1137",8
"1138",2
"1139",2
"1140",5
"1141",5
"1142",5
"1143",5
"1144",8
"1145",8
"1146",2
"1147",9
"1148",2
"1149",1
"1150",5
"1151",7
"1152",5
"1153",5
"1154",5
"1155",3
"1156",8
"1157",5
"1158",5
"1159",9
"1160",5
"1161",5
"1162",5
"1163",5
"1164",2
"1165",4
"1166",5
"1167",9
"1168",2
"1169",3
"1170",5
"1171",5
"1172",3
"1173",5
"1174",6
"1175",2
"1176",9
"1177",3
"1178",5
"1179",5
"1180",5
"1181",5
"1182",9
"1183",8
"1184",7
"1185",3
"1186",8
"1187",8
"1188",5
"1189",9
"1190",8
"1191",5
"1192",5
"1193",7
"1194",8
"1195",5
"1196",9
"1197",5
"1198",2
"1199",5
"1200",9
"1201",7
"1202",9
"1203",5
"1204",5
"1205",5
"1206",5
"1207",2
"1208",8
"1209",5
"1210",4
"1211",8
"1212",5
"1213",5
"1214",6
"1215",5
"1216",5
"1217",4
"1218",1
"1219",5
"1220",8
"1221",2
"1222",8
"1223",4
"1224",5
"1225",5
"1226",2
"1227",3
"1228",8
"1229",5
"1230",8
"1231",2
"1232",3
"1233",8
"1234",3
"1235",8
"1236",7
"1237",5
"1238",5
"1239",2
"1240",5
"1241",5
"1242",1
"1243",8
"1244",2
"1245",5
"1246",5
"1247",5
"1248",5
"1249",5
"1250",5
"1251",8
"1252",2
"1253",2
"1254",8
"1255",4
"1256",5
"1257",5
"1258",8
"1259",9
"1260",5
"1261",2
"1262",5
"1263",5
"1264",5
"1265",5
"1266",5
"1267",1
"1268",3
"1269",9
"1270",8
"1271",4
"1272",1
"1273",6
"1274",1
"1275",3
"1276",1
"1277",7
"1278",5
"1279",2
"1280",1
