"","x"
"1",0.64778631393933
"2",0.812924019723744
"3",3
"4",4
"5",3
"6",3
"7",9
"8",9
"9",3
"10",8
"11",3
"12",7
"13",7
"14",2
"15",2
"16",3
"17",3
"18",2
"19",4
"20",7
"21",5
"22",4
"23",7
"24",8
"25",7
"26",3
"27",2
"28",4
"29",7
"30",7
"31",7
"32",1
"33",3
"34",6
"35",4
"36",4
"37",6
"38",7
"39",7
"40",5
"41",8
"42",4
"43",4
"44",7
"45",4
"46",7
"47",4
"48",4
"49",7
"50",3
"51",4
"52",3
"53",4
"54",3
"55",2
"56",7
"57",7
"58",4
"59",9
"60",7
"61",3
"62",7
"63",5
"64",3
"65",3
"66",7
"67",7
"68",6
"69",4
"70",3
"71",4
"72",5
"73",2
"74",7
"75",7
"76",9
"77",7
"78",2
"79",3
"80",7
"81",7
"82",7
"83",2
"84",6
"85",5
"86",6
"87",3
"88",8
"89",4
"90",6
"91",7
"92",7
"93",2
"94",7
"95",4
"96",3
"97",2
"98",7
"99",2
"100",3
"101",7
"102",7
"103",3
"104",3
"105",9
"106",7
"107",4
"108",3
"109",7
"110",7
"111",7
"112",4
"113",4
"114",3
"115",2
"116",8
"117",7
"118",4
"119",3
"120",7
"121",3
"122",3
"123",3
"124",4
"125",7
"126",3
"127",7
"128",8
"129",3
"130",5
"131",7
"132",4
"133",2
"134",3
"135",7
"136",7
"137",3
"138",2
"139",3
"140",9
"141",3
"142",7
"143",4
"144",6
"145",3
"146",7
"147",3
"148",8
"149",3
"150",2
"151",3
"152",6
"153",3
"154",7
"155",7
"156",3
"157",4
"158",7
"159",4
"160",7
"161",4
"162",4
"163",7
"164",4
"165",3
"166",7
"167",3
"168",7
"169",3
"170",7
"171",4
"172",4
"173",7
"174",3
"175",2
"176",4
"177",7
"178",7
"179",3
"180",3
"181",7
"182",6
"183",4
"184",5
"185",3
"186",6
"187",5
"188",6
"189",8
"190",5
"191",5
"192",5
"193",9
"194",5
"195",2
"196",2
"197",5
"198",3
"199",5
"200",8
"201",6
"202",5
"203",8
"204",3
"205",6
"206",2
"207",3
"208",5
"209",2
"210",5
"211",2
"212",3
"213",8
"214",5
"215",8
"216",5
"217",3
"218",2
"219",8
"220",3
"221",5
"222",2
"223",2
"224",4
"225",3
"226",8
"227",8
"228",6
"229",5
"230",5
"231",5
"232",9
"233",5
"234",4
"235",6
"236",6
"237",7
"238",3
"239",5
"240",2
"241",6
"242",6
"243",6
"244",8
"245",2
"246",5
"247",2
"248",2
"249",2
"250",8
"251",3
"252",2
"253",2
"254",8
"255",2
"256",6
"257",5
"258",2
"259",5
"260",6
"261",2
"262",8
"263",2
"264",9
"265",8
"266",2
"267",4
"268",5
"269",5
"270",8
"271",2
"272",6
"273",2
"274",3
"275",2
"276",1
"277",2
"278",2
"279",5
"280",5
"281",2
"282",5
"283",5
"284",8
"285",5
"286",3
"287",5
"288",5
"289",8
"290",3
"291",6
"292",6
"293",1
"294",8
"295",6
"296",5
"297",2
"298",2
"299",2
"300",5
"301",5
"302",2
"303",2
"304",2
"305",4
"306",6
"307",6
"308",1
"309",2
"310",4
"311",2
"312",4
"313",6
"314",4
"315",2
"316",5
"317",6
"318",5
"319",4
"320",2
"321",3
"322",2
"323",5
"324",5
"325",6
"326",6
"327",2
"328",5
"329",2
"330",2
"331",8
"332",2
"333",6
"334",4
"335",2
"336",8
"337",5
"338",5
"339",6
"340",3
"341",5
"342",6
"343",8
"344",4
"345",8
"346",6
"347",6
"348",4
"349",1
"350",2
"351",5
"352",2
"353",2
"354",5
"355",2
"356",5
"357",5
"358",5
"359",5
"360",6
"361",5
"362",5
"363",2
"364",2
"365",5
"366",2
"367",5
"368",5
"369",8
"370",6
"371",8
"372",5
"373",2
"374",3
"375",2
"376",2
"377",2
"378",5
"379",5
"380",5
"381",8
"382",8
"383",2
"384",7
"385",5
"386",2
"387",2
"388",3
"389",2
"390",8
"391",2
"392",6
"393",3
"394",9
"395",5
"396",3
"397",5
"398",2
"399",3
"400",8
"401",3
"402",8
"403",2
"404",5
"405",8
"406",2
"407",2
"408",8
"409",5
"410",5
"411",2
"412",5
"413",5
"414",5
"415",5
"416",8
"417",5
"418",2
"419",5
"420",6
"421",5
"422",2
"423",3
"424",5
"425",2
"426",5
"427",5
"428",6
"429",5
"430",2
"431",5
"432",5
"433",3
"434",5
"435",2
"436",6
"437",8
"438",2
"439",8
"440",2
"441",4
"442",3
"443",4
"444",6
"445",3
"446",5
"447",5
"448",5
"449",2
"450",5
"451",3
"452",5
"453",5
"454",5
"455",2
"456",6
"457",1
"458",1
"459",3
"460",2
"461",8
"462",5
"463",5
"464",2
"465",5
"466",5
"467",5
"468",2
"469",5
"470",5
"471",5
"472",2
"473",9
"474",5
"475",8
"476",9
"477",8
"478",9
"479",5
"480",6
"481",2
"482",5
"483",8
"484",2
"485",5
"486",2
"487",2
"488",5
"489",2
"490",2
"491",3
"492",5
"493",3
"494",2
"495",2
"496",2
"497",2
"498",5
"499",5
"500",2
"501",5
"502",8
"503",3
"504",2
"505",5
"506",8
"507",2
"508",5
"509",2
"510",3
"511",5
"512",5
"513",8
"514",2
"515",3
"516",6
"517",2
"518",2
"519",3
"520",2
"521",3
"522",3
"523",2
"524",5
"525",6
"526",2
"527",2
"528",2
"529",2
"530",4
"531",3
"532",8
"533",2
"534",3
"535",2
"536",5
"537",2
"538",5
"539",9
"540",5
"541",8
"542",8
"543",7
"544",6
"545",5
"546",3
"547",8
"548",2
"549",3
"550",4
"551",2
"552",5
"553",5
"554",8
"555",6
"556",2
"557",5
"558",5
"559",5
"560",8
"561",3
"562",5
"563",5
"564",2
"565",5
"566",2
"567",8
"568",2
"569",6
"570",3
"571",5
"572",2
"573",6
"574",5
"575",5
"576",3
"577",2
"578",8
"579",8
"580",3
"581",2
"582",5
"583",5
"584",5
"585",3
"586",6
"587",2
"588",5
"589",5
"590",2
"591",6
"592",3
"593",2
"594",8
"595",3
"596",5
"597",8
"598",2
"599",5
"600",2
"601",2
"602",2
"603",5
"604",2
"605",5
"606",2
"607",5
"608",5
"609",5
"610",8
"611",6
"612",5
"613",6
"614",5
"615",5
"616",5
"617",5
"618",2
"619",2
"620",2
"621",9
"622",8
"623",2
"624",4
"625",8
"626",6
"627",5
"628",8
"629",2
"630",6
"631",2
"632",5
"633",5
"634",6
"635",6
"636",6
"637",2
"638",5
"639",2
"640",8
"641",6
"642",2
"643",2
"644",5
"645",5
"646",2
"647",5
"648",5
"649",2
"650",7
"651",7
"652",5
"653",5
"654",2
"655",8
"656",5
"657",3
"658",5
"659",2
"660",5
"661",5
"662",6
"663",6
"664",2
"665",8
"666",5
"667",3
"668",2
"669",2
"670",3
"671",9
"672",5
"673",5
"674",2
"675",2
"676",5
"677",6
"678",8
"679",8
"680",6
"681",5
"682",8
"683",5
"684",5
"685",5
"686",2
"687",2
"688",2
"689",5
"690",5
"691",6
"692",6
"693",8
"694",2
"695",2
"696",8
"697",5
"698",8
"699",5
"700",6
"701",5
"702",5
"703",2
"704",5
"705",5
"706",5
"707",5
"708",5
"709",5
"710",1
"711",2
"712",5
"713",5
"714",1
"715",9
"716",5
"717",6
"718",5
"719",8
"720",6
"721",2
"722",2
"723",5
"724",2
"725",8
"726",5
"727",1
"728",5
"729",5
"730",8
"731",4
"732",5
"733",5
"734",5
"735",2
"736",8
"737",5
"738",8
"739",8
"740",2
"741",4
"742",5
"743",1
"744",8
"745",2
"746",8
"747",8
"748",3
"749",8
"750",5
"751",2
"752",2
"753",4
"754",2
"755",2
"756",2
"757",7
"758",5
"759",4
"760",2
"761",1
"762",5
"763",1
"764",7
"765",8
"766",1
"767",7
"768",3
"769",1
"770",9
"771",2
"772",5
"773",5
"774",7
"775",7
"776",4
"777",2
"778",5
"779",4
"780",5
"781",5
"782",2
"783",1
"784",5
"785",1
"786",4
"787",4
"788",9
"789",2
"790",4
"791",3
"792",5
"793",8
"794",2
"795",3
"796",2
"797",5
"798",7
"799",3
"800",2
"801",3
"802",5
"803",8
"804",3
"805",7
"806",9
"807",8
"808",2
"809",8
"810",2
"811",8
"812",5
"813",9
"814",3
"815",7
"816",5
"817",2
"818",3
