"","x"
"1",0.691866929180094
"2",0.711548923115211
"3",3
"4",2
"5",2
"6",1
"7",2
"8",4
"9",1
"10",3
"11",1
"12",1
"13",1
"14",3
"15",3
"16",2
"17",3
"18",3
"19",1
"20",2
"21",2
"22",1
"23",3
"24",3
"25",3
"26",3
"27",1
"28",3
"29",3
"30",1
"31",2
"32",4
"33",1
"34",3
"35",3
"36",2
"37",2
"38",1
"39",1
"40",1
"41",1
"42",1
"43",3
"44",2
"45",3
"46",4
"47",2
"48",2
"49",3
"50",3
"51",1
"52",3
"53",1
"54",4
"55",3
"56",2
"57",3
"58",1
"59",1
"60",1
"61",2
"62",1
"63",3
"64",1
"65",3
"66",1
"67",1
"68",2
"69",2
"70",3
"71",2
"72",3
"73",2
"74",3
"75",1
"76",1
"77",1
"78",1
"79",1
"80",3
"81",1
"82",1
"83",2
"84",1
"85",2
"86",2
"87",3
"88",3
"89",3
"90",1
"91",3
"92",3
"93",1
"94",1
"95",4
"96",3
"97",3
"98",1
"99",3
"100",2
"101",3
"102",2
"103",1
"104",2
"105",3
"106",1
"107",2
"108",1
"109",3
"110",3
"111",3
"112",3
"113",3
"114",2
"115",2
"116",3
"117",2
"118",1
"119",1
"120",4
"121",1
"122",1
"123",1
"124",1
"125",1
"126",3
"127",2
"128",2
"129",1
"130",3
"131",1
"132",3
"133",1
"134",2
"135",3
"136",4
"137",1
"138",3
"139",1
"140",1
"141",2
"142",3
"143",3
"144",4
"145",1
"146",1
"147",3
"148",1
"149",1
"150",1
"151",4
"152",1
"153",1
"154",1
"155",3
"156",1
"157",1
"158",3
"159",1
"160",2
"161",1
"162",3
"163",2
"164",1
"165",1
"166",3
"167",1
"168",3
"169",1
"170",3
"171",2
"172",2
"173",2
"174",1
"175",2
"176",1
"177",2
"178",1
"179",1
"180",1
"181",2
"182",3
"183",2
"184",1
"185",4
"186",1
"187",3
"188",2
"189",3
"190",1
"191",2
"192",1
"193",2
"194",1
"195",2
"196",3
"197",1
"198",1
"199",2
"200",3
"201",2
"202",1
"203",2
"204",2
"205",1
"206",1
"207",2
"208",2
"209",1
"210",1
"211",1
"212",4
"213",1
"214",1
"215",1
"216",1
"217",2
"218",1
"219",3
"220",3
"221",2
"222",3
"223",1
"224",2
"225",3
"226",3
"227",2
"228",3
"229",2
"230",3
"231",3
"232",3
"233",1
"234",1
"235",1
"236",1
"237",3
"238",3
"239",1
"240",1
"241",1
"242",3
"243",1
"244",1
"245",3
"246",4
"247",1
"248",2
"249",3
"250",2
"251",1
"252",1
"253",2
"254",1
"255",3
"256",1
"257",2
"258",3
"259",3
"260",1
"261",1
"262",1
"263",1
"264",1
"265",3
"266",1
"267",3
"268",1
"269",3
"270",3
"271",2
"272",3
"273",2
"274",1
"275",1
"276",3
"277",1
"278",1
"279",2
"280",3
"281",2
"282",4
"283",4
"284",2
"285",1
"286",2
"287",1
"288",1
"289",2
"290",2
"291",3
"292",1
"293",1
"294",1
"295",1
"296",2
"297",1
"298",2
"299",2
"300",3
"301",2
"302",1
"303",1
"304",2
"305",2
"306",2
"307",2
"308",1
"309",1
"310",3
"311",1
"312",1
"313",3
"314",3
"315",1
"316",1
"317",1
"318",3
"319",1
"320",2
"321",1
"322",4
"323",1
"324",3
"325",3
"326",3
"327",3
"328",3
"329",2
"330",1
"331",3
"332",2
"333",1
"334",1
"335",2
"336",1
"337",1
"338",3
"339",3
"340",1
"341",3
"342",4
"343",2
"344",3
"345",2
"346",1
"347",1
"348",1
"349",1
"350",3
"351",1
"352",4
"353",3
"354",1
"355",2
"356",3
"357",1
"358",1
"359",2
"360",1
"361",1
"362",2
"363",1
"364",3
"365",2
"366",1
"367",4
"368",1
"369",2
"370",1
"371",4
"372",4
"373",2
"374",1
"375",3
"376",3
"377",1
"378",1
"379",2
"380",1
"381",1
"382",4
"383",1
"384",3
"385",1
"386",1
"387",1
"388",4
"389",2
"390",1
"391",1
"392",2
"393",4
"394",3
"395",1
"396",3
"397",2
"398",1
"399",4
"400",3
"401",2
"402",1
"403",1
"404",1
"405",3
"406",3
"407",1
"408",3
"409",1
"410",1
"411",1
"412",3
"413",1
"414",1
"415",1
"416",2
"417",2
"418",3
"419",1
"420",2
"421",1
"422",1
"423",1
"424",3
"425",2
"426",3
"427",2
"428",2
"429",1
"430",2
"431",3
"432",1
"433",3
"434",1
"435",1
"436",1
"437",2
"438",3
"439",1
"440",1
"441",1
"442",2
"443",4
"444",3
"445",1
"446",1
"447",1
"448",2
"449",1
"450",1
"451",2
"452",2
"453",1
"454",1
"455",1
"456",3
"457",2
"458",2
"459",1
"460",3
"461",2
"462",1
"463",1
"464",4
"465",1
"466",1
"467",1
"468",1
"469",2
"470",3
"471",1
"472",4
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",2
"480",2
"481",1
"482",2
"483",1
"484",3
"485",2
"486",2
"487",1
"488",1
"489",3
"490",2
"491",2
"492",1
"493",3
"494",3
"495",1
"496",2
"497",1
"498",1
"499",1
"500",3
"501",2
"502",2
"503",2
"504",1
"505",3
"506",2
"507",2
"508",1
"509",1
"510",2
"511",1
"512",1
"513",1
"514",1
"515",2
"516",2
"517",3
"518",1
"519",3
"520",2
"521",2
"522",1
"523",1
"524",1
"525",1
"526",2
"527",1
"528",1
"529",1
"530",1
"531",3
"532",1
"533",1
"534",1
"535",4
"536",1
"537",2
"538",1
"539",3
"540",3
"541",2
"542",1
"543",1
"544",1
"545",1
"546",2
"547",2
"548",1
"549",1
"550",1
"551",1
"552",1
"553",4
"554",3
"555",4
"556",2
"557",1
"558",1
"559",1
"560",3
"561",1
"562",2
"563",1
"564",1
"565",2
"566",3
"567",1
"568",3
"569",2
"570",3
"571",3
"572",2
"573",1
"574",1
"575",3
"576",1
"577",2
"578",2
"579",4
"580",1
"581",2
"582",2
"583",1
"584",3
"585",1
"586",2
"587",2
"588",1
"589",1
"590",2
"591",2
"592",1
"593",1
"594",1
"595",2
"596",1
"597",1
"598",4
"599",3
"600",2
"601",3
"602",1
"603",3
"604",3
"605",2
"606",1
"607",1
"608",1
"609",3
"610",1
"611",2
"612",3
"613",1
"614",3
"615",3
"616",2
"617",2
"618",3
"619",2
"620",3
"621",1
"622",3
"623",2
"624",2
"625",1
"626",1
"627",2
"628",2
"629",1
"630",3
"631",2
"632",1
"633",2
"634",1
"635",1
"636",3
"637",1
"638",1
"639",1
"640",2
"641",2
"642",1
"643",2
"644",1
"645",1
"646",2
"647",3
"648",1
"649",3
"650",1
"651",2
"652",4
"653",3
"654",1
"655",1
"656",3
"657",1
"658",3
"659",2
"660",1
"661",1
"662",1
"663",1
"664",1
"665",2
"666",1
"667",3
"668",2
"669",1
"670",2
"671",1
"672",2
"673",1
"674",1
"675",1
"676",4
"677",1
"678",3
"679",1
"680",2
"681",1
"682",1
"683",1
"684",2
"685",2
"686",2
"687",3
"688",3
"689",1
"690",1
"691",1
"692",1
"693",3
"694",3
"695",1
"696",2
"697",2
"698",1
"699",3
"700",1
"701",1
"702",1
"703",3
"704",1
"705",2
"706",1
"707",4
"708",1
"709",2
"710",1
"711",1
"712",1
"713",3
"714",2
"715",2
"716",1
"717",1
"718",3
"719",1
"720",2
"721",1
"722",3
"723",2
"724",1
"725",2
"726",1
"727",1
"728",2
"729",3
"730",1
"731",3
"732",1
"733",3
"734",1
"735",3
"736",3
"737",4
"738",3
"739",3
"740",2
"741",1
"742",2
"743",3
"744",2
"745",1
"746",1
"747",2
"748",2
"749",1
"750",1
"751",1
"752",1
"753",3
"754",4
"755",3
"756",1
"757",1
"758",2
"759",1
"760",1
"761",3
"762",2
"763",2
"764",3
"765",1
"766",1
"767",1
"768",4
"769",3
"770",1
"771",1
"772",1
"773",4
"774",3
"775",1
"776",2
"777",1
"778",1
"779",1
"780",2
"781",1
"782",2
