"","x"
"1",0.676672290582796
"2",0.734109726118598
"3",1
"4",2
"5",3
"6",4
"7",5
"8",5
"9",3
"10",5
"11",1
"12",5
"13",5
"14",5
"15",1
"16",6
"17",4
"18",6
"19",2
"20",5
"21",4
"22",5
"23",5
"24",5
"25",1
"26",1
"27",4
"28",5
"29",5
"30",3
"31",5
"32",2
"33",1
"34",3
"35",1
"36",5
"37",4
"38",3
"39",5
"40",4
"41",1
"42",1
"43",5
"44",2
"45",3
"46",5
"47",4
"48",4
"49",3
"50",5
"51",3
"52",5
"53",3
"54",5
"55",5
"56",5
"57",6
"58",3
"59",5
"60",2
"61",6
"62",5
"63",5
"64",3
"65",5
"66",4
"67",5
"68",1
"69",4
"70",2
"71",5
"72",6
"73",5
"74",4
"75",1
"76",3
"77",1
"78",5
"79",1
"80",5
"81",5
"82",5
"83",5
"84",5
"85",2
"86",5
"87",3
"88",1
"89",4
"90",5
"91",5
"92",4
"93",5
"94",4
"95",4
"96",2
"97",6
"98",5
"99",6
"100",5
"101",5
"102",5
"103",1
"104",1
"105",5
"106",3
"107",1
"108",4
"109",3
"110",1
"111",4
"112",3
"113",2
"114",3
"115",2
"116",2
"117",5
"118",1
"119",3
"120",5
"121",5
"122",1
"123",4
"124",5
"125",6
"126",5
"127",5
"128",1
"129",5
"130",5
"131",1
"132",4
"133",2
"134",4
"135",4
"136",4
"137",1
"138",1
"139",1
"140",1
"141",5
"142",5
"143",4
"144",5
"145",4
"146",6
"147",1
"148",3
"149",1
"150",1
"151",5
"152",5
"153",4
"154",4
"155",4
"156",3
"157",3
"158",5
"159",4
"160",2
"161",2
"162",1
"163",3
"164",3
"165",6
"166",4
"167",3
"168",5
"169",2
"170",1
"171",2
"172",5
"173",1
"174",6
"175",3
"176",3
"177",4
"178",3
"179",2
"180",5
"181",5
"182",5
"183",1
"184",4
"185",5
"186",5
"187",4
"188",5
"189",1
"190",5
"191",1
"192",6
"193",2
"194",5
"195",4
"196",4
"197",2
"198",1
"199",4
"200",3
"201",3
"202",4
"203",6
"204",1
"205",1
"206",3
"207",1
"208",5
"209",5
"210",1
"211",3
"212",3
"213",3
"214",3
"215",6
"216",5
"217",1
"218",4
"219",4
"220",5
"221",5
"222",4
"223",2
"224",1
"225",5
"226",4
"227",3
"228",3
"229",3
"230",3
"231",5
"232",3
"233",4
"234",5
"235",3
"236",2
"237",4
"238",4
"239",1
"240",2
"241",4
"242",6
"243",1
"244",1
"245",1
"246",1
"247",3
"248",1
"249",1
"250",3
"251",5
"252",1
"253",2
"254",4
"255",2
"256",3
"257",3
"258",5
"259",4
"260",6
"261",5
"262",6
"263",3
"264",5
"265",5
"266",2
"267",5
"268",1
"269",1
"270",3
"271",4
"272",4
"273",5
"274",6
"275",3
"276",3
"277",1
"278",1
"279",3
"280",2
"281",1
"282",1
"283",3
"284",6
"285",3
"286",4
"287",1
"288",4
"289",6
"290",3
"291",5
"292",3
"293",5
"294",4
"295",1
"296",3
"297",3
"298",5
"299",6
"300",4
"301",6
"302",3
"303",4
"304",6
"305",3
"306",1
"307",6
"308",5
"309",4
"310",5
"311",4
"312",4
"313",5
"314",4
"315",2
"316",3
"317",4
"318",5
"319",2
"320",5
"321",1
"322",5
"323",4
"324",3
"325",4
"326",3
"327",5
"328",3
"329",5
"330",4
"331",2
"332",3
"333",5
"334",2
"335",5
"336",5
"337",4
"338",3
"339",3
"340",3
"341",1
"342",5
"343",2
"344",3
"345",2
"346",3
"347",5
"348",2
"349",5
"350",3
"351",4
"352",3
"353",4
"354",3
"355",5
"356",4
"357",1
"358",2
"359",2
"360",5
"361",5
"362",1
"363",5
"364",6
"365",2
"366",1
"367",5
"368",3
"369",3
"370",1
"371",3
"372",3
"373",6
"374",4
"375",4
"376",4
"377",5
"378",3
"379",5
"380",3
"381",1
"382",1
"383",3
"384",2
"385",4
"386",5
"387",3
"388",2
"389",5
"390",6
"391",4
"392",5
"393",3
"394",1
"395",5
"396",2
"397",4
"398",1
"399",6
"400",4
"401",5
"402",5
"403",3
"404",5
"405",4
"406",5
"407",5
"408",1
"409",3
"410",5
"411",6
"412",2
"413",1
"414",1
"415",4
"416",5
"417",5
"418",3
"419",3
"420",2
"421",2
"422",5
"423",3
"424",3
"425",2
"426",3
"427",1
"428",3
"429",4
"430",5
"431",1
"432",2
"433",5
"434",5
"435",5
"436",3
"437",2
"438",3
"439",2
"440",1
"441",3
"442",5
"443",5
"444",4
"445",1
"446",4
"447",5
"448",3
"449",5
"450",5
"451",4
"452",5
"453",3
"454",1
"455",3
"456",3
"457",3
"458",5
"459",1
"460",1
"461",5
"462",2
"463",1
"464",4
"465",5
"466",2
"467",1
"468",5
"469",5
"470",5
"471",4
"472",1
"473",5
"474",1
"475",2
"476",2
"477",1
"478",4
"479",5
"480",3
"481",3
"482",3
"483",2
"484",1
"485",1
"486",1
"487",4
"488",5
"489",5
"490",2
"491",3
"492",5
"493",1
"494",4
"495",5
"496",4
"497",1
"498",2
"499",5
"500",3
"501",5
"502",3
"503",1
"504",5
"505",4
"506",4
"507",2
"508",3
"509",2
"510",6
"511",4
"512",5
"513",1
"514",5
"515",5
"516",4
"517",5
"518",6
"519",4
"520",2
"521",2
"522",1
"523",6
"524",4
"525",3
"526",1
"527",4
"528",4
"529",5
"530",2
"531",4
"532",1
"533",1
"534",3
"535",4
"536",1
"537",3
"538",1
"539",5
"540",4
"541",3
"542",6
"543",5
"544",1
"545",5
"546",6
"547",6
"548",2
"549",5
"550",2
"551",6
"552",5
"553",3
"554",5
"555",5
"556",5
"557",4
"558",1
"559",2
"560",6
"561",5
"562",4
"563",4
"564",3
"565",1
"566",1
"567",2
"568",3
"569",5
"570",1
"571",4
"572",1
"573",5
"574",5
"575",1
"576",4
"577",5
"578",5
"579",1
"580",1
"581",2
"582",1
"583",6
"584",3
"585",2
"586",2
"587",5
"588",5
"589",2
"590",3
"591",1
"592",2
"593",6
"594",5
"595",3
"596",4
"597",6
"598",3
"599",4
"600",3
"601",5
"602",5
"603",5
"604",3
"605",2
"606",3
"607",3
"608",4
"609",5
"610",5
"611",1
"612",1
"613",5
"614",1
"615",1
"616",1
"617",3
"618",2
"619",1
"620",3
"621",1
"622",3
"623",4
"624",2
"625",3
"626",1
"627",5
"628",5
"629",1
"630",5
"631",5
"632",5
"633",3
"634",3
"635",5
"636",1
"637",5
"638",5
"639",1
"640",2
"641",5
"642",5
"643",3
"644",4
"645",4
"646",1
"647",5
"648",4
"649",5
"650",5
"651",5
"652",5
"653",5
"654",3
"655",3
"656",3
"657",5
"658",5
"659",5
"660",3
"661",5
"662",3
"663",2
"664",4
"665",4
"666",5
"667",3
"668",4
"669",4
"670",3
"671",1
"672",2
"673",5
"674",3
"675",3
"676",3
"677",1
"678",5
"679",4
"680",1
"681",5
"682",5
"683",1
"684",5
"685",1
"686",6
"687",5
"688",5
"689",1
"690",3
"691",2
"692",5
"693",3
"694",4
"695",5
"696",3
"697",4
"698",5
"699",5
"700",5
"701",3
"702",5
"703",3
"704",3
"705",4
"706",2
"707",5
"708",3
"709",2
"710",3
"711",1
"712",4
"713",3
"714",3
"715",4
"716",4
"717",1
"718",5
"719",5
"720",5
"721",1
"722",5
"723",3
"724",1
"725",2
"726",1
"727",3
"728",4
"729",3
"730",5
"731",3
"732",3
"733",5
"734",3
"735",1
"736",5
"737",5
"738",1
"739",3
"740",1
"741",5
"742",4
"743",5
"744",5
