"","x"
"1",0.944954761626903
"2",0.91267512758594
"3",4
"4",4
"5",2
"6",6
"7",1
"8",1
"9",5
"10",1
"11",4
"12",1
"13",1
"14",1
"15",4
"16",5
"17",6
"18",5
"19",4
"20",3
"21",5
"22",1
"23",1
"24",1
"25",4
"26",4
"27",6
"28",1
"29",1
"30",5
"31",1
"32",4
"33",4
"34",3
"35",4
"36",1
"37",6
"38",4
"39",1
"40",6
"41",4
"42",5
"43",1
"44",4
"45",2
"46",1
"47",6
"48",6
"49",3
"50",1
"51",3
"52",1
"53",2
"54",1
"55",1
"56",1
"57",5
"58",2
"59",1
"60",4
"61",5
"62",1
"63",1
"64",3
"65",1
"66",6
"67",1
"68",4
"69",6
"70",4
"71",1
"72",5
"73",1
"74",6
"75",4
"76",2
"77",4
"78",1
"79",4
"80",1
"81",1
"82",1
"83",1
"84",5
"85",4
"86",1
"87",2
"88",4
"89",6
"90",2
"91",1
"92",6
"93",1
"94",6
"95",6
"96",4
"97",5
"98",4
"99",5
"100",1
"101",1
"102",1
"103",4
"104",4
"105",1
"106",2
"107",4
"108",6
"109",2
"110",4
"111",6
"112",2
"113",4
"114",2
"115",4
"116",4
"117",1
"118",4
"119",3
"120",1
"121",1
"122",4
"123",2
"124",1
"125",5
"126",1
"127",1
"128",4
"129",1
"130",1
"131",4
"132",6
"133",3
"134",6
"135",6
"136",6
"137",4
"138",4
"139",4
"140",4
"141",5
"142",3
"143",6
"144",1
"145",6
"146",5
"147",4
"148",3
"149",4
"150",4
"151",1
"152",1
"153",2
"154",6
"155",6
"156",3
"157",3
"158",1
"159",6
"160",4
"161",4
"162",4
"163",4
"164",2
"165",5
"166",6
"167",4
"168",1
"169",4
"170",4
"171",4
"172",1
"173",4
"174",5
"175",3
"176",3
"177",3
"178",3
"179",4
"180",1
"181",3
"182",1
"183",4
"184",6
"185",1
"186",1
"187",6
"188",1
"189",4
"190",1
"191",4
"192",5
"193",4
"194",1
"195",6
"196",6
"197",4
"198",4
"199",6
"200",5
"201",3
"202",6
"203",5
"204",4
"205",4
"206",4
"207",4
"208",1
"209",1
"210",4
"211",3
"212",2
"213",4
"214",2
"215",5
"216",1
