"","x"
"1",0.531977941836899
"2",0.699877131518033
"3",6
"4",5
"5",3
"6",3
"7",2
"8",1
"9",3
"10",2
"11",6
"12",1
"13",2
"14",2
"15",6
"16",3
"17",3
"18",4
"19",5
"20",3
"21",3
"22",2
"23",2
"24",2
"25",6
"26",6
"27",3
"28",2
"29",2
"30",4
"31",1
"32",6
"33",6
"34",3
"35",6
"36",1
"37",3
"38",6
"39",1
"40",3
"41",6
"42",6
"43",2
"44",6
"45",3
"46",1
"47",3
"48",3
"49",3
"50",2
"51",3
"52",2
"53",3
"54",1
"55",2
"56",2
"57",4
"58",3
"59",1
"60",6
"61",4
"62",2
"63",1
"64",3
"65",2
"66",3
"67",2
"68",6
"69",3
"70",6
"71",1
"72",4
"73",1
"74",3
"75",5
"76",3
"77",5
"78",2
"79",6
"80",1
"81",2
"82",1
"83",2
"84",2
"85",5
"86",1
"87",3
"88",6
"89",3
"90",3
"91",1
"92",3
"93",2
"94",3
"95",3
"96",5
"97",3
"98",3
"99",4
"100",2
"101",2
"102",2
"103",6
"104",6
"105",1
"106",3
"107",6
"108",3
"109",3
"110",6
"111",3
"112",3
"113",6
"114",3
"115",6
"116",5
"117",2
"118",6
"119",3
"120",2
"121",2
"122",5
"123",3
"124",2
"125",4
"126",1
"127",2
"128",6
"129",1
"130",1
"131",6
"132",3
"133",3
"134",3
"135",3
"136",3
"137",6
"138",6
"139",5
"140",5
"141",4
"142",3
"143",3
"144",1
"145",3
"146",3
"147",6
"148",3
"149",6
"150",6
"151",2
"152",2
"153",3
"154",3
"155",3
"156",3
"157",3
"158",1
"159",3
"160",6
"161",6
"162",5
"163",6
"164",3
"165",4
"166",3
"167",6
"168",2
"169",6
"170",6
"171",6
"172",2
"173",6
"174",4
"175",3
"176",3
"177",3
"178",3
"179",6
"180",1
"181",3
"182",2
"183",6
"184",3
"185",2
"186",2
"187",3
"188",2
"189",6
"190",1
"191",6
"192",4
"193",6
"194",2
"195",3
"196",3
"197",6
"198",6
"199",3
"200",6
"201",3
"202",3
"203",4
"204",6
"205",5
"206",6
"207",5
"208",2
"209",1
"210",6
"211",3
"212",3
"213",6
"214",3
"215",3
"216",2
"217",6
"218",3
"219",3
"220",2
"221",2
"222",3
"223",5
"224",6
"225",2
"226",3
"227",3
"228",3
"229",1
"230",3
"231",2
"232",3
"233",3
"234",2
"235",3
"236",5
"237",3
"238",3
"239",6
"240",6
"241",3
"242",4
"243",6
"244",6
"245",6
"246",6
"247",3
"248",5
"249",6
"250",3
"251",2
"252",6
"253",6
"254",3
"255",6
"256",1
"257",4
"258",1
"259",3
"260",4
"261",3
"262",4
"263",3
"264",1
"265",2
"266",5
"267",2
"268",6
"269",6
"270",3
"271",3
"272",3
"273",1
"274",4
"275",3
"276",3
"277",6
"278",5
"279",3
"280",6
"281",6
"282",6
"283",3
"284",3
"285",6
"286",3
"287",6
"288",3
"289",4
"290",3
"291",1
"292",3
"293",2
"294",3
"295",6
"296",3
"297",3
"298",2
"299",4
"300",3
"301",4
"302",3
"303",3
"304",4
"305",3
"306",5
"307",3
"308",2
"309",3
"310",2
"311",3
"312",3
"313",2
"314",3
"315",6
"316",3
"317",3
"318",2
"319",5
"320",2
"321",5
"322",2
"323",3
"324",3
"325",3
"326",6
"327",2
"328",3
"329",2
"330",3
"331",5
"332",3
"333",2
"334",6
"335",2
"336",2
"337",3
"338",4
"339",4
"340",4
"341",6
"342",2
"343",6
"344",3
"345",6
"346",3
"347",2
"348",6
"349",2
"350",3
"351",3
"352",3
"353",3
"354",3
"355",2
"356",3
"357",4
"358",6
"359",5
"360",2
"361",2
"362",5
"363",2
"364",4
"365",6
"366",5
"367",2
"368",3
"369",3
"370",6
"371",3
"372",3
"373",4
"374",3
"375",3
"376",3
"377",2
"378",3
"379",2
"380",2
"381",6
"382",5
"383",3
"384",3
"385",3
"386",2
"387",3
"388",6
"389",2
"390",3
"391",3
"392",2
"393",6
"394",6
"395",1
"396",5
"397",3
"398",5
"399",3
"400",3
"401",2
"402",2
"403",3
"404",2
"405",3
"406",3
"407",2
"408",6
"409",3
"410",2
"411",3
"412",5
"413",5
"414",6
"415",3
"416",2
"417",2
"418",3
"419",6
"420",6
"421",6
"422",2
"423",3
"424",6
"425",5
"426",3
"427",6
"428",3
"429",3
"430",2
"431",6
"432",5
"433",2
"434",2
"435",2
"436",3
"437",6
"438",3
"439",6
"440",6
"441",3
"442",2
"443",2
"444",3
"445",6
"446",3
"447",2
"448",3
"449",2
"450",2
"451",3
"452",1
"453",4
"454",5
"455",3
"456",3
"457",3
"458",2
"459",6
"460",5
"461",2
"462",5
"463",5
"464",3
"465",2
"466",6
"467",5
"468",1
"469",2
"470",1
"471",3
"472",6
"473",2
"474",6
"475",6
"476",6
"477",6
"478",3
"479",2
"480",3
"481",3
"482",3
"483",6
"484",6
"485",5
"486",5
"487",3
"488",2
"489",2
"490",5
"491",3
"492",2
"493",6
"494",3
"495",2
