"","x"
"1",0.969341089481125
"2",0.924951413822951
"3",1
"4",2
"5",2
"6",3
"7",3
"8",4
"9",4
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2
"22",3
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",2
"31",1
"32",2
"33",2
"34",4
"35",2
"36",2
"37",2
"38",3
"39",3
"40",1
"41",1
"42",1
"43",2
"44",2
"45",2
"46",3
"47",4
"48",3
"49",1
"50",5
"51",1
"52",1
"53",1
"54",1
"55",1
"56",2
"57",3
"58",3
"59",5
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",2
"73",2
"74",2
"75",2
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",2
"84",2
"85",2
"86",2
"87",2
"88",3
"89",2
"90",2
"91",3
"92",3
"93",4
"94",5
"95",1
"96",1
"97",1
"98",4
"99",2
"100",2
"101",3
"102",4
"103",5
"104",4
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",2
"112",3
"113",4
"114",4
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",2
"127",2
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",2
"137",2
"138",2
"139",2
"140",3
"141",3
"142",2
"143",2
"144",3
"145",4
"146",5
"147",5
"148",1
"149",1
"150",2
"151",2
"152",3
"153",3
"154",5
"155",5
"156",4
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",2
"165",3
"166",4
"167",5
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",2
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",2
"189",2
"190",2
"191",3
"192",3
"193",2
"194",2
"195",3
"196",3
"197",4
"198",5
"199",4
"200",1
"201",1
"202",1
"203",2
"204",2
"205",3
"206",3
"207",4
"208",4
"209",1
"210",1
"211",1
"212",1
"213",2
"214",1
"215",3
"216",3
"217",5
"218",1
"219",1
"220",1
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",2
"230",2
"231",1
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",2
"241",2
"242",2
"243",3
"244",3
"245",2
"246",2
"247",3
"248",3
"249",4
"250",5
"251",4
"252",1
"253",1
"254",2
"255",2
"256",3
"257",3
"258",4
"259",4
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",3
"271",5
"272",5
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",2
"282",1
"283",1
"284",1
"285",2
"286",2
"287",2
"288",3
"289",5
"290",2
"291",1
"292",3
"293",3
"294",1
"295",2
"296",2
"297",2
"298",1
"299",4
"300",1
"301",1
"302",1
"303",1
"304",3
"305",1
"306",1
"307",1
"308",5
"309",1
"310",2
"311",5
"312",1
"313",1
"314",1
"315",2
"316",3
"317",4
"318",5
"319",2
"320",1
"321",3
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",1
"358",1
"359",1
"360",1
"361",1
"362",1
"363",2
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",2
"377",2
"378",5
"379",2
"380",2
"381",3
"382",5
"383",2
"384",2
"385",2
"386",2
"387",2
"388",5
"389",2
"390",2
"391",2
"392",2
"393",3
"394",4
"395",2
"396",2
"397",5
"398",4
"399",4
"400",2
"401",2
"402",2
"403",2
"404",2
"405",5
"406",4
"407",2
"408",5
"409",2
"410",2
"411",4
"412",2
"413",2
"414",2
"415",2
"416",2
"417",2
"418",5
"419",4
"420",5
"421",2
"422",5
"423",2
"424",2
"425",3
"426",5
"427",5
"428",2
"429",2
"430",3
"431",5
"432",4
"433",4
"434",2
"435",2
"436",3
"437",5
"438",4
"439",2
"440",2
"441",2
"442",4
"443",2
"444",2
"445",2
"446",5
"447",4
"448",2
"449",2
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",2
"457",2
"458",2
"459",2
"460",1
"461",1
"462",1
"463",2
"464",2
"465",2
"466",2
"467",2
"468",1
"469",1
"470",1
"471",2
"472",2
"473",2
"474",2
"475",2
"476",2
"477",1
"478",1
"479",1
"480",2
"481",2
"482",1
"483",1
"484",1
"485",2
"486",2
"487",2
"488",2
"489",1
"490",1
"491",1
"492",1
"493",1
"494",1
"495",2
"496",2
"497",2
"498",1
"499",2
"500",2
"501",2
"502",1
"503",1
"504",1
"505",1
"506",1
"507",2
"508",2
"509",3
"510",1
"511",2
"512",2
"513",3
"514",1
"515",1
"516",1
"517",1
"518",1
"519",2
"520",5
"521",2
"522",1
"523",1
"524",1
"525",2
"526",3
"527",4
"528",1
"529",1
"530",1
"531",2
"532",2
