"","x"
"1",0.126227719732632
"2",0.176516911469586
"3",5
"4",5
"5",1
"6",4
"7",5
"8",4
"9",2
"10",4
"11",5
"12",5
"13",5
"14",5
"15",4
"16",4
"17",4
"18",4
"19",5
"20",5
"21",1
"22",5
"23",5
"24",5
"25",5
"26",1
"27",4
"28",5
"29",4
"30",1
"31",5
"32",5
"33",5
"34",4
"35",1
"36",1
"37",4
"38",5
"39",5
"40",4
"41",4
"42",4
"43",1
"44",4
"45",1
"46",5
"47",2
"48",4
"49",4
"50",4
"51",5
"52",5
"53",5
"54",4
"55",5
"56",5
"57",1
"58",4
"59",5
"60",4
"61",5
"62",4
"63",4
"64",5
"65",5
"66",4
"67",5
"68",4
"69",5
"70",5
"71",4
"72",1
"73",1
"74",5
"75",1
"76",5
"77",5
"78",4
"79",4
"80",4
"81",4
"82",4
"83",5
"84",1
"85",5
"86",1
"87",1
"88",4
"89",5
"90",1
"91",2
"92",5
"93",2
"94",4
"95",4
"96",5
"97",4
"98",4
"99",1
"100",1
"101",5
"102",4
"103",4
"104",4
"105",4
"106",5
"107",5
"108",4
"109",4
"110",4
"111",4
"112",5
"113",5
"114",4
"115",5
"116",4
"117",5
"118",5
"119",4
"120",5
"121",4
"122",4
"123",4
"124",4
"125",4
"126",1
"127",1
"128",5
"129",4
"130",5
"131",2
"132",5
"133",5
"134",5
"135",4
"136",1
"137",5
"138",1
"139",4
"140",5
"141",5
"142",1
"143",1
"144",2
"145",3
"146",4
"147",5
"148",4
"149",4
"150",1
"151",1
"152",5
"153",5
"154",5
"155",4
"156",2
"157",5
"158",4
"159",5
"160",4
"161",5
"162",4
"163",5
"164",5
"165",4
"166",2
"167",4
"168",4
"169",5
"170",5
"171",5
"172",5
"173",4
"174",4
"175",5
"176",4
"177",4
"178",4
"179",1
"180",4
"181",5
"182",4
"183",5
"184",5
"185",4
"186",4
"187",4
"188",5
"189",1
"190",1
"191",5
"192",5
"193",1
"194",5
"195",5
"196",5
"197",2
"198",4
"199",5
"200",4
"201",5
"202",4
"203",4
"204",5
"205",5
"206",4
"207",5
"208",2
"209",5
"210",5
"211",5
"212",5
"213",3
"214",4
"215",2
"216",5
"217",4
"218",5
"219",5
"220",4
"221",4
"222",5
"223",4
"224",5
"225",5
"226",5
"227",4
"228",4
"229",1
"230",1
"231",4
"232",4
"233",5
"234",5
"235",4
"236",4
"237",4
"238",4
"239",5
"240",1
"241",1
"242",1
"243",5
"244",5
"245",1
"246",1
"247",5
"248",4
"249",2
"250",4
"251",4
"252",4
"253",4
"254",1
"255",1
"256",1
"257",5
"258",2
"259",5
"260",4
"261",4
"262",4
"263",5
"264",4
"265",5
"266",4
"267",5
"268",4
"269",5
"270",4
"271",4
"272",4
"273",5
"274",4
"275",5
"276",4
"277",4
"278",4
"279",4
"280",5
"281",3
"282",5
"283",5
"284",4
"285",1
"286",1
"287",5
"288",2
"289",4
"290",1
"291",4
"292",5
"293",5
"294",4
"295",1
"296",1
"297",5
"298",4
"299",4
"300",2
"301",4
"302",4
"303",4
"304",5
"305",5
"306",5
"307",5
"308",4
"309",4
"310",1
"311",4
"312",5
"313",2
"314",4
"315",1
"316",4
"317",2
"318",4
"319",5
"320",4
"321",5
"322",4
"323",4
"324",4
"325",4
"326",4
"327",4
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",4
"345",4
"346",4
"347",4
"348",4
"349",4
"350",4
"351",4
"352",4
"353",4
"354",4
"355",4
"356",4
"357",4
"358",4
"359",4
"360",4
"361",4
"362",4
"363",4
"364",4
"365",4
"366",4
"367",4
"368",4
"369",4
"370",4
"371",4
"372",4
"373",4
"374",4
"375",4
"376",4
"377",4
"378",4
"379",4
"380",4
"381",4
"382",4
"383",4
"384",4
"385",4
"386",4
"387",4
"388",4
"389",4
"390",4
"391",4
"392",4
"393",4
"394",4
"395",4
"396",4
"397",4
"398",4
"399",4
"400",4
"401",4
"402",4
"403",4
"404",4
"405",4
"406",5
"407",4
"408",4
"409",4
"410",4
"411",5
"412",4
"413",4
"414",4
"415",5
"416",4
"417",4
"418",4
"419",2
"420",4
"421",4
"422",4
"423",4
"424",4
"425",4
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",2
"433",4
"434",4
"435",4
"436",4
"437",4
"438",4
"439",4
"440",4
"441",4
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",4
"450",5
"451",5
"452",4
"453",5
"454",4
"455",4
"456",5
"457",1
"458",5
"459",1
"460",5
"461",4
"462",5
"463",5
"464",1
"465",1
"466",5
"467",5
"468",5
"469",4
"470",5
"471",1
"472",1
"473",4
"474",1
"475",2
"476",5
"477",4
"478",5
"479",4
"480",1
"481",1
"482",5
"483",5
"484",4
"485",1
"486",5
"487",4
"488",5
"489",4
"490",5
"491",5
"492",5
"493",4
"494",5
"495",5
"496",5
"497",1
"498",4
"499",1
"500",4
"501",1
"502",4
"503",5
"504",5
"505",5
"506",4
"507",1
"508",5
"509",4
"510",5
"511",1
"512",5
"513",5
"514",4
"515",4
"516",4
"517",4
"518",4
"519",4
"520",4
"521",5
"522",5
"523",5
"524",4
"525",1
"526",5
"527",3
"528",4
"529",4
"530",4
"531",1
"532",4
"533",4
"534",4
"535",4
"536",1
"537",1
"538",5
"539",5
"540",1
"541",5
"542",1
"543",4
"544",4
"545",4
"546",5
"547",5
"548",4
"549",4
"550",4
"551",4
"552",1
"553",4
"554",4
"555",5
"556",2
"557",5
"558",4
"559",4
"560",5
"561",5
"562",4
"563",4
"564",4
"565",1
"566",4
"567",4
"568",5
"569",4
"570",5
"571",1
"572",4
"573",4
"574",4
"575",5
"576",5
"577",5
"578",4
"579",5
"580",4
"581",4
"582",4
"583",5
"584",5
"585",4
"586",4
"587",4
"588",2
"589",4
"590",4
"591",5
"592",4
"593",4
"594",4
"595",1
"596",3
"597",3
"598",3
"599",3
"600",4
"601",5
"602",4
"603",4
"604",4
"605",4
"606",5
"607",4
"608",4
"609",5
"610",5
"611",4
"612",4
"613",4
"614",4
"615",4
"616",4
"617",4
"618",4
"619",4
"620",5
"621",4
"622",5
"623",4
"624",4
"625",4
"626",4
"627",4
"628",5
"629",4
"630",4
"631",4
"632",5
"633",4
"634",4
"635",4
"636",4
"637",4
"638",4
"639",4
"640",5
"641",4
"642",4
"643",4
"644",4
"645",5
"646",4
"647",4
"648",1
"649",4
"650",4
"651",5
"652",4
"653",4
"654",4
"655",4
"656",4
"657",4
"658",4
"659",5
"660",4
"661",4
"662",4
"663",4
"664",4
"665",4
"666",4
"667",4
"668",5
"669",4
"670",4
"671",1
"672",4
"673",4
"674",4
"675",4
"676",5
"677",4
"678",4
"679",5
"680",4
"681",4
"682",5
"683",4
"684",4
"685",4
"686",4
"687",4
"688",4
"689",5
"690",4
"691",5
"692",4
"693",4
"694",4
"695",4
"696",4
"697",4
"698",5
"699",4
"700",4
"701",4
"702",4
"703",4
"704",4
"705",4
"706",4
"707",4
"708",4
"709",4
"710",4
"711",4
"712",4
"713",4
"714",4
"715",4
"716",4
"717",4
"718",5
"719",4
"720",4
"721",4
"722",5
"723",4
"724",4
"725",4
"726",4
"727",4
"728",4
"729",4
"730",4
"731",4
"732",4
"733",4
"734",4
"735",4
"736",4
"737",4
"738",4
"739",4
"740",4
"741",4
"742",5
"743",4
"744",4
"745",5
"746",4
"747",4
"748",4
"749",4
"750",4
"751",4
"752",5
"753",5
"754",4
"755",4
"756",4
"757",4
"758",5
"759",4
"760",4
"761",4
"762",4
"763",4
"764",5
"765",4
"766",4
"767",5
"768",4
"769",4
"770",4
"771",4
"772",4
"773",4
"774",4
"775",4
"776",4
"777",4
"778",4
"779",4
"780",4
"781",4
"782",4
"783",4
"784",4
"785",4
"786",4
"787",4
"788",4
"789",5
"790",4
"791",4
"792",4
"793",4
"794",4
"795",4
"796",4
"797",4
"798",4
"799",5
"800",5
"801",5
"802",4
"803",4
"804",4
"805",4
"806",4
"807",5
"808",4
"809",5
"810",4
"811",4
"812",4
"813",4
"814",4
"815",4
"816",4
"817",5
"818",5
"819",4
"820",5
"821",5
"822",5
"823",4
"824",4
"825",4
"826",4
"827",5
"828",4
"829",4
"830",5
"831",4
"832",3
"833",4
"834",2
"835",2
"836",4
"837",4
"838",5
"839",4
"840",2
"841",4
"842",4
"843",5
"844",5
"845",4
"846",4
"847",4
"848",4
"849",5
"850",5
"851",2
"852",4
"853",5
"854",4
"855",5
"856",5
"857",5
"858",4
"859",4
"860",5
"861",4
"862",4
"863",4
"864",4
"865",5
"866",4
"867",4
"868",5
"869",4
"870",4
"871",4
"872",4
